section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-info 2,section-result-info 3
Gaisano Mall Mactan Island,3.8,"(1,875)",Shopping mall,gaisano mactan club mon lapulapu mactan,Bustling department store with eateries,0915 378 3680,Opens at 4:00 pm,Closed
Raintree Mall,4.0,(3),Shopping mall,F. Ramos St,,,,
Gaisano Grand Mall,1.0,(1),Shopping mall,"Villa St. Corner, Gica St",,(032) 471 9980,Open until 7:00 pm,
SM Seaside City Cebu,4.5,"(8,554)",Shopping mall,Juan Luna Avenue,Large shopping mall with a cinema,(032) 340 8756,Open until 7:00 pm,
Escario Central Mall,4.1,(324),Outlet mall,N Escario St,Mall with a food court & restaurants,(032) 520 2222,Open until 9:00 pm,Temporarily closed
Gaisano Grand Fiesta Mall,4.0,"(1,425)",Shopping mall,"Gaisano Fiesta Mall, Natalio B. Bacalso S National Hwy","Clothing, food & housewares stores",(032) 273 8888,Open until 8:00 pm,
Ayala Terraces,4.4,"(3,885)",Shopping mall,Biliran Rd,"Large, open-air shopping center",(032) 233 2362,Open until 9:00 pm,
APM Shopping Center,3.8,(652),Shopping mall,A. Soriano Ave,Compact & mellow shopping mall,(032) 232 7235,Open until 9:00 pm,
Mactan Marina Mall,3.8,"(1,771)",Shopping mall,,,0999 449 5382,Open until 9:00 pm,
Super Metro,4.1,"(1,192)",Shopping mall,Colon Corner Junquera Street,,(032) 254 2106,Open until 9:00 pm,
Gatewalk Central,4.2,(22),Shopping mall,,"Shopping, dining & entertainment complex",0935 224 4945,Open until 8:00 pm,
SM Mall,4.4,"(2,734)",Shopping mall,SM City Cebu,,(032) 231 0557,Open until 10:00 pm,
The Ridges Commercial Center,4.5,(2),Shopping mall,341 F. Cabahug St,,Open until 9:00 pm,(032) 520 5662,
Cocomall,3.6,(73),Shopping mall,"Corner Osmeña Boulevard and Ma. Cristina Street,Cebu City. Osmeña Blvd",,,Open until 10:00 pm,
Plaza Nouvelle,4.0,(117),Shopping mall,2 E Benedicto St,,,Open until 5:00 pm,
FABÉ Fashion,5.0,(1),Shopping mall,Park Mall Dr,,Open until 9:00 pm,(032) 231 3450,
Leah Mall,4.1,"(1,454)",Shopping mall,Cebu S Rd,"Shopping venue with stores, eats & films",(032) 489 7040,Open until 8:00 pm,
Island Central Mactan,4.0,"(1,459)",Shopping mall,MEPZ Ecozone,Trendy mall with familiar offerings,(032) 888 6194,Open until 10:00 pm,
로빈슨 푸엔테(Robinsons Fuente),4.0,(2),Shopping mall,(Pob.),,,,
"Ayala Center Cebu, Cardinal Rosales Avenue, Cebu City, Cebu",4.3,(49),Outlet mall,"Ayala Center, Cardinal Rosales Ave",Bustling department store with eateries,0915 378 3680,Opens at 4:00 pm,Temporarily closed
City Time Square,4.2,"(1,304)",Shopping mall,,Bustling department store with eateries,(032) 328 0875,Opens at 4:00 pm,Closed
South Town Centre,4.1,(771),Shopping mall,285 Cebu S Rd,,(032) 272 6366,Open until 9:00 pm,
138 Wholesale Mall,3.9,(248),Shopping mall,Colon St,,0922 560 9452,Open until 8:00 pm,
Robinsons Galleria Cebu,4.5,"(1,717)",Shopping mall,"Gen. Maxilom Avenue Extension, Sergio Osmeña Jr Boulevard",Large shopping mall with a cinema,(032) 231 5030,Open until 9:00 pm,
marina mall,3.8,(4),Shopping mall,,Mall with a food court & restaurants,Open until 9:00 pm,(032) 520 2222,Temporarily closed
Hapjaps,3.0,(1),Shopping mall,Ayala Entertainment Center,"Clothing, food & housewares stores",(032) 269 0236,Open until 8:00 pm,
Robinson's Cybergate,4.0,"(1,972)",Shopping mall,132 Don Mariano Cui St,Shopping mall with casual eateries,(032) 505 8955,Open until 9:00 pm,
Gaisano Grand Mall Mandaue Centro,3.7,(9),Shopping mall,A. Del Rosario St,Compact & mellow shopping mall,(032) 520 6040,Open until 9:00 pm,
"CityMall - Consolacion, Cebu",3.9,(439),Shopping mall,Sta. Lucia Town Square,,(032) 268 5654,Open until 9:00 pm,
H Mall,3.8,(49),Shopping mall,"Corner Pajac - Maribago Road, Basak-Cagodoy-Bankal-Buaya Road",,0923 303 9739,Open until 9:00 pm,
Fashion Hive Concept Store,3.5,(6),Shopping mall,"CS Ladia Bldg #49, Pantaleon del Rosario St","Shopping, dining & entertainment complex",0915 009 4314,Open until 7:00 pm,
IL Corso Mall,4.1,(223),Shopping mall,"IL Corso Mall, 6000 Cebu South Coastal Rd",,(032) 232 0085,Open until 10:00 pm,
RM Mall Seaside,4.0,(4),Shopping mall,,,Open until 9:00 pm,(032) 520 5662,
Gaisano Main,4.0,(285),Shopping mall,Vicente Gullas St,,(032) 254 6391,Open until 8:00 pm,
Banilad Town Centre,4.1,"(1,249)",Shopping mall,Gov. M. Cuenco Ave,"Retail plaza with eateries, gym & market",(032) 345 3260,Opens at 4:00 pm,Closed
Rustanette,5.0,(1),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",,(032) 231 5641,Open until 9:00 pm,
Bridges Town Square,3.7,(199),Shopping mall,,"Shopping venue with stores, eats & films",(032) 344 4575,Open until 9:00 pm,
Gaisano Grand Mall Mandaue North,1.0,(2),Shopping mall,,Trendy mall with familiar offerings,(032) 273 0588,Open until 9:00 pm,
Gatewalk Mall,4.0,(2),Outlet mall,,,,,Temporarily closed
Watsons Gaisano Grand Mall Mandaue,4.0,(357),Health and beauty shop,A. Del Rosario St Cebu,Bustling department store with eateries,0917 843 1286,Open until 10:30 pm,Temporarily closed
Metro Gaisano Colon,4.1,"(1,404)",Shopping mall,179 Osmena Boulevard Juan Luna St,Bustling department store with eateries,(032) 416 8793,Open until 9:00 pm,Closed
wenaga store,3.6,(10),Shopping mall,A. Lopez St,,0943 656 4922,Open until 10:00 pm,
GPH CENTRAL,3.9,(248),Shopping mall,,,Open until 8:00 pm,0922 560 9452,
Posh Concept Store,4.0,(2),Shopping mall,2 Gorordo Ave,Large shopping mall with a cinema,3243927,Open until 9:00 pm,
LEAH MALL,3.8,(4),Shopping mall,"N. Bacalso Avenue, South Highway",Mall with a food court & restaurants,0906 293 0298,Open until 9:00 pm,Temporarily closed
Audionet Cellphone & Laptop Repair,3.5,"(1,609)",Shopping mall,"Basak-Marigondon Road, Grandmall","Clothing, food & housewares stores",0926 663 0946,Open until 9:00 pm,
Pacific Mall Mandaue,4.1,"(3,775)",Shopping mall,U.N. Ave,Shopping mall with casual eateries,(032) 505 8955,Open until 9:00 pm,Closed today
JLJ Store,3.7,(9),Shopping mall,Forest Hills Rd,Compact & mellow shopping mall,Open until 9:00 pm,(032) 520 6040,
City Soho Mall,4.7,(3),Shopping mall,59 Mirasol St,,Open until 9:00 pm,(032) 268 5654,
Gaisano Grand Mall Cordova,3.6,(393),Shopping mall,King Dagame Brgy,,(032) 260 2754,Open until 8:30 pm,
Shangs Island Town Center ( Shopping Mall / Supermarket / Restaurants / Spa ),3.9,(894),Shopping mall,M.L Quezon National Highway Datag Maribago,Modest retail complex with shops & food,(032) 505 2102,Open until 2:00 am,
Telahan ni Joy,4.1,(223),Shopping mall,Mohon Rd,,0933 300 0698,Open until 8:00 pm,
Gaisano Grand Mall Mactan,3.6,(214),Shopping mall,"Corner Basak, Ibabao - Gisi - Agus Rd",,(032) 505 4365,Open until 9:30 pm,
One Central Mall,5.0,(2),Shopping mall,,,Open until 8:00 pm,(032) 254 6391,
The Walk,4.2,(854),Shopping mall,Abad St,"Retail plaza with eateries, gym & market",Opens at 4:00 pm,(032) 345 3260,Closed
Gaisano Grand Mall Minglanilla,3.8,(567),Shopping mall,Cebu S Rd,,(032) 273 8866,Open until 8:30 pm,
Elizabeth Mall,3.7,(199),Shopping mall,71 Katipunan St,"Shopping venue with stores, eats & films",Open until 9:00 pm,(032) 344 4575,
Periwinkle,1.0,(2),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Trendy mall with familiar offerings,(032) 231 5641,Open until 9:00 pm,
Times Square Talamban,3.9,(300),Shopping mall,Gov. M. Cuenco Ave,,(032) 415 7055,Open until 6:00 pm,Temporarily closed
Gaisano Grand Mandaue North,3.9,(174),Shopping mall,,Bustling department store with eateries,0917 843 1286,Open until 5:00 pm,Temporarily closed
Gaisano Grand Jai - Alai,3.9,(200),Shopping mall,Candido Padilla St,Bustling department store with eateries,0933 942 4398,Open until 6:00 pm,Closed
One Mango Avenue,3.9,(179),Shopping mall,General Maxilom Ave,,Open until 10:00 pm,0943 656 4922,
Insular Square,4.0,(684),Shopping mall,31 Central Nautical Hwy,,(032) 346 8824,Open until 9:00 pm,
Primeway Plaza,2.0,(1),Shopping mall,176 F. Ramos St,Large shopping mall with a cinema,(032) 234 3424,Open until 12:00 am,
CALL IT SPRING SM SEASIDE CEBU,5.0,(1),Shopping mall,SM Seaside City,Mall with a food court & restaurants,(032) 340 9317,Open until 9:00 pm,Temporarily closed
"Lotto Outlet, Fortune Square",4.0,(1),Shopping mall,,"Clothing, food & housewares stores",0922 867 7712,Open until 8:30 pm,
House of Sara Lee,4.0,(1),Shopping mall,"Cebu Capitol Commercial Complex, N. Escario Street, Dakbayan sa Sugbu",Shopping mall with casual eateries,(032) 253 2835,Open until 9:00 pm,Closed today
SOLINEA TOWER 2,3.8,(24),Shopping mall,3 Cardinal Rosales Ave,Compact & mellow shopping mall,Open until 9:00 pm,(032) 520 6040,
Xcd Store,4.7,(3),Shopping mall,"Coco Mall, Osmeña Street",,(032) 254 9071,Open until 9:00 pm,
SM Department Store,4.3,(83),Shopping mall,"SM City Consolacion, Barangay, 6001 Cebu N Rd",,(032) 260 2754,Open until 7:00 pm,
The Outlets at Pueblo Verde,4.3,"(1,136)",Outlet mall,"Pueblo Verde, 6015 MEZ II",Modest retail complex with shops & food,(032) 411 1610,Open until 8:00 pm,
Gaisano Grand Fiestamall Tabunok,3.5,(19),Shopping mall,Cebu S Rd,,(032) 273 0588,Open until 9:00 pm,
North Atrium Mandaue,3.6,(107),Shopping mall,Manuel C. Briones Highway,,(032) 344 1727,Open until 9:30 pm,
Blu Pepper,5.0,(2),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",,(032) 231 5641,Open until 8:00 pm,
Talisay Town Center,4.1,(10),Shopping mall,,"Retail plaza with eateries, gym & market",(032) 272 8120,Open until 10:00 pm,Closed
Gaisano Capital Tisa,3.7,(571),Shopping mall,417 Francisco Llamas St,,(032) 262 7777,Open until 8:00 pm,
Platypus,3.7,(199),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue","Shopping venue with stores, eats & films",(032) 231 5641,Open until 9:00 pm,
Ayala Center Cebu,4.4,"(1,828)",Shopping mall,6000 Cardinal Rosales Ave,Trendy mall with familiar offerings,(032) 243 4004,Open until 9:00 pm,
E-shop Multibrands,2.3,(3),Shopping mall,"Mandaue City, M. L., 779 M. L. Quezon Ave",,(032) 415 7055,Open until 6:00 pm,Temporarily closed
"Expressions Stationery Shop, Inc. - Robinsons Cebu",4.0,(4),Shopping mall,"2/Floor Robinsons Place Cebu, Fuente Osmeña Boulevard, Cebu City, Cebu",Bustling department store with eateries,(032) 412 7484,Open until 5:00 pm,Temporarily closed
Hendy Mitchels,4.0,(3),Shopping mall,Number 1 Paseo Saturnino,Bustling department store with eateries,(032) 416 3888,Open until 6:00 pm,Closed
LACOSTE Bags & Footwear,3.9,(179),Outlet mall,"Lvl 1 Ayala Center, Cebu Business Park",,0943 656 4922,Open until 10:00 pm,Temporarily closed
Axis Entertainment Avenue,4.3,(259),Shopping mall,"Vibo Place, N Escario St",,(032) 412 2316,Open until 12:00 am,
Food Court And Housekeeping Office,2.0,(1),Shopping mall,"Elizabeth Mall, Leon Kilat Street, corner Sanciangko Street",Large shopping mall with a cinema,(032) 417 7738,Open until 12:00 am,
eden's Place,5.0,(1),Shopping mall,C. Rosal St,Mall with a food court & restaurants,Open until 9:00 pm,(032) 340 9317,Temporarily closed
Gaisano Capital Casuntingan,3.7,(259),Outlet mall,M. L. Quezon Ave,"Clothing, food & housewares stores",(032) 420 7083,Open until 8:00 pm,
Design Center of Cebu,4.3,(94),Shopping mall,"356-A A.S. Fortuna Corner P Remedio Streets,, Banilad",Shopping mall with casual eateries,0917 711 4196,Open until 9:00 pm,Closed today
Aromacology,3.8,(24),Shopping mall,Dionisio Jakosalem St,Compact & mellow shopping mall,0935 935 2079,Open until 9:00 pm,
Cebu Island Online Shopping Mall,4.7,(3),Shopping mall,"057-A Sun Valley Subd, V Rama Ave",,(032) 262 6526,Open until 9:00 pm,
Bumblebee,4.3,(83),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",,(032) 231 5641,Open until 7:00 pm,
SM Consolacion,4.3,(896),Shopping mall,Cansaga Bridge,Modest retail complex with shops & food,Open until 8:00 pm,(032) 411 1610,
Hailey Logan,3.5,(19),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",,(032) 231 5641,Open until 9:00 pm,
Grand CityMall Bacalso - Cebu Construction,3.0,(1),Shopping mall,Natalio B. Bacalso Ave,,Open until 9:30 pm,(032) 344 1727,
SM City Consolacion,4.2,"(2,252)",Shopping mall,SM City Consolacion Lamac Consolacion,,(032) 231 0557,Open until 7:00 pm,
Soul Edge,4.1,(10),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue","Retail plaza with eateries, gym & market",(032) 231 5641,Open until 10:00 pm,Closed
Piazza Elesia,3.9,(182),Shopping mall,Gov. M. Cuenco Ave,,(032) 262 7777,Opens at 4:00 pm,Closed
vero moda,3.7,(199),Shopping mall,ayala center cebu,"Shopping venue with stores, eats & films",Open until 9:00 pm,(032) 231 5641,
Gaisano Capital South,3.9,"(1,047)",Shopping mall,"Henry Gaisano Building, Colon Street Corner Leon Kilat Street",Trendy mall with familiar offerings,(032) 260 7888,Open until 8:00 pm,
Carlo gocela,2.3,(3),Shopping mall,B. Rodriguez St,,0999 878 8715,Open until 5:00 pm,Temporarily closed
Control Office,4.0,(4),Shopping mall,"Elizabeth Mall, Leon Kilat Street, corner Sanciangko Street",Bustling department store with eateries,(032) 417 7738,Open until 5:00 pm,Temporarily closed
Next Jeans SM Department Store,4.0,(3),Shopping mall,J. De Vera Street,Bustling department store with eateries,Open until 6:00 pm,(032) 416 3888,Closed
Harajuku Lovers,3.9,(179),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",,(032) 231 5641,Open until 10:00 pm,Temporarily closed
Sm Seaside,4.5,(57),Shopping mall,,,Open until 12:00 am,(032) 412 2316,
Gingersnaps,2.0,(1),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Large shopping mall with a cinema,(032) 231 5641,Open until 12:00 am,
Cashier Office,5.0,(1),Shopping mall,"Elizabeth Mall, Natalio B. Bacalso Avenue",Mall with a food court & restaurants,(032) 417 7738,Open until 9:00 pm,Temporarily closed
Prince Warehouse,3.7,(26),Shopping mall,664 A. C. Cortes Ave,"Clothing, food & housewares stores",(032) 346 7118,Open until 7:00 pm,
Ayala Central Bloc Cinema,4.3,(94),Shopping mall,,Shopping mall with casual eateries,Open until 9:00 pm,0917 711 4196,Closed today
ayala mall,3.8,(24),Shopping mall,Gil Tudtud St,Compact & mellow shopping mall,Open until 9:00 pm,0935 935 2079,
Terranova,5.0,(2),Outlet mall,,,(032) 262 6526,Open until 9:00 pm,Temporarily closed
City Wing,4.3,(43),Outlet mall,,,(032) 231 5641,Open until 7:00 pm,Temporarily closed
Dr. Janos B. Vizcayno Bldg.,4.3,(896),Shopping mall,Gov. M. Cuenco Ave,Modest retail complex with shops & food,Open until 8:00 pm,(032) 411 1610,
Nike Women,3.5,(19),Shopping mall,"Ground Floor, Expansion Mall, Bohol Avenue, Ayala center",,(032) 233 6336,Open until 9:00 pm,
BENEFIT COSMETICS STORE,3.0,(1),Shopping mall,,,Open until 9:30 pm,(032) 344 1727,
Watsons Gaisano Grand Mall Mandaue,4.0,(1),Health and beauty shop,A. Del Rosario St,,0917 843 1286,Open until 9:00 pm,
NORTH ZION CENTRALE MANDAUE,3.5,(4),Shopping mall,H Abellana,"Retail plaza with eateries, gym & market",Open until 10:00 pm,(032) 231 5641,Closed
Miniso,4.3,(218),Shopping mall,"Sm City Cebu, 2nd floor, Juan Luna Ave Ext",,(032) 262 7777,Open until 9:00 pm,Closed
MCA Arcade,3.4,(22),Shopping mall,,"Shopping venue with stores, eats & films",(032) 231 5641,Open until 5:00 pm,
Island Center Mall,3.9,"(1,047)",Shopping mall,Mactan Marina Mall,Trendy mall with familiar offerings,Open until 8:00 pm,(032) 260 7888,
Starmall,3.9,(966),Shopping mall,N Bacalso,,(032) 491 3732,Open until 10:00 pm,Temporarily closed
Ceylanka Trading,4.0,(4),Shopping mall,Robinsons Cybergate,Bustling department store with eateries,Open until 5:00 pm,(032) 417 7738,Temporarily closed
Maldita Bleach Cebu Main,4.3,(3),Shopping mall,Urban deca homes,Bustling department store with eateries,0919 324 9927,Open until 6:00 pm,Closed
Asia Pacific Safety & Industrial Supply Inc- Jaro Branch,3.9,(179),Shopping mall,#10 Commission Civil corner Jalandoni St,,(033) 508 1899,Open until 10:00 pm,Temporarily closed
The Pork Shop,4.4,(10),Shopping mall,969 V Rama Ave,,(032) 261 4261,Open until 7:00 pm,
Gaisano Grand Mall Jai Alai,3.5,(2),Shopping mall,"Jai Alai, Candido Padilla St",Large shopping mall with a cinema,(032) 262 0624,Open until 8:00 pm,
Mahogany Place,3.9,(25),Shopping mall,Pope John Paul II Ave,Mall with a food court & restaurants,0927 545 3988,Open until 10:00 pm,Temporarily closed
Verve Point,4.3,(3),Shopping mall,Banilad Rd,"Clothing, food & housewares stores",Open until 7:00 pm,(032) 346 7118,
PUFF HARD VAPE SHOP,4.3,(94),Shopping mall,R. Duterte St,Shopping mall with casual eateries,0905 485 1865,Open until 9:00 pm,Closed today
Shoping mall,3.8,(24),Shopping mall,,Compact & mellow shopping mall,Open until 9:00 pm,0935 935 2079,
Poof,5.0,(2),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",,(032) 231 5641,Open until 9:00 pm,Temporarily closed
Virtual assistant Philippines agency - call center Philippines - BPOSeats.com Serviced Offices (CentralBloc Ayala Mall),4.5,(4),Shopping mall,V. Padriga St Central Bloc Mall) - 11th Floor,,0915 950 7909,Open until 7:00 pm,Temporarily closed
Neck and Neck,4.3,(896),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Modest retail complex with shops & food,(032) 231 5641,Open until 8:00 pm,
Orly Nail Polish Depot,3.5,(19),Shopping mall,"w2, Hernan Cortes St",,Open until 9:00 pm,(032) 233 6336,
Pull & Bear @2floor,4.5,(2),Outlet mall,"Ayala Center, 176 Archbishop Reyes Ave",,(032) 344 1727,Open until 9:30 pm,Temporarily closed
Play town,4.0,(1),Shopping mall,Gorordo Ave,,Open until 9:00 pm,0917 843 1286,
"Regalos de Cebu, Inc",4.0,(2),Shopping mall,"6000, 2877 V Rama Ave","Retail plaza with eateries, gym & market",(032) 231 5641,Open until 6:00 pm,Closed
GAISANO COUNTRY MALL - GENSET AREA,4.3,(218),Shopping mall,,,Open until 9:00 pm,(032) 262 7777,Closed
Administration And Entrance Guard Office,5.0,(1),Shopping mall,"Elizabeth Mall, Leon Kilat Street, corner Sanciangko Street","Shopping venue with stores, eats & films",(032) 417 7738,Open until 5:00 pm,
Sophie Paris,3.0,(1),Shopping mall,"ZOMER BUILDING,, 933 V Rama Ave",Trendy mall with familiar offerings,0908 557 7262,Open until 8:00 pm,
GRACELAN JUNKSHOP,5.0,(2),Shopping mall,"Ayala access road (axis), Sorsogon Rd",,0999 741 6342,Open until 10:00 pm,Closed today
SK Building,3.0,(1),Shopping mall,"948 6045, Bulacao Bridge",Bustling department store with eateries,Open until 5:00 pm,(032) 417 7738,Temporarily closed
Clarkiee Autosales Cebu,5.0,(3),Shopping mall,Unnamed Road,Bustling department store with eateries,0998 958 4470,Open until 5:00 pm,Closed
Tinky Winky store,3.9,(179),Shopping mall,339 A. Del Rosario St,,0999 584 6325,Open until 10:00 pm,Temporarily closed
S&R Membership Shopping,4.3,"(1,463)",Shopping mall,168 Ouano Avenue,,(032) 238 9998,Open until 9:00 pm,
White Gold Club,3.9,(199),Shopping mall,A. Soriano Ave,Large shopping mall with a cinema,(032) 415 7081,Open until 9:00 pm,
Diaper Factory Outlet,4.0,(3),Outlet mall,969 V Rama Ave,Mall with a food court & restaurants,0927 545 3988,Open until 10:00 pm,Temporarily closed
Mountain Wing,4.4,(70),Outlet mall,,"Clothing, food & housewares stores",(032) 346 7118,Open until 7:00 pm,Temporarily closed
One Pacific Square,3.4,(12),Shopping mall,"One Pacific Residence, Newtown Blvd",Shopping mall with casual eateries,Open until 9:00 pm,0905 485 1865,Closed today
Bosch Design Center (Home Appliances),5.0,(1),Shopping mall,A. S. Fortuna St,Compact & mellow shopping mall,(032) 418 1083,Open until 6:00 pm,
"Work Experts and Allied Services, Inc - NORTHSIDE BUSINESS HUB Bldg.",3.0,(1),Shopping mall,"G. Lopez Jaena corner A.P. Cortes streets, Tipolo, Mandaue City, Lopez Jaena St",,0917 530 9798,Open until 9:00 pm,Temporarily closed
Gibrose General Merchandise Cebu Branch,4.0,(1),Shopping mall,"1B Unit Ground Floor, VSC Building Hernan Subangdaku, Mandaue City",,(032) 231 5536,Open until 5:30 pm,Temporarily closed
Samsung j7 pro,4.3,(896),Shopping mall,Gaisano Grand Fiesta Mall Back Road,Modest retail complex with shops & food,0909 459 5474,Open until 8:00 pm,
Vans (Footwear),3.5,(19),Outlet mall,"GF level Ayala Centet, 6000 Cardinal Rosales Ave",,(032) 233 6336,Open until 9:00 pm,Temporarily closed
"Trans-Asia Shipping Lines, Inc Pier 4 Sales Office",5.0,(1),Shopping mall,,,Open until 9:30 pm,(032) 344 1727,Temporarily closed
Qfuzz.com,4.0,(1),Shopping mall,194 Katipunan St,,(032) 266 6043,Open until 9:00 pm,
Consolacion Public Market,3.9,(526),Shopping mall,V & G st,"Retail plaza with eateries, gym & market",(032) 564 3758,Open until 6:00 pm,Closed
Cube Wing,4.0,(4),Outlet mall,,,0906 079 6252,Open until 9:00 pm,Temporarily closed
Albura Water Refilling Station,3.7,(15),Shopping mall,40 L. Flores St,"Shopping venue with stores, eats & films",0923 183 5569,Open until 5:00 pm,
The Eden,3.9,(13),Shopping mall,Pelaez St,Trendy mall with familiar offerings,Open until 8:00 pm,0908 557 7262,
"Prepper's Point Tactical, Rescue and Outdoor Gear (APM Branch)",5.0,(2),Shopping mall,,,(032) 324 0895,Open until 9:00 pm,Closed today
Dok-Apo Outlet,3.6,(13),Outlet mall,,Bustling department store with eateries,(032) 417 7738,Open until 5:00 pm,Temporarily closed
"Globe Gcash - Globelines Payments and Services Centers, SM",3.0,(16),Shopping mall,"2nd Floor SM City Cebu, North Reclamation, Cebu City, Cebu",Bustling department store with eateries,(032) 412 8979,Open until 11:00 pm,Closed
Insular Square,4.2,(11),Shopping mall,North Road,,(032) 346 8824,Open until 10:00 pm,Temporarily closed
Tint Muh Ride,4.3,"(1,463)",Shopping mall,158 R. Landon Ext,,0923 337 3777,Open until 9:00 pm,
Niña's Anything for Sale,3.9,(199),Shopping mall,,Large shopping mall with a cinema,0916 515 4123,Open until 9:00 pm,
Cebu Pasalubong Centre,4.0,(4),Shopping mall,"Mactan Marina Mall, Quezon National Highway",Mall with a food court & restaurants,(032) 341 4731,Open until 10:00 pm,Temporarily closed
Belmont One,4.3,(9),Shopping mall,,"Clothing, food & housewares stores",0977 808 8000,Open until 7:00 pm,Temporarily closed
mandaue branch,3.4,(12),Shopping mall,"727 A A.S.Fortuna,Mandaue City, 6014 A.S.Fortuna",Shopping mall with casual eateries,Open until 9:00 pm,0905 485 1865,Closed today
Jes Bicycle,5.0,(4),Shopping mall,sangi street,Compact & mellow shopping mall,(032) 462 1256,Open until 6:15 pm,
REVA Footwear,3.0,(1),Outlet mall,"The Outlets at Pueblo Verde, MEZ II",,0917 530 9798,Open until 9:00 pm,Temporarily closed
Gaisano Grand Mall Liloan,4.0,(1),Shopping mall,National Highway,,(032) 236 7466,Open until 9:00 pm,Temporarily closed
Gaisano Grand Mall Liloan,3.8,(455),Shopping mall,Central Nautical Hwy,Modest retail complex with shops & food,0909 459 5474,Open until 9:00 pm,
Gaisano Grand Mall of Toledo,3.7,(361),Shopping mall,Antonio Y De Pio National Hwy,,0910 783 8047,Open until 8:00 pm,Temporarily closed
Tiktilaok!,2.0,(1),Shopping mall,"Robinsons Place Cebu, Fuente Osmeña Cir",,0922 825 7156,Open until 8:30 pm,Temporarily closed
Gaisano Grand Mall Toledo,2.0,(2),Shopping mall,,,(032) 467 8800,Open until 8:00 pm,
Super Metro Toledo,3.9,(211),Shopping mall,Barba St,"Retail plaza with eateries, gym & market",(032) 564 3758,Open until 8:30 pm,Closed
Gaisano Grand Mall Balamban,4.0,(225),Shopping mall,Antonio Y De Pio National Hwy,,0930 671 1356,Open until 8:00 pm,Temporarily closed
Gaisano Grand Mall Balamban,5.0,(2),Shopping mall,,"Shopping venue with stores, eats & films",(032) 465 0137,Open until 8:00 pm,
