section-result-title,section-result-details,section-result-location,section-result-info,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2
MoneyGram,Money transfer service,"1st Flr Rd, Bldg Talamban",0916 719 6072,4.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:30 pm
Coinstar Money Transfer,Money transfer service,"Metrobank, 117 Gorordo Ave",(032) 231 0712,4.0,(2),,,,
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, B. Rodriguez St",(032) 412 9328,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MoneyGram,Money transfer service,22 R. Duterte St,(048) 433 4110,5.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
MoneyGram,Money transfer service,"Gorordo Avenue Ground, Flr#74",(032) 348 9400,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
MoneyGram,Money transfer service,471 1 V Rama Ave,(048) 433 4110,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, 43 Osmeña Boulevard",(032) 412 9173,3.5,(2),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MoneyGram,Money transfer service,Gaisano Capital South,(032) 348 9400,1.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Coinstar Money Transfer,Money transfer service,"UCPB, UCPB Building, Salinas Drive, Lahug",(032) 233 2123,5.0,(1),,,,Open until 5:30 pm
MoneyGram,Money transfer service,Town Center,(032) 348 9400,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
Xpress Money,Money transfer service,"G-Xchange Inc., Globe Telecom, T-020, Level 3, Elizabeth Mall, N. Bacalso corner Leon Kilat Street",0927 420 5007,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xoom Money Transfer,Money transfer service,"Candelaria Arcade, A.C. Cortes Avenue corner S.B. Cabahug Street, Ibabao",(032) 345 0453,,,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"Metro Bank, N. Escario Street corner M. Zosa Street",(032) 255 6945,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MoneyGram,Money transfer service,"Ave. Jessever Bldg, Fuente Osmeña Cir",(032) 348 9400,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, C. Padilla Street",0918 606 3428,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Xoom Money Transfer - BPI Cebu Capitol,Money transfer service,Osmena Boulevard corner Jasmin Street,(032) 255 5095,,,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Western Union,Money transfer service,"A1 Financial Services Incorporated, Ground Floor, Albulario Building, General Maxilom Avenue",(032) 234 2677,3.0,(1),,,,Open until 9:00 pm
Coinstar Money Transfer,Money transfer service,"Cebuana Lhuillier, Bulacao Pardo",(032) 417 9611,,,,,,Open until 6:00 pm
MoneyGram,Money transfer service,694 M. L. Quezon Ave,(032) 348 9400,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Bayanihan Road, Quiot Pardo",(032) 417 9783,4.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
MoneyGram,Money transfer service,990 Gov. M. Cuenco Ave,(048) 433 4110,4.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
truemoney,Money transfer service,San Antonio,(032) 718 9999,4.0,(2),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
MoneyGram,Money transfer service,Katipunan Cor Salvador St,(048) 433 4110,5.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
TrueMoney Philippines,Money transfer service,"2nd Floor Jca Pizza Building, Salinas Drive, Lahug",(02) 7718 9999,5.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
MoneyGram,Money transfer service,229-1A N,(048) 433 4110,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Cebuana Lhuillier Pera Padala,Money transfer service,1256 M. Cuenco Ave,(032) 418 0102,,,https://www.cebuanalhuillier.com/pera-padala/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Xpress Money,Money transfer service,"Metro Bank, Magallanes Street, Barangay Ermita",(032) 254 1340,3.5,(2),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
TrueMoney Philippines,Money transfer service,Cabangcalan St.,(02) 7718 9999,1.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Katipunan St",(032) 414 8286,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Nasipit, Talamban",(032) 421 3153,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
MoneyGram,Money transfer service,33B A. S. Fortuna St,(032) 348 9400,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Trans - Fast,Money transfer service,302 Gorordo Ave,(032) 414 4954,,,http://www.transfast.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
TrueMoney Philippines,Money transfer service,100 Gorordo Ave,(02) 7718 9999,1.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Tiburcio Padilla Street corner M. J. Cuenco Avenue",(032) 415 9613,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, V Rama Ave",(032) 412 9635,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Xpress Money,Money transfer service,"China Banking Corp., CBC Building, A. S. Fortuna Street, Banilad",(032) 346 5881,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"G-Xchange Inc., Globelines Payments and Services Center, Prince Warehouse Club, Bulacao",(032) 416 3811,3.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Xpress Money,Money transfer service,"Metrobank Building, Governor M. Cuenco Avenue, Banilad Road, Banilad",(032) 346 1282,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"China Bank, JY Square Mall, Salinas Drive, Lahug",(032) 417 2122,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, 969 Vicente Rama Avenue, Guadalupe",(032) 412 9385,4.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
TrueMoney Philippines,Money transfer service,"J.Bontuyan ,Talamban",(02) 7718 9999,4.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Ria money transfer,Money transfer service,,Open until 8:00 pm,4.0,(2),,,,(032) 718 9999
Western Union,Money transfer service,"Robinsons Cybergate, Don Gil",(032) 505 8955,5.0,(1),http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Unit B 1247, Leyson Street, Talamban",(032) 412 8511,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Topaz Street, Pasil",(032) 418 3272,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
TrueMoney Philippines,Money transfer service,Gorordo Ave,(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, 265 F. Lamas Street, Punta Princesa",(032) 414 3001,3.5,(2),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
TrueMoney Philippines,Money transfer service,597-BPoblacion NAPardo (Pob.),(02) 7718 9999,1.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"Allied Bank, Machay Building, 30 Gorordo Avenue, Lahug",(032) 234 0211,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Western Union,Money transfer service,Veterans Dr,(032) 417 2775,5.0,(1),http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
TrueMoney Philippines,Money transfer service,342-A Katipunan St,(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"-Xchange Inc., Prime Asia Pawn and Jewelry Shop, 106 B. Katipunan Street, Labangon",(032) 414 8552,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"Metro Bank, PNF Commercial Building, Talamban",(032) 346 6931,1.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
TrueMoney Philippines,Money transfer service,,(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
TrueMoney Philippines,Money transfer service,"Holy Family Village 1 Mandaue,Banilad",(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Natalio Bacalso Avenue Extension, Mambaling",(032) 417 9599,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
TrueMoney Philippines,Money transfer service,Juan Luna St,(02) 7718 9999,3.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"China Bank, CBC Building, M. Velez Street corner V. Rama Avenue, Guadalupe",(032) 254 7964,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"China Bank, CBC Building, Magallanes Streetcorner Jakosalem Street",(032) 412 1877,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Cebuana Lhuillier,Money transfer service,"Gorres Lacson, Colon St",(032) 412 9206,4.0,(1),https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Xpress Money,Money transfer service,98 F. Ramos St,(032) 412 5858,4.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, 2nd Street, San Antonio Village Apas, Lahug",(032) 416 2409,4.0,(2),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Xpress Money,Money transfer service,"Michel J. Lhuillier, 411 V Rama Ave",(032) 416 6522,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
TrueMoney Philippines,Money transfer service,"76 A. Lopez St, Labangon",(02) 7718 9999,5.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
MoneyGram,Money transfer service,Tungkil,Open until 5:30 pm,5.0,(1),http://global.moneygram.com/ph/en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 418 3272
Xpress Money,Money transfer service,"Kwartagram Corporation, Metro Appliance Center, 181 Osmena Boulevard",(032) 238 1692,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Cebuana Lhuillier Pawnshop,Money transfer service,"Poblacion, Cordova",(032) 496 8035,3.5,(2),http://www.perapadala.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, Ground Floor, Cebu Hallmark Hotel, Osmeña Boulevard",(032) 416 8962,1.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
USSC Service Store,Money transfer service,"Gaisano Country Mall, Gov. M. Cuenco Ave",(032) 416 2889,5.0,(4),http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Xpress Money,Money transfer service,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, 564 F. Llamas Street, Tisa",(032) 414 5300,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
TrueMoney Philippines,Money transfer service,"Hernan Cortes Street,Subang daku",(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
M Lhuillier,Money transfer service,Katipunan St,,5.0,(1),,,,(032) 414 8552
Cebuana Lhuillier Pera Padala,Money transfer service,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",(032) 231 5342,1.0,(2),http://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Xpress Money,Money transfer service,"Michel J Lhuillier, Archbishop Reyes Avenue, Cabantan",(032) 232 1892,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Xpress Money,Money transfer service,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, N. Bacalso Avenue, Pardo",(032) 417 0071,,,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Western Union,Money transfer service,"Abella Mary ELLFN Lim BLDG, Poblacion I",(032) 417 0071,,,http://www.westernunion.com.ph/en/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"Cebuana Lhuillier Services Corporation, Pei Building, 6 Acacia Street, Barangay Camputhaw",(032) 412 9054,3.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
TrueMoney Philippines,Money transfer service,"Unit 404 ,J De Leyra St.,San Marino Residences ,Lahug",(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
TrueMoney Philippines,Money transfer service,General Maxilom Ave,(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
MoneyGram,Money transfer service,"Tabunok Administrative Bldg., 12B Toledo - Tabunok Rd",(032) 491 7298,4.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Western Union,Money transfer service,"Maria Cristina Bldg, Fuente Osmena",(032) 412 5303,3.0,(3),http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Western Union,Money transfer service,"Robinsons Fuente, T. Ramos, Fructuoso Ramos Street",(032) 412 6033,1.5,(8),,,,Open until 8:00 pm
Globe Gcash,Money transfer service,"Galleon Enterprises Telecom, 3rd Level, Robinsons Place, Fuente Osmena Avenue",(032) 412 5732,5.0,(1),,,,Open until 9:00 pm
Western Union,Money transfer service,"Park Mall, Oliano",(032) 420 9109,5.0,(1),http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
USSC,Money transfer service,"Door 3, Carvajal Building, 245 Francisco Llamas St",(032) 414 0210,5.0,(1),http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
USSC Service Store,Money transfer service,"Starmall, Natalio B. Bacalso National Highway",Open until 6:00 pm,,,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 238 1692
USSC Service Store,Money transfer service,"Worldwide Bldg., Juan Luna Ext. Corner A. Soriano St.",(032) 410 6856,3.5,(2),http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Western Union,Money transfer service,Natalio B. Bacalso Ave,Open until 6:00 pm,1.0,(1),http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 416 8962
TrueMoney Philippines,Money transfer service,"Villa Manga, Natalio B. Bacalso Ave",(02) 7718 9999,5.0,(1),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Western Union,Money transfer service,"Dumos Bldg, Junquera St",(032) 266 0807,2.3,(3),http://www.westernunion.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
Cebuana Lhullier,Money transfer service,Tupas St,(032) 418 3272,,,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Palawan,Money transfer service,Tupas St,,5.0,(1),http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 414 8552
TRUE MONEY TALAMBAN,Money transfer service,44 M. L. Quezon Ave,(032) 238 8475,1.0,(2),https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Cebuana Lhuillier Services Corporation,Money transfer service,"728 JMS Building, M. L. Quezon Street",(02) 8899 6208,,,,,,Open until 6:00 pm
TrueMoney Philippines,Money transfer service,"50 So Road,Bulacao",(02) 7718 9999,,,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Cebuana Lhuillier Pawnshop,Money transfer service,6045 Nonoc Rd,(032) 272 2684,5.0,(1),http://www.perapadala.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebuana Lhuillier,Money transfer service,Toledo - Manipis Rd,(032) 491 5881,3.0,(1),http://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Palawan Pawnshop,Money transfer service,816 Katipunan St,Open until 6:00 pm,2.0,(8),http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(02) 7718 9999
M Lhuillier,Money transfer service,"Benigno Bldg, Fuente Cirae",(032) 412 1048,,,,,,Open until 6:00 pm
M Lhuillier,Money transfer service,Cahipa St.,(032) 412 5496,3.0,(2),,,,Open until 6:00 pm
Cebuana Lhuillier,Money transfer service,"TCC Arcade, Rabaya",(032) 272 2684,3.0,(3),https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:30 pm
USSC,Money transfer service,"103, Centro Maximo, Dionisio Jakosalem St",(032) 253 7209,1.5,(8),http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Palawan Pawnshop,Money transfer service,Natalio B. Bacalso Ave,Open until 9:00 pm,5.0,(1),http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 412 5732
Palawan,Money transfer service,Natalio B. Bacalso Ave,Open until 6:00 pm,5.0,(1),http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 420 9109
LBC Express Visayas Incorporated,Money transfer service,10 Gorordo Avenue,(035) 422 8014,5.0,(1),,,,Open until 5:30 pm
Palawan Express Pera Padala,Money transfer service,"Reynes Building, Cebu South Road",0917 928 1381,,,,,,Open until 6:00 pm
