section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Cebuana Lhuillier Pera Padala,,,Money transfer service,1256 M. Cuenco Ave,(032) 418 0102,https://www.cebuanalhuillier.com/pera-padala/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
USSC Service Store,5.0,(1),Money transfer service,"Starmall, Natalio B. Bacalso National Highway",0956 764 0026,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,,,Money transfer service,"Cebuana Lhuillier Services Corporation, Bayanihan Road, Quiot Pardo",(032) 417 9783,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,2.3,(3),Money transfer service,"Cebuana Lhuillier Services Corporation, C. Padilla Street",0918 606 3428,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MoneyGram,5.0,(1),Money transfer service,Tungkil,(032) 417 9654,http://global.moneygram.com/ph/en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
M Lhuillier,5.0,(1),Money transfer service,Katipunan St,,,,,
Xpress Money,,,Money transfer service,"Metro Bank, Magallanes Street, Barangay Ermita",(032) 254 1340,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
USSC,,,Money transfer service,"Door 3, Carvajal Building, 245 Francisco Llamas St",(032) 414 0210,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mlhuillier,,,Money transfer service,Urgello Rd,(032) 254 0918,,,,
Cebuana Lhuillier,,,Money transfer service,"Gorres Lacson, Colon St",(032) 412 9206,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
M Lhuillier,3.0,(2),Money transfer service,Cahipa St.,(032) 412 5496,,,,
USSC,5.0,(5),Money transfer service,"103, Centro Maximo, Dionisio Jakosalem St",(032) 253 7209,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Arcenas Check En' Cash Services,1.0,(2),Money order service,Block 33 P. Gomez,(032) 238 3922,,,,Open until 6:30 pm
Palawan Pawnshop,2.0,(8),Money transfer service,816 Katipunan St,(032) 412 9973,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Money Gram,3.0,(1),Money order service,"C.B. I Got Bldg, G.Y. Dela Serna St",(032) 494 1402,http://www.moneygram.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
M Lhuillier,,,Money transfer service,"Benigno Bldg, Fuente Cirae",(032) 412 1048,,,,
Palawan,5.0,(4),Money transfer service,Tupas St,(032) 416 2889,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebuana Lhuillier,3.0,(3),Money transfer service,Toledo - Manipis Rd,(032) 491 5881,http://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebuana Lhuillier Pawnshop,,,Money transfer service,"Poblacion, Cordova",(032) 496 8035,http://www.perapadala.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Bayad Center,5.0,(1),Money transfer service,Camella Road,(032) 511 6010,http://www.bayadcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebuana Lhuillier Pera Padala,1.0,(2),Money transfer service,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",(032) 231 5342,http://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Palawan Pawnshop,5.0,(1),Money transfer service,Natalio B. Bacalso Ave,0956 764 0026,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebuana Lhullier,,,Money transfer service,Tupas St,(032) 418 3272,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Palawan,5.0,(1),Money transfer service,Natalio B. Bacalso Ave,0918 606 3428,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebuana Lhuillier,5.0,(1),Money transfer service,"TCC Arcade, Rabaya",(032) 272 2684,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:30 pm
Cebuana Lhuillier Pawnshop,5.0,(1),Money transfer service,6045 Nonoc Rd,(032) 272 2684,http://www.perapadala.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mlhuillier,1.0,(1),Money transfer service,Laray,(032) 238 8574,,,,
Palawan Express,3.9,(7),Money transfer service,22 R. Duterte St,(032) 414 0210,http://palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:30 pm
Palawan Express Pera Padala,,,Money transfer service,"Reynes Building, Cebu South Road",0917 928 1381,,,,
Foreign Exhange,,,Money order service,Basak-Sisi-Agus Rd,(032) 268 2780,,,,
Money Changer,3.0,(2),Money order service,Marigondon Road,(032) 520 6602,,,,
Alchor Forex,5.0,(5),Money order service,"City Mall, V & G Building",(032) 513 7590,,,,Open until 5:00 pm
Palawan Pawnshop,5.0,(2),Money transfer service,Gorordo Ave,(032) 263 3408,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
AGPC Money Changer,2.0,(8),Money order service,"Ground Floor, Mactan Marina Mall, MEZ 1, Ibo, Lapu-Lapu City, Cebu",(032) 495 4907,,,,
Miles 'N Memories,3.0,(1),Money transfer service,"New Market Building, N. Bacalso Avenue, Pardo",0915 951 4507,https://miles-n-memories-travel-services.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:30 pm
Palawan Express Pera Padala,5.0,(1),Money transfer service,"Marcian Building, Tabunok",0917 928 1381,http://palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Pinoy Got Dollars,5.0,(4),Money transfer service,Cebu City,0922 867 3612,,,,
LBC EXPRESS,1.0,(1),Money transfer service,"GROUND FLOOR (GF-21) ONE PAVILION MALL, R. Duterte St",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
LBC EXPRESS,,,Money transfer service,GROUND FLOOR GAISANO CAPITAL TISA,(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
LBC EXPRESS,2.3,(3),Money transfer service,"G/F SHOPWISE, SOUTH ROAD",(02) 8858 5999,https://www.lbcexpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
USSC Western Union,1.0,(2),Money transfer service,"USSC Western Union, Arellano Street, Barangay Poblacion, Argao",(032) 485 8080,https://locations.westernunion.com/ph/cebu/argao/ce14398f728f1474a0739db785d255cb,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
H Lhullier,5.0,(1),Money order service,Carlos P. Garcia Ave,0956 764 0026,,,,
