section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Petron,5.0,(1),Gas station,Francisco Llamas St,(032) 266 9061,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.4,(13),Gas station,Katipunan St,(02) 878 8888,,,,Open until 11:30 pm
Petron,4.2,(5),Gas station,,(032) 231 4274,,,,
Caltex,4.3,(40),Gas station,47 F. Cabahug St,(032) 233 0126,http://www.caltex.com/ph,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Shell,4.1,(12),Gas station,Lopez Jaena St Mc Briones Ave Brgy,(032) 239 1085,https://find.shell.com/ph/fuel/11911008-sh-nb-mcbriones-mandaue,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Caltex,3.0,(1),Gas station,"Katipunan Street, Barangay Labangon, Cebu City, Cebu",(032) 262 8277,https://www.caltex.com/content/caltex/ph/en.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Modern Gas,4.3,(51),Gas station,B. Rodriguez St,(032) 256 0432,,,,
Shell,4.2,(17),Gas station,"Gov. M. Cuenco Avenue Nasipit, Talamban Road",(032) 318 3087,https://find.shell.com/ph/fuel/10022049-sh-j-panis-usc,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Caltex,3.8,(70),Gas station,"Gov. M. Cuenco, Cor A. S. Fortuna St",(032) 346 9556,http://www.caltex.com/ph/?utm_source=Google&utm_medium=Map&utm_content=Caltex-Banilad&utm_campaign=GMAP_Philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Phoenix Petroleum,3.5,(2),Gas station,,0917 322 5268,,,,
Petron,5.0,(2),Gas station,M. Logarta Ave,0917 304 0060,,,,Open until 11:00 pm
Shell,3.4,(14),Gas station,"Cebu South Road, Lawaan",0922 828 7881,http://www.shell.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Jetti,3.3,(6),Gas station,V Rama Ave,(02) 3266 9824,,,,
Easy Gas Convenience Station Talisay,4.2,(5),Gas station,"Cebu South Coastal Road, Cansojong, Talisay City, Cebu",,,,,
Flying V,3.5,(2),Gas station,,,,,,
Petron,3.0,(1),Gas station,Gov. M. Cuenco Ave,(032) 233 6069,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Diatoms Fuel - Tisa,4.3,(3),Gas station,654 Katipunan St,(032) 239 0622,,,,Open until 11:00 pm
Shell,5.0,(1),Gas station,Tagunol St,(032) 417 2677,,,,
Diatoms Fuel,3.7,(6),Gas station,41 Kabajar Rd,,,,,
Petron,4.4,(11),Gas station,Natalio B. Bacalso Ave,(032) 272 4497,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Caltex,3.8,(12),Gas station,Pope John Paul 2 Ave,0977 120 8918,http://www.caltex.com/ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.2,(18),Gas station,M. L. Quezon Ave,(032) 520 5770,https://find.shell.com/ph/fuel/12097682-sh-quezon-mguikay-mandaue,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:30 pm
Caltex,4.3,(7),Gas station,Magallanes St. Cor. Climaco St.,(032) 256 2321,https://www.caltex.com/ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
Shell,3.1,(20),Gas station,82 V Rama Ave,(02) 878 8888,https://find.shell.com/ph/fuel/10022025-sh-v-rama-calamba-cebu-coss,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Shell,3.9,(14),Gas station,Mandaue Causeway Ouano Hi Waynorth Reclamation Area,(032) 344 7835,https://find.shell.com/ph/fuel/10050962-sh-ouano-ave-north,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Caltex gasoline,3.0,(1),Gas station,113 Gov. M. Cuenco Ave,(032) 262 8277,,,,Open until 10:00 pm
Petron Station,4.5,(4),Gas station,"South Road, Natalio B. Bacalso Ave, (after Soco Building)",(032) 256 0432,,,,
Petron,3.7,(49),Gas station,Gov. M. Cuenco Ave,(032) 318 3087,,,,Open until 5:00 pm
Petronas Lubricants Station,3.7,(3),Gas station,M. L. Quezon Ave,(032) 346 9556,,,,
Phoenix,4.0,(3),Gas station,Alcantara & M. Bacalso,(032) 401 2937,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Total (Basak),3.8,(19),Gas station,"Cebu South Road, cor Macopa St",0925 559 2380,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Caltex,4.0,(1),Gas station,Colon St,0922 828 7881,,,,Open until 9:00 pm
Energy Gas Express,3.3,(6),Gas station,"Cebu South Road, corner Macopa Street, San Nicolas, Basak",(032) 414 1688,,,,
Phoenix,3.3,(7),Gas station,M. L. Quezon Ave,,,,,Open until 10:00 pm
Junel Alex Quinto,3.5,(2),Gas station,,0942 188 6080,,,,
Caltex,3.7,(3),Gas station,M. J. Cuenco Ave,(032) 253 7964,https://www.caltex.com/ph/en.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Fuel Depot Provincial General Services Office,4.3,(3),Gas station,,(032) 239 0622,,,,Open until 11:00 pm
Petron,5.0,(1),Gas station,,(032) 417 2677,,,,Open until 8:00 pm
Caltex,4.0,(39),Gas station,1074 Cebu S Rd,,https://www.caltex.com/ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Auto Gas,3.6,(5),Gas station,6065 Provincial Hwy,(032) 272 4497,,,,Open until 11:00 pm
Petron,4.3,(8),Gas station,,0977 120 8918,,,,
Star Oil,3.0,(2),Gas station,,(032) 520 5770,,,,Open until 11:30 pm
Petron,3.7,(23),Gas station,49 F. Cabahug St,(032) 318 5429,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
Petron,4.4,(25),Gas station,Katipunan St,(02) 878 8888,,,,Open until 10:00 pm
Seaoil,3.7,(18),Gas station,,(032) 344 7835,https://www.seaoil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Petron,3.9,(7),Gas station,975 V Rama Ave,(032) 262 8277,,,,Open until 9:00 pm
J & C,4.5,(4),Gas station,Highway,(032) 272 1995,,,,
Shell,4.0,(1),Gas station,"J Luna Ave, Corner Arca St",0922 831 8882,https://find.shell.com/ph/fuel/10022054-sh-juan-luna-arca-cebu-doss,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Petron,4.1,(14),Gas station,728 M. L. Quezon Ave,(032) 268 3351,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Star Oil,3.5,(6),Gas station,Gov. M. Cuenco Ave,(032) 401 2937,,,,
Phoenix Cabancalan-Maguikay,2.0,(2),Gas station,M. L. Quezon Ave,0917 823 3113,,,,Open until 10:00 pm
JKS,3.3,(4),Gas station,,0922 828 7881,,,,Open until 9:00 pm
Sky Raindrops Refilling Station,5.0,(1),Gas station,53 Buhisan Rd,(032) 414 1688,,,,
1st AutoGas,3.9,(34),Gas station,R. Duterte St,,,,,Open until 10:00 pm
Petron,4.5,(4),Gas station,Gov. M. Cuenco Ave,(032) 233 5267,,,,
Shell,4.0,(1),Gas station,"FF Cruz Ouano Avenue , North Reclamation Area , 6014 Mandaue City , Cebu",(032) 420 9066,http://www.shell.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Total,4.3,(3),Gas station,Macopa St,(032) 261 9235,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Shell,5.0,(1),Gas station,"Sergio Osmeña Jr Boulevard Mcarthur Ave Cor, Tiburcio Padilla St",0917 322 5268,https://find.shell.com/ph/fuel/10022015-sh-s-osmena-t-padilla,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Caltex,5.0,(5),Gas station,T.Padilla cor MJ Cuenco Ave.,(032) 233 0227,http://www.caltex.com/ph/?utm_source=Google&utm_medium=Map&utm_content=Caltex-T.-Padilla&utm_campaign=GMAP_Philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Caltex,3.6,(5),Gas station,"Mango Avenue, Cebu City, Cebu",(032) 254 2237,https://www.caltex.com/content/caltex/ph/en.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Petron,4.3,(10),Gas station,Toledo - Manipis Rd,(032) 268 2112,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
New Ventures Shell Station - Bulacao,4.0,(7),Gas station,Natalio B. Bacalso Ave,(032) 273 2145,https://find.shell.com/ph/fuel/10022056-sh-bacalso-siga-bulacao,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:30 pm
Petron,3.7,(7),Gas station,Sergio Osmeña Jr Boulevard,(032) 318 5429,,,,Open until 12:00 am
Petron LPG Refilling Station,4.4,(25),Gas station,,(02) 878 8888,,,,Open until 10:00 pm
Seaoil,3.7,(18),Gas station,Natalio B. Bacalso Ave,(032) 344 7835,,,,
1st AutoGas,4.1,(19),Gas station,1256 M. Cuenco Ave,(032) 417 2677,,,,Open until 9:00 pm
Caltex,4.0,(5),Gas station,Magallanes cor MJ Cuenco St,(032) 253 7938,http://www.caltex.com/ph/?utm_source=Google&utm_medium=Map&utm_content=Caltex-Magallanes-/-MJ-Cuenco&utm_campaign=GMAP_Philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.6,(10),Gas station,Cebu S Rd Lawaan,(02) 878 8888,https://find.shell.com/ph/fuel/10022062-sh-llamas-lawaan-talisay-coss,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Jetti,3.8,(4),Gas station,S Cabahug,(032) 260 3489,http://jetti.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.0,(3),Gas station,"1256 Natalio B. Bacalso Ave
Kinasang-an , Pardo Natalio B. Bacalso Ave",(032) 263 5231,http://www.easygas.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
VALVOLINE Distributor In Cebu,2.0,(2),Gas station,Lopez Jaena St,(032) 422 5402,,,,Open until 10:00 pm
Seaoil,4.3,(7),Gas station,Highway,(032) 505 2423,http://www.seaoil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Total,5.0,(1),Gas station,Cor. Osmena Ave. & F. Cabahug St.,(032) 505 7740,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Jetti Canduman,2.8,(8),Gas station,H Abellana,,,,,Open until 10:00 pm
Shell,4.5,(4),Gas station,"H Abellana Street, Pagsabungan , Canduman , 6014 Mandaue City , Cebu",(032) 422 1307,http://www.shell.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Rephil,4.0,(11),Gas station,A. S. Fortuna St,(032) 421 1937,http://www.rephil.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Pryce,2.7,(3),Gas station,N B Bacalso Ave,(032) 261 9235,http://www.prycegas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Petron,3.0,(1),Gas station,,(032) 261 7581,http://petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Phoenix Cebu City Office,3.6,(5),Gas station,"Phoenix Maguikay Gasoline Station National Highway, M. C. Briones St",(032) 236 8168,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Phoenix,4.4,(10),Gas station,H Abellana,(032) 254 2237,,,,Open until 11:00 pm
Jetti,3.3,(6),Gas station,E. Sabellano Street,(032) 268 2112,http://www.jetti.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
flying v,4.0,(7),Gas station,Candido Padilla St,(032) 273 2145,,,,Open until 11:30 pm
Rephil Station - Pardo,1.0,(1),Gas station,41 F. Gonzales St,(032) 412 2572,http://www.rephil.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
Five J's Shell Service Center,4.4,(25),Gas station,63 A. Del Rosario Street,(032) 346 7429,,,,Open until 10:00 pm
Banawa Petron Service Center,3.3,(3),Gas station,R. Duterte St,(032) 344 7835,,,,
Kyle Gas,5.0,(1),Gas station,Garces St.,(032) 417 2677,,,,Open until 9:00 pm
Smile Emission Testing Center,1.0,(1),Gas station,Plaridel Street,(032) 253 7938,,,,
CTP Gas Station,3.0,(1),Gas station,225 S.B.Cabahug,(02) 878 8888,,,,Open until 10:00 pm
MJM Filoil Gas Station,3.8,(4),Gas station,E.O. Perez St Subangdaku Mandaue City,0998 856 7056,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.0,(3),Gas station,COR B CENIZA ST,(032) 263 5231,,,,
Petron,3.8,(5),Gas station,Natalio B. Bacalso S National Hwy,(032) 422 5402,,,,Open until 10:00 pm
Mandaue Compressed,4.3,(7),Gas station,H Abellana,(02) 8268 7736,,,,Open until 9:00 pm
Orient Gas Station,5.0,(1),Gas station,,(032) 505 7740,,,,
Oriental Port and Allied Services Corporation,3.2,(5),Gas station,"Shell, Sergio Osmena Boulevard, Tiburcio Padilla Street Corner, 12 Avenue",(032) 233 0728,,,,Open until 10:00 pm
Petron,4.5,(4),Gas station,330 M. L. Quezon Ave,(032) 422 1307,,,,
PTT Gasoline Station,4.0,(11),Gas station,,(032) 421 1937,https://en.pttphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Shell,3.8,(14),Gas station,S.B.Cabahug,(032) 261 9235,,,,Open until 11:00 pm
PTT Gas Service Station,3.4,(16),Gas station,Central Nautical Hwy,(032) 261 7581,,,,Open until 8:00 pm
PTT,3.6,(5),Gas station,Mohon Rd,(032) 236 8168,,,,
Flying V,3.9,(7),Gas station,A. Del Rosario St,0975 381 6854,http://www.flyingv.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Petron,3.7,(118),Gas station,,(032) 268 2112,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Easygas Convenience Station - Centro Mandaue,5.0,(3),Gas station,A. Del Rosario St,(032) 273 2145,,,,Open until 11:30 pm
Petron,3.8,(22),Gas station,Maximo Patalinghug Jr. Ave.,(032) 341 4877,,,,Open until 12:00 am
SGD GAS STATION,4.4,(25),Gas station,,(032) 346 7429,,,,Open until 10:00 pm
Flying V,3.5,(10),Gas station,Barangay,(032) 344 7835,http://www.flyingv.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.0,(2),Gas station,U.N. Ave,(032) 236 4412,https://find.shell.com/ph/fuel/12268468-sh-un-ave-mandaue-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
1st Auto Gas,1.0,(1),Gas station,Cebu N Rd,(032) 253 7938,,,,
Caltex,3.7,(18),Gas station,208 Cebu N Rd,(032) 345 2459,http://www.caltex.com/ph/?utm_source=Google&utm_medium=Map&utm_content=Caltex-Labogon&utm_campaign=GMAP_Philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Phoenix,4.3,(16),Gas station,U.N. Ave,(032) 348 8678,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Phoenix,3.9,(8),Gas station,Poblacion,(032) 263 5231,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Pryce LPG Auto Gas,4.0,(1),Gas station,A. C. Cortes Ave,(032) 422 5402,http://www.prycegas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Delo Gasoline Station,4.0,(1),Gas station,Martin Francisco Street,(02) 8268 7736,https://www.caltex.com/ph/motorists/products-and-services/lubricants.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Seaoil,4.5,(2),Gas station,,(032) 505 7740,https://www.seaoil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.3,(4),Gas station,"Jose Rizal, Central Nautical Hwy",(032) 343 8491,https://find.shell.com/ph/fuel/10022065-sh-jose-rizal-north,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Caltex,3.5,(2),Gas station,Plaridel St,(032) 343 8937,http://www.caltex.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Total,3.4,(11),Gas station,Nat'l Hwy,(02) 8849 0972,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
United Diesel,3.8,(14),Gas station,Plaridel St,0921 749 6366,http://www.tutsea.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
"Bay Gas & Petroleum Distribution, Inc.",3.4,(16),Gas station,Central Nautical Hwy,(032) 419 1014,,,,Open until 8:00 pm
ELZ Gas Station,4.0,(2),Gas station,"Hawaiian Village, Basak-Marigondon Rd",(032) 422 8820,,,,
