section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
"ATM - UCPB Savings Bank, Incorporated",4.0,(47),ATM,"UCPB Building, Osmeña Boulevard",Open until 4:00 pm,(032) 253 1258,,,
Philippines Veterans Bank,,,Bank,Cebu Doctors Science Building Osmeña Boulevard 6000,,(032) 253 7745,https://www.veteransbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sun Savings Bank Incorporated,5.0,(2),Bank,"Ground Floor Rosalie Building, Gaisano Grand Fiesta Mall, Cebu South Road, Tabunok",Open until 4:00 pm,(032) 462 2011,http://www.sunsavings.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank of Commerce,,,Bank,Pres. Roxas St,Open until 4:00 pm,(032) 416 0813,,,
Chinabank,2.8,(6),Bank,,Open until 4:30 pm,(032) 885 5888,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UnionBank of the Philippines - Cebu Timesquare,1.0,(3),Bank,"Mantawe Avenue G/F, Time Square 2 Bldg., Brgy Tipolo",Open until 4:00 pm,(032) 353 4307,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of The Philippine Islands,5.0,(2),Bank,415 Gorordo Ave,Open until 4:00 pm,(032) 345 0680,,,
Cooperative Bank of Cebu,,,Credit union,"CBOC Bldg., G/F, 30 M. Velez St",Closing soon: 3:00 pm,(032) 254 9547,,,
Philippine Business Bank,1.0,(1),Bank,"Capitol Square, N.G. Escario St.",,(032) 491 4172,http://www.pbb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mactan Bank,2.5,(2),Bank,Candido Padilla St,Open until 5:00 pm,(032) 411 8500,,,
East West Bank Bancnet ATM,3.0,(1),ATM,22 Apitong St,Open until 4:00 pm,(032) 253 2840,http://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PNB Cebu Business Park,3.0,(2),Bank,"Unit F, Upper G/F, FLB Corporate Center, Archbishop Reyes Avenue Cebu Business Park Cebu PH 6000, Archbishop Reyes Ave",Open until 4:00 pm,(032) 234 0215,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Penbank,1.0,(1),Bank,F.Llamas St. Jct. Guadalupe Osmeña St,Open until 4:00 pm,(032) 262 3770,http://penbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Philippine SME Bank, Inc.",5.0,(1),Bank,M. L. Quezon Ave,Open until 5:00 pm,(032) 318 0357,,,
Philippines Business Bank,3.0,(2),Bank,F. Goosales,Open until 4:00 pm,(032) 253 2518,http://www.pbb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of Commerce,3.0,(1),Bank,"City Time Square 2, Mantawe Ave",Open until 4:30 pm,(032) 268 4693,,,
Union Bank,2.8,(4),Bank,"Gaisano Country Mall, Gov. M. Cuenco Ave",Open until 4:00 pm,(032) 231 2734,https://www.unionbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Banco Filipino Savings and Mortgage Bank,,,Bank,"145, Osmeña Boulevard, corner Juan Luna Avenue",,(02) 818 5151,,,
Business Bank,3.3,(7),Bank,869 A. S. Fortuna St,,(032) 345 0564,http://www.pbb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
China Bank,2.8,(4),Bank,170 M. Velez St,Open until 5:00 pm,(032) 254 1916,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
United Coconut Planters Bank,5.0,(1),Bank,General Maxilom Ave,Open until 4:00 pm,(032) 253 1258,,,
Bank of Commerce ATM,3.0,(1),Bank,"CAP Building, Osmeña Boulevard",,(02) 214 8899,,,
Bank of Commerce ATM,1.5,(2),Bank,"B. Rodriguez Street, corner Osmeña Boulevard",Open until 4:00 pm,(032) 253 1951,,,
China Bank,2.0,(1),Bank,M. L. Quezon Ave,Open until 4:00 pm,(032) 421 1364,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Security Bank,5.0,(2),ATM,"SM City Cebu Building, A. Soriano St. NRA",Open until 4:30 pm,(032) 885 5888,http://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank,1.0,(3),Bank,N Escario St,Open until 4:00 pm,(032) 254 6944,http://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Green Bank,5.0,(2),Bank,"V. Yap Bldg., F. Ramos St. Cebu City 6000",Open until 4:00 pm,(032) 253 3760,,,
Ps Bank,,,Bank,,Closing soon: 3:00 pm,(032) 254 9547,,,
BPI,3.5,(4),Bank,"Basics Centre 6000, 347 V Rama Ave",Open until 4:30 pm,(032) 254 4161,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PNB Cebu Banawa,5.0,(1),Bank,"One Pavilion Mall, R. Duterte St",Open until 5:00 pm,(032) 411 8500,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sterling Bank of Asia,2.6,(10),Bank,"Gen. Maxillom Avenue corner F. Ramos St., Cebu City, Cebu, General Maxilom Ave",Open until 5:00 pm,(032) 255 3198,http://www.sterlingbankasia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of The Philippine Islands,3.7,(3),Bank,"Boy Scout Of The Phils. Building, Tres de Abril St",Open until 4:30 pm,(032) 318 2496,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank of the Philippines Islands,1.0,(1),Bank,Gov. M. Cuenco Ave,Open until 4:30 pm,(032) 262 3770,,,
Bank of Commerce ATM,5.0,(1),ATM,"Ground Floor, University of Cebu Building, Gov. M. Cuenco Avenue",Open until 5:00 pm,(032) 231 6704,,,
PNB,3.3,(4),Bank,Paseo Saturnino,Open until 4:00 pm,(032) 253 2518,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PSBank,3.0,(3),Bank,"Gaisano Country Mall, Gov. M. Cuenco Ave",Open until 4:00 pm,(032) 268 4693,http://www.psbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UnionBank of the Philippines - CBP Sumilon,2.8,(4),Bank,"G/F, BuildComm Center, 4 Sumilon Road",Closing soon: 3:00 pm,(032) 353 4393,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Card Sme Bank,,,Bank,Cebu Transcentral Hwy,,(02) 818 5151,,,
CTBC Bank (Philippines) Corp. — Cebu-Banilad Branch,1.0,(4),Bank,"Motoworld Cebu ""The Forum"", Ground Floor, Archbishop Reyes Ave",Open until 4:00 pm,(032) 233 3308,,,
Malayan Bank,5.0,(1),Bank,"G/F La Belle Building, 157 Gorordo Ave",Open until 5:00 pm,(032) 416 3557,http://www.malayanbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of The Philippine Island,1.0,(1),Bank,M. J. Cuenco Ave,Open until 5:00 pm,(032) 520 1941,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
East West Bank,3.7,(6),Bank,W Geonzon St,Open until 5:00 pm,(032) 236 2278,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Employees Multi-Purpose Cooperative,1.5,(2),Bank,M. Velez St,Open until 4:00 pm,(032) 505 8587,,,
AUB Asia United Bank,2.0,(1),Bank,"MIT Bldg, Gorordo Ave",Open until 4:00 pm,(032) 231 5026,http://www.aub.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank of Commerce ATM,5.0,(2),Bank,"Colon Street, corner Leon Kilat Street, Downtown Area",Open until 4:30 pm,(02) 214 8899,,,
Bank of Commerce,1.0,(3),ATM,"UC Banilad, Gov. M. Cuenco Ave",Open until 4:00 pm,(032) 254 6944,,,
Philippine National Bank,5.0,(2),Bank,113 Gov. M. Cuenco Ave,Open until 4:00 pm,(032) 253 3760,,,
Chinabank,3.7,(3),Bank,"Escanio Central, N Escario St",Open until 5:00 pm,(032) 416 5860,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sun Savings Bank,5.0,(3),Bank,Fuente Osmena,Open until 3:15 pm,(032) 254 4161,http://www.sunsavings.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PS Bank Cebu I.T. Park,5.0,(1),Bank,Jose Maria del Mar St,Open until 4:30 pm,(032) 411 8500,,,
BPI,2.2,(24),Bank,"#14 Ground Floor TGU Tower, Cebu I.T. Park",Open until 4:30 pm,(032) 520 1964,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Enterprise Bank Inc.,3.7,(3),Bank,Natalio B. Bacalso S National Hwy,Open until 4:30 pm,(032) 268 9229,,,
Philippine National Bank (PNB),3.0,(2),Bank,,Open until 4:30 pm,(032) 262 3770,,,
Bank Of The Philippine Islands,5.0,(1),ATM,"The Henry, Paseo Saturnino",Open until 5:00 pm,1800 1 888 9100,,,
Eastwest,4.2,(5),Bank,National Highway,Open until 4:00 pm,(032) 491 8349,http://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Coop Bank,3.0,(3),Bank,M. Velez St,Open until 4:00 pm,(032) 268 4693,,,
Banco De Oro Savings & Mortgage Bank,2.8,(4),Bank,Sm City - Cebu,Closing soon: 3:00 pm,(032) 233 3816,,,
BDO SM City Cebu B Branch,,,Bank,"UG/F The Northwing- SM City Cebu, North Reclamation Area San Jose dela Montaña, corner M. J. Cuenco Ave",Open until 7:00 pm,(032) 231 2182,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank of Commerce,3.3,(3),Bank,"Cor. Juan Luna Blvd. & Plaridel St., Cebu City, 6000, Cebu",Open until 4:00 pm,(032) 253 3030,,,
Robinsons Bank Cebu Banilad Branch,5.0,(1),Bank,"South Arcade 102 Banilad Town Centre, Gov. M. Cuenco Ave",Open until 4:00 pm,(032) 239 1029,http://www.robinsonsbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank of Commerce,5.0,(1),Bank,985 Natalio B. Bacalso Ave,Open until 5:00 pm,(032) 520 1941,,,
Philippine Savings Bank,3.7,(6),Bank,Jose Maria del Mar St,Open until 5:00 pm,(032) 236 2278,,,
PNB Escario Branch,2.3,(3),Bank,"Capitol Square, N.G Escario St.",Open until 4:00 pm,(032) 254 0051,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eastwest Rural Bank,2.7,(3),Bank,"Business, Lopez Jaena St",Open until 5:00 pm,(032) 888 1700,http://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of Commerce,5.0,(2),ATM,"8990, Housing Development Corp, Luzon St",Open until 4:30 pm,(02) 214 8899,,,
EastWest Bank,1.0,(3),Bank,985 Natalio B. Bacalso Ave,Open until 4:00 pm,(032) 491 8348,http://www.greenbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank,5.0,(2),Bank,Gov. M. Cuenco Ave,Open until 4:00 pm,(032) 253 3760,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rizal Commercial Banking Corporation,3.5,(4),Bank,A. S. Fortuna St,Closing soon: 3:00 pm,(032) 346 3892,http://www.rcbc.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank,3.7,(6),Bank,"PNF, Commercial Bldg. Talamban, Cebu City",Open until 4:00 pm,(063) 346 6931,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
EastWest Bank,5.0,(2),Bank,"M. Velez Bridge, No. 151 M. Velez St",Open until 5:00 pm,(032) 236 0152,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Philippine National Bank,5.0,(2),Bank,"B&F Paray Bldg., Jones Ave",Open until 4:30 pm,(032) 253 0349,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eastwest Unibank,3.7,(3),Bank,"Cebu Women's Club Inc. Building, 2 B. Rodriguez St",Open until 4:30 pm,(032) 260 2381,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cbs China Bank Savings,4.5,(2),Bank,General Maxilom Ave,Open until 4:30 pm,(032) 262 3770,,,
PS Bank,5.0,(1),Bank,,Open until 5:00 pm,(032) 266 1651,http://www.psbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UnionBank of the Philippines - Cebu Fuente,2.9,(7),Bank,"Union Bank Bldg, 103 Fuente Osmeña Cir",Closing soon: 3:00 pm,(032) 353 4286,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bangko Sentral Ng Pilipinas,4.0,(1),Bank,Osmeña Blvd,Closing soon: 3:00 pm,(032) 254 1474,http://www.bsp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Security Bank,3.4,(7),Bank,#99 Osmeña Blvd,Closing soon: 3:00 pm,(032) 412 4873,https://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Katipunan Bank,2.3,(3),Bank,N Escario St,Open until 5:00 pm,(032) 233 0008,,,
Bank Of Philippine Islands,3.3,(3),Bank,T Abella St,Open until 4:00 pm,(032) 253 3030,,,
BPI Cebu Ayala Center II Branch,1.6,(13),Bank,"Ayala Center Mall, Basement 1, Luzon Ave",Open until 6:00 pm,(032) 318 3525,https://www.bpi.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Security Bank,2.5,(17),Bank,"Units 1, 2 & 3, Philam Life Center Cebu, Cebu Business Park, Cardinal Rosales Ave",Open until 5:00 pm,(032) 238 0409,https://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"UCPB Savings Bank, Incorporated",5.0,(1),Bank,"USC North Campus, General Maxilom Ave",Open until 5:00 pm,(032) 233 7566,,,
RCBC Savings Bank - Talamban,2.3,(3),Savings bank,"Ground Floor, Eco Trade Building, J Panos Street",Open until 4:30 pm,(032) 343 7993,https://www.rcbcsavings.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Robinsons Bank Cebu Osmena Branch,2.7,(3),Bank,"2ND Level Robinsons Place Cebu, Fuente Osmeña Cir",Open until 4:00 pm,(032) 253 1370,http://www.robinsonsbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Robinsons Savings Bank,5.0,(2),Bank,"1st Floor Robinsons Cybergate Cebu, Don Gil Garcia Street",Open until 4:30 pm,(032) 505 8955,,,
BPI Family Bank Auto Loans,1.0,(3),Bank,"Ayala - Life FGU Center Bldg., Mindanao Ave. Cor. Biliran Rd.",Open until 4:00 pm,(032) 231 5273,http://www.bpiautoloans.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Cebu Mango Branch,1.5,(23),Bank,General Maxilom Ave,Open until 4:30 pm,(032) 253 1755,https://www.bpi.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of Commerce,3.3,(3),Bank,M. C. Briones St,Closing soon: 3:00 pm,(032) 346 1588,,,
RNG Coastal Bank,3.7,(6),Bank,Buhisan Rd,Open until 4:00 pm,(032) 423 1018,,,
Aspac Bank,5.0,(2),Bank,,Open until 5:00 pm,(032) 236 0152,,,
Eve Savings Bank,5.0,(2),Bank,Natalio B. Bacalso Ave,Open until 4:30 pm,(032) 253 0349,,,
Philtrust Bank,3.7,(3),Bank,Osmeña Boulevard corner Llorente Street 6000,Open until 4:00 pm,(032) 254 5139,,,
PBCOM Philippine Bank Of Communication,4.0,(1),ATM,516 General Maxilom Ave,Open until 4:30 pm,(032) 262 3770,http://www.pbcom.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Country Bank,5.0,(1),Bank,Natalio B. Bacalso Ave,Open until 5:00 pm,(032) 266 1651,,,
China Bank,2.9,(7),Bank,"JY Square, 6000",Closing soon: 3:00 pm,(032) 353 4286,,,
Philippine National Bank ATM,4.0,(1),ATM,"BF Paray Building, Vicente Rama Avenue, Barangay Capitol",Closing soon: 3:00 pm,(032) 253 0349,,,
PSBank,1.0,(1),Bank,"Unit 5, The Strip, Osmeña Blvd",Open until 4:00 pm,(032) 254 7417,http://www.psbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
EastWest Bank,5.0,(2),Bank,"Cebu-Banilad G/F Unit 101 of PDI Condominium Gov. M. Cuenco Ave, corner J. Panis St",Open until 5:00 pm,(032) 232 5582,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Accord Savings Bank,3.3,(3),Bank,"038, Osmena Boulevard, corner Legaspi Street",Open until 4:00 pm,(032) 254 4970,,,
Security Bank,3.0,(1),Bank,154 Osmeña Blvd,Open until 6:00 pm,(032) 414 1052,https://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
maximo bank,2.5,(17),Bank,114 Leon Kilat St,Open until 5:00 pm,(032) 238 0409,,,
UnionBank of the Philippines - Cebu Maxilom,2.0,(4),Bank,"G/F Ong Tiak Building, General Maxilom Ave",Closing soon: 3:00 pm,(032) 353 4298,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PS BANK,2.3,(3),ATM,Mambaling,Open until 4:30 pm,(032) 343 7993,,,
China Banking Corporation,2.7,(3),Bank,"CBC Building, AS Fortuna Street",Open until 4:00 pm,(032) 416 1001,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UnionBank of the Philippines - Cebu North Drive,5.0,(1),Bank,"Ouano Avenue G/F, North Drive Center",Closing soon: 3:00 pm,(032) 353 4300,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Security Bank,1.0,(2),ATM,"Gaisano Tisa, Francisco Llamas St",Open until 4:00 pm,(032) 231 5273,http://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Robinsons Bank,3.0,(1),Bank,"Level 2, Robinsons Fuente, 6000 Fuente Osmeña Cir",Open until 4:30 pm,(032) 253 1370,https://www.robinsonsbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chinabank,3.7,(3),Bank,"Escanio Central, N Escario St",Open until 5:00 pm,(032) 416 5860,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
EastWest Bank,3.7,(6),Bank,"Asia Town, IT Park, Cebu IT Park G/F, Calyx Center, W. Ginonzon Street, corner Abad St",Open until 5:00 pm,(032) 236 0675,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Asia United Bank,5.0,(2),Bank,516 General Maxilom Ave,Open until 5:00 pm,(032) 236 0152,,,
Bank of the Philippine Islands (BPI),5.0,(1),Bank,"Cebu Holding Center, Cardinal Rosales Ave",Open until 4:30 pm,(032) 231 5743,,,
AUB Bank,3.7,(3),Bank,"6000, 2 Gorordo Ave",Open until 4:00 pm,(032) 254 5139,,,
China Bank JY Square,3.5,(2),Bank,Salinas Dr,Open until 4:00 pm,(032) 233 0977,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Land Bank,2.5,(2),ATM,"Civil Service Commision, Ecotech Rd",Open until 5:00 pm,(032) 266 1651,http://www.landbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Phil Countryside Rural Bank Incorporated,2.9,(7),Bank,A. S. Fortuna Street,Closing soon: 3:00 pm,(032) 346 0702,,,
Metrobank,2.4,(25),Bank,"Metrobank Plaza Building, Osmeña Blvd",Open until 4:00 pm,(032) 253 1364,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC Savings Bank - Talisay,2.8,(4),Savings bank,Cebu S Rd,Open until 4:30 pm,(032) 272 2701,https://www.rcbcsavings.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Robinsons Bank,5.0,(2),Bank,"G/F Robinsons Cybergate Don Gil Garcia, cor J. Llorente St",Open until 4:00 pm,(032) 236 0271,http://www.robinsonsbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
EastWest Bank,4.2,(5),Bank,"Cebu Capitol Commercial Complex Bldg, N Escario St",Open until 5:00 pm,(032) 253 9226,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of The Philippine Islands,2.0,(3),Bank,"BPI, Juan Luna Ave. Ext. Cor. J. De Veyra St.",Open until 4:30 pm,(032) 239 7262,,,
Cebu Ramos Banking Center,1.0,(1),Bank,"Ground Flr., Hilario Chu Bldg.,, 148 F. Ramos St",Open until 5:00 pm,(032) 238 0409,,,
EastWest Bank,3.9,(7),Bank,"Cebu-Fuente Osmeña G/F Cebu Women's Club Building, Fuente Osmeña Cir",Open until 5:00 pm,(032) 260 2381,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
China Bank Savings ATM,5.0,(3),ATM,"JSP Mango Realty Building, General Maxilom Avenue corner Echavez Street",Open until 4:30 pm,(032) 231 4304,,,
Penbank,2.7,(3),Bank,"ACT Mallcity, P. del Rosario St",Open until 4:00 pm,(032) 256 3912,http://www.penbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Private Bank,5.0,(1),Investment bank,"Lrdc, Bohol Ave",Closing soon: 3:00 pm,(032) 236 6780,https://www.bdo.com.ph/private-bank-home,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
