section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Ceb,5.0,(1),Parking lot,Airport Rd,,(032) 340 2486,,,,
Daniel Z. Romualdez Airport,3.6,(202),Regional airport,Airport Road,,(053) 323 6191,,,,
BADOTSCO Office - Bohol Airport Drivers And Operators Transport Service Cooperative,5.0,(1),Transportation service,"2nd floor Gie Gardens bldg, M. H. Del Pilar St",,(038) 501 0307,,,,Closing soon: 5:00 pm
"GRM International, Inc. - Cebu",4.0,(1),Freight forwarding service,"Ground Floor, Galco Building, Mactan International Airport Cargo Compex,, Lapu Lapu City, Cebu",,(032) 341 1358,http://www.grmonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
"Asiana Airlines, Inc.",3.8,(8),Airline,,,(032) 494 7645,http://ea.flyasiana.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Cebu North Bus Terminal,3.2,(102),Bus station,,,(032) 340 2736,,,,
Tugpahanan sa Camiguin,4.3,(38),Airport,,,(02) 8555 5888,,,,
Lambuanao Airport,3.3,(18),International airport,,,1800 1 110 2720,,,,Closing soon: 4:30 pm
AP Cargo Cebu Colon Branch,3.6,(66),Freight forwarding service,"Barangay Pari-An, Marijoy, Unit 102, 24 Colon St",,(032) 505 0626,http://www.apcargo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Roxas City Airport,4.0,(70),Airport,,,(036) 621 2249,,,,
South Bus Terminal,3.4,(213),Bus station,N. Bacalso Avenue,,(032) 253 3830,http://www.cebu.gov.ph/cebu-south-bus-terminal-bus-schedules/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Qatar Airways,1.0,(2),Airline,"Ground Floor, QR Pavilion, Gorordo Avenue, Lahug, Cebu City, 6000, Cebu",,(02) 8519 1888,http://www.qatarairways.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MyBus Bus Stop Parkmall,4.3,(8),Bus and coach company,,,(032) 494 0054,,,,
Pier 3 Terminal,3.7,(46),Ferry terminal,Quezon Blvd,,(032) 236 3786,,,,
Movenpick Hotel Mactan Island Cebu,4.7,(15),Bus stop,,,(032) 260 0961,,,,Open until 5:30 pm
Goldberry Suites and Hotel,3.9,(12),Bus stop,,,(034) 435 2081,,,,Opens at 8:00 am
Saferide Car Rental and Tours,4.8,(16),Car rental agency,M.L. Quezon National Highway,,0917 540 0159,http://www.saferide.ph/mactan/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Marina Mall Parking,3.9,(30),Parking lot,M.L. Quezon National Highway,Airport with nearby lodging & gaming,0922 855 5574,,,,
Quest Hotel Cebu,3.9,(16),Bus stop,,,(032) 236 4100,,,,Open until 6:00 pm
New Wastion Airport,3.7,(3),International airport,,,(032) 344 3209,http://www.transaire.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
The Bellavista Hotel,3.6,(11),Bus stop,,,(032) 340 2486,,,,
Gaisano Mactan,3.0,(2),Bus stop,,,(053) 323 6191,,,,
Nonoc Airport,5.0,(1),Airport,,,(038) 501 0307,https://airportguide.com/airport/info/RP13,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Kalibo International Airport,2.3,(628),International airport,Kalibo International Airport Access Road,,(036) 262 3264,,,,Closing soon: 5:00 pm
CITI CARS Cebu,3.9,(18),Car leasing service,"2F Unit 206, Apartelle Bldg., Vibo Place, N Escario St",,0917 716 9111,https://citicars.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
CAAP Surigao Airport,3.4,(29),Airport,Luna,,(086) 826 3898,,,,
Catbalogan City Airport,4.2,(14),Regional airport,,,0906 166 1974,http://catbalogan.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Guiuan Airport,3.3,(11),Domestic airport,,,1800 1 110 2720,,,,Closing soon: 4:30 pm
Borongan Airport,4.8,(4),Domestic airport,,,(032) 505 0626,,,,Closing soon: 5:00 pm
City Airport Terminal,4.7,(3),Airstrip,,,(036) 621 2249,http://catbalogan.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Butuan Airport,3.9,(136),Airport,Bancasi Rotunda,,(085) 341 5142,,,,
Bancasi Airport Runway,4.0,(2),Airport,,,(02) 8519 1888,,,,
Philippine Airlines - Bacolod City Ticket Office,3.5,(70),Airline ticket agency,"Old Philippine Airlines Bacolod Airport Terminal, Araneta Ave",,(034) 435 6016,https://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Shuttle Daddy,5.0,(4),Transportation service,,,0943 369 2864,https://www.shuttledaddy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Waterfront Airport Hotel & Casino Mactan,4.0,"(1,433)",4-star hotel,,High-end airport hotel with a casino,(032) 340 4888,http://www.waterfronthotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Ayer's Lechon Airport,3.9,(12),Restaurant,"Mactan International Airport (Departure Area, Airport Arrival Rd",,(034) 435 2081,http://www.ayerlechon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am
Mactan International Airport Shuttle Service Multi-purpose Cooperative,4.8,(16),Government office,Lapu-Lapu Airport Rd,,(032) 520 2397,,,,Closing soon: 5:00 pm
Bureau of Immigration - Mactan Cebu International Airport,3.4,(36),Immigration attorney,Mactan Cebu International Airport,Airport with nearby lodging & gaming,(032) 340 0751,http://immigration.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Ninoy Aquino International Airport,3.1,"(4,783)",International airport,,Airport serving the Manila area,(02) 877 1109,http://www.miaa.gov.ph/miaa/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
GMR Megawide Cebu Airport Corporation,3.9,(8),Corporate office,MCIA,,(032) 494 9000,,,,
LOBBY LOUNGE at Waterfront Airport Hotel and Casino,3.8,(4),Cafe,"Waterfront Airport Hotel and Casino, 1 Aiport Rd",,(032) 340 4888,http://www.waterfronthotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
PNB Cebu Mactan Int'l Airport,4.0,(1),Bank,"Lower Ground, Waterfront, Mactan Airport Rd",,(053) 323 6191,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mactan-Cebu Airport Budget HoteL,4.2,(5),Hotel,,,0917 560 1718,https://www.booking.com/hotel/ph/mactan-cebu-airport-budget.en-gb.html?aid=356980;label=gog235jc-1DCAsotAFCGm1hY3Rhbi1jZWJ1LWFpcnBvcnQtYnVkZ2V0SDNYA2i0AYgBAZgBCbgBGMgBDNgBA-gBAYgCAagCBLgCmNXv7QXAAgE;sid=4a44f0c7946da58ed6a24fee721987c4;dist=0&keep_landing=1&sb_price_type=total&type=total&,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Zest Airways - Mactan Cebu,3.8,(91),Hotel,"West Wing Domestic Area, Mactan Cebu Int'l Airport, Mactan",,(032) 236 9328,http://www.mactancebuairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Hertz Cebu Airport Terminal 1 Counter,3.9,(18),Car rental agency,Mactan-Cebu International Airport,,(032) 239 5515,http://hertzphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
BDO Mactan-Cebu International Airport International Pre-Departure Terminal ATM,3.4,(29),ATM,"G/F International Pre-Departure Terminal, Mactan-Cebu International Airport Mactan-Cebu International, Airport-Departure Rd",,(086) 826 3898,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
D522 at Kiener Hills - Hotel Near Cebu Airport,3.9,(61),Hostel,Matumbo-Pusok Road,,(032) 239 6539,http://www.d522.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
BDO Mactan-Cebu International Airport Domestic Pre-Departure Terminal ATM,3.3,(11),ATM,G/F Domestic Pre-Daparture Terminal Mactan-Cebu International Airport,,1800 1 110 2720,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 4:30 pm
Mother of Perpetual Help Ticgahon Airport View Community Chapel,4.0,(2),Catholic church,,,(032) 505 0626,,,,Closing soon: 5:00 pm
Byahe Sugbo Tourist Van Rental Services - Mactan-Cebu Airport Transfers & Tours,4.7,(3),Van rental agency,"2nd Floor, 8427 Sergio Osmeña Jr Boulevard",,0917 829 5752,https://www.thecebutourist.com/cebu-private-tourist-van-hire-in-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
LH Prime Medical Clinic (Mactan Airport),4.0,(4),Medical clinic,Matumbo-Pusok Road,,0917 716 1393,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Condo Hotel near Airport with Pool,4.0,(2),Serviced apartment,"North Tower, Plaridel Street cor. UN Avenue 928, Amaia Steps",,0905 215 8206,,,,
Mactan,4.2,(216),Island,,"Small, vibrant coral island with resorts",(034) 435 6016,,,,Open until 5:30 pm
Air Philippines Ticket Office,2.8,(5),Travel agency,Pre-Terminal Building Mactan Cebu International Airport,,(032) 340 9780,,,,
"Plaza Premium Lounge Cebu (Domestic Arrival, Terminal 1)",3.9,(55),Travel lounge,"Arrival Level, Terminal 1 Mactan Cebu International Airport, Lapu-Lapu Airport Rd",High-end airport hotel with a casino,(032) 494 7817,https://www.plazapremiumlounge.com/en-uk/find/asia/philipines/cebu/mactan-cebu-international-airport/plaza-premium-lounge-cebu-arrival-level-t1?utm_source=google&utm_medium=organic&utm_campaign=mybusiness&utm_content=CEBDomArrT1,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Waterfront Hotel & Casino Cebu City,4.3,"(4,435)",4-star hotel,Salinas Dr,Grand hotel with a casino & 24/7 dining,(032) 232 6888,http://www.waterfronthotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am
Aerotel Cebu,4.1,(12),Hotel,,,(032) 494 7829,https://www.myaerotel.com/en-uk/find/asia-pacific/philippines/cebu/aerotel-cebu?utm_source=google&utm_medium=organic&utm_campaign=mybusiness&utm_content=CEB_Aero,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Haruhay Dream Resort,4.3,(119),2-star hotel,,Casual property offering European dining,,,,,
Alpa City Suites,4.1,(506),3-star hotel,,Relaxed hotel with a restaurant,,,,,
Bluewater Maribago Beach Resort,4.7,"(10,502)",4-star hotel,,Posh seaside retreat with dining & a spa,(032) 402 4100,http://www.bluewater.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Halfway House Hostel,4.0,(55),2-star hotel,,Airport serving the Manila area,(032) 383 6990,https://halfway-house-hostel-mactan-cebu-airport.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
GALCO (Ground-Air Logistics Corporation),3.5,(8),,"Mactan-Cebu International Airport, Cargo Complex, Lapu-Lapu City, Cebu",,(032) 341 2620,http://www.galcorp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Civil Aviation Authority of the Philippines (CAAP) - Mactan,4.9,(7),Federal government office,Mactan-Cebu International Airport Mactan,,(032) 340 4888,https://www.caap.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Tiara Lines,4.7,(32),Delivery service,Opon-Airport-Sangi Road,,(053) 323 6191,,,,
Philippine Airlines - Kalibo Airport Ticket Office,3.1,(18),Airline ticket agency,"Kalibo Airport Ticket Office, Pook Airport, Kalibo City, Kalibo International Airport Access Road",,(036) 262 1263,https://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Eloisa Royal Suites,4.0,(530),3-star hotel,Maximo V. Patalinghug Jr. Avenue,Laid-back hotel with dining & a pool,(032) 492 1913,https://www.eloisaroyalsuites.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Mactan Electric Company,2.5,(48),Electric utility company,Opon-Airport-Sangi Road,,(032) 341 1798,,,,Open until 7:00 pm
Gulf Air Cebu,5.0,(1),,"Unit 104 Raintree Mall, 528 General Maxilom Avenue, Cebu City, 6000, Cebu",,(032) 253 3922,http://www.gulfair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Philippine Airlines - Cebu Cargo Office,3.9,(55),,1 Airport Rd,,(032) 232 8414,https://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Uke Hub Kafe,4.3,(77),Cafe,"Stall 3 Mactan Arcade, Matumbo-Pusok Road",,(032) 255 2683,http://www.facebook.com/UkeHubKafe,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
PHLPOST Post Office,2.3,(3),Post office,Airport-Departure Rd,,(032) 505 0626,http://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
"Panalpina World Transport (Philippines), Inc. - Cebu",4.7,(3),Logistics service,"2/F Galco Building, Mactan Cebu International Airport Cargo Complex, Mactan, Lapu-Lapu City, 6015, Cebu",,(032) 341 5241,http://www.panalpina.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
