section-result-title,section-result-details,section-result-location,cards-rating-score,section-result-num-ratings,section-result-info,section-result-info 2,section-result-description
Pentax Hardware Inc,Hardware store,82 F. Gonzales St,4.0,(3),Open until 6:00 pm,(032) 255 8804,
Cebu Oversea Hardware Co. Inc.,Hardware store,3rd Ave,3.7,(6),(032) 254 2159,Open until 5:00 pm,
Cebu Young Hardware Inc.,Hardware store,Plaridel St,5.0,(1),Open until 5:00 pm,(032) 256 1251,
Crown Hardware,Hardware store,Katipunan St,4.4,(13),Open until 8:00 pm,2614168,Source for tools & supplies
Cheneka hardware,Hardware store,,5.0,(2),(032) 261 2294,Open until 5:30 pm,Source for tools & supplies
Filmon Hardware Inc.,Hardware store,"Filmon Bldg, Jakosalem St",4.3,(11),Open until 9:00 pm,(032) 253 1494,Source for tools & supplies
JCT Construction Supply,Hardware store,S. Osmeña Street,4.2,(5),Open until 5:00 pm,(032) 340 4266,
Pentax Hardware Incorporated,Hardware store,B. Benedicto Street,4.1,(9),Open until 5:30 pm,(032) 232 5934,Source for tools & supplies
Buaya Saac Mini Hardware,Hardware store,Saac 1,5.0,(1),Open until 10:00 pm,(032) 231 4392,
Handyman Do it Best Gaisano Island Mall Mactan,Hardware store,"G/F Gaisano Island Mall Mactan, M.L. Quezon National Highway",3.8,(6),Open until 6:00 pm,(032) 343 2053,
Rigid Blocks & Hardware,Hardware store,Basak-Marigondon Rd,4.0,(2),Open until 5:00 pm,(032) 340 1758,
Handyman Do it Best Grand Mall Liloan,Hardware store,"L/GF Grand Mall, Central Nautical Hwy",3.0,(3),Open until 5:00 pm,(032) 239 4886,
Cebu Eastern Hardware,Hardware store,Plaridel 1,3.0,(2),Open until 5:30 pm,(032) 256 1171,Source for tools & supplies
"Cebu Champion Hardware and Electrical Depot, Inc.",Hardware store,"11 Pres. Quirino St, Villa Aurora Subd",4.0,(2),Open until 6:00 pm,(032) 231 7139,
Cebu Young Hardware Inc.,Hardware store,Plaridel St,4.0,(7),Open until 5:00 pm,(032) 256 1251,Source for tools & supplies
"AHI Alliance Hardware, Inc.",Hardware store,"North Reclamation Area, Jose L. Briones Street",3.7,(3),Open until 5:00 pm,(032) 233 0368,
Handyman Do It Best Grand Mall Mactan,Hardware store,"G/F Grand Mall Mactan, Basak, Ibabao - Gisi - Agus Rd",4.0,(2),Open until 6:00 pm,(032) 505 8119,
Dan Enrico Corporation,Hardware store,Sudtunggan,3.9,(15),Open until 5:30 pm,(032) 495 6262,
RGS,Hardware store,Tiangue Rd Cor. Kalawisan,5.0,(2),Open until 5:00 pm,(032) 495 1801,
Cathay Hardware Inc.,Hardware store,186 Plaridel St,4.0,(7),Open until 6:00 pm,(032) 254 9908,
Mys Hardware,Hardware store,"Carbon Market, M. C. Briones Street",4.0,(3),Open until 6:00 pm,(032) 416 9993,
True Value Hardware,Hardware store,"Central Bloc, V. Padriga St",3.7,(6),Open until 11:00 pm,0998 846 6339,
Shun Lee Trading,Hardware store,221 Tiburcio,5.0,(1),Open until 5:00 pm,(032) 253 9591,
"Cebu Liberty Lumber Co., Inc",Hardware store,M. J. Cuenco Ave,2.3,(3),Open until 8:00 pm,(032) 232 2238,Source for tools & supplies
Rigid Blocks & Hardware,Hardware store,Basak-Marigondon Rd,4.0,(2),Open until 5:30 pm,(032) 340 1758,Source for tools & supplies
Winel's,Hardware store,Morocos,4.3,(11),Open until 9:00 pm,0922 253 3017,Source for tools & supplies
Kreemar Enterprises,Hardware store,"543-F, Francisco Llamas St",4.2,(5),Open until 5:00 pm,(032) 261 9790,
"Cebu Southern Hardware, Inc.",Hardware store,135 Plaridel St,4.0,(3),Open until 6:00 pm,(032) 253 4183,Source for tools & supplies
Rube Enterprises,Hardware store,V Rama Ave,5.0,(1),Open until 10:00 pm,(032) 253 3240,
Marguad,Hardware store,V Rama Ave,3.8,(6),Open until 6:00 pm,(032) 262 3922,
Bright Century Hardware,Hardware store,Natalio B. Bacalso Ave,4.0,(2),(032) 340 1758,Open until 5:00 pm,
Cebu Topstrong Hardware Supplies Inc.,Hardware store,T Abella St,3.0,(3),Open until 5:00 pm,(032) 414 4624,
TITP GENERAL MERCHANDISE,Hardware store,,5.0,(2),(032) 256 1171,Open until 5:30 pm,Source for tools & supplies
CW Home Depot,Hardware store,,1.0,(1),(032) 231 7139,Open until 6:00 pm,
Fil - Ann Enterprises,Hardware store,113-115 Plaridel St,4.0,(10),Open until 6:00 pm,(032) 254 9028,Source for tools & supplies
JK7 Enterprises,Hardware store,Ganciang St,3.7,(3),Open until 5:00 pm,(032) 421 0785,
Danfel Trading,Hardware store,Gorordo Ave,4.0,(2),Open until 6:00 pm,(032) 231 1389,
"Top Builders Enterprises, Inc.",Hardware store,"556 Englis v.Rama Ave Cebu City, Philippines",3.7,(3),Open until 5:30 pm,(032) 254 0595,
Conching's Electrical Supply,Hardware store,121 V. Gullas St.,5.0,(2),Open until 5:00 pm,(032) 253 8605,
True Value Hardware Philippines - Robinsons Galleria Cebu,Hardware store,"2nd Level, Robinsons Galleria Cebu, Gen. Maxilom Ext",3.0,(2),Open until 9:00 pm,(032) 230 7665,
Rackks Hardware,Hardware store,H Abellana,3.0,(1),Open until 5:00 pm,(032) 415 9948,
Eagle Hardware,Hardware store,"Pegasus Bldg., Hernan Cortes St",3.3,(7),Open until 5:30 pm,(032) 346 3956,
Elvic Enterprise,Hardware store,Cebu - North Coastal Rd,2.0,(2),Open until 5:00 pm,(032) 516 5602,
D & S Paramount Hardware,Hardware store,Upper Mohon,4.0,(3),Open until 5:00 pm,(032) 462 1724,Source for tools & supplies
Cabu Pacific Hardware,Hardware store,"66, B. Aranas Street, Barangay San Nicolas",5.0,(1),Open until 5:30 pm,(032) 261 4692,Source for tools & supplies
AC Sanchez Hardware,Hardware store,"J & G, H Abellana",4.3,(11),Open until 9:00 pm,(032) 420 0129,Source for tools & supplies
Mave Hardware & Industrial Supply,Hardware store,H Abellana,4.0,(3),Open until 5:00 pm,(032) 420 0402,
Lapu-Lapu Hardware,Hardware store,G.Y. Dela Serna St,2.3,(3),(032) 253 4183,Open until 6:00 pm,Source for tools & supplies
Jarius Enterprises,Hardware store,S. Osmeña Street,2.7,(3),Open until 10:00 pm,(032) 268 2872,
Cebu Atlantic,Hardware store,Lopez Jaena St,4.1,(77),Open until 6:00 pm,(032) 346 2665,
Eurotiles - Cebu Bionic Hardware Mall,Hardware store,"240 Magallanes Street, Cebu City, Cebu",4.0,(2),Open until 5:00 pm,(032) 353 1931,
Miteco Home Builders,Hardware store,National Highway,3.0,(1),Open until 5:00 pm,(032) 236 4575,
Mish Grace Hardware,Hardware store,J Labra St,3.5,(2),Open until 5:00 pm,(032) 324 3762,Source for tools & supplies
Convitec Innovative Building Products,Hardware store,"Warehouse #2, Algico Complex, Gemsville, Lahug,",3.5,(2),Open until 5:00 pm,(032) 266 9112,
GECO Hardware,Hardware store,Hipolito St,4.0,(10),(032) 254 9028,Open until 6:00 pm,Source for tools & supplies
Noble Metals and Hardware inc,Hardware store,Almasin St,5.0,(1),Open until 5:00 pm,(032) 232 9670,
Krislee Enterprises,Hardware store,Central Nautical Hwy,4.0,(8),Open until 6:00 pm,(032) 344 1458,
LR Sanchez Hardware,Hardware store,H Abellana,5.0,(1),Open until 5:30 pm,(032) 512 7064,
NICSON Hardware and Construction Supply,Hardware store,74 M. Velez St,5.0,(1),Open until 5:00 pm,0977 284 6388,
B.Benedicto & Sons Co..inc.,Hardware store,99-101 Plaridel St,4.3,(10),Open until 7:00 pm,(032) 256 2221,
Guzman Ent,Hardware store,Villalon Dr.,3.3,(4),Open until 5:00 pm,(032) 520 5060,
Katumanan Hardware Incorporated,Hardware store,901 Albaño Street,3.3,(7),Open until 5:00 pm,(032) 353 7536,
Belmont Industrial Tool Center,Hardware store,"Hi-way, GF Belmont Bldg, M. C. Briones St",4.3,(4),Open until 5:00 pm,(032) 505 0000,
B E S Pacific Hardware & Industrial Supply,Hardware store,"SBR Building, Zulueta Street, corner M.J. Cuenco Avenue",4.0,(2),Open until 5:00 pm,(032) 254 6683,Source for tools & supplies
Pit-os Hardware and General Merchandise,Hardware store,Centro,5.0,(1),Open until 5:00 pm,(032) 261 4692,Source for tools & supplies
Achiles Enterprises,Hardware store,V Rama Ave,4.3,(11),Open until 9:00 pm,(032) 416 0329,Source for tools & supplies
Dan Enrico Corp.,Hardware store,Talamban Rd,3.5,(12),Open until 5:00 pm,(032) 417 2121,
Redfinn Marine,Hardware store,G.Ouano,2.3,(3),Open until 6:00 pm,(032) 421 8127,Source for tools & supplies
Conforama Hardware,Hardware store,"Door 4 GTC Bldg. Corner Carlock St.,",2.7,(3),Open until 5:00 pm,(032) 318 5445,
Goodhope,Hardware store,"Alpa Centrum, Lopez Jaena St",3.5,(6),Open until 6:00 pm,(02) 7505 8788,
RNE Enterprises,Hardware store,Francisco Llamas St,4.0,(2),Open until 5:00 pm,(032) 261 4532,
Celine Housing Supply,Hardware store,"078, F Pacana Street, Tisa Labangon",3.0,(1),Open until 5:00 pm,(032) 261 8442,
Darco Marketing,Hardware store,F. Cabahug St,4.4,(7),Open until 5:30 pm,(032) 232 2194,Source for tools & supplies
"Federal North Hardware, Inc.",Hardware store,695 - 697 Tiburcio Padilla St,4.0,(43),Open until 5:30 pm,(032) 232 8331,
True Value,Hardware store,General Maxilom Ave Ext,4.3,(7),Open until 6:00 pm,(032) 266 1522,Source for tools & supplies
Simpor Enterprises,Hardware store,G.Y. Dela Serna St,5.0,(1),Open until 6:00 pm,(032) 341 4645,
Katipunan Viva Hardware,Hardware store,Katipunan St,4.0,(8),(032) 344 1458,Open until 6:00 pm,
"unitrade hardware and construction supply,Inc.",Hardware store,,5.0,(1),(032) 512 7064,Open until 5:30 pm,
Yan Hardware,Hardware store,,5.0,(1),0977 284 6388,Open until 5:00 pm,
Ely Trading,Hardware store,Talamban Road,4.3,(10),Open until 7:00 pm,(032) 417 6216,
Muaña Enterprises,Hardware store,L. Flores St,3.3,(4),Open until 5:00 pm,(032) 261 1611,
North Road Aluminum & General Merchandise,Hardware store,A S Fortuna Street,3.3,(7),Open until 5:00 pm,(032) 564 3300,
Melah Jayne Trading,Hardware store,M. L. Quezon Ave,4.3,(4),Open until 5:00 pm,(032) 236 5066,
Yeco Hardware,Hardware store,37 - 41 Tupas St,4.0,(2),Open until 5:00 pm,(032) 261 2201,Source for tools & supplies
VIC Enterprises,Hardware store,345 M. J. Cuenco Ave,3.4,(15),Open until 5:30 pm,(032) 232 1661,Source for tools & supplies
RR & V Enterprises,Hardware store,Nivel Hills Veterans Drive,3.0,(1),Open until 9:00 pm,(032) 260 3279,Source for tools & supplies
Cabancalan Builders & General,Hardware store,"M. L. Quezon Street, Cebu City, Cebu",4.7,(3),Open until 5:00 pm,(032) 343 6684,
DJ Niño Hardware & Junkshop,Hardware store,Don Sergio Sucio,2.3,(3),Open until 6:00 pm,(032) 422 1312,Source for tools & supplies
Cebu Atlantic Hardware - Mandaue,Hardware store,"650 Subangdaku Street, Mandaue City, Cebu",3.9,(12),Open until 5:30 pm,(032) 346 2743,
Sky Hardware Depot,Hardware store,Spolarium St,3.5,(6),(02) 7505 8788,Open until 6:00 pm,
Davao Citi Hardware Incorporated,Hardware store,"M. J. Cuenco Avenue, Barangay Labogan",1.0,(1),Open until 5:00 pm,(032) 343 9196,
Wackie Hardware,Hardware store,V. Garces,3.7,(3),Open until 5:00 pm,(032) 401 0087,
Julius Hardware,Hardware store,,4.4,(7),(032) 232 2194,Open until 5:30 pm,Source for tools & supplies
Cebu Yamaha Hardware,Hardware store,"New Cebu Coliseum Bldg, Leon Kilat St",4.0,(43),Open until 6:00 pm,(032) 256 0584,
Quadrant Marketing,Hardware store,V Rama Ave,4.3,(7),Open until 6:00 pm,(032) 254 0116,Source for tools & supplies
Ruleen Enterprises,Hardware store,320 Katipunan St,4.7,(3),Open until 6:00 pm,(032) 261 6418,
CitiHardware Cebu - Pardo,Hardware store,Nat'l Highway Bulacao,4.3,(52),Open until 8:00 pm,(032) 273 5818,
Tessie Housing Materials,Hardware store,Rizal Ave Ext.,5.0,(3),Open until 5:30 pm,(032) 272 5986,
Seawalk Trading Corporation,Hardware store,888 A. S. Fortuna St,3.0,(1),Open until 5:00 pm,(032) 346 1324,
Handyman Do it Best Gaisano Grand Mandaue North Mall,Hardware store,"2/F Gaisano Grand Mandaue North Mall National Highway, Brgy",5.0,(1),Open until 7:00 pm,(032) 417 6216,
Cebu Bolt & Screw Sales,Hardware store,Leon Kilat St,4.7,(15),Open until 5:00 pm,(032) 255 0061,
RSBQ Hardware,Hardware store,Highway,5.0,(1),Open until 5:00 pm,(032) 491 4512,
Lipata Hardware,Hardware store,Sandayong,4.3,(4),(032) 236 5066,Open until 5:00 pm,
City Price Hardware,Hardware store,San Isidro Road,3.0,(1),Open until 5:00 pm,(032) 491 7126,Source for tools & supplies
Handyman Do it Best E-mall Cebu,Hardware store,"2/F E-Mall Cebu, Leon Kilat, cor. Bacalso St",1.0,(1),Open until 5:30 pm,(032) 256 1665,Source for tools & supplies
Conching Construction Supply,Hardware store,,3.0,(1),Open until 6:00 pm,(032) 256 2303,Source for tools & supplies
CEBU KAMAYO HARDWARE Inc.,Hardware store,"Happy Valley, #+639234669525, #2420 Freedom St",4.8,(17),Open until 5:00 pm,0923 466 9525,
Cebu Bolt & Screw Sales,Hardware store,"Tci Center, Leon Kilat St",4.8,(8),Open until 5:00 pm,(032) 412 3561,Source for tools & supplies
Wellwill Enterprises,Hardware store,97 G Maracas St.,3.9,(12),Open until 5:30 pm,(032) 511 6537,
JRA Surplus,Hardware store,M. L. Quezon Ave,5.0,(1),Open until 6:00 pm,(032) 346 4517,
JLB Hardware & Construction Supply,Hardware store,,1.0,(1),(032) 343 9196,Open until 5:00 pm,
LA Prueba Enterprises,Hardware store,55-1 Cor. V. Rama And N. Bacalso Ave,5.0,(1),Open until 5:00 pm,(032) 261 1892,
Yutivo Corporation,Hardware store,10 Dionisio Jakosalem St,4.0,(4),Open until 6:00 pm,(032) 253 7261,Source for tools & supplies
"Cebu Bionic Builder Supply, Incorporated",Hardware store,,4.0,(2),Open until 5:00 pm,(032) 418 9191,
Cebu Jempin Trading,Hardware store,173 Leon Kilat St,4.3,(7),Open until 6:00 pm,(032) 254 0116,Source for tools & supplies
Wilcon Depot (Talisay),Hardware store,,4.4,(67),Open until 7:00 pm,(032) 505 2714,
Chen Enterprises,Hardware store,F. Jaca St,4.9,(8),Open until 5:00 pm,(032) 273 3554,
Nanay Bening Housing Materials,Hardware store,Lot 3 Blk 13 Archbishop Reyes Ave,5.0,(3),Open until 5:30 pm,(032) 233 3998,
Kreemar Enterprises,Hardware store,543 F Llamas,3.0,(1),Open until 5:30 pm,(032) 261 9790,
