section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"490-2 V. RAMA AVENUE GUADALUPE, CEBU CITY",Open until 9:00 pm,(032) 255 8622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"Piazza Elesia Comm'l. Bldg., Talamban",Open until 12:00 am,(032) 344 6771,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,2.0,(2),Pharmacy,V Rama Ave,,(032) 412 9112,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,5.0,(1),Pharmacy,Gov. M. Roa St,(032) 520 3608,Open until 9:00 pm,https://www.facebook.com/ThreeSixty-Pharmacy-Official-Fan-Page-300661136709388/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.5,(2),Pharmacy,170 Lopez Jaena St,Open until 12:00 am,(032) 236 9122,https://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,3.7,(3),Pharmacy,M. L. Quezon Ave,Open until 10:00 pm,(032) 513 8285,,,
KLY Pharmacy,3.0,(1),Pharmacy,Veterans Drive Cor. Salinas Drive Ext.,Open until 9:00 pm,(032) 417 0017,https://www.facebook.com/pages/KLY-Pharmacy/752364678185111,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.0,(5),Pharmacy,"GROUND FLOOR NO. 85 OSMEÑA BOULEVARD, CEBU CITY",Open until 9:00 pm,(032) 414 7273,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
new Libres Pharmacy,5.0,(1),Pharmacy,"B. Rodriguez St (fronting VSMMC), Capitol Site",,(032) 253 5363,,,
D Corners Pharmacy & General Merchandise,4.3,(3),Pharmacy,"M Velez Street, Banawa",Open until 11:00 pm,(032) 419 6604,,,
Bing Pharmacy,3.6,(5),Pharmacy,V Rama Ave,Open until 8:30 pm,(032) 422 8251,https://www.facebook.com/Bing-Pharmacy-Mandaue-Branch-165022546905725/info/?tab=page_info,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Garland Pharmacy and General Merchandise,5.0,(1),Pharmacy,"P. Cabantan Street, Mabolo, Barangay Luz",,(032) 232 4131,,,
La Nueva Pharmacy,3.0,(1),Pharmacy,Magallanes St,Open until 8:00 pm,(032) 236 7382,,,
Rye Pharmacy and General Merchandise,3.6,(5),Pharmacy,823 V Rama Ave,,(032) 254 7165,,,
Arago Pharmacy,4.0,(4),Pharmacy,T. Padillla Ext,Open until 7:45 pm,(032) 267 0053,,,
SOUTHSTAR DRUG,3.3,(4),Pharmacy,"ROBINSONS SUPERMARKET, ROBINSONS PLACE FUENTE",Open until 9:00 pm,(032) 254 2018,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,5.0,(1),Pharmacy,V Rama Ave,Open until 10:00 pm,(032) 255 9831,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Joden Pharmacy,1.0,(1),Pharmacy,39 Junquera St,(032) 340 1713,Open until 9:00 pm,,,
TGP The Generics Pharmacy,3.3,(4),Pharmacy,"Doña Luisa Building, Fuente Osmeña Cir",Open until 9:00 pm,(032) 505 7794,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,2.8,(5),Homeopathic pharmacy,,(032) 343 3622,Open until 9:00 pm,https://www.rosepharmacy.com/store-finder/rose-pharmacy-cebu-a-it-park/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
I-Ben's Pharmacy,4.5,(2),Pharmacy,"back of robinson's cybergate, Don Gil Garcia St",Open until 10:30 pm,(032) 255 6890,https://i-bens-pharmacy.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.5,(2),Pharmacy,53 J. Urgello St,Open until 12:00 am,(032) 236 9122,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ever Green Pharmacy,2.0,(2),Pharmacy,Dionisio Jakosalem Street,,(032) 231 2070,,,
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"163 URGELLO ST., CEBU CITY, CEBU",Open until 9:00 pm,(032) 520 3608,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
5th Avenue Pharmacy,3.5,(2),Pharmacy,Gonzales Compound,Open until 12:00 am,(032) 414 0595,,,
Evercare Pharmacy,3.0,(2),Pharmacy,"M. L. Quezon Street, Mandaue City",Open until 10:00 pm,(032) 344 3782,,,
The Generics Pharmacy,4.5,(2),Pharmacy,V Rama Ave,Open until 9:00 pm,0917 559 9995,http://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Marie's Pharmacy,4.0,(5),Pharmacy,"Door 15, Polytechnic, Mabini St",Open until 8:00 pm,0932 320 0598,,,
The Generics Pharmacy,5.0,(1),Pharmacy,76 Gov. M. Cuenco Ave,Open until 7:00 pm,(032) 253 5363,https://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Doctors' Choice Pharmacy - Llorente br,5.0,(1),Pharmacy,"Chong Hua Medical Arts, J.Liorente St",Open until 11:00 pm,(032) 253 9250,,,
Mega Value Drug Store,3.6,(5),Pharmacy,"117, Colomall, Osmeña Blvd",Open until 8:30 pm,(032) 412 4797,,,
Shaweh Pharmacy,5.0,(1),Pharmacy,Echavez Ext,(032) 232 4131,,,,
Rose Pharmacy,4.0,(2),Pharmacy,"One Pavillion Mall, 19-20 GF One Pavillion Mall, Duterte St. Guadalupe",Open until 9:00 pm,(032) 236 9477,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JEG Pharmacy,5.0,(2),Pharmacy,69 Francisco Llamas St,,(032) 340 1324,,,
Three Sixty Pharmacy,5.0,(3),Pharmacy,"Grand Orchard Building, N. Bacalso St Avenue",Open until 11:30 pm,(032) 262 5902,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Vgn Pharmacy,3.3,(4),Pharmacy,Greenbelt Dr,(032) 254 2018,Open until 9:00 pm,,,
Three Sixty Pharmacy,3.0,(1),Pharmacy,Tiburcio Padilla St,Open until 10:00 pm,(032) 416 7100,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"HERNAN CORTES ST., SUBANGDAKU, MANDAUE CITY, CEBU",Open until 9:00 pm,(032) 340 1713,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.3,(4),Pharmacy,"M. Diaz Bldg, Osmeña Blvd",Open until 9:00 pm,(032) 238 7673,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.0,(3),Pharmacy,"B. RODRIGUEZ COR. C. RODRIGUEZ ST., CEBU CITY",Open until 9:00 pm,(032) 343 3622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"SHOPPE NO. 102 COCO MALL, OSMEÑA BLVD. CORNER MARIA CRISTINA ST., CEBU CITY",Open until 9:00 pm,(032) 255 6890,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
R & R Pharmacy,5.0,(1),Pharmacy,H. Cortes,Open until 12:00 am,(032) 346 4030,,,
Three Sixty Pharmacy,2.0,(2),Pharmacy,,(032) 231 2070,,,,
Rose Pharmacy,3.3,(3),Pharmacy,"G/F Elizabeth Mall, cor. Leon Kilat & N. Bacalso Ave.",Open until 8:00 pm,(032) 256 3647,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kat Pharmacy,3.5,(2),Pharmacy,2939 V.H.Garces,(032) 414 0595,Open until 12:00 am,,,
TGP The Generics Pharmacy,3.0,(2),Pharmacy,NO. 47-1 Katipunan St,Open until 9:00 pm,(032) 344 3782,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Gv botica,2.0,(1),Pharmacy,Katipunan Corner Salvador St,Open until 9:00 pm,(032) 479 2301,,,
Evercare Pharmacy,4.0,(5),Pharmacy,66-72 B. Aranas St,Open until 8:00 pm,(032) 261 0951,,,
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"MARKET STALL, PIT-OS, CEBU CITY",Open until 9:00 pm,(032) 253 5363,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rayamed Pharmacy,5.0,(1),Pharmacy,M. L. Quezon Ave,Open until 11:00 pm,(032) 328 0754,,,
Purchaser's Pharmacy,2.8,(6),Pharmacy,"Brgy, 53 AS, Tabura St",Open until 8:00 pm,(032) 272 0719,,,
Midland Pharmacy,5.0,(1),Pharmacy,15 B. Rodriguez St,Open until 11:00 pm,(032) 253 5367,,,
Rose Pharmarcy,4.0,(1),Pharmacy,"GF, Robinsons Cybergate Cebu, Don Gil Garcia Corner J Llorente Street",Open until 9:00 pm,(032) 505 5921,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,1.0,(1),Pharmacy,"#215 F. LLAMAS ST., PUNTA PRINSESA, CEBU CITY",Open until 9:00 pm,(032) 340 1324,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,5.0,(3),Pharmacy,"DOOR NO. 3 SALVADOR CORNER KATIPUNAN ST., LABANGON, CEBU CITY",Open until 9:00 pm,(032) 262 5902,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.3,(4),Pharmacy,"76 NASIPIT, TALAMBAN, CEBU CITY, CEBU",Open until 9:00 pm,(032) 254 2018,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"2ND FLR., RD REALTY BLDG., TALAMBAN, CEBU CITY",Open until 9:00 pm,(032) 416 7100,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.3,(15),Pharmacy,"Robinsons Mall, Fuente Osmeña Cir",Open until 9:00 pm,(032) 253 4080,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CHG Pharmacy,3.3,(4),Pharmacy,62 Magallanes St,Open until 7:00 pm,(032) 256 1100,,,
TGP The Generics Pharmacy,4.0,(3),Pharmacy,"Reynes Bldg Colon Street, Cebu City, Cebu",Open until 9:00 pm,(032) 343 3622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,3.0,(1),Pharmacy,100 Kamuning St,(032) 255 6890,Open until 9:00 pm,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.7,(3),Pharmacy,"509 MH AZNAR ROAD, SAMBAG 1, CEBU CITY, CEBU",Open until 9:00 pm,(032) 346 4030,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Wellhouse Pharmacy and General Merchandise,2.0,(2),Pharmacy,59 Francisco Llamas St,,(032) 261 7023,,,
Phills & More Pharmacy,3.3,(3),Pharmacy,"Mango Square Mall, 06 Gen. Maxilom Avenue",Open until 8:00 pm,(032) 255 6589,,,
Rose Pharmacy,5.0,(2),Pharmacy,933 V Rama Ave,Open until 12:00 am,(032) 253 4381,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ejk Marketing Pharmacy,3.0,(2),Pharmacy,1183 Banilad Rd,(032) 344 3782,Open until 9:00 pm,,,
SOUTHSTAR DRUG,2.0,(1),Pharmacy,"ROBINSONS SUPERMARKET, G/F TALAMBAN TIME SQUARE",Open until 9:00 pm,(032) 479 2301,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mercury Drug,3.8,(10),Pharmacy,"M. Diaz Building, Osmeña Blvd",Open until 10:00 pm,(032) 254 3050,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,5.0,(1),Pharmacy,"ROBINSONS SUPERMARKET BANILAD, BANILAD TOWN CENTER",Open until 9:00 pm,(032) 239 6638,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Worldwide Pharmacy,1.0,(1),Pharmacy,"Worldwide Building, Magallanes St",Open until 11:00 pm,(032) 254 7217,,,
Purchaser's Pharmacy,4.0,(1),Pharmacy,Dacalos St,Open until 8:00 pm,(032) 272 0719,,,
MIGZ PHARMACY,5.0,(1),Pharmacy,"HIPOLITO, J Labra St",(032) 253 5367,Open until 11:00 pm,,,
Martha's Pharmacy,4.0,(1),Pharmacy,990 J. Panis Street,(032) 505 5921,Open until 9:00 pm,,,
Evercare Pharmacy,1.0,(1),Pharmacy,"6 A, GQS Plaza, Gov. M. Cuenco Ave",Open until 9:00 pm,(032) 234 6087,,,
Save Quality Generic Pharmacy,5.0,(3),Pharmacy,Francisco Llamas St,Open until 9:00 pm,(032) 505 5535,,,
Rhealife Pharmacy,3.3,(4),Pharmacy,70c Tabada St,Open until 9:00 pm,(032) 418 9997,,,
Rose Pharmacy,3.0,(1),Pharmacy,Gov. M. Cuenco Ave,Open until 9:00 pm,(032) 239 4153,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.0,(1),Pharmacy,"South Pole Pension House, V Rama Ave",Open until 9:00 pm,(032) 253 4080,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JPG Pharmacy,1.0,(1),Pharmacy,P. Cabantan,Open until 7:00 pm,(032) 232 1486,,,
Glory Pharmacy,4.0,(3),Pharmacy,120 F. Ramos St,Open until 9:00 pm,(032) 254 0795,,,
Sleepless Pharmacy,3.0,(1),Pharmacy,"Gaisano Country Mall, Camp Lapulapu Road",Open until 9:00 pm,(032) 254 6391,,,
Mercury Drug,4.7,(3),Pharmacy,Matalio B.Bacalso Ave,Open until 9:00 pm,(032) 268 2070,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.4,(11),Pharmacy,"G/F-5, Ground Floor, Gagfa I.T Center, Access road,Mabolo",Open until 11:00 pm,(032) 262 0082,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Paulino Pharmacy,5.0,(1),Pharmacy,"Paulino, 195 Vicente Gullas St",Open until 8:00 pm,(032) 254 5264,,,
Rose Pharmacy- Parkmall,5.0,(2),Pharmacy,"G/F Alfresco 4 Parkmall, Mantawi Road Brgy. Tipolo Mandaue Reclamation",Open until 10:00 pm,(032) 255 3019,https://www.rosepharmacy.com/store-finder/parkmall-1/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,1.0,(1),Pharmacy,"PDI Condominium, Gov. M. Cuenco Ave",Open until 9:00 pm,(032) 416 1799,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CHG Pharmacy,2.0,(1),Pharmacy,F. Gonzales Street,Open until 9:00 pm,(032) 256 1129,,,
Rose Pharmacy,4.0,(2),Pharmacy,"Paseo Saturnino,Luisa road",Open until 11:00 pm,(032) 564 9839,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Immanuel Pharmacy,1.0,(1),Pharmacy,P. Cabantan,(032) 239 6638,Open until 9:00 pm,,,
