section-result-title,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,cards-rating-score,section-result-num-ratings,section-result-info 2
Money Gram,Gorordo Ave,(032) 412 9973,http://global.moneygram.com/ph/en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(2),
MoneyGram,46 Osmeña Blvd,(02) 779 9800,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 10:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, 43 Osmeña Boulevard",(032) 412 9173,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.5,(2),
Sunrise Remittance,"Cebuana Lhuillier, 100 Cabantan Street, Mabolo",(032) 231 7900,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Trans - Fast,302 Gorordo Ave,(032) 414 4954,http://www.transfast.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Sunrise Remittance,"Cebuana Lhuillier, Door 1 Northeast End Building, Poblacion, Talamban",(032) 416 0046,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"Metro Bank, PNF Commercial Building, Talamban",(032) 346 6931,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,229-1A N,(048) 433 4110,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, Katipunan St",(032) 414 8286,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,"Gorordo Avenue Ground, Flr#74",(032) 348 9400,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:00 pm
truemoney,San Antonio,(032) 718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:00 pm
Sunrise Remittance,"Cebuana Lhuillier, P and EI Building, 6 Acacia Street, Barangay Camputhaw",(032) 234 1774,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Sunrise Remittance,"Cebuana Lhuillier, 539 Francisco Llamas St",(032) 414 4588,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 5:00 pm
Sunrise Remittance,J. Urgello St,(032) 255 1003,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,"1st Flr Rd, Bldg Talamban",0916 719 6072,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 6:30 pm
MoneyGram,4 Nasipit Rd,0916 719 6072,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
MoneyGram,"Ave. Jessever Bldg, Fuente Osmeña Cir",(032) 348 9400,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,22 R. Duterte St,(048) 433 4110,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 5:30 pm
Sunrise Remittance,"Cebuana Lhuillier, Canduman",(032) 422 2010,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 9:00 pm
Sunrise Remittance,"Cebuana Lhuillier, Nasipit, Talamban",(032) 345 0745,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
MoneyGram,"VR Apartelle, #575 Englis V Rama Ave",(02) 779 9800,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(2),Open until 5:30 pm
Sunrise Remittance,41 F. Ramos St,(032) 254 6264,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 10:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, Bayanihan Road, Quiot Pardo",(032) 417 9783,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.5,(2),
Sunrise Remittance,"Cebuana Lhuillier, JMS Building, 728 M.L Quezon Street",(032) 420 7181,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
TrueMoney Philippines,Cabangcalan St.,(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 6:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, C. Padilla Street",0918 606 3428,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,"Sitio Sto. Nino Salinas, Sudlon",(048) 433 4110,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 5:30 pm
Sunrise Remittance,"Cebuana Lhuillier, 969 V. Rama Avenue, Guadalupe",(032) 262 8360,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, 671-A, Poblacion, Pardo",(032) 417 9661,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,Town Center,(032) 348 9400,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:30 pm
Sunrise Remittance,"Cebuana Lhuillier, N. Bacalso Avenue Extension, Mambaling",(032) 261 8057,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, B. Rodriguez St",(032) 412 9328,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Western Union,"Robinsons Cybergate, Don Gil",(032) 505 8955,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 5:00 pm
Western Union,"Abella Mary ELLFN Lim BLDG, Poblacion I",(032) 417 0071,http://www.westernunion.com.ph/en/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MoneyGram,990 Gov. M. Cuenco Ave,(048) 433 4110,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 5:30 pm
MoneyGram,471 1 V Rama Ave,(048) 433 4110,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
TrueMoney Philippines,100 Gorordo Ave,(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 6:00 pm
TrueMoney Philippines,"J.Bontuyan ,Talamban",(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 6:00 pm
Xpress Money,"China Bank, JY Square Mall, Salinas Drive, Lahug",(032) 417 2122,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 9:00 pm
Western Union - Petnet-Jessever,"G/F Jessever Building, Fuente Osmena Boulevard, Cebu City, 6000, Cebu",(032) 232 7184,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(2),Open until 6:30 pm
Xpress Money,"Metrobank Building, Governor M. Cuenco Avenue, Banilad Road, Banilad",(032) 346 1282,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(2),Open until 5:30 pm
MoneyGram,Stall 286A Level 2 West Entry Ayala Center Mall Cebu,(032) 239 0410,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 7:30 pm
TRUE MONEY TALAMBAN,44 M. L. Quezon Ave,(032) 238 8475,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.5,(2),Open until 5:30 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, Nasipit, Talamban",(032) 421 3153,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"G-Xchange Inc., Globe Telecom, Level 3, Expansion Building, Ayala Center",0916 778 5041,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 9:00 pm
Rd Cash Padala Incorporated,P. Del Rosario Street,(032) 416 8101,,,,,,
Sunrise Remittance,"Cebuana Lhuillier, Rose Building, Tres de Abril corner A. Lopez Street, Labangon",(032) 262 1377,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 5:30 pm
TrueMoney Philippines,342-A Katipunan St,(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, V Rama Ave",(032) 412 9635,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"Cebuana Lhuillier Services Corporation, Unit B 1247, Leyson Street, Talamban",(032) 412 8511,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:30 pm
Western Union,"Gaisano Grand Mall, Gov. M. Cuenco Ave",(032) 888 1200,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(4),Open until 8:00 pm
Xpress Money,"G-Xchange Inc., Globelines Payments and Services Center, Prince Warehouse Club, Bulacao",(032) 416 3811,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"Cebuana Lhuillier Services Corporation, 969 Vicente Rama Avenue, Guadalupe",(032) 412 9385,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 5:00 pm
Xpress Money,"G-Xchange Inc., Globe Telecom, T-020, Level 3, Elizabeth Mall, N. Bacalso corner Leon Kilat Street",0927 420 5007,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
TrueMoney Philippines,Juan Luna St,(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 6:00 pm
Xpress Money,"China Banking Corp., CBC Building, A. S. Fortuna Street, Banilad",(032) 346 5881,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
Xpress Money,"-Xchange Inc., Prime Asia Pawn and Jewelry Shop, 106 B. Katipunan Street, Labangon",(032) 414 8552,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 6:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, Tiburcio Padilla Street corner M. J. Cuenco Avenue",(032) 415 9613,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 6:00 pm
Xpress Money,"Metro Bank, Magallanes Street, Barangay Ermita",(032) 254 1340,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 9:00 pm
USSC Service Store,"Gaisano Country Mall, Gov. M. Cuenco Ave",(032) 416 2889,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(4),Open until 6:30 pm
LBC Money Exchange,,(02) 8858 5999,,,,5.0,(1),Open until 9:00 pm
TrueMoney Philippines,"Hernan Cortes Street,Subang daku",(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 6:00 pm
Rd Cash Padala Incorporated,"M. Gotianuy Street, Corner Maxilom Avenue",(032) 233 5829,,,,3.5,(2),Open until 5:30 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, Natalio Bacalso Avenue Extension, Mambaling",(032) 417 9599,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, 564 F. Llamas Street, Tisa",(032) 414 5300,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 9:00 pm
Xpress Money,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, 265 F. Lamas Street, Punta Princesa",(032) 414 3001,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
TrueMoney Philippines,"76 A. Lopez St, Labangon",(02) 7718 9999,https://truemoney.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 6:00 pm
Xpress Money,"Cebuana Lhuillier Services Corporation, Topaz Street, Pasil",(032) 418 3272,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
Cebuana Lhuillier Pera Padala,1256 M. Cuenco Ave,(032) 418 0102,https://www.cebuanalhuillier.com/pera-padala/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 9:00 pm
Xpress Money,"Metro Bank, N. Escario Street corner M. Zosa Street",(032) 255 6945,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:30 pm
Xpress Money,"Allied Bank, Machay Building, 30 Gorordo Avenue, Lahug",(032) 234 0211,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(4),Open until 8:00 pm
M Lhuillier,Katipunan St,(032) 416 3811,,,,5.0,(1),
Western Union,Veterans Dr,(032) 417 2775,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:00 pm
Xpress Money,"Metro Bank, Cardinal Rosales Avenue corner Mindanao Avenue, Cebu Business Park",(032) 231 5724,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"Cebuana Lhuillier Services Corporation, 2nd Street, San Antonio Village Apas, Lahug",(032) 416 2409,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 6:00 pm
USSC Service Store,"Worldwide Bldg., Juan Luna Ext. Corner A. Soriano St.",(032) 410 6856,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
Western Union,"Dumos Bldg, Junquera St",(032) 266 0807,http://www.westernunion.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.3,(3),Open until 6:00 pm
Xpress Money,"Michel J. Lhuillier, 411 V Rama Ave",(032) 416 6522,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 6:00 pm
Western Union,"Park Mall, Oliano",(032) 420 9109,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 9:00 pm
Cebuana Lhuillier,"Gorres Lacson, Colon St",(032) 412 9206,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(4),Open until 6:30 pm
Western Union-Ebiz,,0917 834 5327,http://www.westernunion.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(5),Open until 5:00 pm
Xpress Money,"China Bank, CBC Building, M. Velez Street corner V. Rama Avenue, Guadalupe",(032) 254 7964,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(1),Open until 6:00 pm
Xpress Money,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, N. Bacalso Avenue, Pardo",(032) 417 0071,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.5,(2),Open until 5:30 pm
Xpress Money,"Metro Bank, CLC Building, F. Llamas Street, Mambaling",(032) 261 9051,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xpress Money,"Michel J Lhuillier, Archbishop Reyes Avenue, Cabantan",(032) 232 1892,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),Open until 9:00 pm
Xpress Money,"Kwartagram Corporation, Metro Appliance Center, 181 Osmena Boulevard",(032) 238 1692,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Rd Cash Padala Incorporated,"Cebu South Road, Barangay Tabunok",(032) 491 8488,,,,,,Open until 6:00 pm
MoneyGram,Tungkil,(032) 418 3272,http://global.moneygram.com/ph/en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
Western Union,Natalio B. Bacalso Ave,(032) 418 0102,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 9:00 pm
Cebuana Lhuillier Pawnshop,"Poblacion, Cordova",(032) 496 8035,http://www.perapadala.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 8:30 pm
"Globe Gcash - Green Bank of Caraga, Subangdako","Dayzon Building PSO 346/490, Lopez Jaena Street, Subangdaku",0917 802 9332,,,,4.0,(4),Open until 8:00 pm
Cebuana Lhuillier Pera Padala,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",(032) 231 5342,http://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,1.0,(2),Open until 7:00 pm
Xpress Money,"G-Xchange Inc., Prime Asia Pawn and Jewelry Shop, Ground Floor, Cebu Hallmark Hotel, Osmeña Boulevard",(032) 416 8962,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:00 pm
Palawan Pawnshop,816 Katipunan St,(032) 231 5724,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.0,(8),
ZM Money Changer,"APM Mall Building, A. Suriano St., NRA",(032) 268 2748,,,,5.0,(1),Open until 6:30 pm
Perahub,"Raintree Mall,, F. Ramos St",(032) 410 6856,http://www.perahub.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(2),Open until 6:30 pm
Western Union,,(02) 449 2973,http://locations.westernunion.com/ph/cebu/cebu/73ca5e7276a74dc1d515339490e67d67?utm_source=google&utm_medium=distrib&utm_campaign=google-distrib,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2.3,(3),Open until 9:00 pm
Globe Gcash,"Galleon Enterprises Telecom, 3rd Level, Robinsons Place, Fuente Osmena Avenue",(032) 412 5732,,,,3.0,(1),Open until 9:00 pm
RCPI (USSC),"SM City Cebu, Lower Ground Floor (Inside SM Mall),North Reclamation Area, Juan Luna Ave Ext",(032) 233 7510,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.4,(5),Open until 5:30 pm
USSC Service Store,"Starmall, Natalio B. Bacalso National Highway",(032) 412 9206,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(4),Open until 6:30 pm
Xpress Money,98 F. Ramos St,(032) 412 5858,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(5),Open until 5:00 pm
Cebuana Lhuillier Services Corporation,"728 JMS Building, M. L. Quezon Street",(02) 8899 6208,,,,1.0,(1),Open until 6:00 pm
USSC,"Door 3, Carvajal Building, 245 Francisco Llamas St",(032) 414 0210,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.5,(2),Open until 5:30 pm
Cebuana Lhullier,Tupas St,(032) 418 3272,https://www.cebuanalhuillier.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Palawan Express,22 R. Duterte St,(032) 232 1892,http://palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.9,(7),Open until 8:30 pm
Western Union - True Value Hardware Corporate (Ayala Business Park),"Unit 121, Groound Floor Ayala Business Park (Ayala Center), Bohol Avenue",(032) 188 7372,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebuana Lhuillier Pawnshop,6045 Nonoc Rd,(032) 272 2684,http://www.perapadala.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 6:00 pm
Mlhuillier,Urgello Rd,(032) 254 0918,,,,5.0,(1),Open until 6:00 pm
Palawan,Tupas St,(032) 418 0102,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Open until 9:00 pm
Bayad Center,Cebu Veterans Drive,(032) 417 2775,,,,3.0,(2),Open until 8:30 pm
USSC,"103, Centro Maximo, Dionisio Jakosalem St",(032) 253 7209,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(4),Open until 8:00 pm
