section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute,section-result-info,section-result-cost,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-separator,section-result-description,section-result-info 2
Alberto's Pizza USC Branch,4.0,(261),Pizza Delivery,"J.T. Montesclaros Bldg. 3, Pantaleon del Rosario St",Dine-in,·,Open until 3:00 am,₱,Takeaway,·,Casual pizza chain with a kids' fun zone,
Chowking,4.0,(10),Fast Food,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",Dine-in,,Open until 9:00 pm,₱,,·,,Temporarily closed
Pizza Hut Ayala Cebu,3.0,(52),Pizza,"Pizza Hut Ayala Cebu, 3rd Level Ayala Center Cebu","""Its not a fast food place so don't expect your meal immediatly but its ...""",·,Open until 10:00 pm,₱₱,,,Casual pizza chain with wide selection,Temporarily closed
RedGate Pizzeria,4.5,(51),Restaurant,7 General Echavez St,Dine-in,·,Open until 11:00 pm,,Takeaway,·,,
Jollibee,3.6,(22),Fast Food,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Dine-in,·,Open until 9:00 pm,₱,Delivery,·,Fast-food chain with Filipino flavors,Temporarily closed
Pizza Hut SM Cebu,3.7,(63),Pizza,"Pizza Hut SM Cebu, SM City Cebu, North Reclamation Area",Dine-in,,Open until 9:00 pm,₱₱,,·,Casual pizza chain with wide selection,Temporarily closed
Ngohiong Express,3.8,(12),Takeout Restaurant,V Rama Ave,Dine-in,·,Open until 5:00 pm,,Takeaway,·,Iconic fast-food burger & fries chain,
Muvanz Pocherohan And Seafoods,4.1,(409),Takeout Restaurant,"Century Plaza Complex, Juana Osmeña St",Dine-in,·,Open until 7:00 pm,₱,Takeaway,·,Iconic fast-food burger & fries chain,Temporarily closed
Dimsum Break,4.2,(43),Dim Sum,139 Colon St,Dine-in,·,Open until 9:00 pm,₱₱,Delivery,·,Fast-food chain with Filipino flavors,Temporarily closed
Manila Foodshoppe,4.0,(265),Filipino,Manalili St,Dine-in,·,Open until 8:00 pm,₱₱,Delivery,·,Fast-food chain with Filipino flavors,
Maxs Restaurant,4.0,(33),Filipino,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Dine-in,·,Open until 9:00 pm,₱₱,,,Chain eatery for Filipino fried chicken,
Empty P Street,3.6,(49),Pizza Delivery,Sitio Kawayanan,Dine-in,·,Open until 5:00 pm,,,,Iconic fast-food burger & fries chain,
Jollibee Robinsons Cybergate,4.2,(40),Fast Food,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Dine-in,·,Open until 9:00 pm,₱,,,Fast-food chain with Filipino flavors,
Master Po,4.3,(38),Restaurant,,Dine-in,·,Closing soon: 2:00 pm,,,,Iconic fast-food burger & fries chain,
Albertos Pizza,4.1,(151),Pizza Delivery,"A.C Cortes Ave., (former pocherohan), Mandaue City, 6014, Cebu",Dine-in,·,Open until 1:00 am,,Takeaway,·,Fast-food chain for pizza & pasta,
Greenwich,3.2,(27),Pizza,"Level 1 Elizabeth Mall L. Kilat Street, Corner Natalio B. Bacalso Ave",Their website mentions,·,Open until 8:00 pm,₱₱,food delivery,,Iconic fast-food burger & fries chain,
Bayadpo Delivery And Services,3.8,(61),Fast Food,"Corner Plaridel Street, Ac Cortes Avenue",Dine-in,·,Open until 4:00 pm,,,,Casual pizza chain with wide selection,
Jollibee,3.8,(63),Fast Food,Colon St,Dine-in,·,Open until 11:00 pm,₱,Delivery,·,Fast-food chain with Filipino flavors,
Big Mao,3.7,(62),Chinese,2nd Floor The Terraces Ayala Center Cebu Archbishop Reyes Ave Cebu Business Park,Dine-in,·,Open until 11:00 pm,,,,Iconic fast-food burger & fries chain,
KFC F. Cabahug,3.8,(258),Restaurant,F. Cabahug St,Dine-in,·,Open until 9:00 pm,₱,Delivery,·,Fast-food fried chicken chain,
Helen's Native Lechon,4.3,(19),Food producer,Gov. M. Cuenco Ave,Dine-in,,Open until 3:00 am,,,·,Casual pizza chain with a kids' fun zone,
Mang Inasal,3.8,(31),Fast Food,"E-Mall, N. Bacalso Cor. Leon Kilat St.",Dine-in,·,Open until 8:00 pm,₱,,,,Temporarily closed
Persian Palate,4.1,(273),Persian,"Active Zone, Ayala Center Cebu, Archbishop Reyes Ave","""Its not a fast food place so don't expect your meal immediatly but its ...""",·,Open until 7:00 pm,₱₱,,,Casual pizza chain with wide selection,Temporarily closed
Pizza Hut,2.5,(29),Pizza,"Gaisano Country Mall, Gov. M. Cuenco Ave",Dine-in,·,Open until 9:00 pm,₱₱,Delivery,·,Casual pizza chain with wide selection,
World Pizza,3.4,(5),Pizza,Gorordo Ave,Dine-in,·,Opens at 4:00 pm,,,,Fast-food chain with Filipino flavors,Closed
Shakey's Pizza Parlor,3.5,(63),Pizza,Robinsons Cybergate,Dine-in,·,Open until 11:00 pm,₱₱,Delivery,·,Casual pizza chain with a kids' fun zone,Temporarily closed
Ultimate Sandwich Station,3.8,(12),Sandwich,JY Square Mall,Dine-in,·,Open until 5:00 pm,,,,Iconic fast-food burger & fries chain,
Kusina ni Nasing,4.3,(94),Restaurant,V Rama Ave,Dine-in,·,Open until 8:30 pm,,Takeaway,·,Iconic fast-food burger & fries chain,Temporarily closed
Singapino Express,3.0,(2),Restaurant,2 Gov. M. Cuenco Ave,Dine-in,·,Open until 11:00 pm,,,,Fast-food chain with Filipino flavors,Temporarily closed
Symera,3.7,(14),Restaurant,F. Cabahug St,Dine-in,·,Open until 2:30 pm,,,,Fast-food chain with Filipino flavors,
My Greek Taverna,3.7,(12),Greek,"BTC Bldg, Gen. M. Cuenco Ave",Dine-in,·,Open until 10:00 pm,,,,Chain eatery for Filipino fried chicken,
Island Grill Express,4.5,(11),Filipino,"Level 4, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Dine-in,·,Open until 9:00 pm,,,,Iconic fast-food burger & fries chain,
Manggahan,4.0,(123),Filipino,Wilson St,Dine-in,·,Open until 1:00 am,₱₱,Delivery,·,Fast-food chain with Filipino flavors,
Handuraw Pizza Mango Square,4.3,(338),Pizza,"G/F Mango Square Mall, Juana Osmeña St","""Our Tinapa Delight is back! Get it",·,Open until 7:00 pm,,delivered,,Iconic fast-food burger & fries chain,
Pocket Pizza!,4.1,(151),Hawker stall,"Cebu Doctors University, 1 Potenciano Larazzabal Avenue",Dine-in,·,Open until 6:00 pm,,,,Fast-food chain for pizza & pasta,
Alberto's Pizza,3.7,(94),Pizza Delivery,Basak-Marigondon Rd,Dine-in,·,Open until 1:00 am,,Delivery,·,Iconic fast-food burger & fries chain,
Live Life Restaurant,3.9,(27),Restaurant,"Laniba Building, 15 N Escario St",Dine-in,·,Open until 10:00 pm,,,,Casual pizza chain with wide selection,
Cebu Sumibi Yakiniku Tajimaya,3.8,(43),Grill,"Crossroad, 25-26, Gov. M. Cuenco Ave",Dine-in,·,Closing soon: 2:00 pm,,Delivery,·,Fast-food chain with Filipino flavors,
Sbarro,3.9,(19),Pizza,SM City Cebu - Motorcycle Parking 2,Dine-in,·,Open until 9:00 pm,,,,Fast-food chain for pizza & pasta,
Jollibee,4.1,(119),Fast Food,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Dine-in,·,Open until 9:00 pm,₱,,,Fast-food chain with Filipino flavors,
Big Tom's Charbroiled Burger,4.4,(304),Hamburger,Juana Osmeña St,Dine-in,·,Open until 10:00 pm,₱₱,Delivery,·,Casual pizza chain with a kids' fun zone,
Bon Chon Chicken,4.1,(15),Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Dine-in,·,Open until 9:00 pm,₱₱,,,Korean fried chicken specialist,Temporarily closed
Carlo's Batchoy,3.7,(84),Takeout Restaurant,SB Cabahug St,Dine-in,·,Open until 3:00 am,,Takeaway,·,Casual pizza chain with wide selection,Temporarily closed
Sumo Sam,3.8,(55),Japanese,"Ground Floor, The Terraces, Ayala Center Cebu",Dine-in,·,Open until 9:00 pm,,,,Casual pizza chain with wide selection,
Jonie's Sizzlers + Roast,4.9,(8),Restaurant,"Cinema Level, Ayala Center Cebu, CBD",Dine-in,·,Open until 9:00 pm,,,,Fast-food chain with Filipino flavors,Closed
Sushi Boy Japanese-inspired Restaurant,3.8,(62),Sushi,"Garden Bloc, W Geonzon St",Dine-in,·,Open until 10:00 pm,₱₱,,,Casual pizza chain with a kids' fun zone,Temporarily closed
Taters Entertainment Snacks,4.5,(2),Snack bar,"Level 4 Ayala Center, Archbishop Reyes Ave. Cebu Business Park",Dine-in,·,Open until 9:00 pm,,Takeaway,·,Iconic fast-food burger & fries chain,
Max's Restaurant,4.0,(88),Filipino,,Dine-in,·,Open until 8:30 pm,₱₱,,,Chain eatery for Filipino fried chicken,Temporarily closed
Topokkiman,4.5,(284),Korean,"Banilad Rosedale Place, Banilad, Gov. M. Cuenco Ave",Dine-in,·,Open until 11:00 pm,₱₱,,,Fast-food chain with Filipino flavors,Temporarily closed
Orange Brutus,3.4,(5),Fast Food,Osmeña Blvd,Dine-in,·,Open until 10:00 pm,,,,Fast-food chain with Filipino flavors,
Yakski Barbecue,4.3,(668),Barbecue,268 Don Mariano Cui St,Dine-in,·,Open until 2:30 pm,₱,,,Chain eatery for Filipino fried chicken,
S&R New York Style Pizza,4.3,(232),Pizza,Cardinal Rosales Ave,Dine-in,·,Open until 11:00 pm,₱₱,Delivery,·,Iconic fast-food burger & fries chain,
McDonald's,5.0,(3),Fast Food,"3rd Level, Ayala Center Cebu, Cebu Business Park",Dine-in,·,Open until 9:00 pm,,,,Fast-food chain with Filipino flavors,
La Vie Parisienne,4.4,"(3,500)",Modern French,371 Gorordo Ave,Dine-in,·,Open until 2:00 am,₱₱,Takeaway,·,Iconic fast-food burger & fries chain,
Alberto's Pizza,4.0,(301),Pizza,2 A. S. Fortuna St,Dine-in,·,Open until 6:00 pm,₱,Takeaway,·,Fast-food chain for pizza & pasta,
Balamban Liempo,3.5,(6),Takeout Restaurant,Gorordo Ave,Dine-in,·,Open until 9:00 pm,,Takeaway,·,Iconic fast-food burger & fries chain,
Tsay Cheng,4.3,(249),Chinese,Archbishop Reyes Ave,Dine-in,·,Closing soon: 2:00 pm,₱₱,Delivery,·,Casual pizza chain with wide selection,
Boiling Shrimp Hauz Mabolo,4.0,(8),Restaurant,Pope John Paul II Ave,Dine-in,,Open until 5:00 am,,,·,Fast-food chain with Filipino flavors,
GU-GU FOOD TRADING,5.0,(3),Restaurant,"Unit 107 G/F, Orient Building, Echavez St, cor Lorega St",Dine-in,·,Open until 7:00 pm,,,,Fast-food chain for pizza & pasta,
McDonald's,4.1,(315),Fast Food,P. Burgos St,Dine-in,·,Open until 9:00 pm,₱,Delivery,·,Iconic fast-food burger & fries chain,
Ulli's Streets Of Asia,4.1,(40),Asian,"Level 1, Ayala Center Cebu Expansion, 176 Archbishop Reyes Ave",Dine-in,,Open until 9:00 pm,,,·,Casual pizza chain with a kids' fun zone,
Pizzeria Michelangelo,4.3,(200),Italian,"One Paseo, Paseo Saturnino",Dine-in,·,Open until 11:00 pm,,,,Korean fried chicken specialist,Temporarily closed
Dimsum Break,3.9,(176),Dim Sum,"G/F North Arcade, Banilad Town Centre, Gov. M. Cuenco Ave",Dine-in,·,Open until 3:00 am,₱₱,Delivery,·,Casual pizza chain with wide selection,Temporarily closed
El Ronnie's Pizza,4.5,(20),Pizza,476 Gorordo Ave,Dine-in,·,Open until 1:00 am,,,,Casual pizza chain with wide selection,
Mang Inasal,3.5,(20),Fast Food,"SM Seaside City, Cebu South Coastal Rd",Dine-in,·,Open until 9:00 pm,₱,,,Fast-food chain with Filipino flavors,Closed
Peri-peri Charcoal Chicken and Sauce Bar,4.0,(195),Chicken,"Meerea High Street, Ouano Avenue",Dine-in,·,Open until 10:00 pm,₱₱,Delivery,·,Casual pizza chain with a kids' fun zone,Temporarily closed
PHAT PHÓ,4.3,(161),Vietnamese,Robinsons Cybergate,Dine-in,·,Open until 9:00 pm,,,,Iconic fast-food burger & fries chain,
Washoku-J,4.2,(48),Authentic Japanese,"Streetscape, Paseo Saturnino",Dine-in,·,Open until 11:30 pm,₱₱,,,Chain eatery for Filipino fried chicken,Temporarily closed
Manang Juling's Kilawan,4.0,(37),Restaurant,Juana Osmeña St,Dine-in,·,Open until 11:00 pm,,,,Fast-food chain with Filipino flavors,Temporarily closed
KFC,4.3,(3),Fast Food,SM,Dine-in,·,Open until 9:00 pm,₱,,,Fast-food chain with Filipino flavors,
Everything Yummy,4.4,(33),Restaurant,"Piazza Elesia, Gov. M. Cuenco Ave",Dine-in,·,Closing soon: 2:00 pm,,,,Chain eatery for Filipino fried chicken,
Landers Super Store,3.9,(7),Restaurant,Cardinal Rosales Ave,Dine-in,·,Open until 9:00 pm,,,,Iconic fast-food burger & fries chain,
Cebu's Original Lechon Belly,3.8,(26),Fast Food,"SM City, Pope John Paul II Ave",Dine-in,·,Open until 9:00 pm,,Delivery,·,Fast-food chain with Filipino flavors,
Flame It Burgers And Sausages,4.3,(13),Takeout Restaurant,Pope John Paul II Ave,Dine-in,·,Open until 2:00 am,,Takeaway,·,Iconic fast-food burger & fries chain,
Taters Entertainment Snacks,4.0,(301),Snack bar,"Level 4, Cinema Floor, Ayala Center Cebu, Archbishop Reyes Street, Cebu Business Park",Dine-in,,Open until 9:00 pm,,,·,Fast-food chain for pizza & pasta,
