section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Clark's Pharmacy,,,Pharmacy,"E-Mall, Leon Kilat, Cor Natalio B. Bacalso Ave",Open until 8:00 pm,(032) 326 6173,http://clarks.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,1.0,(2),Pharmacy,"Fooda Saversmart, F. Cabahug, Kasambagan",Open until 9:00 pm,(032) 260 7310,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
A.L.V. Pharmacy and General Merchandise,1.0,(1),Pharmacy,"183, M. Velez Street, Guadalupe",,(032) 262 7621,,,
Rose Pharmacy,2.1,(7),Pharmacy,"Visagas Community Medical Center Mixed-Use Bldg, Osmeña Blvd",Open until 9:00 pm,(032) 230 5021,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lythel's Pharmacy and General Merchandise,,,Pharmacy,"M.L. Quezon Street, Maguikay",,(032) 345 1379,,,
"Wellmed Pharmacy, Incorporated",5.0,(1),Pharmacy,"880 A.S. Fortuna Street, Banilad",Open until 9:00 pm,(02) 7902 8888,,,
Swak Pharmacy,3.0,(3),Pharmacy,"M. Logarta St,. Inside North Bus Terminal",Open until 9:00 pm,(032) 236 2431,,,
Pharmacy,,,Pharmacy,SM,,(032) 260 0083,,,
Universe Pharmacy,4.4,(5),Pharmacy,366 Magallanes St,Open until 6:00 pm,(032) 253 0146,,,
Rose Pharmacy Inc.,,,Pharmacy,Andres Abellana St,Open until 10:00 pm,(032) 266 0638,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.4,(7),Pharmacy,"Unit 1, University of, Gov. M. Cuenco Flyover",,(032) 231 9733,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Retts Pharmacy and General Merchandise,,,Pharmacy,440 P. Burgos St,Open until 6:00 pm,(032) 344 2591,,,
Delilah Pharmacy and General Merchandise,4.0,(1),Pharmacy,"151-C, Ouano Avenue",,(032) 420 3096,,,
Pharmacy,3.6,(7),Pharmacy,"SPC Medical Spc. Ty Center PSH, Gonzales Compound, Gorordo Ave",,(032) 233 8620,,,
Rose Pharmacy,3.7,(3),Pharmacy,"V. Rama Avenue, Guadalupe",Open until 10:00 pm,(032) 254 9544,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.5,(4),Pharmacy,"Express Inn, J. Luna M.J. Cuenco Ave",Open until 12:00 am,(032) 236 0154,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sleepless Pharmacy,5.0,(1),Pharmacy,"Gaisano Country Mall, Camp Lapulapu Road",Open until 7:00 pm,(032) 254 6391,,,
Rpy Pharmacy,,,Pharmacy,"Plaridel Street, Consolacion, Cansaga",,(032) 564 3233,,,
Rose Pharmacy,3.1,(9),Pharmacy,"Avila Bldg, Colon St",Open until 9:00 pm,(032) 255 6505,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pharmacy Alen,4.3,(3),Pharmacy,3 OPRRA Unit One [one way],,(032) 254 7217,,,
Rose Pharmacy,3.7,(3),Pharmacy,"Piazza Elesia Comm'l. Bldg., Talamban",Open until 12:00 am,(032) 344 6771,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,2.8,(5),Homeopathic pharmacy,,Open until 9:00 pm,(032) 260 7310,https://www.rosepharmacy.com/store-finder/rose-pharmacy-cebu-a-it-park/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.0,(1),Pharmacy,"Salvador ext.,Labangon",Open until 11:00 pm,(032) 260 1421,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Boss Pharmacy and General Merchandise,2.1,(7),Pharmacy,"462, Gorordo Avenue, Lahug",Open until 9:00 pm,(032) 414 7273,,,
4k Pharmacy,5.0,(1),Pharmacy,Rizal Ave Ext.,Open until 9:00 pm,(032) 345 1379,,,
Bing Pharmacy,3.3,(4),Pharmacy,V Rama Ave,Open until 9:00 pm,(032) 422 8251,https://www.facebook.com/Bing-Pharmacy-Mandaue-Branch-165022546905725/info/?tab=page_info,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP - The Generics Pharmacy - Figuracion Ritchy,3.0,(3),Pharmacy,S.B. Cabahug,Open until 6:00 pm,0932 250 7050,https://tgp.com.ph/branches/?city_id=26,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Nature Care Pharmacy,,,Pharmacy,A. Del Rosario St,,(032) 260 0083,,,
Alfar Pharmacy Jagobiao,4.4,(5),Pharmacy,H. Abellana St,Open until 6:00 pm,(032) 253 0146,,,
Emma's Pharmacy,5.0,(2),Pharmacy,Corner Camella Homes Lawaan 1,Open until 9:30 pm,(032) 273 8137,,,
JEG Pharmacy,5.0,(2),Pharmacy,69 Francisco Llamas St,,(032) 340 1324,,,
Rose Pharmacy,3.5,(6),Pharmacy,"Ayala Center Cebu, Stall 277, 2nd Flr. Cebu Business Park",Open until 10:00 pm,(032) 233 7844,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.7,(6),Pharmacy,"M. Diaz Building, Cor Don Jose Avila St",Open until 11:00 pm,(032) 230 5013,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Zarri Pharmacy & General Merchandise,4.5,(2),Pharmacy,"39, N. Escario Street, Kamputhaw",,(032) 231 2472,,,
N.H. Pharmacy,4.0,(1),Pharmacy,N Escario St,Open until 9:00 pm,(032) 254 9544,,,
Rose Pharmacy,4.4,(5),Pharmacy,Gov. M. Cuenco Ave,Open until 11:00 pm,(032) 239 4153,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JPG Pharmacy,1.0,(1),Pharmacy,P. Cabantan,Open until 7:00 pm,(032) 232 1486,,,
Rose Pharmacy,4.4,(5),Pharmacy,Gorordo Ave,Open until 11:00 pm,(032) 239 0901,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.3,(3),Pharmacy,"Bridges Town Square, Plaridel St",Open until 10:00 pm,(032) 268 7665,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cashmer Pharmacy,5.0,(1),Pharmacy,,Open until 10:30 pm,(032) 254 7217,,,
Rose Pharmacy,3.7,(3),Pharmacy,Gov. M. Cuenco Ave,Open until 12:00 am,(032) 239 4153,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.4,(11),Pharmacy,"G/F-5, Ground Floor, Gagfa I.T Center, Access road,Mabolo",Open until 11:00 pm,(032) 262 0082,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tri Gie's Pharmacy & General Merchandise,4.0,(1),Pharmacy,86 Salvador St,Open until 11:00 pm,(032) 272 3504,,,
Generic Pharmacy,2.1,(7),Pharmacy,Tabada St,Open until 9:00 pm,(032) 414 7273,,,
ROSE PHARMACY C PLAZA,5.0,(2),Pharmacy,"C Plaza, Pajac-Maribago Rd",Open until 9:30 pm,(032) 345 1379,https://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,North Road,Open until 11:00 pm,(032) 343 8173,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
LGL Pharmacy and General Merchandise,5.0,(1),Pharmacy,"157, P. Cabantan Street",Open until 6:00 pm,(032) 232 8546,,,
The Generics Pharmacy,4.0,(1),Pharmacy,V Rama Ave,,(032) 253 4969,,,
La Nueva Pharmacy,4.3,(4),Pharmacy,499 F. Jaca St,Open until 7:00 pm,(032) 412 0781,,,
Rose Pharmacy,4.0,(2),Pharmacy,"Cor. De La Cerna-Osmeña St., Lapu-Lapu City, Cebu",Open until 10:00 pm,(032) 340 5725,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy - Minglanilla,3.3,(3),Pharmacy,Brgy,Open until 8:00 pm,(032) 256 2898,,,
New Sacred Heart Pharmacy,1.7,(3),Pharmacy,19 B. Rodriguez St,Open until 10:00 pm,(032) 253 5357,,,
Threesixty Pharmacy,4.0,(1),Pharmacy,La Guardia St,Open until 11:00 pm,(032) 230 5013,,,
Kier's Pharmacy,4.5,(2),Pharmacy,Tagbilaran North Road,Open until 9:45 pm,(038) 416 0090,,,
Rose Pharmacy,4.0,(2),Pharmacy,"One Pavillion Mall, 19-20 GF One Pavillion Mall, Duterte St. Guadalupe",Open until 9:00 pm,(032) 236 9477,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"Skyrise 1, I. Villa St",Open until 11:00 pm,(032) 239 4153,https://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RRR Pharmacy,1.0,(1),Pharmacy,21 B. Rodriguez St,Open until 7:00 pm,(032) 412 4275,,,
360 Pharmacy Kinasang - An,5.0,(2),Pharmacy,"1256 Natalio B. Bacalso Ave, Kinasang-an , Pardo Natalio B. Bacalso Ave",Open until 11:00 pm,(032) 239 0901,,,
Medicine Pharmacy,3.3,(3),Pharmacy,"17, Island City Mall, Rajah Sikatuna Ave",Open until 10:00 pm,(032) 268 7665,http://www.medicineshoppe.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,1.0,(1),Pharmacy,"Ground Floor, Gaisano Capital Casuntingan, M. L.Quezon Avenue, Casuntingan",Open until 9:00 pm,0920 949 1792,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Alfar Pharmacy Basak,3.0,(1),Pharmacy,Pagsabungan,Open until 12:00 am,0905 967 0312,,,
Eims Pharmacy and General Merchandise,3.4,(11),Pharmacy,"81, Francisco Llamas Street, Basak San Nicolas",Open until 11:00 pm,(032) 264 4293,,,
Rose Pharmacy,4.0,(2),Pharmacy,"Paseo Saturnino,Luisa road",Open until 11:00 pm,(032) 564 9839,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Alfar Pharmacy,2.1,(7),Pharmacy,Hernan Cortes St,Open until 9:00 pm,0905 650 9722,,,
Malunjao's Pharmacy & General Merchandise,5.0,(2),Pharmacy,V & G St,Open until 9:30 pm,(032) 423 9572,,,
Garland Pharmacy and General Merchandise,5.0,(1),Pharmacy,"P. Cabantan Street, Mabolo, Barangay Luz",Open until 11:00 pm,(032) 232 4131,,,
Rose Pharmacy,5.0,(2),Pharmacy,933 V Rama Ave,Open until 6:00 pm,(032) 253 4381,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,4.0,(3),Pharmacy,2-A C. Rodriguez Street,,(032) 505 6803,https://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.5,(2),Pharmacy,170 Lopez Jaena St,Open until 12:00 am,(032) 236 9122,https://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.0,(2),Pharmacy,Gaisano Tisa Labangon,Open until 8:30 pm,(032) 262 7387,,,
Rose Pharmacy- Pardo,4.0,(1),Pharmacy,"SVB Building, GF-1486",Open until 10:00 pm,(032) 238 2214,https://www.rosepharmacy.com/store-finder/pardo-branch/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,5.0,(2),Pharmacy,"Gaisano Annex Building, Basement, M L 6015,, M.L. Quezon National Highway",Open until 9:00 pm,(032) 341 0955,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Southern Pharmacy,4.0,(1),Pharmacy,"Juliana Trade Center, 219 Magallanes St",Open until 8:00 pm,(032) 254 1035,,,
La Nueva Pharmacy,3.0,(1),Pharmacy,Colon St,Open until 8:00 pm,(032) 412 2108,,,
Well-Care Pharmacy,1.0,(1),Pharmacy,"242, Gorordo Avenue, Camputhaw",Open until 9:00 pm,(032) 233 6153,,,
Rose Pharmacy,3.7,(3),Pharmacy,"Gaisano South Corner Colon & Leon Kilat Sts., Cebu Ctiy",Open until 8:30 pm,(032) 239 8203,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Completesolution Pharmacy and General Merchandise,1.0,(1),Pharmacy,174 Gov. M. Roa St,Open until 7:00 pm,(032) 253 1188,http://www.completesolutionpharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American Compounding Pharmacy, Inc.",5.0,(2),Pharmacy,"MGA Arcade, A. C. Cortes Ave",Open until 11:00 pm,(032) 268 8278,,,
The Generics Pharmacy,3.3,(3),Pharmacy,"National Highway, Basak",Open until 10:00 pm,(032) 421 1569,,,
Ever Green Pharmacy,1.0,(1),Pharmacy,Dionisio Jakosalem Street,Open until 9:00 pm,(032) 231 2070,,,
Evercare Pharmacy,5.0,(1),Pharmacy,Colon St,Open until 7:00 pm,(032) 253 4880,,,
The Generics Pharmacy,3.4,(11),Pharmacy,Hernan Cortes St,Open until 8:00 pm,(032) 236 1271,,,
Rose Pharmacy,5.0,(1),Pharmacy,"APM North, F. Cabahug St",Open until 11:00 pm,(032) 260 7310,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,2.1,(7),Pharmacy,"CORNER ARCHBISHOP REYES AVENUE & CABANTAN ST., CEBU CITY",Open until 9:00 pm,0905 650 9722,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.4,(5),Pharmacy,"Gaisano Grand Mall.,Poblacion East",Open until 9:30 pm,(032) 474 8053,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,5.0,(3),Pharmacy,"Grand Orchard Building, N. Bacalso St Avenue",Open until 11:30 pm,(032) 262 5902,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
5th Avenue Pharmacy,5.0,(1),Pharmacy,"Angelica Building, Osmeña Blvd",Open until 7:00 pm,(032) 419 9612,,,
TGP The Generics Pharmacy,4.0,(3),Pharmacy,NO. 47-1 Katipunan St,Open until 9:00 pm,(032) 505 6803,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Marthel Pharmacy,3.5,(2),Pharmacy,Negros South Road,Open until 12:00 am,(032) 236 9122,,,
Majesty Pharmacy,5.0,(5),Pharmacy,Magallanes St,Open until 6:00 pm,(032) 256 0877,https://www.majestypharma.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ana Pharmacy,4.0,(1),Pharmacy,Progreso St,Open until 8:00 pm,(032) 254 3127,,,
CHG Pharmacy,5.0,(1),Pharmacy,62 Magallanes St,Open until 7:00 pm,(032) 256 1100,,,
Rose Pharmacy,3.0,(1),Pharmacy,"Prince Warehouse Club, A. C. Cortes Ave",Open until 10:00 pm,(032) 345 0156,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy- Shopwise Basak,3.3,(3),Pharmacy,Cebu S Rd,Open until 12:00 am,(032) 261 0109,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,1.0,(1),Pharmacy,"POBLACION, MINGLANILLA, CEBU",Open until 9:00 pm,(032) 233 6153,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy Store Support Center,2.5,(4),Pharmacy,"3rd Floor FLC Building, Hernan Cortez St., cor. F. Cabahug St., Subangdaku",Closing soon: 5:00 pm,(032) 230 5000,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,1.0,(1),Pharmacy,"76 NASIPIT, TALAMBAN, CEBU CITY, CEBU",Open until 9:00 pm,(032) 253 1188,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cortes Pharmacy,5.0,(2),Pharmacy,Siquijor Circumferential Road,Open until 11:00 pm,(032) 268 8278,,,
TGP The Generics Pharmacy,2.7,(3),Pharmacy,"MARKET STALL, PIT-OS, CEBU CITY",Open until 9:00 pm,(032) 253 8595,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,2.0,(1),Pharmacy,Gabuya St,Open until 10:00 pm,(032) 236 1471,,,
Lieble Pharmacy,5.0,(1),Pharmacy,Buaya,Open until 7:30 pm,(032) 495 9231,,,
Rose Pharmacy,4.5,(6),Pharmacy,"Stramall, Natalio B. Bacalso National Highway",Open until 7:30 pm,(032) 236 1271,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.3,(3),Pharmacy,"Plaza Margarita, Sandayong",Open until 10:00 pm,(032) 239 1811,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.5,(2),Pharmacy,53 J. Urgello St,Open until 9:00 pm,(032) 236 9122,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Calape Pharmacy,2.0,(2),Pharmacy,Tagbilaran North Road,Open until 9:30 pm,(032) 474 8053,,,
Rose Pharmacy,4.4,(8),Pharmacy,"Cebu Corporate Accts., Highway Guizo, Mandaue City, Cebu",Open until 9:00 pm,(032) 343 3622,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,5.0,(1),Pharmacy,,Open until 8:00 pm,(032) 256 2898,https://www.facebook.com/lanuevapharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,4.0,(3),Pharmacy,100 Kamuning St,Open until 9:00 pm,0933 568 4709,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,3.5,(2),Pharmacy,Talamban Hoghway,Open until 12:00 am,(032) 266 2627,http://www.tgf.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,2.2,(5),Pharmacy,"The Arcade, M.L Quezon Avenue , Pajo , 6015 Lapu-Lapu City , Cebu",Open until 10:00 pm,(032) 233 7844,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.7,(3),Pharmacy,Santander - Barili - Toledo Rd,Open until 8:00 pm,(032) 267 0053,,,
July Pharmacy,3.4,(8),Pharmacy,G.Y Dela Serna Street,Open until 7:00 pm,(032) 268 6992,,,
Rose Pharmacy,4.0,(6),Pharmacy,San Isidro Road,Open until 11:00 pm,(032) 268 6275,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.8,(11),Pharmacy,National Hwy,Open until 10:00 pm,(032) 340 6844,,,
Three Sixty Pharmacy,3.6,(5),Pharmacy,M. L. Quezon Ave,Open until 11:00 pm,(032) 344 3755,,,
Rose Pharmacy - Balamban,5.0,(1),Pharmacy,482 Cebu Transcentral Hwy,Closing soon: 5:00 pm,(032) 230 5000,,,
Lifemart Pharmacy,1.0,(1),Pharmacy,Basak-Cagodoy-Bankal-Buaya Road,Open until 9:00 pm,(032) 253 1188,,,
Aloe Pharmacy & General Merchandise,5.0,(2),Pharmacy,Eduarda Manales Building,Open until 11:00 pm,(032) 341 1789,,,
Rose Pharmacy,2.7,(3),Pharmacy,"GF Starmall Azienda, Sea View Heights Subdivision, Lawaan",Open until 8:00 pm,(032) 231 2817,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,2.0,(1),Pharmacy,Tres de Abril St,Open until 11:00 pm,(032) 239 4669,http://lanuevapharmacy.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,4.0,(2),Pharmacy,,Open until 7:30 pm,(032) 495 9231,,,
Rose Pharmacy,4.5,(6),Pharmacy,"Ground Floor, CP Building, Sitio Datag, M.L. Quezon National Highway",Open until 10:00 pm,(032) 268 0771,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy- SM City Cebu,5.0,(2),Pharmacy,"SM City Cebu, Unit 159, Upper GF, SM City, 8th St., Reclamation Area",Open until 9:00 pm,(032) 232 0608,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,3.5,(2),Pharmacy,"Crossing Marigondon, Basak-Marigondon Rd",Open until 9:00 pm,(032) 511 8781,,,
ThreeSixty Pharmacy,3.0,(1),Pharmacy,"North Road Plaza Building, North Road",Open until 11:00 pm,(032) 520 8063,,,
TGP The Generics Pharmacy,4.4,(8),Pharmacy,"GROUND FLOOR NO. 85 OSMEÑA BOULEVARD, CEBU CITY",Open until 9:00 pm,(032) 343 3622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jobee Pharmacy and Grocery,5.0,(1),Pharmacy,,Open until 8:00 pm,(032) 256 2898,,,
TGP The Generics Pharmacy,4.0,(3),Pharmacy,"SHOPPE NO. 102 COCO MALL, OSMEÑA BLVD. CORNER MARIA CRISTINA ST., CEBU CITY",Open until 9:00 pm,0933 568 4709,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
360 Pharmacy,5.0,(1),Pharmacy,"Maximo Patalinghog Road , Quezon National Road, Marigondon Beach Rd",Open until 12:00 am,(032) 266 2627,,,
Mom's Best Value Pharmacy,2.2,(5),Pharmacy,"Ground Floor, Sunergia Bldg., 85 Osmeña Blvd",Open until 10:00 pm,(032) 254 9983,http://momsbvpharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
