section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-description,section-result-info 3
Factorie,4.0,(680),Clothing store,Temporarily closed,"SM Seaside, SRP Corner F. Vestil",0995 938 6777,,
UNITOP,3.7,(191),Shopping mall,Temporarily closed,184 Osmeña Blvd,(032) 255 1489,Trendy mall with familiar offerings,Open until 8:00 pm
RR Dress Shop,4.1,(47),Dress store,Temporarily closed,Day-as Barangay Rd,(032) 236 1998,,
Virginia Hotdog Station,4.3,(311),Outlet store,Temporarily closed,Colonnade Supermarket,(032) 231 0288,,
Uniqlo,4.4,(91),Clothing store,Temporarily closed,"GROUND FLOOR, NORTH WING SM City Cebu NORTH RECLAMATION AREA",(032) 268 3322,,Open until 9:00 pm
Stop & Shop,5.0,(1),Clothing store,Temporarily closed,,0922 437 6924,Large shopping mall with a cinema,Open until 10:00 pm
Zakka Fashion Shop,4.3,(9),Boutique,Temporarily closed,V Rama Ave,0977 808 8000,,
Levi's® Ayala Cebu,5.0,(1),Clothing store,Temporarily closed,"Ayala Center Cebu, Ground Floor",(032) 231 5597,,Open until 9:00 pm
Common Ground Store,4.4,(26),Clothing store,Temporarily closed,"The Greenery, Pope John Paul II Ave",0908 865 3007,,Open until 9:00 pm
Timberland,5.0,(1),Clothing store,Temporarily closed,"SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",(032) 236 6970,Mall with a food court & restaurants,Open until 9:00 pm
Forever 21,3.8,(6),Clothing store,Temporarily closed,"Upper Ground Floor SM Seaside City Cebu SRP-Mambaling Rd Cebu City 6000 Cebu, SRP-Mambaling Rd, Cebu City, Cebu, F. Vestil St",(032) 262 7777,Shopping mall with casual eateries,Open until 8:00 pm
Timberland R,4.0,(1),Men's clothing store,Temporarily closed,"Pueblo Verde , Mepz 2",(032) 341 4731,Large modern mall with a cinema,
Guess,5.0,(1),Clothing store,Temporarily closed,"SM Seaside, F Vestil St Cor SRP",0906 529 3688,"Shopping, dining & entertainment complex",Open until 8:00 pm
Uniqlo,4.0,(26),Clothing store,Temporarily closed,"UPPER GROUND FLOOR, SM CITY SEASIDE CEBU, SOUTH RECLAMATION POINT, MABOLO, CEBU CITY",(032) 261 0302,,
Levis,5.0,(1),Clothing store,Temporarily closed,168 Ouano Avenue,(032) 236 6625,Pet-friendly mall with shops & eateries,Open until 7:00 pm
Clarks,4.2,(6),Men's clothing store,Temporarily closed,"SM City Cebu, Juan Luna Ave.Cor.Cabahug And Kaohsiung St",(032) 238 1106,Modern shopping mall with a cinema,Open until 11:00 pm
BNY The Hip Shop,1.0,(1),Clothing store,Temporarily closed,"Elizabeth Mall, Corner Leon Kilat St And N. Bacalso Ave",(032) 417 7170,,Open until 9:30 pm
Cotton On Kids,5.0,(1),Children's clothing store,Temporarily closed,"ayala center cebu, Archbishop Reyes Ave. Cebu Business Park",(032) 550 2452,,Open until 7:00 pm
Timberland,5.0,(4),Clothing store,Temporarily closed,"SM Seaside, Cor Mambaling Cor SRP",(032) 462 1256,,Open until 10:00 pm
Skechers,4.0,(1),Clothing store,Temporarily closed,,(032) 231 0058,"Clothing, food & housewares stores",Open until 7:00 pm
Esprit,4.0,(680),Clothing store,Temporarily closed,"Level 1 Ayala Center Cebu, Paseo Marina 6000",(032) 231 1555,,
Forever 21,3.4,(25),Clothing store,Temporarily closed,"Cebu Port Center, Juan Luna Extension",(032) 255 1489,Trendy mall with familiar offerings,Open until 8:00 pm
Superdry Store,4.2,(12),Men's clothing store,Temporarily closed,"ayala center cebu, Cebu Business Park, Archbishop Ave",(032) 625 4463,,
Gucci,5.0,(3),Department store,Temporarily closed,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",(032) 231 5641,,
Guess,4.4,(91),Clothing store,Temporarily closed,"SM City Cebu, Juan Luna Ave, Cor. Cabahug Kaohsiung St",(032) 231 7829,,Open until 9:00 pm
Uniqlo,5.0,(3),Clothing store,Temporarily closed,Ayala Center,0922 437 6924,Large shopping mall with a cinema,Open until 10:00 pm
Lacoste,3.4,(5),Clothing store,Temporarily closed,Archbishop Reyes Ave,(032) 234 1038,,
Jockey,5.0,(1),Clothing store,Temporarily closed,"U2048, General Maxilom Ave Ext",(032) 231 5597,,Open until 9:00 pm
Columbia,5.0,(1),Sportswear store,Temporarily closed,"SM Seaside, SRP Mambaling Rd Cor CSCR",0908 865 3007,,Open until 9:00 pm
PUMA Outlet,4.8,(5),Clothing store,Temporarily closed,Pueblo Verde Mez 2,(032) 236 6970,Mall with a food court & restaurants,Open until 9:00 pm
Carters,3.8,(6),Clothing store,Temporarily closed,"SM Seaside, Cor. Mambaling Cor. SRP Road",(032) 262 7777,Shopping mall with casual eateries,Open until 8:00 pm
AX,4.0,(1),Men's clothing store,Temporarily closed,"ayala center cebu, Cebu Business Park, Archbishop Ave",(032) 341 4731,Large modern mall with a cinema,
Levi's® SM Cebu,5.0,(1),Clothing store,Temporarily closed,,(032) 238 1871,"Shopping, dining & entertainment complex",Open until 8:00 pm
Levi's Outlet Store,3.7,(15),Clothing store,Temporarily closed,"Pueblo Verde, Mepz 2",(032) 261 0302,,
Puma,4.5,(2),Sportswear store,Temporarily closed,"Active Zone Ayala Center Cebu, Archbishop Reyes Avenue Cebu Business Park",(032) 231 5342,Pet-friendly mall with shops & eateries,Open until 7:00 pm
Jkh Style Wear Shop,3.0,(2),Clothing store,Temporarily closed,Colon St,(032) 236 6267,Modern shopping mall with a cinema,Open until 11:00 pm
Allteemate Apparel Shop,5.0,(2),Clothing store,Temporarily closed,"Oyao Compound, Maximo V. Patalinghug Jr. Avenue",0933 502 6743,,Open until 9:30 pm
Lorena's Dress Shop,1.0,(2),Dressmaker,Temporarily closed,H Abellana,0921 950 7642,,Open until 7:00 pm
The Body Shop,4.0,(2),Beauty supply store,Temporarily closed,"SM Seaside, Upper Ground Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",(032) 254 9306,,Open until 10:00 pm
The Body Shop,5.0,(1),Beauty supply store,Temporarily closed,"Upper Ground Floor, SM City Cebu, Juan Luna Ave. Cor. Cabahug and Kaoshiung St",(032) 232 5498,"Clothing, food & housewares stores",Open until 7:00 pm
Modern Mama Baby Shop,5.0,(1),Baby store,Temporarily closed,"3A, BTC Bldg, Gov.M.Cuenca Avenue",0917 539 7305,,
Wilbert Surplus Shop,5.0,(1),Used clothing store,Temporarily closed,,(032) 255 1489,Trendy mall with familiar offerings,Open until 8:00 pm
Iora,5.0,(4),Clothing store,Temporarily closed,"2/F, Ayala Center Cebu, Bohol Ave",(032) 236 6700,,
Carter's Oshkosh B'gosh,3.5,(2),Children's clothing store,Temporarily closed,2 Archbishop Reyes Ave,(032) 231 5641,,
Oponside Shop,5.0,(3),Clothing store,Temporarily closed,G. Mangubat St,Open until 9:00 pm,,(032) 231 7829
Federovas Bridals,4.2,(33),Bridal shop,Temporarily closed,M.L. Quezon National Highway,(032) 494 1300,Large shopping mall with a cinema,Open until 10:00 pm
Kashmir Atelier Dress Shop,2.8,(4),Boutique,Temporarily closed,267 Pajac-Maribago Rd,(032) 238 4313,,
Kyell Clothing Shop,5.0,(1),Clothing store,Temporarily closed,M.L. Quezon National Highway,0923 858 6890,,Open until 9:00 pm
Jhia & Jp's Fashion Shop Residence,5.0,(1),Clothing store,Temporarily closed,Summerville Subdivision,(032) 263 2065,,Open until 9:00 pm
Asics Sports Apparel,5.0,(2),Clothing store,Temporarily closed,,(032) 236 6970,Mall with a food court & restaurants,Open until 9:00 pm
Bootcamp Football Shop - Cebu,5.0,(1),Sportswear store,Temporarily closed,"2nd Floor, Expansion New Wing, Ayala Center",(032) 401 2588,Shopping mall with casual eateries,Open until 8:00 pm
Dillard's,5.0,(1),Department store,Temporarily closed,ParkMall Cebu,(032) 661 0053,Large modern mall with a cinema,
Vans,4.8,(4),Shoe store,Temporarily closed,General Maxilom Ave Ext,(032) 238 1871,"Shopping, dining & entertainment complex",Open until 8:00 pm
IRIE TATTOO SHOP MANGO,1.0,(1),Clothing store,Temporarily closed,General Maxilom Ave,0912 488 6837,,Open until 6:00 pm
D+B Wine Shop by Corinthia Gourmet,5.0,(6),Wine store,Temporarily closed,"Unit 1 The Crossroads, Gov. M. Cuenco Ave",(032) 233 0832,Pet-friendly mall with shops & eateries,Open until 9:00 pm
Samsung,4.7,(3),Cell phone store,Temporarily closed,General Maxilom Ave Ext,(032) 236 6267,Modern shopping mall with a cinema,Open until 11:00 pm
