section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-info 3
Onitsuka Tiger,3.4,(7),Outlet store,,Temporarily closed,(032) 236 9020,
Sukiya Houseware Trading,,,Outlet mall,Central Nautical Hwy,Temporarily closed,(032) 341 0488,
Giordano Outlet,4.3,(3),Outlet store,,Temporarily closed,(032) 231 5342,
Tihik Outlet,5.0,(1),Clothing store,"Arcada 5, Highway Tipolo",Temporarily closed,(032) 505 7181,
BAMBU,4.0,(3),Outlet store,,Temporarily closed,(032) 273 6181,
PUMA Outlet,4.8,(5),Clothing store,Pueblo Verde Mez 2,Temporarily closed,0906 079 6252,
Levi's Outlet Store,3.7,(15),Clothing store,"Pueblo Verde, Mepz 2",Temporarily closed,(032) 239 8888,
Virginia Factory Outlet Lapu-Lapu,4.3,(7),Outlet store,S. Osmeña Street,Temporarily closed,(032) 401 3593,Open until 6:00 pm
Chino & Chynna Diaper Factory Outlet,2.0,(1),Baby store,Sangi,Temporarily closed,(032) 495 9395,
828 Outlet,4.4,(69),Women's clothing store,"JY Square Mall, Salinas Dr",Temporarily closed,(032) 233 6828,
Top Designer Brands Outlet,4.0,(2),Convenience store,Natalio B. Bacalso Ave,Temporarily closed,(032) 462 1988,
Tupperware Brands,3.7,(17),Outlet store,"D.Y. Ruiz Store House, Natalio B. Bacalso Ave",Temporarily closed,0917 984 6055,
Natasha,5.0,(2),Outlet store,"Esperanza Bldg, Sb Cabahug St",Temporarily closed,(032) 328 0132,Closing soon: 5:00 pm
CEBU HELMET FACTORY OUTLET NEAR MCDONALDS MTC,5.0,(1),Motorcycle parts store,Tamiya (Mactan Besides McDonalds Mactan Town Center,Temporarily closed,0998 999 6788,Open until 9:00 pm
Hush Puppies,4.1,(324),Outlet store,"The Outlets at Pueblo Verde, MEZ II",Temporarily closed,0943 278 6902,
CHARLES & KEITH,,,Outlet store,"The Outlets at Pueblo Verde, MEZ II",Temporarily closed,(032) 266 8020,
Virginia Hotdog Station,4.0,(7),Outlet store,Colonnade Supermarket,Temporarily closed,(032) 411 1610,
Surplus Store,1.0,(1),Outlet store,"Park Mall, Ouano Avenue",Temporarily closed,0923 328 3419,Closing soon: 5:00 pm
Greatway Center,3.7,(254),Shopping mall,Ibabao - Gisi - Agus Rd,Temporarily closed,0933 815 0766,Open until 8:00 pm
Personal Collection,4.0,(1),Outlet store,,Temporarily closed,0919 571 8870,
Fork In The Road,3.5,(17),Shopping mall,,Temporarily closed,(032) 236 9020,
NGenius Outlet Store,,,Computer store,"3 Jose Maria del Mar St, Cebu City, 6000 Jose Maria del Mar St",Temporarily closed,(032) 415 8081,
KOBY Tire Sealant Factory Outlet (Cebu),5.0,(1),Home goods store,,Temporarily closed,0998 999 6788,
Fashion Rack Designer Outlets,4.1,(7),Clothing store,"Pueblo Verde, Mez 2",Temporarily closed,(032) 340 0247,
Famous Belgian Waffle,3.5,(2),Outlet store,"Ground Floor, Insular Square Building, 31 JP Rizal St. Tabok, Central Nautical Hwy",Temporarily closed,(032) 273 6181,
Sunpride Factory Outlet APM,5.0,(1),Meat products,"L1, F-21, APM Shoping Mall, A.Soriano Avenue , 6000",Temporarily closed,(032) 238 3060,Open until 9:00 pm
Yuenthai Philippines Inc. F1,4.0,(3),Outlet store,"PIPC bldg. 1, 1st Avenue, 6th Street",Temporarily closed,(032) 239 8888,
Lotto,4.3,(7),Shopping mall,Fuente Osmeña Cir,Temporarily closed,2555590,Open until 6:00 pm
NMF Arcade,2.0,(1),Shopping mall,345 V Rama Ave,Temporarily closed,0923 911 7260,
Cebuana Lhuillier,1.0,(1),Outlet store,"Unit 120D Ground Floor, Insular Square Building, 31 JP Rizal St. Tabok, Central Nautical Hwy",Temporarily closed,(032) 520 3012,
Tihik Outlets,4.0,(2),Clothing store,,Temporarily closed,(032) 462 1988,
Sunpride Factory Outlet Basak,5.0,(1),Meat products,Cebu N Rd,Temporarily closed,0917 795 9604,
Sante Barley Mandaue,4.0,(3),Shopping mall,,Temporarily closed,(032) 316 6964,Closing soon: 5:00 pm
Sunpride Factory Outlet - Parkmall,5.0,(1),Meat products,Park Mall Dr,Temporarily closed,0956 479 1848,Open until 11:00 pm
Infuso Coffee Outlet,4.7,(40),Coffee shop,"Unit III G/F JESA-ITC Center, General Maxilom Ave",Temporarily closed,0943 278 6902,
Blackscorpion Outdoor Gear Outlet,,,Outdoor sports store,Lopez - Jaena St,Temporarily closed,(032) 266 8020,
J Centre Mall,4.1,"(5,102)",Shopping mall,165 A. S. Fortuna St,Temporarily closed,0906 406 1880,Open until 9:00 pm
REEF Outlet,4.0,(1),Beach clothing store,,Temporarily closed,0923 328 3419,Closing soon: 5:00 pm
Sunpride Factory Outlet - Dumlog Talisay Branch,5.0,(1),Meat products,San Isidro Road,Temporarily closed,0917 639 9324,Open until 8:00 pm
magickaraoke outlet store,4.0,(1),Musical instrument store,611 Zamora St,Temporarily closed,0919 571 8870,
Petron Gasul Outlet,3.5,(17),Store,"Coast Pacific Building, Sanciangko St",Temporarily closed,(032) 236 9020,
Sunpride Factory Outlet Katipunan Labangon,,,Meat products,"Corner Salvador St and, Katipunan St",Temporarily closed,0917 795 9529,Open until 8:00 pm
Ayala Center Cebu,4.4,"(13,738)",Shopping mall,Cardinal Rosales Ave,Temporarily closed,(032) 888 3777,
SM City Cebu,4.4,"(15,414)",Shopping mall,Juan Luna Avenue,Temporarily closed,(032) 231 0557,Open until 10:00 pm
Cebu Ayala Center Garden,4.8,(4),Shopping mall,"Ayala Center, 176 Archbishop Reyes Ave",Temporarily closed,(032) 273 6181,
The Outlets At Pueblo Verde,4.7,(9),Store,Calle Moriones,Temporarily closed,(032) 238 3060,Open until 9:00 pm
Goldilocks Shopwise Outlet,4.0,(3),Cake shop,Shopwise,Temporarily closed,(032) 239 8888,
Watsons Gaisano Grand Mall Mandaue,4.0,(357),Health and beauty shop,A. Del Rosario St Cebu,Temporarily closed,0917 843 1286,Open until 9:00 pm
Diapers Factory Outlet,2.0,(1),Outlet store,Central Nautical Hwy,Temporarily closed,0923 232 2054,
Pcso Lotto Outlet Marina Mall,1.0,(1),Lottery retailer,Pusok Rd,Temporarily closed,(032) 520 3012,
DC Shoes,4.0,(3),Shopping mall,"SM City Cebu, Juan Luna Avenue Extension, North Reclamation Area, Cebu Port Center",Temporarily closed,(032) 416 7092,
Rolchem Merchandising-Outlet,5.0,(1),Office furniture store,Eduardo Aboitiz St,Temporarily closed,(032) 340 9231,
Philippine Charity Sweepstakes Lotto Outlet,4.0,(3),Lottery retailer,S Jayme St,Temporarily closed,(032) 316 6964,Closing soon: 5:00 pm
Pueblo Verde,4.3,(6),Shopping mall,"Basak Gate, MEPZ II, Maximo V. Patalinghug Jr. Avenue",Temporarily closed,0956 479 1848,Open until 11:00 pm
APM Shopping Center,3.8,(651),Shopping mall,A. Soriano Ave,Temporarily closed,0943 278 6902,
Sunpride Factory Outlet - Punta Princesa Branch,5.0,(1),Meat products,Francisco Llamas St,Temporarily closed,(032) 266 8020,Open until 8:00 pm
Watsons Gaisano Grand Mall Mandaue,4.0,(1),Health and beauty shop,A. Del Rosario St,Temporarily closed,0917 843 1286,Open until 9:00 pm
Sunpride Factory Outlet - Tabunok,4.0,(1),Grocery store,,Temporarily closed,0923 328 3419,Closing soon: 5:00 pm
marina mall,3.7,(3),Shopping mall,,Temporarily closed,0917 639 9324,Open until 8:00 pm
Shangs Island Town Center ( Shopping Mall / Supermarket / Restaurants / Spa ),3.9,(893),Shopping mall,M.L Quezon National Highway Datag Maribago,Temporarily closed,(032) 505 2102,
Colonnade Mall Cebu,4.1,"(1,456)",Shopping mall,Colon St,Temporarily closed,(032) 254 0618,
SM City Cebu,4.5,"(1,072)",Shopping mall,"Juan Luna Ave. cor. Cabahug and, Kaohsiung St",Temporarily closed,(032) 231 3450,Open until 10:00 pm
New Home Appliance Center - Consolacion Outlet,4.4,"(13,738)",Home goods store,Poblacion Occidental,Temporarily closed,(032) 423 4298,
Gaisano Mall Mactan Island,3.8,"(1,868)",Shopping mall,gaisano mactan club mon lapulapu mactan,Temporarily closed,0915 378 3680,Open until 10:00 pm
Lotto Outlet,2.0,(1),Lottery retailer,,Temporarily closed,(032) 273 6181,
Lotto Outlet,4.7,(9),Lottery retailer,547 I Tabura St,Temporarily closed,(032) 238 3060,Open until 9:00 pm
South Town Centre,4.1,(770),Shopping mall,285 Cebu S Rd,Temporarily closed,(032) 272 6366,
Insular Square,4.0,(680),Shopping mall,31 Central Nautical Hwy,Temporarily closed,(032) 346 8824,Open until 9:00 pm
Piazza Elesia,3.9,(182),Shopping mall,Gov. M. Cuenco Ave,Temporarily closed,0923 232 2054,
Gaisano Grand Mall Cordova,3.6,(388),Shopping mall,King Dagame Brgy,Temporarily closed,(032) 260 2754,Open until 8:30 pm
Miniso,4.3,(218),Shopping mall,"Sm City Cebu, 2nd floor, Juan Luna Ave Ext",Temporarily closed,(032) 416 7092,
Lotto Outlet,5.0,(1),Lottery retailer,"Canduman, 6014, H Abellana",Temporarily closed,(032) 340 9231,
Gaisano Capital - Shopper's Outlet,3.5,(12),Shopping mall,Olivar Sr.,Temporarily closed,(032) 316 6964,Closing soon: 5:00 pm
Gaisano Capital South,3.9,"(1,041)",Shopping mall,"Henry Gaisano Building, Colon Street Corner Leon Kilat Street",Temporarily closed,(032) 260 7888,Open until 8:00 pm
Elizabeth Mall,3.9,"(3,465)",Shopping mall,Natalio B. Bacalso Ave,Temporarily closed,(032) 417 7735,Open until 8:00 pm
PCSO Lotto Outlet Guadalupe,5.0,(1),Lottery retailer,1464 V Rama Ave,Temporarily closed,(032) 266 8020,Open until 8:00 pm
Lotto Outlet,4.0,(1),Lottery retailer,M.L. Quezon National Highway,Temporarily closed,0917 843 1286,Open until 9:00 pm
Gaisano Grand Mall Jai Alai,3.5,(2),Shopping mall,"Jai Alai, Candido Padilla St",Temporarily closed,(032) 262 0624,Closing soon: 5:00 pm
Cubacub Lotto Outlet,3.7,(3),Lottery retailer,Cubacub St,Temporarily closed,0917 639 9324,Open until 8:00 pm
PCSO Lotto Outlet,5.0,(1),Lottery retailer,,Temporarily closed,(032) 505 2102,
Magbutay PCSO Lotto Outlet,4.1,"(1,456)",Lottery retailer,299 Tres de Abril St,Temporarily closed,(032) 261 5324,
Lotto Outlet,4.5,"(1,072)",Lottery retailer,San Antonio,Temporarily closed,(032) 234 4359,Open until 10:00 pm
Paseo Arcenas,4.1,(324),Shopping mall,"Banawa, R. Arcenas St",Temporarily closed,(032) 423 4298,
Nike,3.0,(5),Sporting goods store,General Maxilom Ave Ext,Temporarily closed,0915 378 3680,Open until 10:00 pm
Lotto outlet,2.0,(1),Lottery retailer,"Cebu Clumbia Photo Supply Bldg, 125 Colon St",Temporarily closed,(032) 234 4359,
SUZUKI Business Outlet,4.7,(9),Surplus store,"The Outlets at Pueblo Verde, MEZ II",Temporarily closed,(032) 345 4835,Open until 9:00 pm
"BELCRIS FOODS, INC. - MINGLANILLA RETAIL OUTLET",4.1,(770),Meat products,FCT Building,Temporarily closed,(032) 272 6366,Open until 6:00 pm
Vans,4.8,(4),Shoe store,General Maxilom Ave Ext,Temporarily closed,(032) 346 8824,Open until 9:00 pm
Big Dream - Atomy Outlet,4.0,(1),Surplus store,Bankal-Mahayahay-Soong Road,Temporarily closed,0923 232 2054,
Lotto Outlet - PCSO,4.5,(2),Lottery retailer,N Escario St,Temporarily closed,(032) 259 5850,Open until 8:30 pm
TOYOTA Business Outlet,4.3,(218),Surplus store,"GF level Ayala Centet, 6000 Cardinal Rosales Ave",Temporarily closed,(032) 416 7092,
Lotto Outlet,5.0,(1),Lottery retailer,"6000, 1515 Cebu S Rd",Temporarily closed,(032) 340 9231,
Nike,4.5,(6),Clothing store,"A 212, Active Zone,Ayala Center, Archbishop Reyes Ave Cebu Business Park",Temporarily closed,(032) 230 7692,Closing soon: 5:00 pm
Lotto Outlet - Philippine Charity Sweepstakes Office,3.5,(2),Lottery retailer,Tres de Abril St,Temporarily closed,(032) 261 1952,Open until 8:00 pm
Nike store,3.8,(16),Shoe store,"Sm Seaside, SRP Mambaling Rd., Cor. CSCR",Temporarily closed,(032) 417 7735,Open until 8:00 pm
paroan lotto outlet@prince warehouse cityhall,5.0,(1),Lottery retailer,,Temporarily closed,(032) 266 8020,Open until 8:00 pm
PCSO Lotto Outlet,3.0,(2),Lottery retailer,Rabaya,Temporarily closed,0917 843 1286,Open until 9:00 pm
Vans,2.7,(7),Shoe store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 415 6120,Closing soon: 5:00 pm
Lotto outlet,5.0,(1),Lottery retailer,120 Colon St,Temporarily closed,0932 411 3014,Open until 8:00 pm
Adidas,4.4,(5),Sporting goods store,"L 165, SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St.",Temporarily closed,(032) 268 4957,
Fukurou Japan Surplus,4.1,"(1,456)",Surplus store,Zone 3 San Isidro Road,Temporarily closed,(032) 261 5324,
Adidas,5.0,(4),Clothing store,2 Archbishop Reyes Ave,Temporarily closed,(032) 231 3665,Open until 10:00 pm
Under Armour,4.8,(4),Sportswear store,"Suite # 1250, Ayala Center Cebu,, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 423 4298,
Mizuki Ent.,3.0,(2),Surplus store,J. Urgello St,Temporarily closed,(032) 255 0973,Open until 10:00 pm
Lottery Outlet,2.0,(1),Lottery retailer,,Temporarily closed,(032) 234 4359,
Magbutay - PCSO Lotto Outlet,4.7,(9),Lottery retailer,299 Tres de Abril St,Temporarily closed,(032) 264 5324,Open until 9:00 pm
Nike Park,3.6,(7),Clothing store,"Stall 110 Ayala Center, Cebu Business Park, Cardinal Rosales Avenue, Cebu City, Cebu",Temporarily closed,(032) 233 1033,Open until 6:00 pm
Aison Surplus,5.0,(2),Surplus store,A. S. Fortuna St,Temporarily closed,(032) 344 0473,Open until 9:00 pm
Sanix Surplus Center Corp.,3.9,(8),Surplus store,4 J 3-A Kinasang-An,Temporarily closed,(032) 272 2878,
Kiku Trading,4.6,(11),Surplus store,A.C Cortes Avenue,Temporarily closed,0932 880 8154,Open until 8:30 pm
Rusi Dealer-Kinasang-an Outlet,4.0,(3),Motor vehicle dealer,55 F F. Jaca St,Temporarily closed,(032) 401 2860,
Tud Tud Trading,3.8,(4),Surplus store,184 Tupas St,Temporarily closed,(032) 418 8332,
Asics Sports Apparel,5.0,(2),Clothing store,,Temporarily closed,(032) 230 7692,Closing soon: 5:00 pm
Puma,4.5,(2),Sportswear store,"Active Zone Ayala Center Cebu, Archbishop Reyes Avenue Cebu Business Park",Temporarily closed,(032) 231 5342,Open until 8:00 pm
Wasi Auto Surplus Corp.,4.0,(1),Surplus store,Pool,Temporarily closed,0917 270 1558,Open until 8:00 pm
Enihonmono,2.5,(6),Surplus store,"Door 1A Center Point building Hernan Cortes St., Mandaue City",Temporarily closed,(032) 520 5740,Open until 8:00 pm
"HMR Philippines, Inc.",3.7,(12),Surplus store,"SM Hypermarket, M. Logarta Avenue,, North Reclamation Area",Temporarily closed,(032) 236 1187,Open until 9:00 pm
Virginia Food Outlet,2.7,(7),Grocery store,,Temporarily closed,(032) 415 6120,Closing soon: 5:00 pm
Philippine Charity Sweepstakes Office Lotto Outlet,5.0,(1),Lottery retailer,Purok Butterfly,Temporarily closed,0932 411 3014,Open until 8:00 pm
AWC Corp.,2.0,(1),Surplus store,"Cebu Tri. Star Building, 168 Ouano Avenue, NRA",Temporarily closed,(032) 422 8113,
Onitsuka Tiger,4.1,(10),Clothing store,"SM Seaside, SRP Corner F Vestil",Temporarily closed,(032) 261 5324,
APK Motors Trading,5.0,(4),Surplus store,,Temporarily closed,0927 226 4601,Open until 10:00 pm
Habagat Outdoor Equipment,4.0,(17),Office,472 Archbishop Reyes Ave,Temporarily closed,(032) 231 5651,
Healing galing mandaue,3.3,(9),Home goods store,"Bridges Town Square, 143 Plaridel St",Temporarily closed,(032) 255 0973,Open until 10:00 pm
Dakki Classics Concepts Inc. - Cebu Branch,3.8,(4),Novelty store,A. Soriano Ave,Temporarily closed,(032) 412 0174,
Cebu Titan Surplus Inc.,4.3,(13),Surplus store,Zone Paliya,Temporarily closed,(032) 264 5324,Open until 9:00 pm
Superdry Store,4.2,(12),Men's clothing store,"ayala center cebu, Cebu Business Park, Archbishop Ave",Temporarily closed,(032) 625 4463,Open until 6:00 pm
Philippine Charity Sweepstakes Office,4.0,(1),Lottery retailer,A. S. Fortuna St,Temporarily closed,(032) 344 0473,Open until 9:00 pm
Automatic Centre - Cebu,4.0,(1),Appliance store,"Active Zone, Ayala Center Cebu, Archbishop Reyes Ave",Temporarily closed,(032) 260 5855,
Fila,5.0,(3),Shoe store,"SM City Cebu, Juan Luna ave.cor. Cabahug And Kaoshiung St.",Temporarily closed,0932 880 8154,Open until 8:30 pm
Jr. Memoxpress Hypermarket Jmall,1.0,(1),Electronics store,"J Centre Bldg, 33B A. S. Fortuna St",Temporarily closed,(032) 401 2860,
Sony Centre,4.7,(3),Appliance store,"ayala center cebu, Archbishop Reyes Ave",Temporarily closed,(032) 231 2535,
Globe Telecom,3.2,(92),Telecommunications service provider,"Cyberzone 2nd Level SM City wing, North",Temporarily closed,(032) 730 1010,Open until 9:00 pm
Cebu Home & Builders Centre,4.2,(521),Home improvement store,A. S. Fortuna St,Temporarily closed,(032) 230 3777,Open until 5:30 pm
Closeout Overruns Designer Outlet Brand House Bohol,4.1,(24),Clothing store,"Corner Carlos P Gracia North, Benigno Aquino Ave",Temporarily closed,(038) 501 0515,Open until 10:00 pm
BENCH/DEPOT (MultiBrand),2.5,(6),Clothing store,"Gf unit 10, The Outlets Pueblo Verde, Basak-Marigondon Rd",Temporarily closed,(032) 272 3773,Open until 8:00 pm
Islander Footwear Manufacturing Corporation,4.0,(2),Manufacturer,Cebu S Rd,Closed,(032) 273 6181,Opens at 8:00 am
Regatta,4.0,(2),Clothing store,2 Archbishop Reyes Ave,Temporarily closed,(032) 415 3972,Closing soon: 5:00 pm
Esprit,5.0,(1),Clothing store,"Level 1 Ayala Center Cebu, Paseo Marina 6000",Temporarily closed,(032) 231 1555,Open until 8:00 pm
Converse,2.0,(1),Men's clothing store,"J Centre Building, A. S. Fortuna St",Temporarily closed,(032) 260 0953,
Chic Video Surplus And Electronics,5.0,(1),Electronics store,Sangi,Temporarily closed,(032) 236 1932,
Sperry,4.4,(5),Shoe store,"SM Seaside, SRP Corner F Vestil",Temporarily closed,0927 226 4601,Open until 10:00 pm
Regatta,5.0,(1),Clothing store,,Temporarily closed,(032) 231 5651,
Regatta,4.0,(1),Clothing store,"SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaoshiung St",Temporarily closed,(032) 255 0973,Open until 10:00 pm
Guess,3.8,(4),Department store,"165, Upper Ground Floor J Centre Mall, AS Fortuna Street, Bakilid",Temporarily closed,(032) 239 5420,
Regatta,5.0,(1),Clothing store,"SM Seaside, SRP Corner F. Vestil",Temporarily closed,(032) 264 5324,Open until 9:00 pm
Aldo,4.0,(3),Shoe store,"SM Seaside, SRP Corner F Vestil",Temporarily closed,(032) 230 7927,Open until 6:00 pm
Cherry Mobile Kiosk,4.0,(1),Cell phone store,"2nd Level, J Centre Mall, 165 A. S. Fortuna St",Temporarily closed,(032) 344 0473,Open until 9:00 pm
Vans,4.0,(1),Department store,"165, Upper Ground Floor J Centre Mall, AS Fortuna Street",Temporarily closed,(032) 239 5420,
Lacoste Footwear,5.0,(3),Shoe store,2 Archbishop Reyes Ave,Temporarily closed,(032) 232 5455,Open until 8:30 pm
AX,1.0,(1),Men's clothing store,"ayala center cebu, Cebu Business Park, Archbishop Ave",Temporarily closed,(032) 401 2860,
Freesoul Cyber Gadgets,3.0,(4),Computer store,"Unit 155, 2nd level, J Centre Mall, A. S. Fortuna St",Temporarily closed,(032) 421 1587,Open until 9:00 pm
Sony Mobile Store,4.7,(7),Cell phone store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Temporarily closed,(032) 231 7294,Open until 9:00 pm
HMR Trading Haus,4.2,(29),Store,,Temporarily closed,(032) 236 1187,Open until 5:30 pm
Lacoste,3.4,(5),Clothing store,Archbishop Reyes Ave,Temporarily closed,(032) 234 1038,Open until 10:00 pm
The Body Shop,4.0,(2),Beauty supply store,"SM Seaside, Upper Ground Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",Temporarily closed,(032) 272 3773,Open until 8:00 pm
Sawgrass Mills,4.6,"(40,659)",Shopping mall,12801 W Sunrise Blvd,Closed,+1 954-846-2350,Opens at 11:00 am
Karuizawa Prince Shopping Plaza,4.1,"(12,621)",Shopping mall,Karuizawa,Temporarily closed,+81 267-42-5211,Closing soon: 5:00 pm
Jewelry Trade Center Thailand,4.1,"(1,728)",Shopping mall,"919, 1 Si Lom",Temporarily closed,+66 2 630 1000,Open until 8:00 pm
The Outlets at Lake George,4.3,"(1,526)",Outlet mall,1424 U.S. 9,Closed,+1 518-793-3875,Opens at 10:00 am
Westfield Coomera,4.4,"(1,596)",Shopping mall,103 Foxwell Rd,Closed,+61 7 5656 1200,Opens at 9:00 am
Michael Kors Outlet,4.3,(585),Outlet store,Stadsweide 458,Temporarily closed,+31 475 311 235,Open until 6:00 pm
