section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,e0HygkTYhQy__attribute-content,section-result-info 2,section-result-info 3
Jollibee,4.2,(433),₱,Fast Food,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,(032) 520 7604,https://www.jollibee.com.ph/mandaue-parkmall/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 9:00 pm,Closed
Army Navy Burger + Burrito,4.2,(174),₱₱,Fast Food,"Metro, W Geonzon St",Fast-food chain with Filipino flavors,(032) 260 0055,https://www.armynavy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
Bayadpo Delivery And Services,4.1,(261),,Fast Food,"Corner Plaridel Street, Ac Cortes Avenue",Fast-food chain for grilled burgers,(032) 518 1801,,,,,,
Jollibee,4.5,(78),₱,Fast Food,,Fast-food chain with Filipino flavors,(02) 8898 7777,https://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
McDonald's,4.1,(360),₱,Fast Food,"Mambaling, Cebu S Rd",Iconic fast-food burger & fries chain,(032) 262 1020,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,,Temporarily closed
Orange Brutus,4.0,(6),,Fast Food,2 Archbishop Reyes Ave,Fast-food chain with Filipino flavors,(032) 231 5394,http://www.orangebrutus.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 10:00 pm,
KFC,4.2,(95),₱,Fast Food,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,(032) 268 7888,,,,Delivery,Open until 10:00 pm,
Orange Brutus,2.2,(6),,Fast Food,"12, One Pavilion Mall, 22 R. Duterte St, Banawe",Fast-food chain with Filipino flavors,(032) 268 5233,http://orangebrutus.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 8:30 pm,
McDonald's,4.1,(480),₱,Fast Food,Hernan Cortes St. Cor. A.S. Fortuna St.,Iconic fast-food burger & fries chain,(032) 343 0000,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
Jollibee,4.1,(350),₱,Fast Food,M. C. Briones St,Fast-food chain with Filipino flavors,(032) 346 2723,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 11:00 pm,
Jollibee SM L3,4.1,(178),₱,Fast Food,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,(032) 232 1627,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
Food 4 Az All,4.0,(277),,Fast Food,"Second Floor JY Square Mall, No. 1 Salinas Drive, Lahug",Iconic fast-food burger & fries chain,(032) 417 2378,,,,Delivery · Takeaway,,
Jollibee,4.2,(659),₱,Fast Food,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,(032) 343 6769,https://www.jollibee.com.ph/category/vis/mandaue-city-cebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 11:30 pm,
Jollibee,4.0,(45),₱,Fast Food,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,0947 365 0540,,,,Delivery,Open until 9:00 pm,
Jollibee,4.4,(157),₱,Fast Food,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,(032) 238 7000,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
McDonald's,3.8,(253),₱,Fast Food,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,(02) 8568 6236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,,
Lotching's Chinese Ngohiong,4.5,(11),,Fast Food,Tojong St,Fast-food chain for grilled burgers,(032) 350 5000,,,,Delivery,Open until 7:30 pm,
Wild Rice Food Express,5.0,(4),,Fast Food,"13, St. John Road, Sacred Heart Village Banawa",Fast-food chain with Filipino flavors,0922 364 1183,,,,Delivery,,
Cebu's Original Lechon Belly,4.2,(19),,Fast Food,"P Burgos St, P. Burgos Street",Chain with creative burgers & shakes,(032) 232 1155,http://www.cebuslechonbelly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
McDonald's,3.8,(132),₱,Fast Food,M.L. Quezon National Highway,Iconic fast-food burger & fries chain,0922 958 6972,,,,Delivery,Open until 10:00 pm,Temporarily closed
Jollibee,4.2,(257),₱,Fast Food,,Fast-food chain with Filipino flavors,(032) 268 4785,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,Closed
"Remros Food, Inc.",4.2,(174),,Fast Food,Cebu Business Park,Fast-food chain with Filipino flavors,(032) 233 8603,,,,Delivery,Open until 9:00 pm,
Hi-Flyers Food Incorporated,4.1,(261),,Fast Food,"3rd Floor, Paseo Verde, Archbishop Reyes Avenue, Cebu Business Park",Fast-food chain for grilled burgers,(032) 236 0229,,,,,,
RichJim's Food Avenue,4.5,(78),,Fast Food,V-1 Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,0999 322 4925,,,,Delivery,Open until 7:00 pm,
Letty's Snackhaus,4.1,(360),,Fast Food,Zone 13 Freedom Park Carbon Calderon St.,Iconic fast-food burger & fries chain,(032) 416 4855,http://lettys-snackhaus.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 8:00 pm,Temporarily closed
Aikasarap Food Station,4.0,(6),,Fast Food,Don Jose Avila Street,Fast-food chain with Filipino flavors,(032) 412 6988,,,,Delivery,Open until 10:00 pm,
Mang Inasal - 138 Mall,3.9,(87),,Fast Food,"Colonnade, 138 Colon St",Fast-food fried chicken chain,(032) 416 7500,http://www.manginasal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
Gencono's Grill and Restaurant,2.2,(6),,Fast Food,"Humay Humay Road, Sangi",Fast-food chain with Filipino flavors,(032) 341 3831,,,,Delivery · Takeaway,Open until 8:30 pm,
Chowking,3.9,(21),₱,Fast Food,"Upper Ground Floor., SM City Cebu, Cebu City",Iconic fast-food burger & fries chain,(032) 343 8888,,,,Delivery,Open until 8:00 pm,Temporarily closed
Jollibee,3.9,(113),₱,Fast Food,"st.,, Across, Basilica del Sto. Nino, Osmeña Boulevard, Osmeña Blvd",Fast-food chain with Filipino flavors,(032) 254 8004,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 10:00 pm,
Jollibee,4.1,(151),₱,Fast Food,Ouano Avenue,Fast-food chain with Filipino flavors,(032) 346 5463,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 10:00 pm,
Sinangag Station,4.0,(104),,Fast Food,N Escario St,Iconic fast-food burger & fries chain,(032) 412 2162,,,,Delivery · Takeaway,,
Jollibee,3.6,(31),₱,Fast Food,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,(032) 343 4819,,,,Delivery,Open until 11:30 pm,
Jollibee,3.6,(53),₱,Fast Food,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Open until 9:00 pm,,,,Delivery,0947 365 0540,
Orange Brutus,2.0,(3),,Fast Food,"Gaisano Grano Jai - Alai, Candido Padilla St",Fast-food chain with Filipino flavors,(032) 238 7000,http://www.orangebrutus.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
Jollibee,4.2,(165),₱,Fast Food,Ouano Avenue,Fast-food chain with Filipino flavors,,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,(02) 8568 6236,
Jollibee,3.8,(210),₱,Fast Food,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,(032) 412 0224,,,,Delivery,Open until 7:30 pm,
Jollibee,4.0,(471),₱,Fast Food,M.L. Quezon National Highway,Fast-food chain with Filipino flavors,0999 378 0907,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 11:00 pm,
Cebu's Original Lechon Belly,4.2,(117),,Fast Food,"The Maxwell Hotel, N Escario St",Chain with creative burgers & shakes,(032) 254 0033,http://www.cebuslechonbelly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 10:00 pm,
Breakfast Club,4.7,(6),,Fast Food,"Asiatown-It Park, Lahug",Iconic fast-food burger & fries chain,(032) 582 9861,,,,Delivery,Open until 10:00 pm,Temporarily closed
Jollibee,4.3,(12),,Fast Food,Osmeña Blvd,Fast-food chain with Filipino flavors,(032) 254 5300,,,,Delivery,Open until 10:00 pm,Closed
Dimsum Break,4.0,(27),₱₱,Fast Food,168 Park Mall Dr,Fast-food chain with Filipino flavors,(032) 268 5555,http://www.dimsumbreak.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 11:00 pm,
Kanadara Restaurant,4.1,(261),,Fast Food,F Ramos Street,Fast-food chain for grilled burgers,(032) 412 9017,,,,,,
The Rustic Food Corner,4.1,(14),,Fast Food,"Tree House, R Aboitiz St",Fast-food chain with Filipino flavors,Open until 7:00 pm,,,,Delivery,0999 322 4925,
Lola Inda Fast Food,1.0,(1),,Fast Food,F. Ramos St,Iconic fast-food burger & fries chain,(032) 253 4470,,,,Delivery · Takeaway,Open until 7:30 pm,Temporarily closed
Yan Q Barbecue,3.7,(9),,Fast Food,Bang-bang road Gaisano Grandmall Cordova LLC,Fast-food chain with Filipino flavors,0920 595 9295,https://www.yanqbbq.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
KFC,3.8,(36),,Fast Food,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,(032) 232 1438,,,,Delivery,Open until 9:00 pm,
Silogan ni Gian,4.0,(193),,Fast Food,Junquera St,Fast-food chain with Filipino flavors,Open until 8:30 pm,,,,Delivery · Takeaway,(032) 341 3831,
Jollibee Bulacao,4.1,(565),₱,Fast Food,Cebu S Rd,Fast-food chain with Filipino flavors,87000,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 8:00 pm,Temporarily closed
Jollibee,4.1,(181),₱,Fast Food,M. Logarta Ave,Fast-food chain with Filipino flavors,(032) 345 9980,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 10:00 pm,
MyJoy,3.8,(28),,Fast Food,10 Apitong St,Fast-food chain with Filipino flavors,(032) 231 5619,https://www.facebook.com/MyJoyPH/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 10:00 pm,
Chowking,3.7,(367),₱,Fast Food,"G/F Cinco Centrum, Fuente Osmeña Cir",Quick stop for familiar Chinese fare,(032) 253 4643,http://www.chowkingdelivery.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 8:00 pm,
Cebu's Original Lechon Belly,4.5,(13),,Fast Food,"Gov M. Cuenco, Banilad",Fast-food chain with Filipino flavors,0917 304 3528,http://www.cebuslechonbelly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 10:00 pm,
Orange Brutus,3.8,(50),,Fast Food,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,(032) 422 8000,http://orangebrutus.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
Prito Kings,2.0,(1),,Fast Food,"Sacred Heart School, 1774 General Maxilom Avenue Extension",Fast-food chain with Filipino flavors,(082) 221 1052,,,,Delivery,Open until 9:00 pm,
Dimsum Break,3.8,(21),₱₱,Fast Food,"Ground Floor, Elizabeth Mall N. Bacalso Ave, cor Leon Kilat St",Fast-food chain with Filipino flavors,(032) 254 5800,http://www.dimsumbreak.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
Chowking - SM City Cebu,5.0,(1),,Fast Food,Unnamed Road,Fast-food chain with Filipino flavors,Open until 7:30 pm,,,,Delivery,(032) 341 4023,
Jollibee Robinsons Cybergate,4.2,(40),₱,Fast Food,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,(032) 505 5758,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
Jollibee,4.1,(119),₱,Fast Food,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,(032) 231 5509,https://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 10:00 pm,
Majestic,4.1,(688),,Fast Food,"Robinsons Place Cebu, Fuente Osmeña Boulevard, Sta. Cruz",Fast-food chain with Filipino flavors,(032) 340 9713,,,,Delivery,Open until 10:00 pm,Temporarily closed
Jollibee,4.2,(411),₱,Fast Food,"Dial #87000, JL & Sons Building, 905, 6000 Francisco Llamas St",Fast-food chain with Filipino flavors,(032) 232 3956,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 11:00 pm,Closed
Orange Brutus,4.0,(5),,Fast Food,"Ground Floor, Elizabeth Mall Leon, Kilat Street",Fast-food chain with Filipino flavors,(032) 422 8000,http://orangebrutus.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
EPS FOOD STATION2,4.1,(141),,Fast Food,Poso Road Poblacion,Fast-food chain for grilled burgers,(032) 236 8410,,,,,Opens at 4:00 pm,Closed
McDonald's,5.0,(3),,Fast Food,"3rd Level, Ayala Center Cebu, Cebu Business Park",Fast-food chain with Filipino flavors,(032) 232 3700,https://mcdelivery.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Takeaway,Open until 10:00 pm,
Fil-Am Rose Restaurant,4.2,(204),,Fast Food,Fructuoso Ramos Street,Fast-food chain with Filipino flavors,(032) 412 5722,,,,Delivery,Open until 7:30 pm,Temporarily closed
McDonald's,3.6,(49),₱,Fast Food,"SM City Cebu, Juan Luna Ave Ext",Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 10:00 pm,
Beverly Room Restaurant,4.5,(2),,Fast Food,F. Manalo Street,Fast-food fried chicken chain,(032) 254 8570,,,,Delivery,Open until 10:00 pm,
Chowking,3.9,(234),₱,Fast Food,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,(032) 239 7713,,,,Delivery · Takeaway,Open until 7:00 pm,
Jollibee Escario DT,4.3,(200),₱,Fast Food,N Escario St,Fast-food chain with Filipino flavors,(032) 238 7000,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,Temporarily closed
Sallex Eatery,5.0,(2),,Fast Food,621 Poblacion Pardo,Fast-food chain with Filipino flavors,0917 944 7641,,,,Delivery,Open until 8:00 pm,
Sinangag Station,3.9,(37),,Fast Food,,Fast-food chain with Filipino flavors,Open until 9:00 pm,,,,Delivery,(032) 238 2200,
