section-result-title,cards-rating-score,section-result-num-ratings,section-result-hotel-price,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,section-result-info,section-result-header-container,section-result-location
Capitol Tourist Inn Inc - 1 Star,3.1,(127),,3-star hotel,,,,,Temporarily closed,,
Sarrosa International Hotel & Residential Suites,3.9,(556),"₱2,221",3-star hotel,Casual hotel with an indoor pool & a gym,Pool,Free parking,Free Wi-Fi,,,
OYO 465 Ford's Inn,3.8,(88),₱587,3-star hotel,Unassuming budget hotel with a cafe,Spa,Free parking,Free Wi-Fi,,,
Sugbutel Family Hotel,4.0,(686),,2-star hotel,,Free Wi-Fi,,,Temporarily closed,,
Sampaguita Suites,3.6,(394),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Mövenpick Hotel Mactan Island Cebu,4.5,"(3,390)","₱7,840",5-star hotel,Sleek hotel with a private beach & spa,Pool,Free Wi-Fi,Free parking,,,
Cebu Northwinds Hotel,3.8,(287),"₱1,530",3-star hotel,"Unassuming rooms, plus free breakfast",Free Wi-Fi,Free parking,,,,
Express Inn Mabolo,3.3,(325),,3-star hotel,,Free Wi-Fi,Free breakfast,,Temporarily closed,,
Seda Ayala Center Cebu,4.3,"(1,273)",,4-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
Connecting Flight Mactan Cebu Hostel,3.9,(44),,Hotel,,,,,Temporarily closed,,
Naps & Maps,4.0,(180),,2-star hotel,,Free Wi-Fi,Free breakfast,,Temporarily closed,,
Skypark Pensionne,3.9,(278),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
RedDoorz near UV Mandaue Cebu,3.9,(39),,Hotel,,Free Wi-Fi,,,Temporarily closed,,
Hostel 7 Cebu,4.3,(186),₱603,Hotel,Laid-back hostel with open-air dining,,,,,,
Bayfront Hotel Cebu,4.1,"(2,277)","₱2,068",3-star hotel,Casual lodging with dining & water views,Free Wi-Fi,Free parking,,,,
OYO 495 The Pocket Hotel,4.6,(20),₱849,Hotel,,Free Wi-Fi,Free breakfast,Free parking,,,
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)","₱1,266",5-star hotel,Tropical beachfront resort & luxury spa,Pool,Free Wi-Fi,Free parking,,,
Mezzo Hotel,4.0,(456),,4-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
Crown Regency Hotel & Towers,3.8,"(2,187)",,4-star hotel,,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,,
One Central Hotel - 3 Star,4.2,(629),,3-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
The Stopover Hostel - Mactan,3.2,(104),,2-star hotel,,Free Wi-Fi,,,Temporarily closed,,
Radisson Blu Cebu,4.5,"(2,918)","₱6,521",5-star hotel,High-end pick with a lavish outdoor pool,Pool,Free Wi-Fi,Free parking,,,
Capitol Tourist Inn Inc - 1 Star,3.1,(127),,3-star hotel,,,,,Temporarily closed,,
Well Hotel,3.9,(138),"₱1,068",2-star hotel,Low-key hotel with free breakfast,Free parking,Free Wi-Fi,Free breakfast,,,
S Hotel & Residence,4.2,(274),"₱1,628",3-star hotel,Basic hotel with free Wi-Fi & city views,Free parking,Free Wi-Fi,Free breakfast,,,
cebu leisure lodge,3.7,(71),₱724,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
OYO 208 Anika Suites,4.3,(52),,Hotel,Refined lodging with a rooftop pool,Free Wi-Fi,,,Temporarily closed,"₱3,773",
Amethyst Boutique Hotel Cebu,4.6,(69),"₱1,520",3-star hotel,Casual hotel with dining & event space,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
RedDoorz @ Bonifacio St Cebu,3.4,(58),,2-star hotel,"Unassuming rooms, plus free breakfast",Free Wi-Fi,,,Temporarily closed,"₱1,530",
RedDoorz @ Climaco Street Cebu,3.6,(12),,Hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
OYO 493 Bria Mactan,4.0,(25),,Hotel,,,,,Temporarily closed,,
Pacific Pensionne,3.5,(308),,3-star hotel,,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,,
Well Hotel,3.9,(138),,2-star hotel,,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
RedDoorz Plus near Talisay Town Center,3.8,(168),,Apartment building,,,,,Temporarily closed,,
Capitol Tourist Inn Inc - 1 Star,3.1,(127),,3-star hotel,Unassuming budget hotel with a cafe,,,,Temporarily closed,₱587,
Harolds,4.6,(9),,4-star hotel,"Unassuming rooms, plus free breakfast",Free Wi-Fi,,,Temporarily closed,"₱1,530",
Alpa City Suites,4.1,(505),,3-star hotel,Casual lodging with dining & water views,Free Wi-Fi,Free parking,,Temporarily closed,"₱2,068",
Connecting Flight Mactan Cebu Hostel,3.9,(44),,Hotel,,,,,Temporarily closed,₱849,
AllSon's Inn,3.7,(351),,2-star hotel,Tropical beachfront resort & luxury spa,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,266",
RedDoorz @ Bankal Lapulapu,2.6,(5),,Apartment building,,,,,Temporarily closed,,
Holiday Plaza Hotel,3.6,(216),"₱1,715",3-star hotel,Relaxed lodging with low-key dining,Free Wi-Fi,Free parking,,Temporarily closed,,
Hamersons Hotel - Best Affordable Hotel Near Fuente Osmeña Circle,4.0,(233),,3-star hotel,,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
The Center Suites,4.0,(270),"₱1,132",2-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free parking,,Temporarily closed,,
OYO 481 Sugbo Leisure Lodge,4.0,(1),,Hotel,High-end pick with a lavish outdoor pool,,,,Temporarily closed,"₱6,521",
Express Inn - Osmeña,3.8,(197),,3-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
Azia Suites & Residences,4.0,(328),"₱1,111",3-star hotel,Unpretentious hotel with informal dining,Free parking,Free Wi-Fi,,,,
Eastland Hotel and Residences,4.2,(39),"₱1,976",3-star hotel,"Simple rooms & suites, plus dining",Free parking,Free Wi-Fi,Free breakfast,,,
OYO 485 The Rooms By Alinace,3.7,(25),,Hotel,,Free Wi-Fi,Free parking,,Temporarily closed,₱724,
Cebu Guest House - Fuente,3.2,(102),,2-star hotel,Refined lodging with a rooftop pool,Free Wi-Fi,,,Temporarily closed,"₱3,773",
Maayo Hotel,4.5,"(1,996)",,3-star hotel,Casual hotel with dining & event space,Pool,Free Wi-Fi,,Temporarily closed,"₱1,520",
The Flying Fish Boutique Hostel Cebu,3.9,(34),,Hostel,"Unassuming rooms, plus free breakfast",Pool,Free Wi-Fi,Free parking,Temporarily closed,"₱1,530",
AOSMEC Square Hotel,3.7,(221),₱700,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
OYO 495 The Pocket Hotel,4.6,(20),₱849,Hotel,,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
Hotel Stella,3.3,(268),,3-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Westpoint Hotel,4.2,(61),,2-star hotel,,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
Dynasty Tourist Inn,3.5,(203),,3-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
BertLee's Pension Hauz,4.3,(15),,Hotel,Unassuming budget hotel with a cafe,,,,Temporarily closed,₱587,
Mad Monkey Hostel Cebu City,4.6,(501),,Hostel,"Unassuming rooms, plus free breakfast",Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,530",
EON Centennial Soho Hotel,3.8,(8),,3-star hotel,Casual lodging with dining & water views,,,,Temporarily closed,"₱2,068",
HEDDA HOTEL CEBU,4.1,(11),,Hotel,,Free Wi-Fi,Free parking,,Temporarily closed,₱849,
TR3ATS Guest House - 1.5 Star,3.7,(83),,2-star hotel,Tropical beachfront resort & luxury spa,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,266",
HQ Hostel Cebu,5.0,(25),,Hostel,,Free Wi-Fi,Free parking,,Temporarily closed,,
J & H Apartments,3.6,(21),,Serviced accommodation,Relaxed lodging with low-key dining,,,,Temporarily closed,"₱1,715",
Escario Central Hotel,4.2,(184),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Uncle Tom's Cabin Hotel,4.2,(484),,3-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,132",
Crown Port View Hotel,3.5,(102),,2-star hotel,High-end pick with a lavish outdoor pool,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱6,521",
Cest La Vie Pension,3.5,(80),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Dragon Home Inn,3.8,(184),₱931,2-star hotel,Low-key hotel with dining & free parking,Free parking,Free Wi-Fi,,,,
Leope Hotel,4.0,(329),"₱1,246",3-star hotel,Relaxed lodging with a restaurant,Free parking,Free Wi-Fi,,,,
Azia Suites & Residences,4.0,(328),,3-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,₱724,
Cebu Courtyard,3.1,(314),,2-star hotel,Refined lodging with a rooftop pool,Free Wi-Fi,Free parking,,Temporarily closed,"₱3,773",
ZEN Rooms M. Velez Street,4.0,(40),,3-star hotel,Casual hotel with dining & event space,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,520",
Cebu Budget Hotel - City Center,3.6,(7),,Hotel,"Unassuming rooms, plus free breakfast",,,,Temporarily closed,"₱1,530",
Quest Hotel and Conference Center - Cebu,4.3,"(2,817)","₱3,001",3-star hotel,Informal lodging with dining & a pool,Pool,Free Wi-Fi,,Temporarily closed,,
OYO 210 Apple Tree Suites,4.1,(123),"₱1,152",2-star hotel,Modest hotel with a restaurant/bar,Free Wi-Fi,Free parking,,Temporarily closed,,
Copenhagen East Residence,3.9,(84),,Hotel,,,,,Temporarily closed,,
Mabolo Royal Hotel,3.1,(51),"₱1,431",3-star hotel,Relaxed hotel offering free breakfast,Free Wi-Fi,Free breakfast,,Temporarily closed,,
OYO 238 Bertlee's Pension Hauz,3.7,(3),,Hotel,,Free Wi-Fi,,,Temporarily closed,,
Skyblue Hotel - 2 Star,3.3,(120),,3-star hotel,Unassuming budget hotel with a cafe,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,₱587,
Cebu Hotel Plus,4.3,(189),,3-star hotel,"Unassuming rooms, plus free breakfast",Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,530",
Harolds Hotel Cebu,4.4,"(1,193)",,4-star hotel,Casual lodging with dining & water views,Free Wi-Fi,Free parking,,Temporarily closed,"₱2,068",
Residenz Guesthouse,4.3,(52),,2-star hotel,,,,,Temporarily closed,₱849,
Honey Hunt House Pension,3.5,(155),₱850,2-star hotel,Simple budget hotel with dining,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
RedDoorz near The Persimmon Cebu,3.6,(28),,2-star hotel,,Free Wi-Fi,,,Temporarily closed,,
Cebu Grand Hotel,3.7,(286),,3-star hotel,Relaxed lodging with low-key dining,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,715",
Mayflower Inn,3.9,(230),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Escario Central Hotel,4.2,(184),,2-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,132",
RedDoorz near Talisay District Hospital,3.5,(102),,Guest house,High-end pick with a lavish outdoor pool,Free Wi-Fi,,,Temporarily closed,"₱6,521",
The Henry Hotel Cebu,4.3,(444),,4-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
Alpa City Suites,4.1,(505),"₱1,286",3-star hotel,Relaxed hotel with a restaurant,Free parking,Free Wi-Fi,,,,
MJ Hotel & Suites,4.0,(199),"₱2,296",3-star hotel,Relaxed lodging with a restaurant,Free breakfast,,,,,
NS Royal Hotel,3.6,(198),"₱1,437",2-star hotel,Casual hotel with a cafe & city views,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
Shejoje Poshtel Hostel - 2 Star,4.5,(146),,2-star hotel,Refined lodging with a rooftop pool,Free Wi-Fi,,,Temporarily closed,"₱3,773",
Cebu Budget Hotel - City Center,3.6,(7),,Hotel,Casual hotel with dining & event space,,,,Temporarily closed,"₱1,520",
18 Suites Cebu,4.6,(115),₱977,Hotel,Unassuming hotel with free Wi-Fi,Free Wi-Fi,Free parking,,Temporarily closed,,
Adelfa Hotel,4.0,(217),,2-star hotel,Informal lodging with dining & a pool,Free Wi-Fi,Free parking,,Temporarily closed,"₱3,001",
Caza Cebu,4.5,(2),,Lodging,Modest hotel with a restaurant/bar,,,,Temporarily closed,"₱1,152",
Marco Polo Plaza Cebu,4.5,"(2,615)","₱4,034",3-star hotel,Low-key hotel with dining & pools,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
RedDoorz Hernan Cortes,4.3,(20),,2-star hotel,Relaxed hotel offering free breakfast,Pool,Free Wi-Fi,Free parking,Temporarily closed,"₱1,431",
Cebu Guest Inn,4.1,(65),,2-star hotel,,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
Down south hostel - 1.5 Star,4.1,(46),"₱1,430",Hostel,Unassuming budget hotel with a cafe,Free Wi-Fi,Free parking,,Temporarily closed,,
Holiday Spa Hotel,3.9,(274),,3-star hotel,"Unassuming rooms, plus free breakfast",Pool,Free Wi-Fi,Free parking,Temporarily closed,"₱1,530",
Summit Galleria Cebu,4.3,(554),"₱3,842",3-star hotel,Trendy lodging with a pool & dining,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,,
Travellers Lounge Mixed Shared Dorm,4.8,(6),,Guest house,,Pool,,,Temporarily closed,₱849,
Mandarin Plaza Hotel,4.0,"(1,406)",,3-star hotel,Simple budget hotel with dining,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,₱850,
Palazzo Pensionne - 2.5 Star,4.2,(163),"₱1,103",2-star hotel,Low-key hotel with free breakfast,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
OYO 442 Ipark Hotel,3.8,(31),"₱1,266",Hotel,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,,
OYO 556 3j's And K Apartment,3.8,(12),,Hotel,,,,,Temporarily closed,,
RedDoorz Plus @ Hernan Cortes Cebu,4.0,(8),,Hotel,Simple budget hotel with a chapel,Pool,,,Temporarily closed,"₱1,132",
Cuarto Hotel Cebu,4.5,(300),,3-star hotel,High-end pick with a lavish outdoor pool,Free Wi-Fi,Free breakfast,,Temporarily closed,"₱6,521",
OYO 140 Jcad Hotel,3.6,(80),,Hotel,,,,,Temporarily closed,,
MJ Hotel & Suites,4.0,(199),"₱2,295",3-star hotel,Relaxed hotel with a restaurant,Free breakfast,,,,,
Express Inn - Osmeña,3.8,(197),"₱1,706",3-star hotel,Relaxed budget hotel with dining,Pool,Free parking,Free Wi-Fi,,,
RedDoorz near Maribago Barangay Hall,4.3,(4),,Guest house,Casual hotel with a cafe & city views,,,,Temporarily closed,"₱1,437",
Fuente Oro Business Suites,3.9,(187),,3-star hotel,Refined lodging with a rooftop pool,Free Wi-Fi,Free parking,,Temporarily closed,"₱3,773",
T AND B Room Rental,5.0,(2),,Hotel,Casual hotel with dining & event space,,,,Temporarily closed,"₱1,520",
ABC Hotel Cebu,4.2,(505),,3-star hotel,Unassuming hotel with free Wi-Fi,Free Wi-Fi,Free parking,,Temporarily closed,₱977,
The Orchard Cebu,3.4,(178),,3-star hotel,Informal lodging with dining & a pool,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱3,001",
Southpole Central Hotel,3.8,(194),,3-star hotel,Modest hotel with a restaurant/bar,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,152",
The Stopover Hostel - Mactan,3.2,(104),,2-star hotel,Low-key hotel with dining & pools,Free Wi-Fi,,,Temporarily closed,"₱4,034",
Toyoko Inn Cebu,4.0,"(1,680)","₱2,000",3-star hotel,Simple hotel offering free breakfast,Free Wi-Fi,Free breakfast,,Temporarily closed,,
GV Hotel Talisay,3.6,(92),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Westview Pension,3.5,(41),,2-star hotel,Unassuming budget hotel with a cafe,,,,Temporarily closed,"₱1,430",
Castle Peak Hotel,4.0,"(1,073)",,3-star hotel,"Unassuming rooms, plus free breakfast",Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,530",
RedDoorz @ Junquera Extension Cebu,4.1,(48),,3-star hotel,Trendy lodging with a pool & dining,Free Wi-Fi,Free parking,,Temporarily closed,"₱3,842",
Tropical Hostel Cebu Center,3.6,(64),,2-star hotel,,,,,Temporarily closed,₱849,
Crowne Garden Hotel,3.7,(199),"₱1,162",2-star hotel,Unassuming lodging with a restaurant,Free Wi-Fi,Free parking,,Temporarily closed,,
Cebu Westown Lagoon,4.2,"(1,225)",,3-star hotel,Low-key hotel with free breakfast,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,103",
Elicon House,3.8,(218),"₱1,143",Cafe,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,,
The Seven Archangels Pension House,3.7,(16),,Hostel,,,,,Temporarily closed,,
Friendly's Guesthouse Hostel - 1.5 Star,3.1,(75),,2-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,132",
RedDoorz Plus @ Mabolo Cebu,4.0,(59),,3-star hotel,High-end pick with a lavish outdoor pool,Pool,,,Temporarily closed,"₱6,521",
Bee-Force Backpackers Inn-Cebu,3.5,(2),,Bed & breakfast,,Free Wi-Fi,Free parking,,Temporarily closed,,
MJ Hotel & Suites,4.0,(199),"₱2,295",3-star hotel,Relaxed hotel with a restaurant,Free breakfast,,,,,
Express Inn - Osmeña,3.8,(197),"₱1,706",3-star hotel,Relaxed budget hotel with dining,Pool,Free parking,Free Wi-Fi,,,
RedDoorz near Maribago Barangay Hall,4.3,(4),,Guest house,Casual hotel with a cafe & city views,,,,Temporarily closed,"₱1,437",
Fuente Oro Business Suites,3.9,(187),,3-star hotel,Refined lodging with a rooftop pool,Free Wi-Fi,Free parking,,Temporarily closed,"₱3,773",
T AND B Room Rental,5.0,(2),,Hotel,Casual hotel with dining & event space,,,,Temporarily closed,"₱1,520",
ABC Hotel Cebu,4.2,(505),,3-star hotel,Unassuming hotel with free Wi-Fi,Free Wi-Fi,Free parking,,Temporarily closed,₱977,
The Orchard Cebu,3.4,(178),,3-star hotel,Informal lodging with dining & a pool,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱3,001",
Southpole Central Hotel,3.8,(194),,3-star hotel,Modest hotel with a restaurant/bar,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,152",
The Stopover Hostel - Mactan,3.2,(104),,2-star hotel,Low-key hotel with dining & pools,Free Wi-Fi,,,Temporarily closed,"₱4,034",
Toyoko Inn Cebu,4.0,"(1,680)","₱2,000",3-star hotel,Simple hotel offering free breakfast,Free Wi-Fi,Free breakfast,,Temporarily closed,,
GV Hotel Talisay,3.6,(92),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Westview Pension,3.5,(41),,2-star hotel,Unassuming budget hotel with a cafe,,,,Temporarily closed,"₱1,430",
Castle Peak Hotel,4.0,"(1,073)",,3-star hotel,"Unassuming rooms, plus free breakfast",Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,530",
RedDoorz @ Junquera Extension Cebu,4.1,(48),,3-star hotel,Trendy lodging with a pool & dining,Free Wi-Fi,Free parking,,Temporarily closed,"₱3,842",
Tropical Hostel Cebu Center,3.6,(64),,2-star hotel,,,,,Temporarily closed,₱849,
Crowne Garden Hotel,3.7,(199),"₱1,162",2-star hotel,Unassuming lodging with a restaurant,Free Wi-Fi,Free parking,,Temporarily closed,,
Cebu Westown Lagoon,4.2,"(1,225)",,3-star hotel,Low-key hotel with free breakfast,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,103",
Elicon House,3.8,(218),"₱1,143",Cafe,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,,
The Seven Archangels Pension House,3.7,(16),,Hostel,,,,,Temporarily closed,,
Friendly's Guesthouse Hostel - 1.5 Star,3.1,(75),,2-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,132",
RedDoorz Plus @ Mabolo Cebu,4.0,(59),,3-star hotel,High-end pick with a lavish outdoor pool,Pool,,,Temporarily closed,"₱6,521",
7 Days Inn,3.6,(16),,3-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Go Land Pension House,4.2,(14),"₱1,120",2-star hotel,Unassuming hotel with a casino & a spa,,,,,,
Bayfront Hotel Cebu,4.1,"(2,277)","₱2,068",3-star hotel,Casual lodging with dining & water views,Spa,Free parking,Free Wi-Fi,,,
OYO 157 Casa Venna Pension House,3.2,(25),,3-star hotel,Casual hotel with a cafe & city views,Free parking,,,Temporarily closed,"₱1,437",
S Hotel & Residence,4.2,(274),,3-star hotel,Refined lodging with a rooftop pool,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,₱965,
The Beverly Boutique Business Hotel,4.1,(165),,3-star hotel,Casual hotel with dining & event space,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,187",
Palm Grass The Cebu Heritage Hotel,4.1,(379),"₱1,618",3-star hotel,Down-to-earth lodging with a rooftop bar,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,,
San Jose Pension,3.5,(55),,2-star hotel,Informal lodging with dining & a pool,Free Wi-Fi,,,Temporarily closed,"₱3,001",
Hotel Pier Cuatro,3.7,(502),,2-star hotel,Modest hotel with a restaurant/bar,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,152",
Murals Hostel & Cafe - 2.5 Star,4.6,(124),,Hostel,Low-key hotel with dining & pools,,,,Temporarily closed,"₱4,034",
Nomads Hub Coliving Hostel Cebu,4.7,(45),,Hostel,Simple hotel offering free breakfast,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱2,000",
Cargotel Travel Inn,4.5,(4),"₱1,212",Hotel,,,,,Temporarily closed,,
RedDoorz Plus @ AS Fortuna Cebu,3.9,(37),,2-star hotel,Unassuming budget hotel with a cafe,Free Wi-Fi,Free parking,,Temporarily closed,₱477,
Allure Hotel & Suites,3.9,(295),,3-star hotel,"Unassuming rooms, plus free breakfast",Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱1,530",
Best Western Plus Lex Cebu,4.3,(839),,3-star hotel,Trendy lodging with a pool & dining,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,₱853,
Wellcome Hotel,3.9,(585),,3-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,₱849,
Dragon Home Inn,3.8,(184),,2-star hotel,Unassuming lodging with a restaurant,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,162",
Alicia Tower Residences,3.9,(227),₱765,2-star hotel,Laid-back hostel with a cafeteria,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,,
Studio units in Persimmon Residences by AMID,5.0,(2),,Hotel,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,"₱1,143",
Cozy Avida Tower 1 inside I.T park Cebu,5.0,(1),,2-star hotel,,,,,Temporarily closed,,
Mactan Cebu Waiting Lounge,4.3,(29),,Hotel,Simple budget hotel with a chapel,,,,Temporarily closed,₱968,
GV Hotel Lapulapu,3.3,(148),,2-star hotel,High-end pick with a lavish outdoor pool,Free Wi-Fi,Free parking,,Temporarily closed,"₱6,521",
OYO 540 Verovino Suites,3.6,(16),₱938,Hotel,,,,,Temporarily closed,,
Harolds Hotel Cebu,4.4,"(1,193)","₱2,286",4-star hotel,Refined hotel with a rooftop bar/lounge,Spa,Free parking,Free Wi-Fi,,,
Quest Hotel and Conference Center - Cebu,4.3,"(2,817)","₱3,001",3-star hotel,Informal lodging with dining & a pool,Pool,Free Wi-Fi,,,,
The Maxwell Hotel,3.8,(310),,3-star hotel,Casual hotel with a cafe & city views,Free Wi-Fi,Free parking,,Temporarily closed,"₱1,437",
Doña Mercedes Hostel - 1.5 Star,3.4,(26),,Hostel,Refined lodging with a rooftop pool,,,,Temporarily closed,₱965,
RedDoorz near Shopwise Express Basak-Sudtunggan,4.1,(165),,Hotel,Casual hotel with dining & event space,,,,Temporarily closed,"₱1,187",
Cityscape Hotel Cebu and Mandaue (Official),3.6,(220),,3-star hotel,Down-to-earth lodging with a rooftop bar,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,"₱1,618",
magabelle guesthouse - 2 Star,4.3,(38),,Bed & breakfast,Informal lodging with dining & a pool,Free Wi-Fi,Free breakfast,Free parking,Temporarily closed,"₱3,001",
Pillows Hotel,4.0,(385),"₱1,661",3-star hotel,Laid-back lodging with a cafe & a gym,Free Wi-Fi,Free parking,,Temporarily closed,,
Peach Haven,3.6,(11),,Hostel,Low-key hotel with dining & pools,,,,Temporarily closed,"₱4,034",
