section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-info 2,section-result-info 3
NMF Arcade,4.0,(3),Shopping mall,345 V Rama Ave,Large shopping mall with a cinema,Open until 10:00 pm,0923 911 7260,Temporarily closed
Design Center of Cebu,4.3,(94),Shopping mall,"356-A A.S. Fortuna Corner P Remedio Streets,, Banilad",,Open until 8:30 pm,0917 711 4196,Temporarily closed
SK Building,3.0,(1),Shopping mall,"948 6045, Bulacao Bridge",,,(032) 256 0833,Temporarily closed
Chai Skin Beauty Centre,4.5,(57),Shopping mall,127 Jose L.Briones,,,,Temporarily closed
Gaisano Grand Mall Mandaue Centro,3.7,(9),Shopping mall,A. Del Rosario St,Shopping mall with casual eateries,Open until 9:00 pm,(032) 520 6040,Temporarily closed
"Ayala Center Cebu, Cardinal Rosales Avenue, Cebu City, Cebu",4.3,(49),Outlet mall,"Ayala Center, Cardinal Rosales Ave",Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 231 5641,Temporarily closed
The Space,4.1,(151),Shopping mall,"6014, 869 A. S. Fortuna St",Trendy mall with familiar offerings,Open until 8:30 pm,(032) 231 5641,Temporarily closed
Robinsons Galleria Cebu,4.5,"(1,711)",Shopping mall,"Gen. Maxilom Avenue Extension, Sergio Osmeña Jr Boulevard",Large modern mall with a cinema,,(032) 231 5030,Temporarily closed
Avenue Foundry Shop Incorporated,1.0,(1),Shopping mall,36 M L Quezon Street,"Clothing, food & housewares stores",Open until 8:00 pm,(032) 345 0106,Temporarily closed
Gingersnaps,4.3,(311),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",,,(032) 231 5641,Temporarily closed
Mikaela's Pet Supplies,4.1,(324),Shopping mall,Don-Wen Bldg,"Large, open-air shopping center",Open until 9:00 pm,(032) 231 5641,Temporarily closed
Gaisano Grand Jai - Alai,3.9,(199),Shopping mall,Candido Padilla St,Modern shopping mall with a cinema,Open until 8:00 pm,0933 942 4398,Temporarily closed
Insular Square,4.0,(680),Shopping mall,31 Central Nautical Hwy,,Open until 9:30 pm,(032) 346 8824,Temporarily closed
블루헤븐,1.0,(1),Shopping mall,"Beside Remian Hotel, M.L. Quezon National Highway","Shopping, dining & entertainment complex",Open until 8:00 pm,(032) 245 4769,Temporarily closed
Gaisano Grand Fiestamall Tabunok,3.4,(17),Shopping mall,Cebu S Rd,,Open until 9:00 pm,(032) 273 0588,Temporarily closed
Gaisano Capital Tisa,3.7,(571),Shopping mall,417 Francisco Llamas St,,Open until 8:00 pm,(032) 262 7777,Temporarily closed
Nike Women,4.0,(4),Shopping mall,"Ground Floor, Expansion Mall, Bohol Avenue, Ayala center",,Open until 7:00 pm,(032) 233 6336,Temporarily closed
Gaisano Grand Mall Minglanilla,3.8,(562),Shopping mall,Cebu S Rd,Mall with a food court & restaurants,Open until 9:00 pm,(032) 273 8866,Temporarily closed
Pacific Mall Mandaue,4.2,(403),Shopping mall,U.N. Ave,,Open until 9:00 pm,(032) 415 7055,Temporarily closed
Gaisano Grand Mandaue North,3.9,(167),Shopping mall,,,Open until 9:00 pm,(032) 491 3732,Temporarily closed
IL Corso Mall,4.1,(224),Shopping mall,"IL Corso Mall, 6000 Cebu South Coastal Rd",Large shopping mall with a cinema,Open until 10:00 pm,(032) 232 0085,Temporarily closed
City Times Square Mactan,4.1,(20),Shopping mall,,,Open until 8:30 pm,(032) 410 4014,Temporarily closed
PLAZA MARGARITA,3.9,(30),Shopping mall,,,,(032) 256 0833,Temporarily closed
We R Overrunners,1.0,(1),Shopping mall,,,,,Temporarily closed
Play town,3.7,(9),Shopping mall,Gorordo Ave,Shopping mall with casual eateries,Open until 9:00 pm,(032) 520 6040,Temporarily closed
The Persimmon Plus,4.2,(353),Shopping mall,M. J. Cuenco Ave,Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 231 5641,Temporarily closed
City Time Square 2,4.5,(22),Shopping mall,Mantawe Ave,Trendy mall with familiar offerings,Open until 8:30 pm,(032) 231 5641,Temporarily closed
Gaisano Grand Mall Mandaue North,1.0,(2),Shopping mall,,Large modern mall with a cinema,,(032) 273 0588,Temporarily closed
Dr. Janos B. Vizcayno Bldg.,1.0,(1),Shopping mall,Gov. M. Cuenco Ave,"Clothing, food & housewares stores",Open until 8:00 pm,(032) 345 0106,Temporarily closed
The Eden,3.9,(13),Shopping mall,Pelaez St,,,(032) 231 5641,Temporarily closed
The IL Corso Lighthouse,4.2,(17),Shopping mall,"IL Corso, City di Mare, 6000 Cebu South Coastal Rd","Large, open-air shopping center",Open until 9:00 pm,(032) 231 5641,Temporarily closed
S&R Membership Shopping,4.3,"(1,453)",Shopping mall,168 Ouano Avenue,Modern shopping mall with a cinema,Open until 9:00 pm,(032) 238 9998,Temporarily closed
Belmont One,4.3,(9),Shopping mall,,,Open until 9:30 pm,0977 808 8000,Temporarily closed
SM City Cebu - Northwing Atrium,4.6,(17),Shopping mall,SM City Cebu Northwing,"Shopping, dining & entertainment complex",Open until 8:00 pm,(032) 245 4769,Temporarily closed
North Atrium Mandaue,3.6,(107),Shopping mall,Manuel C. Briones Highway,,Open until 9:00 pm,(032) 344 1727,Temporarily closed
Miniso,4.3,(218),Shopping mall,"Sm City Cebu, 2nd floor, Juan Luna Ave Ext",,Open until 8:00 pm,(032) 262 7777,Temporarily closed
PUFF HARD VAPE SHOP,4.0,(4),Shopping mall,R. Duterte St,,Open until 7:00 pm,0905 485 1865,Temporarily closed
Terranova,5.0,(2),Outlet mall,,Mall with a food court & restaurants,Open until 9:00 pm,(032) 273 8866,Temporarily closed
City Wing,4.4,(42),Outlet mall,,,Open until 9:00 pm,(032) 415 7055,Temporarily closed
atomy cebu dream center,3.9,(167),Shopping mall,PH Cebu City 3rd floor unit 302 MIT building at,,Open until 9:00 pm,0922 702 2523,Temporarily closed
White Gold Club,3.9,(199),Shopping mall,A. Soriano Ave,Large shopping mall with a cinema,Open until 10:00 pm,(032) 415 7081,Temporarily closed
samsung j7 pro,4.1,(20),Shopping mall,"Gaisano Grand Fiesta Mall, Back Road",,Open until 8:30 pm,(032) 410 4014,Temporarily closed
GAISANO EXPRESS LABANGON,4.1,(13),Shopping mall,328 Tres de Abril St,,,(032) 256 0833,Temporarily closed
Bosch Design Center (Home Appliances),5.0,(1),Shopping mall,A. S. Fortuna St,,,(032) 418 1083,Temporarily closed
Cebu Pasalubong Centre,4.0,(4),Shopping mall,"Mactan Marina Mall, Quezon National Highway",Shopping mall with casual eateries,Open until 9:00 pm,(032) 341 4731,Temporarily closed
Axis Entertainment Avenue,4.3,(259),Shopping mall,"Vibo Place, N Escario St",Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 412 2316,Temporarily closed
"Work Experts and Allied Services, Inc - NORTHSIDE BUSINESS HUB Bldg.",3.0,(1),Shopping mall,"G. Lopez Jaena corner A.P. Cortes streets, Tipolo, Mandaue City, Lopez Jaena St",Trendy mall with familiar offerings,Open until 8:30 pm,0917 530 9798,Temporarily closed
Tri-Ace Automotive Centre,4.3,(4),Shopping mall,"JAC Building, 519 M. J. Cuenco Ave",Large modern mall with a cinema,,(032) 254 8748,Temporarily closed
S.L Enterprises,3.9,(13),Shopping mall,Central Nautical Hwy,"Clothing, food & housewares stores",Open until 8:00 pm,(032) 239 6782,Temporarily closed
"Globe Gcash - Globelines Payments and Services Centers, SM",3.0,(16),Shopping mall,"2nd Floor SM City Cebu, North Reclamation, Cebu City, Cebu",,,(032) 412 8979,Temporarily closed
TABS & PACS TARI SHOP,4.2,(17),Shopping mall,,"Large, open-air shopping center",Open until 9:00 pm,0922 570 5278,Temporarily closed
Pull & Bear @2floor,4.5,(2),Outlet mall,"Ayala Center, 176 Archbishop Reyes Ave",Modern shopping mall with a cinema,Open until 9:00 pm,(032) 238 9998,Temporarily closed
Insular Square,4.2,(11),Shopping mall,North Road,,Open until 9:30 pm,(032) 346 8824,Temporarily closed
Gaisano Capital Casuntingan,3.7,(254),Outlet mall,M. L. Quezon Ave,"Shopping, dining & entertainment complex",Open until 8:00 pm,(032) 420 7083,Temporarily closed
Bosnic Marketing,3.6,(107),Shopping mall,"243 Bosnic Way, Camino",,Open until 9:00 pm,0945 158 6828,Temporarily closed
GAISANO COUNTRY MALL - GENSET AREA,4.3,(218),Shopping mall,,,Open until 8:00 pm,(032) 262 7777,Temporarily closed
"Prepper's Point Tactical, Rescue and Outdoor Gear (APM Branch)",4.0,(4),Shopping mall,,,Open until 7:00 pm,(032) 324 0895,Temporarily closed
Polyprism Game Station,4.3,(3),Shopping mall,Lopez - Jaena St,Mall with a food court & restaurants,Open until 9:00 pm,0932 789 2041,Temporarily closed
mandaue branch,4.4,(42),Shopping mall,"727 A A.S.Fortuna,Mandaue City, 6014 A.S.Fortuna",,Open until 9:00 pm,(032) 415 7055,Temporarily closed
Vans (Footwear),3.9,(167),Outlet mall,"GF level Ayala Centet, 6000 Cardinal Rosales Ave",,Open until 9:00 pm,0922 702 2523,Temporarily closed
Watsons Gaisano Grand Mall Mandaue,4.0,(357),Health and beauty shop,A. Del Rosario St Cebu,Large shopping mall with a cinema,Open until 9:00 pm,0917 843 1286,Temporarily closed
The Promenade Mactan,4.0,(2),Outlet mall,Punta Engaño Rd,,Open until 8:30 pm,(032) 410 4014,Temporarily closed
unit 103 tango plaza building,4.2,(6),Shopping mall,"Tango, Queen's Rd",,,(032) 256 0833,Temporarily closed
Enjoy Shopping Center,5.0,(1),Shopping mall,Cebu N Rd,,Open until 8:00 pm,(032) 418 1083,Temporarily closed
Dok-Apo Outlet,3.6,(13),Outlet mall,,Shopping mall with casual eateries,Open until 9:00 pm,(032) 341 4731,Temporarily closed
Mountain Wing,4.4,(69),Outlet mall,,Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 412 2316,Temporarily closed
SM Department Store,4.3,(70),Shopping mall,,Trendy mall with familiar offerings,Open until 7:00 pm,0917 530 9798,Temporarily closed
Cube Wing,4.0,(4),Outlet mall,,Large modern mall with a cinema,,0906 079 6252,Temporarily closed
Watsons Gaisano Grand Mall Mandaue,4.0,(1),Health and beauty shop,A. Del Rosario St,"Clothing, food & housewares stores",Open until 9:00 pm,0917 843 1286,Temporarily closed
JINKSMITH STORE,5.0,(1),Shopping mall,Cebu N Rd,,,(032) 412 8979,Temporarily closed
Diaper Factory Outlet,3.8,(4),Outlet mall,969 V Rama Ave,"Large, open-air shopping center",Open until 9:00 pm,0922 570 5278,Temporarily closed
"CityMall - Consolacion, Cebu",3.9,(437),Shopping mall,Sta. Lucia Town Square,Modern shopping mall with a cinema,Open until 9:00 pm,(032) 268 5654,Temporarily closed
"MINISO, SM Consolacion",4.5,(2),Shopping mall,SM,,Open until 9:30 pm,(032) 346 8824,Temporarily closed
SM City Consolacion,4.2,"(2,232)",Shopping mall,SM City Consolacion Lamac Consolacion,"Shopping, dining & entertainment complex",Open until 7:00 pm,(032) 231 0557,Temporarily closed
UNITOP,3.7,(191),Shopping mall,184 Osmeña Blvd,,Open until 9:00 pm,(032) 255 1489,Temporarily closed
Tiktilaok!,2.0,(1),Shopping mall,"Robinsons Place Cebu, Fuente Osmeña Cir",,Open until 8:30 pm,0922 825 7156,Temporarily closed
CityMall Danao,4.1,(315),Shopping mall,F. Ralota St,,Open until 7:00 pm,(032) 340 1981,Temporarily closed
Centrio Mall,4.3,"(4,572)",Shopping mall,"Claro M. Recto Avenue, corner Corrales Ave",Mall with a food court & restaurants,Open until 9:00 pm,0975 304 6523,Temporarily closed
Timberland,4.4,(42),Clothing store,"Active Zone, Ayala Center, Archbishop Reyes Ave. Cebu Business Park",,Open until 9:00 pm,(032) 505 7228,Temporarily closed
Red Ribbon,4.2,(6),Cake shop,Groundfloor Leon Kilat St,Filipino bakery selling cakes & pastries,Open until 8:00 pm,(032) 255 8313,Temporarily closed
Pacific Mall,4.1,"(3,644)",Stores and shopping,U.N. Ave,Large shopping mall with a cinema,Open until 9:00 pm,0943 397 6692,Temporarily closed
