section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Jook Hair Korean Salon,4.2,(18),Beauty salon,,Temporarily closed,(032) 514 1765,http://jookhairfamily.blogspot.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Uneek - His and Her Style Salon,,,Beauty salon,Central Nautical Hwy,Temporarily closed,(032) 238 7859,,,
Chelsea hair. nails. beauty,4.6,(7),Beauty salon,98 D Gorordo Ave,Temporarily closed,0916 324 5244,,,
Anna Grace's Beauty Salon,,,Beauty salon,Mepz 1,Temporarily closed,(032) 495 9613,,,
God Bless Hair salon,4.0,(1),Beauty salon,395 A. Del Rosario St,Temporarily closed,(032) 420 7420,,,
Hott Hedz Salon,4.7,(13),Beauty salon,"3rd stall JSP Building, Echavez Street corner General Maxilom, Cebu City, Cebu",Temporarily closed,(032) 238 6068,,,
Loops Style And Trend Salon,4.0,(1),Beauty salon,"Chatswood Bldg, H. Cortes St Cor A. S Fortuna St",Temporarily closed,0923 463 8646,http://www.facebook.com/LoopsStyleAndTrendSalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Piandre Salon,2.6,(31),Beauty salon,"Oakridge Business Park, AS Fortuna",Temporarily closed,(032) 412 1824,http://piandre.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Fe & Nicole Salon And Spa,2.3,(8),Beauty salon,Gorordo Ave,Temporarily closed,(032) 268 7589,https://www.facebook.com/pages/Fe-And-Nicole-Salon/338718372811129,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,2.6,(22),Beauty salon,"SM City Cebu, north reclamation area",Temporarily closed,(032) 232 0689,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BE-U Simply Fab.,1.0,(4),Beauty salon,"Robinson Fuente Building, Fuente Osmeña Cir",Temporarily closed,(032) 255 3389,http://www.facebook.com/pages/BE-U-Simply-Fab-Robinsons/242457705885534,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mirangcurl Korean Salon,4.3,(77),Beauty salon,"Bonifacio District, 6000, F. Cabahug St",Temporarily closed,0906 591 4550,https://www.facebook.com/MirangcurlMaboloCebu/?ref=br_rs,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Melomer's Beauty saloon,3.8,(4),Beauty salon,"697 m. Dela Concepcion Street 697 m .dela cocepcion street, 697 m.dela copcepcion street",Temporarily closed,0919 379 0164,,,
Jeeb's Salon And Spa,4.0,(2),Beauty salon,F. Ramos St,Temporarily closed,(032) 255 0811,https://www.facebook.com/pages/Jeebs-Salon-And-Spa/262005013831948,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Juvel Salon,3.8,(31),Beauty salon,"Club Ultima Tower 3, 306 F. Ramos St",Temporarily closed,(032) 256 2730,https://www.facebook.com/pages/Juvel-Salon/408639069225839,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Image Salon,3.5,(6),Beauty salon,F. Ramos St,Temporarily closed,0905 228 8091,,,
Dindo Salon X'Clusive,4.3,(33),Beauty salon,Archbishop Reyes Ave,Temporarily closed,(032) 232 9832,,,
Elysian Salon Cebu,4.9,(7),Beauty salon,Unit 105 Vel Ouano Center M.C. Briones St. highway Brgy Maguikay,Temporarily closed,(032) 326 4236,,,
Kaiz Salon & Spa,4.5,(37),Beauty salon,102 Gov. M. Roa St,Temporarily closed,(032) 513 6567,,,
Salon De Shinjuku,3.8,(4),Beauty salon,Archbishop Reyes Ave,Temporarily closed,(032) 401 0536,,,
Salon De Sugbo,4.2,(18),Beauty salon,"CORNER SALINAS DRIVE EXTENSION AND GORORDO AVENUE, Gorordo Ave",Temporarily closed,0915 665 7084,,,
Franzy Hair Salon,2.9,(8),Beauty salon,Gaisano Mall,Temporarily closed,(032) 341 5586,,,
Salon De Rose,4.0,(8),Beauty salon,"J Centere Mall, As Fortuna Street",Temporarily closed,(032) 326 2585,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.2,(9),Beauty salon,"Gaisano Grand Mall, Corner Basak-Sisi-Agus Rd",Temporarily closed,(032) 238 8998,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Beauty Cclim,4.2,(11),Beauty salon,,Temporarily closed,0905 522 9002,,,
La Metisse,4.1,(19),Beauty salon,"Raintree Mall, 582 General Maxilom Ave",Temporarily closed,0932 117 4135,http://www.lametisse.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon de Rose,2.0,(6),Beauty salon,"Unno Bldg, J. Llorente St",Temporarily closed,(032) 253 1331,,,
Salon De Rose,5.0,(1),Beauty salon,Shopwise Basak South Road,Temporarily closed,(032) 266 6379,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Freshaire Hair Straightening Center,2.3,(8),Beauty salon,"Basement 2, Ayala Center Cebu, Bohol Avenue, Cebu Business Park",Temporarily closed,(032) 233 5913,,,
Cut Encarnacion Group Of Salon,3.7,(21),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 253 3423,http://www.facebook.com/CutSalonEncarnacionGroupOfSalon,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Fulgarinas Arsenia Salon,1.0,(4),Beauty salon,H Cortes Street,Temporarily closed,(032) 346 1452,,,
Arielle Salon,4.0,(5),Hair salon,Gonzales Compound,Temporarily closed,0942 027 9461,,,
Salon De Rose,3.2,(12),Beauty salon,1 Salinas Dr,Temporarily closed,(032) 260 2009,https://www.facebook.com/salonderose/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Anna Grace's Beauty Salon,4.0,(2),Beauty salon,"Llaban Building, Gaisano Country Mall, Talamban Road, Banilad, Cebu City, corner Kabangkalan Street, Talamban",Temporarily closed,(032) 415 8310,,,
Rica's Salon,3.7,(3),Beauty salon,Maximo V. Patalinghug Jr. Avenue,Temporarily closed,(032) 256 2730,,,
David's Salon,3.5,(6),Beauty salon,Grd. Flr. Arcenas Estate,Temporarily closed,(032) 262 1275,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mirangcurl Korea Hair Salon,3.8,(5),Beauty salon,3rd level SM Seaside City,Temporarily closed,(032) 232 9832,,,
Albert Hair Studio,3.0,(6),Beauty salon,Datag,Temporarily closed,(032) 239 2678,,,
URBAN Style,4.5,(37),Beauty salon,,Temporarily closed,(032) 518 5101,,,
Jude Gabato Salon,4.0,(3),Beauty salon,,Temporarily closed,0925 788 8863,http://www.facebook.com/judiegabato,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Camellia Nail, Skin and Body",5.0,(3),Beauty salon,"Unit 165, 2nd level, J Centre Mall, A. S. Fortuna St",Temporarily closed,(032) 260 1805,,,
Bangs Prime Salon - SM Seaside Cebu,3.4,(9),Beauty salon,3rd Floor Wellness Zone SM Seaside Cebu,Temporarily closed,(032) 410 7412,http://bangsprimesalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Fleek Eyebrows And Beauty Clinic,4.0,(8),Beauty salon,SM Seaside Cebu 3rd floor Mountain Wing,Temporarily closed,(032) 326 2585,,,
Jolly Barbers,1.0,(1),Beauty salon,"Basement 1, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Temporarily closed,(032) 231 5753,,,
Beauty by hera,4.2,(14),Nail salon,,Temporarily closed,(032) 239 6665,https://www.beautynailhairsalons.com/PH/Cebu-City/1415608582029938/Beauty-by-Hera,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Freshaire,2.7,(3),Beauty salon,"PL21,Basement 2,Ayala Center Cebu,Cebu Business Park,Archbishop Reyes Avenue,Cebu City 6000,Metro Cebu",Temporarily closed,(032) 412 7811,,,
Ohairsalon,2.0,(6),Beauty salon,"Unit 11, St.Patrick Square, Don Ramon Aboitiz Street",Temporarily closed,(032) 254 0473,,,
Weel Being Spa,5.0,(1),Beauty salon,"5th Floor, Penthouse, Amslai Building, Salinas Drive, Lahug",Temporarily closed,(032) 232 3332,,,
Hair Gallery,4.7,(3),Beauty salon,Arlington St.,Temporarily closed,0922 850 1155,,,
I-Lash Salon - SM Cebu,3.7,(21),Beauty salon,"215A 2nd Floor, Northwing, SM Cebu City, North Reclamation Area",Temporarily closed,0929 649 1990,,,
Pearl Essence De,1.0,(4),Beauty salon,A. C. Cortes Ave,Temporarily closed,0935 802 4104,,,
David's Salon Shopwise,4.0,(5),Beauty salon,,Temporarily closed,0942 027 9461,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Wondernails,3.2,(12),Beauty salon,,Temporarily closed,(032) 260 2009,,,
A - Ha Hair Salon,4.0,(2),Beauty salon,Soong 2,Temporarily closed,(032) 494 2884,,,
887 Rebonding Digital Beauty Chateau,3.7,(18),Beauty salon,"G/F Sarrosa Hotel, Pres. Quirino St",Temporarily closed,(032) 516 0271,,,
Le Beau Monde Salon,4.4,(7),Beauty salon,"River Gate Bldg., General Maxilom Ave",Temporarily closed,(032) 253 7694,https://www.beautynailhairsalons.com/PH/Cebu-City/158926951380547/Winked,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,4.2,(5),Beauty salon,"J Center Bldg, As Fotuna",Temporarily closed,(032) 266 5957,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TFM Beauty Salon,4.4,(40),Beauty salon,,Temporarily closed,(032) 328 9053,,,
CUT Encarnacion Group of Salon - Pajac Branch,3.6,(33),Beauty salon,,Temporarily closed,(032) 495 1588,,,
Beauty & Butter Nail Lounge,5.0,(1),Nail salon,"SM Seaside, 3rd Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",Temporarily closed,0917 120 6044,,,
887 Rebonding Digital Beauty Chateau,4.0,(6),Beauty salon,"G/F Florencio Bldg, G.Y. Dela Serna St",Temporarily closed,(032) 512 7359,,,
Zend Salon,3.4,(9),Hair salon,P.J.Burgos,Temporarily closed,0922 445 0864,,,
Urban Style Salon,3.0,(1),Beauty salon,Sanciangko Street,Temporarily closed,(032) 256 2826,,,
Sarang Korean Spa Salon for Men and Women,4.0,(32),Beauty salon,"eBloc 3 Tower, FM Mary's Apartment Door, W Geonzon St",Temporarily closed,(032) 520 5982,,,
Glam Nail Salon & Day Spa @ Cebu,3.8,(44),Beauty salon,"2nd Level Sampaguita Suites, Plaza Garcia Building, Magallanes Street, Cebu City",Temporarily closed,(032) 505 9405,http://www.glamnailsphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,3.8,(6),Beauty salon,"SM Seaside, SRP Mambaling Rd Cor CSCR",Temporarily closed,(032) 412 7811,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mr. Bar's,3.6,(17),Beauty salon,Basak-Marigondon Rd,Temporarily closed,(032) 495 9030,,,
David Salon - Country Mall Branch,3.8,(4),Beauty salon,"Unit 1122 Grd. Flr. Gaisano Country Mall, Banilad Rd., Cebu City, 6000, Cebu Cebu PH, Banilad Rd",Temporarily closed,(032) 234 2973,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Amelia's,3.3,(3),Beauty salon,Datag,Temporarily closed,(032) 493 5107,,,
MIRA Beauty by Design,3.7,(21),Hair salon,General Maxilom Ave Ext,Temporarily closed,(032) 326 9268,https://www.mira.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon SM City Cebu,3.7,(7),Beauty salon,,Temporarily closed,(032) 266 1180,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ric D Salon,4.5,(27),Beauty salon,Patalinghug Avenue,Temporarily closed,(032) 494 0346,,,
Brent & Simons Salon Exclusive,5.0,(1),Beauty salon,"MYA Bldg, General Maxilom Ave",Temporarily closed,(032) 266 0076,,,
Hann Salon,5.0,(2),Beauty salon,"Villalon Building, Osmeña Blvd",Temporarily closed,(032) 253 1938,,,
"High-giene Beauty Clinic - Escario, Cebu Branch",4.1,(15),Beauty salon,"Jolibee, Yakimix, LBC, Stronghold, Capitol Square, 2nd Floor, N Escario St",Temporarily closed,(032) 326 8376,http://high-giene.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lay Bare Waxing Salon - SM Seaside City,4.2,(9),Waxing hair removal service,"3rd Level SM Seaside Cebu, South Reclamation Project Road",Temporarily closed,0921 804 2877,http://www.lay-bare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
D Empress Unisex Salon,4.0,(11),Beauty salon,100 N. Escario Street,Temporarily closed,(032) 255 1607,,,
Fix Bench,4.0,(9),Beauty salon,"Sm Seaside, Srp Mambaling Rd . Cor . Cscr",Temporarily closed,(032) 256 2113,,,
DONNA Cebu店 ヘア＆アイラッシュ＆ネイル＆エステ＆脱毛（セブ島 Jモール店）best hair salon in cebu,3.9,(16),Beauty salon,"J Centre Bldg, 33B A. S. Fortuna St",Temporarily closed,(032) 266 2131,https://donna-hair-salon.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Beauty & Butter,3.2,(6),Beauty salon,"SM City Cebu, Juan Luna Ave . Cor Cabaaug Any Kaosaiung St .",Temporarily closed,(032) 236 9113,,,
Blue Laser Bio Scan,4.0,(6),Beauty salon,"Suite 207 208 QC Pavilion, Gorordo Avenue, Dakbayan sa Sugbu",Temporarily closed,(032) 231 1470,,,
Classy Shears Salon,3.5,(2),Beauty salon,"Miñoza, E-Park, 6000 Cebu City",Temporarily closed,0922 547 8023,https://www.facebook.com/Classy-Shears-Salon-966581343449372/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Janet Waxing Salon,4.8,(4),Beauty salon,Tres de Abril St,Temporarily closed,(032) 266 4798,,,
Franzy Hair Salon,4.5,(2),Beauty salon,"Grand Mall, Basak-Sisi-Agus Rd",Temporarily closed,(032) 505 9588,,,
Franzy Hair Salon,2.0,(3),Beauty salon,,Temporarily closed,(032) 505 9405,,,
Beauty & Butter Nail Lounge SM Cebu,4.0,(1),Nail salon,"SM City Cebu, UNIT 2111 2nd",Temporarily closed,0917 592 5331,https://www.facebook.com/BeautyandButter,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Naba Beauty Salon,4.5,(2),Hair salon,F. Jaca St,Temporarily closed,(032) 272 1858,,,
Classy Shears Salon,3.8,(4),Beauty salon,,Temporarily closed,4162352,https://www.facebook.com/Classy-Shears-Salon-966581343449372/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.5,(24),Beauty salon,"Gaisano Fiesta Mall Arcade, GF A2",Temporarily closed,(032) 272 1988,,,
Hairs The Thing,3.7,(21),Beauty salon,"E-Mall 2nd flr, Cor. Leon Kilat St, Natalio B. Bacalso Ave",Temporarily closed,(02) 3413 3633,,,
Elements Salon,4.5,(2),Beauty salon,"Holiday Spa Hotel, Gov. M. Cuenco Ave",Temporarily closed,(032) 512 0265,https://www.facebook.com/Elements-Salon-Cebu-1568587126697925/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Amorfati beauty salon,4.3,(19),Nail salon,,Temporarily closed,0927 777 2330,http://www.cebunail.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Patrice Salon & Spa,3.0,(4),Beauty salon,"Osmena Bldg, Colon Corner Pelaez",Temporarily closed,(032) 513 6781,,,
Reflexion Salon & Spa,5.0,(1),Beauty salon,Natalio B. Bacalso Ave,Temporarily closed,(032) 253 1938,,,
Trends salon and spa,3.9,(18),Beauty salon,"Unit 9b, Ompad St",Temporarily closed,0923 950 4134,,,
Gemma Beauty,5.0,(1),Beauty salon,"Amdeco Bldg, A. C. Cortes Ave",Temporarily closed,(032) 414 5213,https://www.facebook.com/pages/Gemma-Beauty-Salon-and-Barbershop/704919722884599,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Migs Gift Beauty Shop (Talisay Main Branch),4.2,(42),Beauty salon,,Temporarily closed,0922 863 8557,,,
Milky Salon,4.0,(5),Beauty salon,33 Junquera St,Temporarily closed,(032) 253 9231,,,
I-Lash Salon,3.0,(2),Beauty salon,"215 A, SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaoshiung St",Temporarily closed,0929 649 1990,http://ilashsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Beautypia,5.0,(1),Beauty salon,Hernan Cortes St,Temporarily closed,(032) 236 2099,,,
Breth Salon,4.2,(5),Beauty salon,,Temporarily closed,0917 713 9233,,,
La Beaute,5.0,(1),Beauty salon,A. C. Cortes Ave,Temporarily closed,(032) 513 1674,,,
Salon De Rose Day Spa,3.4,(11),Beauty salon,"Ayala center Cebu, Barrio Luz",Temporarily closed,(032) 232 4448,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jun Esma,4.0,(11),Beauty salon,Gov. M. Cuenco Ave,Temporarily closed,(032) 514 6577,http://www.facebook.com/Jun-Esma-Hair-Salon-155597239592,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Hair Salon K,4.0,(7),Hair salon,"J Centre Building, A. S. Fortuna St",Temporarily closed,(032) 520 7788,,,
Elysian Salon,5.0,(2),Beauty salon,Vel Ouano Commercial Building,Temporarily closed,0917 840 3116,,,
Fe & Nicole,1.0,(4),Beauty salon,Colon St,Temporarily closed,(032) 511 0874,,,
CJF Dei Royal Classic Beauty Salon,3.8,(4),Beauty salon,"821-13 AB Nashville, Nasipit",Temporarily closed,(032) 346 6118,,,
C'estLaVie Salon & Spa,5.0,(1),Beauty salon,"2nd Floor, Annex Building, Gaisano Mactan Island Mall, M.L. Quezon National Highway",Temporarily closed,(032) 272 1988,,,
Salon de Rose,4.1,(31),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 253 1331,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Fe & Nicole,3.0,(1),Beauty salon,M. C. Briones St,Temporarily closed,(02) 8236 7457,,,
Beauty and Beyond - City Time Square,3.8,(4),Beauty salon,"2F, Unit B209, City Time Square, Phase 2,",Temporarily closed,(032) 318 2433,http://www.beautyandbeyondphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Albert Hair Studio,3.0,(4),Beauty salon,"Jantec Bldg, Crossing",Temporarily closed,(032) 511 1434,,,
Lay Bare,5.0,(1),Beauty salon,"SM City Cebu, Juan Luna Avenue Corner Cabahug And Kaoshiung St",Temporarily closed,(032) 505 7805,http://www.lay-bare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Minkz Salon,3.7,(6),Beauty salon,City Time Square,Temporarily closed,0923 950 4134,,,
Salon De Rose,3.6,(27),Beauty salon,"One Pavilion Mall, 22 R. Duterte St. Banawa",Temporarily closed,(032) 236 3872,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,2.5,(2),Beauty salon,2nd Floor South Town Centre,Temporarily closed,(032) 231 5812,,,
Glance Salon & Spa,5.0,(1),Beauty salon,"Tower 2 Crown Regency, Osmeña Blvd",Temporarily closed,(032) 414 0674,,,
It Figures Facial and Slimming Salon,3.0,(3),Beauty salon,"2nd Level, Unit 136, J Centre Mall, 165 A. S. Fortuna St",Temporarily closed,(032) 266 9238,,,
J2 Salon,4.1,(18),Beauty salon,M.L. Quezon National Highway,Temporarily closed,0916 577 1094,,,
Myface N' Mynails Salon,1.0,(1),Nail salon,"Plaza Margarita, Sandayong",Temporarily closed,0943 340 5346,https://www.facebook.com/myfacenmynails/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Annie's Aesthetics Center,5.0,(1),Beauty salon,"Robinsons Galleria Cebu, Gen. Maxilom Ext",Temporarily closed,(032) 513 1674,,,
M-J HAIR NAIL,4.4,(10),Beauty salon,Bonifacio Place Mactan Bagumbayan Uno,Temporarily closed,0966 680 9007,https://m-j-hair-nail.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.7,(7),Beauty salon,"SM MALL BRGY, Cebu N Rd",Temporarily closed,(032) 266 5177,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cut Mabolo,4.1,(50),Beauty salon,9 Pope John Paul II Ave,Temporarily closed,(032) 416 1434,,,
Davids Salon,3.1,(7),Beauty salon,"2nd Flr. Elizabeth Mall, Leon Kilat St., N. Bakalso Ave., Cebu City",Temporarily closed,(032) 417 7068,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.7,(20),Beauty salon,"Banilad Town Center, Adelfa",Temporarily closed,(032) 344 2274,,,
No Strips,4.0,(6),Beauty salon,General Maxilom Ave Ext,Temporarily closed,(032) 346 6118,,,
Franzy Salon,3.7,(6),Beauty salon,"Gaisano Fiesta Mall, Cebu South Road, Tabunok",Temporarily closed,(032) 273 7503,,,
Stylash,2.2,(6),Beauty salon,"SM Seaside, 3rd Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",Temporarily closed,0906 491 8700,,,
Jude Gabato Salon V. Rama,4.4,(24),Beauty salon,713 V Rama Ave,Temporarily closed,0925 788 8863,https://www.faebook.com/judiegabato/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cut Encarnacion Group of Salon AS Fortuna Branch,3.9,(14),Beauty salon,"Chatswood Building, 1285 H Cortes St Cor",Temporarily closed,(02) 8421 1273,,,
