section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-info,section-result-description,section-result-header-container,section-result-location
Cordova Home Village,3.9,(501),2-star hotel,Pool,Free parking,Temporarily closed,,,
Ola Hostel Cebu,4.8,(18),Hotel,,,Temporarily closed,,₱700,
OYO 476 Hedda Hotel,4.0,(10),Hotel,,,Temporarily closed,,,
Anthurium Inn,2.8,(92),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Naps & Maps,4.0,(180),2-star hotel,Free Wi-Fi,Free breakfast,Temporarily closed,,,
Pacific Pensionne,3.5,(308),3-star hotel,Pool,Free parking,Temporarily closed,,,
OYO 517 Jcad Hotel Lahug,3.0,(8),Hotel,,,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,266",
RedDoorz near Maribago Barangay Hall,4.3,(4),Guest house,,,Temporarily closed,,,
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)",5-star hotel,Pool,Spa,Temporarily closed,Tropical beachfront resort & luxury spa,,
OYO 485 The Rooms By Alinace,3.7,(25),Hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
RedDoorz Hernan Cortes,4.3,(20),2-star hotel,Pool,Free parking,Temporarily closed,,,
RedDoorz near Talisay District Hospital,3.8,(168),Guest house,Free Wi-Fi,,Temporarily closed,,,
Chambre Hotel Mactan,3.8,(304),2-star hotel,Pool,Free parking,Temporarily closed,,,
Residenz Guesthouse,4.3,(52),2-star hotel,,,Temporarily closed,,,
Citi Circle Guesthouse Hostel - 1.5 Star,3.7,(92),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
OYO 481 Sugbo Leisure Lodge,4.0,(1),Hotel,,,Temporarily closed,,,
Golden Valley Hotel,3.8,(168),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
GV Tower Hotel,3.5,(388),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Travellers Lounge Mixed Shared Dorm,4.8,(6),Guest house,Pool,,Temporarily closed,Unassuming budget hotel with a cafe,₱587,
OYO 556 3j's And K Apartment,3.8,(12),Hotel,,,Temporarily closed,,,
RedDoorz Plus @ Jones Avenue Cebu,3.3,(68),Hotel,Pool,Free parking,Temporarily closed,,,
RF Suites,3.9,(224),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,₱700,
Hostel 7 Cebu,4.3,(186),Hotel,,,Temporarily closed,Laid-back hostel with open-air dining,,
Westview Pension,3.5,(41),2-star hotel,,,Temporarily closed,,,
Dynasty Tourist Inn,3.5,(203),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Friendly's Guesthouse Hostel - 1.5 Star,3.1,(75),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Honey Hunt House Pension,3.5,(155),2-star hotel,Pool,Free parking,Temporarily closed,Simple budget hotel with dining,,
OYO 428 Cebu Hilltop Hotel,3.8,(135),3-star hotel,Pool,Free parking,Temporarily closed,,,
RedDoorz @ MJ Cuenco Avenue Cebu,3.3,(27),Apartment rental agency,Free parking,Free Wi-Fi,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,266",
RedDoorz Plus @ Zapatera Cebu 2,5.0,(2),Apartment building,,,Temporarily closed,,,
RedDoorz @ Bankal Lapulapu,2.6,(5),Apartment building,,,Temporarily closed,,,
Shejoje Poshtel Hostel - 2 Star,4.5,(146),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
AllSon's Inn,3.7,(351),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
The Flying Fish Boutique Hostel Cebu,3.9,(34),Hostel,Pool,Free parking,Temporarily closed,,,
T AND B Room Rental,5.0,(2),Hotel,,,Temporarily closed,,,
The Stopover Hostel - Mactan,3.2,(104),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
Mactan-Cebu Airport Budget HoteL,4.2,(5),Hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
RedDoorz @ Climaco Street Cebu,3.6,(12),Hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Mezzo Hotel,4.0,(456),4-star hotel,Pool,Spa,Temporarily closed,Unassuming budget hotel with a cafe,₱587,
Cebu Northwinds Hotel,3.8,(287),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,"Unassuming rooms, plus free breakfast",,
Capitol Tourist Inn Inc - 1 Star,3.1,(127),3-star hotel,,,Temporarily closed,,,
Cebu Courtyard,3.1,(314),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,₱700,
The Center Suites,4.0,(270),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Simple budget hotel with a chapel,,
J & H Apartments,3.6,(21),Serviced accommodation,,,Temporarily closed,,,
GV Hotel Talisay,3.6,(92),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Haruhay Dream Resort,4.3,(120),2-star hotel,Pool,Free parking,Temporarily closed,Casual property offering European dining,,
Mayflower Inn,3.9,(230),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Simple budget hotel with dining,₱850,
RedDoorz near Shopwise Express Basak-Sudtunggan,3.8,(135),Hotel,,,Temporarily closed,,,
Sebastien Hotel - Mactan,4.0,(256),3-star hotel,Spa,Free parking,Temporarily closed,Tropical beachfront resort & luxury spa,,
RedDoorz @ Bonifacio St Cebu,3.4,(58),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
Bee-Force Backpackers Inn-Cebu,3.5,(2),Bed & breakfast,Free parking,Free Wi-Fi,Temporarily closed,,,
Well Hotel,3.9,(138),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Metro Park Hotel - Mandaue,3.8,(153),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Centro Mactan Suites,4.3,(111),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,,
RedDoorz Plus @ Hernan Cortes Cebu,4.0,(8),Hotel,Pool,,Temporarily closed,,,
Copenhagen East Residence,3.9,(84),Hotel,,,Temporarily closed,,,
Westpoint Hotel,4.2,(61),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Crown Regency Hotel & Towers,3.8,"(2,187)",4-star hotel,Pool,Spa,Temporarily closed,,,
Taro hometel,3.8,(12),Hotel,,,Temporarily closed,Unassuming budget hotel with a cafe,₱587,
Cest La Vie Pension,3.5,(80),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,"Unassuming rooms, plus free breakfast","₱1,530",
8th Street Guesthouse,3.4,(112),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
La Place Guesthouse,4.3,(18),,,,Temporarily closed,,,
"La Maria, Pension & Tourist Inn Hotel‎",3.8,(90),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Simple budget hotel with a chapel,"₱1,132",
One Central Hotel - 3 Star,4.2,(629),3-star hotel,Pool,Spa,Temporarily closed,,,
OYO 157 Casa Venna Pension House,3.2,(25),3-star hotel,Free parking,,Temporarily closed,,,
cebu leisure lodge,3.7,(71),2-star hotel,Spa,Free parking,Temporarily closed,Casual property offering European dining,,
RedDoorz Plus @ AS Fortuna Cebu,3.9,(37),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Simple budget hotel with dining,₱850,
RedDoorz Premium @ Wireless Mandaue Cebu,4.2,(103),3-star hotel,Pool,,Temporarily closed,,,
Rumah Highlands Hotel,4.3,(421),3-star hotel,Pool,Spa,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,893",
RedDoorz near The Persimmon Cebu,3.6,(28),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
Elegant Circle Inn,3.7,(299),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Skyblue Hotel - 2 Star,3.3,(120),3-star hotel,Spa,Free parking,Temporarily closed,,,
Pensionne la Florentina,3.8,(62),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
VG Pension House,5.0,(2),Inn,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,,
TR3ATS Guest House - 1.5 Star,3.7,(83),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Richmond Plaza Hotel,3.2,(176),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Cebu Guest Inn,4.1,(65),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
The Stopover Hostel,3.6,(55),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
C-Suites,4.0,(167),3-star hotel,Spa,Free Wi-Fi,,Refined apartment hotel with a pool,,
Be Resort Mactan,4.0,(992),3-star hotel,Free parking,Free Wi-Fi,,Beachfront lodging with dining & a pool,,
Palazzo Pensionne - 2.5 Star,4.2,(163),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Low-key hotel with free breakfast,,
HEDDA HOTEL CEBU,4.1,(11),Hotel,Free parking,Free Wi-Fi,Temporarily closed,"Unassuming rooms, plus free breakfast","₱1,530",
Cargotel Travel Inn,4.5,(4),Hotel,,,Temporarily closed,,,
Be Resort Mactan,4.0,(992),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,"₱1,034",
BANGKETO Art & Meals,4.3,(29),Restaurant,,,Temporarily closed,Simple budget hotel with a chapel,,
Toyoko Inn Cebu,4.0,"(1,680)",3-star hotel,Free Wi-Fi,Free breakfast,Temporarily closed,Simple hotel offering free breakfast,,
The Seven Archangels Pension House,3.7,(16),Hostel,,,Temporarily closed,,,
Express Inn - Osmeña,3.8,(197),3-star hotel,Pool,Free parking,Temporarily closed,Casual property offering European dining,₱724,
18 Suites Cebu,4.6,(115),Hotel,Free parking,Free Wi-Fi,Temporarily closed,Unassuming hotel with free Wi-Fi,,
Mactan Cebu Waiting Lounge,4.2,(103),Hotel,,,Temporarily closed,,,
Harolds,4.6,(9),4-star hotel,Free Wi-Fi,,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,893",
RedDoorz @ Dona Jacinta Basak Mandaue,3.6,(76),Hotel,Free Wi-Fi,,Temporarily closed,,,
Holiday Plaza Hotel,3.6,(216),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Relaxed lodging with low-key dining,,
Cebu Budget Hotel - City Center,3.6,(7),Hotel,,,Temporarily closed,,,
RedDoorz @ Junquera Extension Cebu,4.1,(48),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Casa Rosario Hotel,4.0,(68),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,
Cebu Guest House - Fuente,3.2,(102),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
Caza Cebu,4.5,(2),Lodging,,,Temporarily closed,,,
NS Royal Hotel,3.6,(198),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual hotel with a cafe & city views,,
Crown Port View Hotel,3.5,(102),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Eloisa Royal Suites,4.0,(530),3-star hotel,Pool,Free parking,,Laid-back hotel with dining & a pool,,
Nordtropic Resort and Residences,4.2,(318),3-star hotel,Pool,Free parking,,Beachfront lodging with dining & a pool,,
Hotel San Francisco,2.7,(91),1-star hotel,,,Temporarily closed,Low-key hotel with free breakfast,"₱1,103",
Mövenpick Hotel Mactan Island Cebu,4.5,"(3,390)",5-star hotel,Pool,Spa,Temporarily closed,Sleek hotel with a private beach & spa,,
OYO 540 Verovino Suites,4.5,(4),Hotel,,,Temporarily closed,,,
Azia Suites & Residences,4.0,(328),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,"₱1,034",
Murals Mactan,4.4,(37),Hostel,,,Temporarily closed,Simple budget hotel with a chapel,₱968,
Crown Regency Residences Cebu,3.5,(318),3-star hotel,Pool,Free parking,Temporarily closed,Simple hotel offering free breakfast,"₱2,000",
Allure Hotel & Suites,3.9,(295),3-star hotel,Spa,Free parking,Temporarily closed,,,
RedDoorz Plus @ Mabolo Cebu,4.0,(59),3-star hotel,Pool,,Temporarily closed,Casual property offering European dining,₱724,
San Jose Pension,3.5,(55),2-star hotel,Free Wi-Fi,,Temporarily closed,Unassuming hotel with free Wi-Fi,₱977,
Eloisa Royal Suites,4.0,(530),3-star hotel,Pool,Free parking,Temporarily closed,,,
Fuente Oro Business Suites,3.9,(187),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,893",
Halfway House Hostel,4.0,(56),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
Dragon Home Inn,3.8,(184),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Relaxed lodging with low-key dining,"₱1,715",
Canberry Hotel,3.8,(180),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Waterfront Airport Hotel & Casino Mactan,4.0,"(1,433)",4-star hotel,Pool,Free parking,Temporarily closed,High-end airport hotel with a casino,,
ZEN Rooms M. Velez Street,4.0,(40),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,
MCA Suites,2.8,(4),Serviced apartment,,,Temporarily closed,,,
Little Norway Guest House,4.6,(89),Guest house,Free parking,Free Wi-Fi,Temporarily closed,,,
Ranile's Pension House,3.9,(27),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual hotel with a cafe & city views,"₱1,437",
Bayfront Hotel Cebu,4.1,"(2,277)",3-star hotel,Spa,Free parking,Temporarily closed,Casual lodging with dining & water views,,
The Orchard Cebu,3.4,(178),3-star hotel,Spa,Free parking,Temporarily closed,Low-key hotel with free breakfast,"₱1,103",
Adelfa Hotel,4.0,(217),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Sleek hotel with a private beach & spa,"₱7,840",
Abisha B＆B,4.5,(4),Lodging,,,Temporarily closed,,₱938,
Uncle Tom's Cabin Hotel,4.2,(484),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,"₱1,034",
Amethyst Boutique Hotel Cebu,4.6,(69),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual hotel with dining & event space,,
OYO 210 Apple Tree Suites,4.1,(123),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest hotel with a restaurant/bar,,
Go Land Pension House,4.2,(14),2-star hotel,,,Temporarily closed,,,
GV Hotel Lapulapu,3.3,(148),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual property offering European dining,₱724,
Hamersons Hotel - Best Affordable Hotel Near Fuente Osmeña Circle,4.0,(233),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Unassuming hotel with free Wi-Fi,₱977,
MB's Garden Inn,4.2,(186),3-star hotel,Pool,Free parking,Temporarily closed,,,
Elicon House,3.8,(218),Cafe,,,Temporarily closed,Tropical beachfront resort & luxury spa,,
Holiday Spa Hotel,3.9,(274),3-star hotel,Pool,Spa,Temporarily closed,,,
RedDoorz near Baclay Drive Super Metro,3.8,(184),Hotel,,,Temporarily closed,Relaxed lodging with low-key dining,,
Food District Hostel Cebu Central,4.2,(83),Hostel,,,Temporarily closed,,,
Nomads Hub Coliving Hostel Cebu,4.7,(45),Hostel,Free parking,Free Wi-Fi,Temporarily closed,High-end airport hotel with a casino,"₱3,722",
The Beverly Boutique Business Hotel,4.1,(165),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,
HomeStays by SIIA,2.8,(4),Real estate agency,,,Temporarily closed,,,
Amaris Bed & Breakfast,4.4,(203),3-star hotel,Free Wi-Fi,Free breakfast,Temporarily closed,,,
Hotel Pier Cuatro,3.7,(502),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual hotel with a cafe & city views,"₱1,437",
Big Dreams Residences,4.4,(58),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual lodging with dining & water views,"₱2,068",
OYO 166 Maanyag Pension House,3.5,(62),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest budget hotel with a patio,,
Teofel Hostel,3.9,(128),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Sleek hotel with a private beach & spa,"₱7,840",
Peach Haven,3.6,(11),Hostel,,,Temporarily closed,,₱938,
New Era Pension Inn,3.7,(107),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,"₱1,034",
Tropical Hostel Cebu Center,3.6,(64),2-star hotel,,,Temporarily closed,Casual hotel with dining & event space,"₱1,520",
WJV Inn,3.6,(31),Hotel,Free parking,Free Wi-Fi,Temporarily closed,Modest hotel with a restaurant/bar,"₱1,152",
Seda Ayala Center Cebu,4.3,"(1,273)",4-star hotel,Pool,Spa,Temporarily closed,,,
Cebu Parklane International Hotel,4.2,"(1,739)",4-star hotel,Pool,Free Wi-Fi,Temporarily closed,Casual property offering European dining,₱724,
magabelle guesthouse - 2 Star,4.3,(38),Bed & breakfast,Free parking,Free Wi-Fi,Temporarily closed,Unassuming hotel with free Wi-Fi,₱977,
Glogette Guest House - 1 Star,2.7,(3),Hostel,,,Temporarily closed,,,
Anri Pension House,3.9,(157),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,143",
Guest house nodoka ゲストハウスのどか,4.6,(48),2-star hotel,Pool,Free parking,Temporarily closed,,,
호텔 켈리포니아(Hotel California),3.1,(77),2-star hotel,,,Temporarily closed,Relaxed lodging with low-key dining,₱965,
Leope Hotel,4.0,(329),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Crowne Garden Hotel,3.7,(199),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Unassuming lodging with a restaurant,,
Flory's Inn,3.3,(6),1-star hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,
Cinfandel Suites - 2 Star,3.8,(66),3-star hotel,Free Wi-Fi,,Temporarily closed,,"₱1,187",
Sabina Suites,3.7,(20),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Hotel Fortuna,4.0,(144),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,Casual hotel with a cafe & city views,"₱1,437",
Wellcome Hotel,3.9,(585),3-star hotel,Pool,Spa,Temporarily closed,Casual lodging with dining & water views,"₱2,068",
Mactan Pension House,3.1,(126),2-star hotel,,,Temporarily closed,Modest budget hotel with a patio,₱831,M.L. Quezon National Highway
Park Hill Hotel Mactan,3.1,(313),2-star hotel,,,Temporarily closed,Casual hotel with a restaurant & Wi-Fi,"₱7,840",Matumbo-Pusok Road
Goldberry Suites and Hotel,4.0,(466),3-star hotel,,,Temporarily closed,,₱938,M.L. Quezon National Highway
WJV Inn Marigondon,1.0,(1),Hotel,,,Temporarily closed,,"₱1,034",Tabay
Castle Peak Hotel,4.0,"(1,073)",3-star hotel,,,Temporarily closed,Casual hotel with dining & event space,"₱1,520",F. Cabahug St
Cityscape,4.1,(11),3-star hotel,,,Temporarily closed,Modest hotel with a restaurant/bar,"₱1,152",Juana Osmeña St
MJ Hotel & Suites,4.0,(199),3-star hotel,,,Temporarily closed,,,80 Apitong St
Transit Point Mactan Hostel - 1 Star,3.6,(83),2-star hotel,,,Temporarily closed,Casual property offering European dining,₱724,
Mad Monkey Hostel Cebu City,4.6,(501),Hostel,,,Temporarily closed,Unassuming hotel with free Wi-Fi,₱977,79 Echavez St
Diamond Suites and Residences,3.7,(440),3-star hotel,,,Temporarily closed,,,8 Apitong St
Murals Hostel & Cafe - 2.5 Star,4.6,(124),Hostel,,,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,143","Villa Aurora Tennis Court, Pres. Roxas St"
Cozy Inn Mactan,4.2,(50),Hotel,,,Temporarily closed,,,Outsider's Drive Kagudoy Road
Pe're Aristo Guesthouse - 1.5 Star,3.6,(61),1-star hotel,,,Temporarily closed,Relaxed lodging with low-key dining,₱965,B1 L23 San Jose Village Umapad
Nordtropic Resort and Residences,4.2,(318),3-star hotel,,,Temporarily closed,,,Buyong Rd
Palm Grass The Cebu Heritage Hotel,4.1,(379),3-star hotel,,,Temporarily closed,Down-to-earth lodging with a rooftop bar,"₱1,162","Barangay Kalubihan 68 General, Junquera St"
Oftana Suites,3.7,(33),2-star hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,P.Remedio St
Pantawan Guest House - 2 Star,4.2,(34),Hotel,,,Temporarily closed,,"₱1,187",26 M. P. Yap St
Alfheim resort,3.9,(66),3-star hotel,,,Temporarily closed,,,
Southpole Central Hotel,3.8,(194),3-star hotel,,,Temporarily closed,Casual hotel with a cafe & city views,"₱1,437",29 Junquera St
Hotel Stella,3.3,(268),3-star hotel,,,Temporarily closed,Casual lodging with dining & water views,"₱2,068",Don Gil Garcia St
7 Days Inn,3.6,(16),3-star hotel,,,Temporarily closed,Modest budget hotel with a patio,₱831,"Corner J. Alcantara and, V Rama Ave"
Mandarin Plaza Hotel,4.0,"(1,406)",3-star hotel,,,Temporarily closed,Casual hotel with a restaurant & Wi-Fi,"₱7,840",Archbishop Reyes Ave
Express Inn Lapu-Lapu,3.3,(425),3-star hotel,,,Temporarily closed,,₱938,Candelario K. Guba Street
JQKariton Residences,1.0,(1),Serviced accommodation,,,Temporarily closed,,"₱1,034","Casa Mira Towers, Salvador St"
Alicia Apartelle,4.2,(377),3-star hotel,,,Temporarily closed,Casual hotel with dining & event space,"₱1,520",Gov. M. Cuenco Ave
ANIA ROOMS@AMANI GRAND RESIDENCES NEAR AIRPORT,5.0,(1),Serviced apartment,,,Temporarily closed,Modest hotel with a restaurant/bar,"₱1,152","UNIT 126, Matumbo-Pusok Road"
Murals Sleepbox,4.4,(15),Hostel,,,Temporarily closed,,,"The Forum, Archbishop Reyes Ave"
Andy Hotel,3.8,(467),2-star hotel,,,Temporarily closed,Casual property offering European dining,₱724,727 A. S. Fortuna St
Radisson Blu Cebu,4.5,"(2,918)",5-star hotel,,,Temporarily closed,High-end pick with a lavish outdoor pool,₱977,"Serging Osmena Boulevard, Corner Juan Luna Avenue"
Escario Central Hotel,4.2,(184),2-star hotel,,,Temporarily closed,,,N Escario St
1521 Hostel,4.4,(68),2-star hotel,,,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,143",3 M.L. Quezon National Highway
Manora Apartments and Guest House,4.1,(67),2-star hotel,,,Temporarily closed,Laid-back hotel with free breakfast,,Uldog Street
VIVIEN'S HOTEL,4.4,(75),Hotel,,,Temporarily closed,Relaxed lodging with low-key dining,₱965,Maximo V. Patalinghug Jr. Avenue
HQ Hostel Cebu,5.0,(25),Hostel,,,Temporarily closed,,,"HQ Hostel, Rahmann St"
Doña Mercedes Hostel - 1.5 Star,3.4,(26),Hostel,,,Temporarily closed,Down-to-earth lodging with a rooftop bar,"₱1,162",366 A. Climaco St
Felix Residences,4.1,(132),Hotel,,,Temporarily closed,Modest hotel with free breakfast & Wi-Fi,₱853,
St. Mark Hotel,4.1,(339),3-star hotel,,,Temporarily closed,,"₱1,187","Queens Road, Redemptorist Plaza"
The Ancestors Pension,3.8,(81),2-star hotel,,,Temporarily closed,,,P.J.Burgos
Lylie Hotel,3.9,(86),2-star hotel,,,Temporarily closed,Low-key budget lodging with free Wi-Fi,"₱1,437",818 Hernan Cortes St
Alicia Tower Residences,3.9,(227),2-star hotel,,,Temporarily closed,Laid-back hostel with a cafeteria,"₱2,068",Gov. M. Cuenco Ave
Bugoy Bikers Hostel,4.3,(66),2-star hotel,,,Temporarily closed,Modest budget hotel with a patio,₱831,
ACE Penzionne,3.7,(115),3-star hotel,,,Temporarily closed,Casual hotel with a restaurant & Wi-Fi,"₱7,840","Behik Building, 2483 M.L. Quezon National Highway"
Cebu Hostel & Glamping,3.3,(425),Hostel,,,Temporarily closed,,₱938,1298-B V Rama Ave
Copenhagen Main Residences,4.1,(270),3-star hotel,,,Temporarily closed,,"₱1,034",A. C. Cortes Ave
Dohera Hotel,4.0,(541),3-star hotel,,,Temporarily closed,Casual hotel with dining & event space,"₱1,520",A.C Cortes Street
Bunks Hostel,3.6,(16),2-star hotel,,,Temporarily closed,Modest hotel with a restaurant/bar,"₱1,152",Juana Osmeña St
Cordova Reef Village Resort,3.8,(345),4-star hotel,,,Temporarily closed,,,"Bantayan, Bantayan Rd"
Europa Mansionette Inn - 2 Star,3.7,(104),3-star hotel,,,Temporarily closed,Casual property offering European dining,₱724,M. L. Quezon Ave
Alta Cebu - resort and convention centre,3.8,(519),3-star hotel,,,Temporarily closed,High-end pick with a lavish outdoor pool,₱977,
Crown Regency Suites & Residences,3.7,(459),4-star hotel,,,Temporarily closed,,,Maximo V. Patalinghug Jr. Avenue
The Maxwell Hotel,3.8,(310),3-star hotel,,,Temporarily closed,Tropical beachfront resort & luxury spa,"₱1,143",N Escario St
Titan Residence at Mactan Cebu,2.5,(2),Hotel,,,Temporarily closed,Laid-back hotel with free breakfast,,"F. Martir Street Lot 1 Blk 23, Bayswater Subdivision, Brgy. Agus, Lapu-lapu City"
Cebu Travellers Hostel - IT Park Lahug,4.0,(32),2-star hotel,,,Temporarily closed,Relaxed lodging with low-key dining,₱965,"12-B Torralba Street, Corner Wilson Street (Near Camp Lapu Lapu), Barangay Apas, Lahug, 6000 Cebu City, Cebu, Philippines 6000"
Guest House Nodoka,5.0,(3),Hotel,,,Temporarily closed,,,309 A. S. Fortuna St
Rajah Park Hotel's,3.8,(445),3-star hotel,,,Temporarily closed,Down-to-earth lodging with a rooftop bar,"₱1,162","Benigno DU Building, Fuente Osmeña Cir"
