section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text
Dr. Agustin Morales,,,Orthopedic clinic,"Cebu Doctors University Hospital, Osmeña Boulevard, Capitol Site",(032) 255 5555,http://chonghua.com.ph/index.php/Doctors/profile/93,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Danao Mother & Child Hospital,,,Medical diagnostic imaging center,"National Road, Danao City, Cebu",(032) 200 4496,,,
Chong Hua Hospital Emergency Room,4.2,(5),Emergency room,"Don Mariano Cui Street, Fuente Osmeña Cir",(032) 255 8000,http://www.chonghua.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metro-Cebu Community Hospital,3.0,(1),,"Jones Avenue, Cebu City6000",,,,
Cebu Orthopaedic Institute,4.8,(9),Medical clinic,"Room 401, 4th Floor, Robinson's Cybergate, Don Gil Garcia St",(032) 239 2211,,,
Cebu Veterinary Doctors - Main Hospital,3.9,(118),Animal hospital,"Marijoy Building, Unit 107, 306 F. Ramos St",(032) 256 3056,https://www.facebook.com/CebuVeterinaryDoctors/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Virginia Español, MD @ Chong Hua Hospital",4.2,(5),Physician,"Chong Hua Hospital, J. Llorente Street, Cebu City, Cebu",(032) 255 8000,http://www.chonghuahospital.org/doctors/virginia-espanol,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Animal Kingdom Veterinary Hospital,4.4,(99),Animal hospital,"old Aerophone building, 38 Gorordo Ave",(032) 383 7512,https://www.facebook.com/AKVHospital,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Chong Hua Hospital Internal Medicine Department - Rehabilitation, Anota, Elda Grace M.D.",,,Physician,"Basement, Chong Hua Medical Arts, Chong Hua Hospital, Fuente Osmeña, Cebu City, Cebu",(032) 233 9314,http://www.chonghua.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Aida E. Espina,,,Pediatric clinic,"Cebu Doctors Hospital, Osmeña Boulevard",(032) 253 7511,,,
BDO Cebu Doctors Hospital 1 ATM,,,ATM,"G/F visitor's waiting area Cebu Doctors Hospital, Osmeña Blvd",,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Maxicare Healthcare Corporation - Primary Care Center,2.4,(10),Medical clinic,"Lot 5, Block 6, Mindanao Avenue, Cebu Business Park, Ayala",0917 828 8423,http://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Maxicare,,,General practitioner,"Achilles Cortes - General Surgery, Chong Hua Hospital, Llorente Street, Fuente Osmeña Avenue",(032) 254 1460,https://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Greva Flores-Barcelo,,,Eye care center,"Larrazabal Eye, Cebu Doctors' University Hospital, Osmena Boulevard",(032) 254 2020,,,
Dr. Doris Gigataras,5.0,(2),General practitioner,"Mactan Doctors Hospital, Maximo V. Patalinghug Jr Avenue, Basak",(032) 341 0000,http://cduh.com.ph/ourdoctors/profile/143,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RedDoorz near Talisay District Hospital,,,Guest house,,(02) 8249 8745,https://www.reddoorz.com/en-ph/hotel/philippines/talisay/san-isidro/reddoorz-near-talisay-district-hospital?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Dr. Pierre M. Mella - Spine and Orthopaedics Cebu (Minimally Invasive Spine Surgery, Spine Oncology, Orthopedics)",5.0,(11),Medical clinic,Mantawe Drive Chong Hua Hospital Mandaue 9th Floor (Mon -Fri 2-5pm University of Cebu Medical Center ground floor (Mon - Sat 930am -12noon,(032) 253 4029,https://dr-pierre-m-mella-minimally-invasive.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Star Birthing Home,4.0,(3),Birth center,Bayanihan St,(032) 511 3305,,,
Dr. Liza Stephanie Sulay,5.0,(1),Pediatrician,"Department of Pediatric, Cebu Doctors University Hospital, Osmeña Boulevard",(032) 253 0336,http://chonghua.com.ph/index.php/Doctors/profile/274,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Mary Grace C. Chua, MD",5.0,(2),Physician,"Room 307-A, Cebu Doctor's University Hospital, Osmeña Boulevard, Cebu City, Cebu",(032) 253 0426,http://chonghua.com.ph/index.php/Doctors/profile/178,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. John Viola,4.0,(4),Cardiologist,"Internal Medicine Department, Chong Hua Hospital, Don Mariano Cui Street",(032) 253 5007,http://chonghua.com.ph/index.php/Doctors/profile/360,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Maxicare,,,General practitioner,"Pediatric Cardiology, Pediatric Pulmonology, Pediatrics - Rudy A. Amatong, Cebu Velez General Hospital, Incorporated, F. Ramos Street",(032) 253 1871,https://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Ma. Lourdes Chan,,,Obstetrician-gynecologist,"Room 405-B, Chong Hua Hospital, Medical Arts Building, B. Rodriguez Street",(032) 254 2819,http://chonghua.com.ph/index.php/Doctors/profile/184,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Vicente Verallo,2.7,(6),General practitioner,"Cebu Doctors University Hospital, Osmena Boulevard, Capitol Site",(032) 255 5555,http://chonghua.com.ph/index.php/Doctors/profile/161,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Visayas Community Medical Center,3.9,(535),Community center,85 Osmeña Blvd,(032) 253 1901,http://vcmc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Vicente Jo . Verallo, M.D.",1.7,(17),Physician,"Chong Hua Hospital, Rosal Street, Cebu City",(032) 255 1084,http://chonghua.com.ph/index.php/Doctors/profile/161,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Cebu Rehab Medics, Incorporated",4.0,(6),,"Chong Hua Hospital, Rosal Street, Cebu City",(032) 254 4137,http://chonghua.com.ph/index.php/services/rehabilitation_medicine,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Imelda Bilocura,,,General practitioner,"Chong Hua Hospital, Don Mariano Cui Street, 6000",(032) 255 8000,http://chonghua.com.ph/index.php/Doctors/profile/366,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
National Taiwan University Hospital,4.1,(842),General hospital,"No. 7號, Zhongshan South Road",+886 2 2312 3456,https://www.ntuh.gov.tw/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mackay Memorial Hospital,3.3,"(1,001)",General hospital,"No. 92號, Section 2, Zhongshan N Rd",+886 2 2543 3535,http://www.mmh.org.tw/index_big5.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tri-Service General Hospital Nei-Hu Branch,3.9,(789),General hospital,"No. 325號, Section 2, Chenggong Road",+886 2 8792 3311,,,
The Coffee Bean & Tea Leaf,4.4,(123),Coffee shop,"Chong Hua Hospital, Mandaue",,https://www.coffeebean.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Taipei Veterans General Hospital,4.1,"(1,216)",General hospital,"No. 201, Section 2, Shipai Road",+886 2 2871 2121,,,
義大醫療財團法人義大醫院,3.1,(238),General hospital,"No. 1號, Yida Road",+886 7 615 0011,https://www.edah.org.tw/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cho Ray Hospital,3.9,"(1,766)",General hospital,201B Nguyễn Chí Thanh,+84 28 3855 4137,http://www.choray.vn/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bach Mai Hospital,3.9,"(1,268)",General hospital,78 Đường Giải Phóng,+84 24 3869 3731,http://bachmai.gov.vn/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Vinmec Hospital,4.2,(541),General hospital,458 Phố Minh Khai,+84 24 3974 3556,http://www.vinmec.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Luke's Hospital,2.5,(63),General hospital,Maumee,+1 419-893-5911,http://www.stlukeshospital.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Total Joint Center at The Miriam Hospital,3.2,(134),Orthopedic clinic,Providence,+1 401-793-5852,https://www.lifespan.org/centers-services/total-joint-center-lifespan-orthopedics-institute,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Reading Hospital | Tower Health,3.1,(164),General hospital,West Reading,+1 484-628-8000,http://reading.towerhealth.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Franklin Memorial Hospital,2.4,(39),General hospital,Farmington,+1 207-778-6031,https://mainehealth.org/franklin-community-health-network,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AdventHealth Orlando,3.7,(706),General hospital,Orlando,+1 407-303-5600,https://www.adventhealth.com/hospital/adventhealth-orlando,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
