section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Fe & Nicole Salon And Spa,2.3,(8),Beauty salon,Gorordo Ave,Temporarily closed,(032) 268 7589,https://www.facebook.com/pages/Fe-And-Nicole-Salon/338718372811129,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Hair Salon K,4.0,(7),Hair salon,"J Centre Building, A. S. Fortuna St",Temporarily closed,(032) 520 7788,,,
Salon De Rose,2.6,(31),Beauty salon,"Ayala Center, Barrio Luz, Bohol Ave",Temporarily closed,(032) 231 7328,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chulo Hair Salon,4.7,(16),Beauty salon,"Rosedale, LDM Building, 2010 Gov. M. Cuenco Ave",Temporarily closed,(032) 236 6113,https://www.facebook.com/chulohairsalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,4.5,(2),Hair salon,"Park Mall, Ouano Avenue",Temporarily closed,(032) 520 1603,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chin Korean Hair Salon,3.4,(9),Hair salon,"One Acacia Place, Unit 5, Acacia St",Temporarily closed,(032) 417 1395,,,
Mirangcurl Korean Salon,4.3,(77),Beauty salon,"Bonifacio District, 6000, F. Cabahug St",Temporarily closed,0906 591 4550,https://www.facebook.com/MirangcurlMaboloCebu/?ref=br_rs,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rica's Hair Salon,4.7,(3),Beauty salon,Katipunan St,Temporarily closed,0916 207 8557,http://www.facebook.com/Ricas-hair-salon-labangun-branch-471969792981868,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,2.6,(22),Beauty salon,"SM City Cebu, north reclamation area",Temporarily closed,(032) 232 0689,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ZYL Beauty Salon,5.0,(2),Beauty salon,,Temporarily closed,0932 881 3343,,,
Salon De Rose,4.2,(5),Beauty salon,"228 - 229, BTC Bldg, Gov. M. Cuenco Ave",Temporarily closed,(032) 344 2274,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TFM Beauty Salon,4.4,(40),Beauty salon,,Temporarily closed,(032) 328 9053,,,
Victor Ortega Salon & Spa,4.1,(15),Hair salon,"Mango Avenue, Corner General Echavez St",Temporarily closed,(032) 231 5125,,,
J2 Salon,4.1,(18),Beauty salon,M.L. Quezon National Highway,Temporarily closed,0916 577 1094,,,
Janet Waxing Salon,4.8,(4),Beauty salon,Tres de Abril St,Temporarily closed,(032) 266 4798,,,
Renue De Joy Salon,1.0,(1),Beauty salon,Mactan,Temporarily closed,(032) 494 0275,https://www.facebook.com/pages/Renue-De-Joy-Beauty-Salon/295484723850595,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Glamuruza Beauty Salon,2.0,(2),Beauty salon,168 Ouano Avenue,Temporarily closed,(032) 239 6289,,,
COIFFURE SALON AND SPA,4.2,(18),Beauty salon,194 Junquera St,Temporarily closed,0995 679 0259,,,
Arielle Salon,4.0,(5),Hair salon,Gonzales Compound,Temporarily closed,0942 027 9461,,,
Lay Bare Waxing Salon - Parkmall Cebu,4.1,(8),Waxing hair removal service,"Ouano Avenue, Mandaue Reclamation Area, Mandaue City",Temporarily closed,(032) 266 9865,https://lay-bare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,3.9,(98),Hair salon,"Ayala Center, Archbishop Reyes Ave",Temporarily closed,(032) 231 3988,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Glance Salon & Spa,5.0,(1),Beauty salon,"Tower 2 Crown Regency, Osmeña Blvd",Temporarily closed,(032) 414 0674,,,
Salon De Rose,3.5,(24),Beauty salon,"Gaisano Fiesta Mall Arcade, GF A2",Temporarily closed,(032) 272 1988,,,
Girlie Salon,4.0,(2),Beauty salon,,Temporarily closed,(032) 412 1792,,,
Salon De Rose,4.0,(8),Beauty salon,"Insular Square, North Road Highway",Temporarily closed,(032) 238 5857,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Loops Style And Trend Salon,4.5,(4),Beauty salon,"Chatswood Bldg, H. Cortes St Cor A. S Fortuna St",Temporarily closed,0927 768 8937,http://www.facebook.com/LoopsStyleAndTrendSalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lay Bare Waxing Salon,4.2,(32),Waxing hair removal service,"Northwing, A2106, SM City Cebu, Juan Luna Avenue, NRA, Cebu City 6000",Temporarily closed,(032) 505 7805,http://www.lay-bare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
beautySPARKS Salon,3.3,(6),Beauty salon,A. S. Fortuna St,Temporarily closed,(032) 417 5109,,,
Jude Gabato Salon,4.0,(3),Beauty salon,,Temporarily closed,0925 788 8863,http://www.facebook.com/judiegabato,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Elysian Salon Cebu,4.9,(7),Beauty salon,Unit 105 Vel Ouano Center M.C. Briones St. highway Brgy Maguikay,Temporarily closed,(032) 326 4236,,,
Bangs Prime Salon - SM Seaside Cebu,3.4,(9),Beauty salon,3rd Floor Wellness Zone SM Seaside Cebu,Temporarily closed,(032) 410 7412,http://bangsprimesalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Hair Cutter Salon,4.4,(40),Beauty salon,,Temporarily closed,(032) 328 9053,,,
DONNA Cebu店 ヘア＆アイラッシュ＆ネイル＆エステ＆脱毛（セブ島 Jモール店）best hair salon in cebu,3.9,(16),Beauty salon,"J Centre Bldg, 33B A. S. Fortuna St",Temporarily closed,(032) 266 2131,https://donna-hair-salon.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Christopher David Hair Salon,4.1,(18),Beauty salon,M. J. Cuenco Ave,Temporarily closed,(032) 412 9079,,,
Rica's Salon,3.7,(3),Beauty salon,Maximo V. Patalinghug Jr. Avenue,Temporarily closed,(032) 266 4798,,,
Salon De Rose,4.0,(10),Beauty salon,"SM Seaside, 3rd Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",Temporarily closed,(032) 261 5669,,,
Lany Unisex Salon,2.0,(2),Beauty salon,,Temporarily closed,(032) 239 6289,,,
Lay Bare Waxing Salon - Banilad Town Centre,4.3,(28),Waxing hair removal service,"2nd Floor North Town Centre,, Gov. M. Cuenco Avenue",Temporarily closed,(032) 415 1545,http://www.lay-bare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon4U,4.3,(37),Hair salon,"Light Site, A. S. Fortuna St",Temporarily closed,(032) 239 8300,,,
Hershian Salon for Men & Women,4.1,(8),Beauty salon,797 Tres de Abril Street,Temporarily closed,(032) 414 5478,,,
Lay Bare Waxing Salon - SM Seaside City,4.2,(9),Waxing hair removal service,"3rd Level SM Seaside Cebu, South Reclamation Project Road",Temporarily closed,0921 804 2877,http://www.lay-bare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Franzy Hair Salon,2.6,(15),Hair salon,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Temporarily closed,(032) 260 3331,https://www.facebook.com/pages/Franzy-Hair-Salon-SM-Cebu/262569267213116,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Thewi Hair & Nail Spa,3.4,(5),Nail salon,"Uniy 575, Vestraders Arcade, Osmeña Blvd",Temporarily closed,(032) 253 3688,https://www.facebook.com/pages/Thewi-Hair-And-Nail-Spa/194472910595314,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cut Salon,2.9,(8),Beauty salon,,Temporarily closed,(032) 412 1792,,,
F Salon,1.0,(1),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 318 5215,https://www.facebook.com/BusinessFranchiseFSalonBodySpa/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
GLAMOURedge Beauty Salon,5.0,(1),Beauty salon,"2/F hi-way, Sandayong",Temporarily closed,0977 811 0493,,,
No Strips Waxing Salon-Raintree Mall,4.5,(35),Waxing hair removal service,"GF Raintree Mall, F. Ramos St",Temporarily closed,0936 910 2586,https://www.facebook.com/nostripswaxingsalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SwePhi Studio Salon & Spa,5.0,(1),Beauty salon,"Dragon Home Inn, General Echavez St",Temporarily closed,(032) 417 5109,,,
Expose,4.3,(3),Hair salon,"Crossroads Mall, Gov. M. Cuenco Ave",Temporarily closed,(032) 231 6550,,,
Chantal Hair And Nail Care Salon,4.9,(7),Beauty salon,,Temporarily closed,(032) 326 4236,,,
David's Salon,2.5,(2),Beauty salon,2nd Floor South Town Centre,Temporarily closed,(032) 231 5812,,,
Salon De Rose,5.0,(1),Beauty salon,Shopwise Basak South Road,Temporarily closed,(032) 266 6379,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Her Style Beauty Salon,3.9,(16),Beauty salon,C.M.Cabahug,Temporarily closed,0932 395 3923,,,
Promenade Salon,4.1,(18),Beauty salon,Don Gil Garcia St,Temporarily closed,(032) 254 6453,,,
Live & Dye Salon,4.0,(1),Beauty salon,,Temporarily closed,0917 771 7356,https://m.facebook.com/LiveandDyeHair/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Skydash & Co Salon,4.6,(10),Beauty salon,,Temporarily closed,(032) 261 5669,,,
Glam Nail Salon & Day Spa @ Cebu,3.8,(44),Beauty salon,"2nd Level Sampaguita Suites, Plaza Garcia Building, Magallanes Street, Cebu City",Temporarily closed,(032) 505 9405,http://www.glamnailsphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.7,(20),Beauty salon,"Banilad Town Center, Adelfa",Temporarily closed,(032) 344 2274,,,
Salon De Grace,4.3,(37),Beauty salon,,Temporarily closed,5122380,,,
Cut Mabolo,4.1,(50),Beauty salon,9 Pope John Paul II Ave,Temporarily closed,(032) 416 1434,,,
Salon Ni Christian For Men & Women,4.2,(9),Beauty salon,"BF Mactan Strip, M.L. Quezon National Highway",Temporarily closed,(032) 262 0751,,,
Our Own Salon,2.6,(15),Beauty salon,"Parkmall, Ouano Avenue",Temporarily closed,(032) 339 3433,,,
Newton Salon,3.0,(1),Beauty salon,Eduardo Aboitiz St,Temporarily closed,0948 504 9195,,,
Rever Salon (Cebu) Inc.,2.9,(8),Beauty salon,Gorordo Avenue,Temporarily closed,(032) 233 9381,,,
Carlos Reyes Hair Salon,1.0,(1),Beauty salon,194 Junquera St,Temporarily closed,0932 406 6974,,,
C'estLaVie Salon & Spa,5.0,(1),Beauty salon,"2nd Floor, Annex Building, Gaisano Mactan Island Mall, M.L. Quezon National Highway",Temporarily closed,0977 811 0493,,,
Karen Beauty Salon and Spa,3.8,(4),Beauty salon,785 V Rama Ave,Temporarily closed,(032) 513 3172,,,
Dans Salon,5.0,(1),Beauty salon,,Temporarily closed,(032) 417 5109,,,
10 Hair and Nail Salon,4.3,(3),Beauty salon,"1075 Dormitel, Uytengso Street, Jones Ave",Temporarily closed,(032) 231 6550,,,
Rene Beauty Salon,4.9,(7),Beauty salon,Katipunan St,Temporarily closed,(032) 261 2297,,,
Tip Top Salon,2.5,(2),Beauty salon,,Temporarily closed,(032) 231 5812,,,
Mercy Beauty Salon,5.0,(1),Beauty salon,,Temporarily closed,4223235,,,
L Dior Beauty Salon,3.9,(16),Beauty salon,"Gaisano Country Mal, Camp Lapulapu Road, Banilad",Temporarily closed,(032) 233 1809,,,
Franzy Hair Salon,3.0,(1),Hair salon,V Rama Ave,Temporarily closed,(032) 254 4647,,,
Vito's Beauty Salon,5.0,(2),Beauty salon,Gorordo Ave,Temporarily closed,0922 686 3506,,,
David's Salon,3.8,(6),Beauty salon,"SM Seaside, SRP Mambaling Rd Cor CSCR",Temporarily closed,(032) 261 5669,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Franzy Hair Salon,4.5,(2),Beauty salon,"Grand Mall, Basak-Sisi-Agus Rd",Temporarily closed,(032) 505 9588,,,
Franzy Salon,3.7,(6),Beauty salon,"Gaisano Fiesta Mall, Cebu South Road, Tabunok",Temporarily closed,(032) 273 7503,,,
Myface N' Mynails Salon,1.0,(1),Nail salon,"Plaza Margarita, Sandayong",Temporarily closed,0943 340 5346,https://www.facebook.com/myfacenmynails/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eljis Beauty Salon,4.1,(50),Beauty salon,Natalio B. Bacalso Ave,Temporarily closed,(032) 511 7165,,,
Urban Style Salon and Spa,4.2,(9),Beauty salon,Osmeña Blvd Corner Sanciangko Street,Temporarily closed,(032) 416 7740,,,
Finger's,4.0,(5),Beauty salon,1 Salinas Dr,Temporarily closed,(032) 512 7437,,,
Marie & Grace Beauty Salon,3.0,(1),Beauty salon,"Unit 3 P&D Building, Jose Rizal St",Temporarily closed,0998 951 5050,http://marie-grace-beauty-salon.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Masaya's Salon and Spa,4.8,(6),Beauty salon,"Unit 2 GF, Strand Tower, F. Cabahug St",Temporarily closed,0939 815 8312,https://www.facebook.com/MASAYAs-SALON-and-SPA-395552751061728/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sam Beauty Salon And Barbershop,1.0,(1),Beauty salon,52a Tabada St,Temporarily closed,0925 488 5343,,,
Elysian Salon,5.0,(2),Beauty salon,Vel Ouano Commercial Building,Temporarily closed,0917 840 3116,,,
3 J's Salon De Matumbo & Spa,3.8,(4),Beauty salon,Matumbo,Temporarily closed,0925 452 7110,,,
Marquel professional salon and spa,5.0,(1),Beauty salon,,Temporarily closed,(032) 417 5109,,,
Juvel Salon,4.3,(3),Beauty salon,Cor Leon Kilat St And N. Bucalso Ave,Temporarily closed,(032) 417 7002,,,
Mercs Hair And Nail Salon,1.0,(1),Beauty salon,,Temporarily closed,(032) 261 2297,,,
JQ21 Beauty Salon,5.0,(1),Beauty salon,"Mapplewood, Sindulan St",Temporarily closed,0927 207 2886,,,
Sandy's Salon and Spa,5.0,(1),Beauty salon,880 Hernan Cortes St,Temporarily closed,0916 378 5825,https://sandys-salon-and-spa.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Davids Salon,3.1,(7),Beauty salon,"2nd Flr. Elizabeth Mall, Leon Kilat St., N. Bakalso Ave., Cebu City",Temporarily closed,(032) 417 7068,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Debrha Beauty Salon,3.0,(1),Beauty salon,Katipunan St,Temporarily closed,0922 284 4383,,,
JASH Salon,4.5,(4),Beauty salon,297 S.B.Cabahug,Temporarily closed,0922 686 3506,,,
Tease Hair and Nail Salon,1.0,(1),Beauty salon,,Temporarily closed,(032) 261 5669,,,
Cut Encarnacion Group Of Salon,3.8,(4),Beauty salon,"LA Nueva Building, Natalio B. Bacalso S National Hwy",Temporarily closed,(032) 505 9588,https://tl-ph.facebook.com/CutSalonEncarnacionGroupOfSalon,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Skye Salon,3.7,(6),Beauty salon,Purok Butterfly,Temporarily closed,0923 948 8057,,,
Au Revoir Salon & Spa,1.0,(1),Beauty salon,933 V Rama Ave,Temporarily closed,(032) 416 7584,,,
Kaiz Salon & Spa,4.1,(50),Beauty salon,102 Gov. M. Roa St,Temporarily closed,(032) 513 6567,,,
Mirangcurl Korea Hair Salon,3.8,(5),Beauty salon,3rd level SM Seaside City,Temporarily closed,(032) 416 7740,,,
Juvel Salon,2.3,(4),Beauty salon,"165, 2nd Floor J Centre Mall, AS Fortuna Street",Temporarily closed,(032) 238 0180,,,
Bangs Hair Salon,3.0,(1),Beauty salon,"Level 3, North Wing Area, SM City Cebu, Juan Luna Avenue Extension",Temporarily closed,(032) 236 5201,,,
ELJIS SALON,4.8,(6),Beauty salon,Rafael Rabaya Rd,Temporarily closed,0923 899 7674,http://www.eljisalon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David Salon - Country Mall Branch,3.8,(4),Beauty salon,"Unit 1122 Grd. Flr. Gaisano Country Mall, Banilad Rd., Cebu City, 6000, Cebu Cebu PH, Banilad Rd",Temporarily closed,(032) 234 2973,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,4.2,(5),Beauty salon,"J Center Bldg, As Fotuna",Temporarily closed,(032) 266 5957,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Beauty Rest Salon & Spa,5.0,(1),Beauty salon,New Market Building,Temporarily closed,(032) 349 8249,,,
G - Salon,5.0,(1),Beauty salon,Zone Gabi,Temporarily closed,0926 798 4629,,,
Betina's Health & Beauty Salon,2.0,(1),Beauty salon,8 R. Duterte St,Temporarily closed,(032) 261 0288,,,
Posh Nails,1.0,(4),Nail salon,"SM Ice Skating Rink, Cebu South Coastal Rd",Temporarily closed,(032) 261 2297,,,
Jovels Salon and Spa,5.0,(1),Beauty salon,"Club Ultima Tower 3, Ramos, 306 F. Ramos St",Temporarily closed,0927 207 2886,,,
Image Salon,5.0,(1),Beauty salon,"DMR Building, 26 J. Alcantara St",Temporarily closed,(032) 418 1405,https://www.facebook.com/F-Salon-and-Body-Spa-497574070354301/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Herea Salon And Spa,3.1,(7),Beauty salon,Hernan Cortes St,Temporarily closed,(032) 420 2660,,,
Monchellia Beauty Salon,3.0,(1),Beauty salon,H. Abelleana Street Canduman Mandaue City Beside Cebuan aLhuiller,Temporarily closed,0929 256 4115,,,
Myface 'N Mynails,4.0,(1),Beauty salon,"1, St. Patrick Square, R Aboitiz St",Temporarily closed,(032) 512 4877,,,
GLAMOURedge Beauty Salon,4.5,(4),Beauty salon,"Citiview Pension House, Osmena Blvd Corner Sanciangko St",Temporarily closed,(032) 261 5669,,,
David's Salon,3.8,(4),Beauty salon,Grd. Flr. Arcenas Estate,Temporarily closed,(032) 262 1275,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Flor Beauty Salon,3.7,(6),Beauty salon,E Sabellano Street,Temporarily closed,0942 367 4297,,,
Mayeng Beauty Salon,1.0,(1),Beauty salon,Francisco Llamas St,Temporarily closed,(032) 416 7584,,,
Extend Beauty Salon,4.1,(50),Beauty salon,Rafael Rabaya Rd,Temporarily closed,0923 743 3883,,,
Fresh Fix Salon,3.8,(5),Beauty salon,1203 Tres de Abril St,Temporarily closed,(032) 416 7740,,,
Reflexion Salon & Spa,5.0,(1),Beauty salon,Natalio B. Bacalso Ave,Temporarily closed,(032) 238 0180,,,
Franzy Hair Salon,2.0,(3),Beauty salon,,Temporarily closed,(032) 236 5201,,,
"Jovies salon, beauty begins with me",5.0,(1),Beauty salon,M. J. Cuenco Ave,Temporarily closed,0923 899 7674,,,
Hann Salon,3.8,(4),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 234 2973,,,
Lovely Lyn Beauty Salon,4.2,(5),Beauty salon,"Consuelo Shopping Center, Colon Street",Temporarily closed,(032) 255 8613,,,
J & J Tricia salon,1.0,(1),Beauty salon,Francisco Llamas St,Temporarily closed,(032) 414 0004,,,
Fulgarinas Arsenia Salon,5.0,(1),Beauty salon,H Cortes Street,Temporarily closed,(032) 346 1452,,,
Chin Korean Hair Salon,2.0,(1),Beauty salon,"APM North, F. Cabahug St",Temporarily closed,(032) 261 0288,,,
Salon De Hillary,5.0,(1),Beauty salon,Urgello St,Temporarily closed,(032) 239 4426,,,
Myface 'N Mynails Salon,5.0,(1),Beauty salon,"Gaisano Capital Casuntingan, M. L. Quizon",Temporarily closed,(032) 512 6830,,,
Frank Lou Hair Salon,5.0,(1),Hair salon,,Temporarily closed,0966 817 8470,,,
Index Salon,1.0,(1),Beauty salon,,Temporarily closed,3263645,,,
Juliet Sanico Hair Salon,5.0,(6),Beauty salon,H. Borgonia St,Temporarily closed,0919 214 0732,https://julietsanico.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Princesa de Salon & Boutique,5.0,(1),Beauty salon,,Temporarily closed,4904951,,,
KR2 Beauty Centre,5.0,(9),Beauty salon,59 Hernan Cortes St,Temporarily closed,0956 847 5871,https://www.facebook.com/KR2beauty/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
