section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Rose Pharmacy Store Support Center,2.5,(4),Pharmacy,"3rd Floor FLC Building, Hernan Cortez St., cor. F. Cabahug St., Subangdaku",Closing soon: 5:00 pm,(032) 230 5000,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Purchaser's Pharmacy,2.8,(6),Pharmacy,53 AS Tabura St,Open until 9:00 pm,(032) 272 0719,,,
The Generics Pharmacy,4.0,(3),Pharmacy,2-A C. Rodriguez Street,Open until 7:00 pm,(032) 505 6803,https://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JEG Pharmacy,5.0,(2),Pharmacy,69 Francisco Llamas St,Open until 11:00 pm,(032) 340 1324,,,
GY Pharmacy,1.0,(1),Pharmacy,Osmeña Blvd,Open until 7:00 pm,(032) 253 9431,,,
ThreeSixty Pharmacy,3.3,(3),Pharmacy,"Gov. M. Cuenco Avenue, Talamban Rd",Open until 11:00 pm,(032) 520 9885,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,1.0,(1),Pharmacy,"PDI Condominium, Gov. M. Cuenco Ave",Open until 10:00 pm,(032) 416 1799,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
July Pharmacy,3.4,(11),Pharmacy,Tupas St,Open until 11:00 pm,(032) 261 2194,,,
Sanchvill Pharmacy,4.5,(2),Pharmacy,Imus Ave,Open until 9:00 pm,(032) 264 5963,,,
Rose Pharmacy,5.0,(2),Pharmacy,933 V Rama Ave,Open until 9:00 pm,(032) 253 4381,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
A.L.V. Pharmacy and General Merchandise,2.0,(2),Pharmacy,"183, M. Velez Street, Guadalupe",Open until 12:00 am,(032) 262 7621,,,
Pharmacy Han,3.7,(3),Pharmacy,14 Plaridel St,Open until 6:00 pm,(032) 266 4486,,,
Rose Pharmacy,1.0,(2),Pharmacy,"Fooda Saversmart, F. Cabahug, Kasambagan",Open until 9:00 pm,(032) 260 7310,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"CORNER ARCHBISHOP REYES AVENUE & CABANTAN ST., CEBU CITY",Open until 9:00 pm,(032) 232 6328,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.7,(3),Pharmacy,"Gorres Lacson, Colon St",Open until 12:00 am,(032) 256 1645,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sleepless Pharmacy,5.0,(1),Pharmacy,"Gaisano Country Mall, Camp Lapulapu Road",Open until 9:00 pm,(032) 254 6391,,,
Rose Pharmacy Inc.,3.6,(7),Pharmacy,Andres Abellana St,Open until 10:00 pm,(032) 256 1645,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mega Value Drug Store,3.7,(3),Pharmacy,"117, Colomall, Osmeña Blvd",Open until 12:00 am,(032) 412 4797,,,
CHG Pharmacy,4.0,(2),Pharmacy,F. Gonzales Street,Open until 8:30 pm,(032) 256 1129,,,
Bestway Pharmacy,3.5,(2),Pharmacy,Hernan Cortes St,Open until 10:00 pm,(032) 345 0138,,,
M Lhuillier Pharmacy,3.0,(1),Pharmacy,"Z Zapatera Plaza, Dionisio Jakosalem St",Closing soon: 5:00 pm,(032) 505 7794,,,
5th Avenue Pharmacy,2.8,(6),Pharmacy,Gonzales Compound,Open until 9:00 pm,(032) 414 0595,,,
ThreeSixty Pharmacy,2.0,(2),Pharmacy,V Rama Ave,Open until 7:00 pm,(032) 412 9112,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
H3N3 Pharmacy and Gen. Mdse.,5.0,(2),Pharmacy,Tagunol St,Open until 11:00 pm,(032) 340 1324,,,
Rhealife Pharmacy,1.0,(1),Pharmacy,70c Tabada St,Open until 7:00 pm,(032) 418 9997,,,
Rose Pharmacy,3.3,(3),Pharmacy,"M. Diaz Bldg, Osmeña Blvd",Open until 11:00 pm,(032) 238 7673,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Selco Pharmacy,1.0,(1),Pharmacy,Progreso St,Open until 10:00 pm,(032) 416 9663,,,
Dr. Iben Ting Pharmacy,3.4,(11),Pharmacy,"Don Mariano Cui Street, Capitol",Open until 11:00 pm,(032) 261 2194,,,
Well-Care Pharmacy,1.0,(1),Pharmacy,"242, Gorordo Avenue, Camputhaw",Open until 9:00 pm,(032) 233 6153,,,
Dr. Iben Ting Pharmacy,5.0,(2),Pharmacy,V. Urgello St,Open until 8:00 pm,(032) 253 4381,,,
Mega Value Drugstore,2.0,(2),Pharmacy,"Door 2, Borromeo Building, F. Ramos Street",Open until 10:00 pm,(032) 262 7621,,,
JPG Pharmacy,1.0,(1),Pharmacy,P. Cabantan,Open until 6:00 pm,(032) 232 1486,,,
ThreeSixty Pharmacy,4.0,(2),Pharmacy,Natalio B. Bacalso Ave,Open until 9:00 pm,(032) 260 7310,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metro Pharmacy,5.0,(1),Pharmacy,125-138 Colon St,Open until 9:00 pm,(032) 254 2106,http://metroretail.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.3,(4),Pharmacy,"Doña Luisa Building, Fuente Osmeña Cir",Open until 9:00 pm,(032) 256 1645,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JY Square Pharmacy,5.0,(1),Pharmacy,Gorordo Ave,Open until 7:45 pm,(032) 254 6391,,,
Bing 368 General Merchandise and Pharmacy,3.6,(7),Pharmacy,"2332, Lomboy Street, Banawa",Open until 10:00 pm,(032) 253 4893,,,
Mild Pharmacy and General Merchandise,3.7,(3),Pharmacy,85 C. Padilla Street,Open until 12:00 am,(032) 417 8183,,,
Three Sixty Pharmacy,3.0,(1),Pharmacy,Tiburcio Padilla St,Open until 8:30 pm,(032) 416 7100,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.4,(5),Pharmacy,Gov. M. Cuenco Ave,Open until 11:00 pm,(032) 239 4153,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.0,(1),Pharmacy,"Gaisano South Corner Colon & Leon Kilat Sts., Cebu Ctiy",Open until 8:30 pm,(032) 239 8203,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Anteo Pharmacy,2.8,(6),Pharmacy,"An-An Hollow Blocks, Carlock Strert, Duljo Fatima",Open until 9:00 pm,(032) 418 8792,,,
Rose Pharmacy,4.0,(2),Pharmacy,"One Pavillion Mall, 19-20 GF One Pavillion Mall, Duterte St. Guadalupe",Open until 9:00 pm,(032) 236 9477,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bing Pharmacy,5.0,(1),Pharmacy,H Abellana,Open until 9:00 pm,(032) 340 1324,,,
Threesixty Pharmacy,4.0,(1),Pharmacy,La Guardia St,Open until 11:00 pm,(032) 418 9997,,,
Threesixty Pharmacy,4.3,(3),Pharmacy,"Corner Escario and, F. Ramos Ext",Open until 11:00 pm,(032) 520 9060,,,
Cashmer Pharmacy,5.0,(1),Pharmacy,,Open until 10:30 pm,(032) 416 9663,,,
Megavalue Drugstore,3.4,(11),Pharmacy,Osmeña Boulevard,Open until 11:00 pm,(032) 412 4533,,,
Rose Pharmacy,5.0,(1),Pharmacy,"APM North, F. Cabahug St",Open until 9:00 pm,(032) 260 7310,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.0,(2),Pharmacy,"Paseo Saturnino,Luisa road",Open until 11:00 pm,(032) 564 9839,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,4.3,(4),Pharmacy,499 F. Jaca St,Open until 7:00 pm,(032) 412 0781,,,
ThreeSixty Pharmacy,1.0,(1),Pharmacy,F. Ramos St,Open until 6:00 pm,(032) 232 1486,,,
ThreeSixty Pharmacy,5.0,(1),Pharmacy,V Rama Ave,Open until 10:00 pm,(032) 255 9831,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,5.0,(1),Pharmacy,Gov. M. Cuenco Ave,Open until 9:00 pm,(032) 239 4153,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mercury Drug,3.6,(5),Pharmacy,120 Colon St,Open until 9:00 pm,(032) 253 0513,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,5.0,(1),Pharmacy,,Open until 8:00 pm,(032) 256 2898,https://www.facebook.com/lanuevapharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,5.0,(1),Pharmacy,"Gaisano Grand Mall, GF Gaisano Grand Mall, Talamban",Open until 9:00 pm,(032) 401 0182,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Shaweh Pharmacy,3.7,(3),Pharmacy,Echavez Ext,Open until 12:00 am,(032) 417 8183,,,
Pharmacy Alen,3.0,(1),Pharmacy,3 OPRRA Unit One [one way],Open until 8:30 pm,(032) 416 7100,,,
Rose Pharmacy,5.0,(1),Pharmacy,"ABC Hotel Ramos Cor. St., Lim Tian Teng",Open until 10:00 pm,(032) 254 7644,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"2ND FLR., RD REALTY BLDG., TALAMBAN, CEBU CITY",Open until 9:00 pm,(032) 239 8203,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Doctors' Choice Pharmacy - Llorente br,5.0,(1),Pharmacy,"Chong Hua Medical Arts, J.Liorente St",Open until 9:00 pm,(032) 253 9250,,,
The Generics Pharmacy,4.0,(2),Pharmacy,"RD Realty Building, Leyson Street, Talamban",Open until 9:00 pm,(032) 520 2269,,,
Rose Pharmacy - Banilad Town Center,5.0,(1),Pharmacy,"Banilad Town Center, Banilad, Cebu City, 6000, Cebu",Open until 9:00 pm,(032) 344 3755,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.0,(1),Pharmacy,"SHOPPE NO. 102 COCO MALL, OSMEÑA BLVD. CORNER MARIA CRISTINA ST., CEBU CITY",Open until 9:00 pm,(032) 418 9997,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmarcy,4.0,(1),Pharmacy,"GF, Robinsons Cybergate Cebu, Don Gil Garcia Corner J Llorente Street",Open until 9:00 pm,(032) 505 5921,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,2.7,(6),Pharmacy,Gov. M. Cuenco Ave,Open until 12:00 am,(032) 416 9663,,,
JL Drugstore,4.0,(1),Pharmacy,J. Alcantara St,Open until 11:00 pm,(032) 412 4533,,,
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"HERNAN CORTES ST., SUBANGDAKU, MANDAUE CITY, CEBU",Open until 9:00 pm,(032) 260 7310,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.5,(2),Pharmacy,170 Lopez Jaena St,Open until 12:00 am,(032) 236 9122,https://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.3,(4),Pharmacy,"GROUND FLOOR NO. 85 OSMEÑA BOULEVARD, CEBU CITY",Open until 9:00 pm,(032) 412 0781,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,1.0,(1),Pharmacy,Tres de Abril St,Open until 11:00 pm,(032) 239 4669,http://lanuevapharmacy.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,5.0,(1),Pharmacy,76 Gov. M. Cuenco Ave,Open until 7:00 pm,(032) 254 5264,https://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Zarri Pharmacy & General Merchandise,4.5,(2),Pharmacy,"39, N. Escario Street, Kamputhaw",Open until 9:00 pm,(032) 231 2472,,,
Ana Pharmacy,2.2,(5),Pharmacy,Progreso St,Open until 8:00 pm,(032) 254 3127,,,
Southstar Drug,4.0,(1),Pharmacy,General Maxilom Ave Ext,Open until 9:00 pm,(032) 261 4031,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,5.0,(1),Pharmacy,"ROBINSONS SUPERMARKET, G/F TALAMBAN TIME SQUARE",Open until 9:00 pm,(032) 401 0182,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.6,(5),Pharmacy,M. L. Quezon Ave,Open until 11:00 pm,(032) 417 8183,,,
Sanjo Medi Pharma,5.0,(1),Pharmacy,Arlington Pond St,Open until 9:00 pm,(032) 512 2981,,,
Vive Pharmacy,5.0,(3),Pharmacy,"858 Katipunan St., Tisa Cebu City",Open until 10:00 pm,0947 309 1923,,,
Sanchvill,3.0,(1),Pharmacy,T. Padilla,Open until 10:00 pm,(032) 233 0050,,,
Tri Gie's Pharmacy & General Merchandise,5.0,(1),Pharmacy,86 Salvador St,Open until 9:00 pm,(032) 272 3504,,,
I-Ben's Pharmacy,4.5,(2),Pharmacy,"back of robinson's cybergate, Don Gil Garcia St",Open until 10:30 pm,(032) 255 6890,https://i-bens-pharmacy.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.5,(2),Pharmacy,"76 NASIPIT, TALAMBAN, CEBU CITY, CEBU",Open until 9:00 pm,(032) 236 9122,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Louis Pharmacy,4.0,(1),Pharmacy,91Panganiban Street,Open until 9:00 pm,(032) 255 2441,,,
Mercury Drug,4.0,(2),Pharmacy,Cebu S Rd,Open until 9:00 pm,(032) 505 5921,,,
Arise and Shine Pharmacy,2.7,(6),Pharmacy,"Panganiban Street, Central, Pahina",Open until 12:00 am,(032) 418 4089,,,
Ever Green Pharmacy,4.0,(1),Pharmacy,Dionisio Jakosalem Street,Open until 11:00 pm,(032) 231 2070,,,
SOUTHSTAR DRUG,5.0,(1),Pharmacy,"LEVEL 1 ROBINSONS CYBERGATE CEBU, DON MARIANO CUI ST.",Open until 9:00 pm,(032) 236 3971,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,4.0,(2),Pharmacy,,Open until 12:00 am,(032) 236 9122,,,
TGP The Generics Pharmacy,4.3,(4),Pharmacy,P. Lopez Street,Open until 9:00 pm,(032) 412 0781,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"163 URGELLO ST., CEBU CITY, CEBU",Open until 9:00 pm,(032) 239 4669,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,5.0,(1),Pharmacy,"ROBINSONS SUPERMARKET BANILAD, BANILAD TOWN CENTER",Open until 9:00 pm,(032) 239 6638,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.5,(2),Pharmacy,"UNIT 48, APM PRIME MALL, BARGAIN PARADISE, CEBU CITY",Open until 9:00 pm,(032) 231 2472,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,2.2,(5),Pharmacy,,Open until 8:00 pm,(032) 254 3127,,,
