section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Mercy Beauty Salon,4.8,(12),Beauty salon,,Temporarily closed,4223235,,,,
Vito's Beauty Salon,5.0,(2),Beauty salon,Gorordo Ave,Temporarily closed,0922 686 3506,,,,
Harries House Of Beauty,5.0,(1),Beauty salon,P. Rodriguez St,Temporarily closed,0921 826 4142,,,,
Adrienne Beauty Salon,4.6,(5),Beauty salon,,Temporarily closed,(032) 236 7610,,,,
Elmas Beauty Parlor,5.0,(1),Beauty salon,968 V Rama Ave,Temporarily closed,(032) 253 9919,,,,
Rene Beauty Salon,4.4,(9),Beauty salon,Katipunan St,Temporarily closed,(032) 261 2297,,,,
Gemma Beauty,5.0,(1),Beauty salon,"Amdeco Bldg, A. C. Cortes Ave",Temporarily closed,(032) 414 5213,https://www.facebook.com/pages/Gemma-Beauty-Salon-and-Barbershop/704919722884599,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Karen Beauty Salon and Spa,3.8,(4),Beauty salon,785 V Rama Ave,Temporarily closed,(032) 513 3172,,,,
La Beauty Salon,4.8,(4),Beauty salon,Hernan Cortes St,Temporarily closed,(032) 344 0592,,,,
4 Last Beauty Parlor,,,Beauty salon,San Isidro Road,Temporarily closed,(032) 491 7197,,,,
Joy Hair & Beauty Salon,,,Beauty salon,Saac 1,Temporarily closed,(032) 238 7859,,,,
R6M Beauty Salon,5.0,(1),Beauty salon,M. L. Quezon Ave,Temporarily closed,0977 811 0493,,,,
Beauty Rest Salon & Spa,5.0,(1),Beauty salon,New Market Building,Temporarily closed,(032) 349 8249,,,,
Fresh Fix Salon,4.2,(5),Beauty salon,1203 Tres de Abril St,Temporarily closed,(032) 415 4763,,,,
Eljis Beauty Salon,5.0,(9),Beauty salon,Natalio B. Bacalso Ave,Temporarily closed,(032) 511 7165,,,,
DLS Beauty Salon,,,Beauty salon,Pope John Paul II Ave,Temporarily closed,(032) 273 7187,https://www.facebook.com/DLSBeautySalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Glamuruza Beauty Salon,2.0,(2),Beauty salon,168 Ouano Avenue,Temporarily closed,(032) 239 6289,,,,
Grace Beauty Parlo,4.0,(1),Beauty salon,728 M. L. Quezon Ave,Temporarily closed,0923 463 8646,https://www.facebook.com/grace.m.tinapay?fref=ts&ref=br_tf,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Massage Beauty & Spa,3.8,(4),Beauty salon,Pajac-Maribago Rd,Temporarily closed,(02) 7239 6154,,,,
Miss Red Beauty Salon,4.0,(10),Beauty salon,Hipodromo Oval Rd,Temporarily closed,0933 133 4638,,,,
Mr. & Ms. Beauty Terminal,4.8,(12),Beauty salon,Basak-Sisi-Agus Rd,Temporarily closed,0977 336 6967,,,,
Hair Waves Beauty Salon,3.0,(1),Beauty salon,Colon St,Temporarily closed,(032) 254 8476,,,,
Kim's Beauty Studio,5.0,(1),Beauty salon,897 Bataan St,Temporarily closed,0938 077 3814,,,,
Sam Beauty Salon And Barbershop,4.6,(5),Beauty salon,52a Tabada St,Temporarily closed,0925 488 5343,,,,
Evanna Beauty & Collections,5.0,(1),Beauty salon,435 Hipodromo Rd,Temporarily closed,(032) 253 9919,,,,
Patvillz Beauty Salon & Spa,4.4,(9),Beauty salon,473 G Ouano St,Temporarily closed,0917 790 2922,,,,
Genesa Salon & Beauty Care,5.0,(1),Beauty salon,1256 Natalio B. Bacalso Ave,Temporarily closed,0935 876 8561,,,,
Shine Bright Beauty Salon,3.0,(1),Beauty salon,Ward II,Temporarily closed,0929 445 0613,,,,
Charm Me Beauty Salon,4.0,(1),Beauty salon,"Marina Mall, Mactan",Temporarily closed,(032) 495 5197,,,,
GLAMOURedge Beauty Salon,4.5,(4),Beauty salon,"Citiview Pension House, Osmena Blvd Corner Sanciangko St",Temporarily closed,(032) 491 7197,,,,
Monchellia Beauty Salon,,,Beauty salon,H. Abelleana Street Canduman Mandaue City Beside Cebuan aLhuiller,Temporarily closed,0929 256 4115,,,,
Promenade Salon,5.0,(1),Beauty salon,Don Gil Garcia St,Temporarily closed,(032) 254 6453,,,,
Zam Beauty Salon,5.0,(1),Beauty salon,224 Francisco Llamas St,Temporarily closed,(032) 414 4315,,,,
Fleek Eyebrows And Beauty Clinic,4.2,(5),Beauty salon,SM Seaside Cebu 3rd floor Mountain Wing,Temporarily closed,(032) 415 4763,,,,
Carina's beauty parlor,5.0,(9),Beauty salon,,Temporarily closed,(032) 511 7165,,,,
D'Dreamlooks Dermaclinic Beauty & Wellness Salon,4.2,(5),Beauty salon,"Basement 2, Ayala Center Cebu, Luzon Ave",Temporarily closed,(032) 273 8773,http://www.ddreamlooks.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Chere' Madame Beauty Parlor and Dress Shop,2.0,(2),Beauty salon,Legaspi St,Temporarily closed,(032) 344 3399,,,,
Letty,4.0,(1),Beauty salon,Gorordo Ave,Temporarily closed,(032) 233 8421,,,,
Flor Beauty Salon,3.8,(4),Beauty salon,E Sabellano Street,Temporarily closed,0942 367 4297,,,,
Mariell Beauty Salon,4.0,(10),Beauty salon,465 Francisco Llamas St,Temporarily closed,(032) 239 0017,,,,
Philly Beauty Salon,4.8,(12),Beauty salon,"P. Square, F. Cabahug St",Temporarily closed,(032) 232 0370,,,,
"High-giene Beauty Clinic - Escario, Cebu Branch",4.1,(15),Beauty salon,"Jolibee, Yakimix, LBC, Stronghold, Capitol Square, 2nd Floor, N Escario St",Temporarily closed,(032) 326 8376,http://high-giene.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Luxe Beauty International,3.2,(6),Beauty salon,"Unit 15 G/F Century Plaza Commercial Complex, Juana Osmeña Cebu",Temporarily closed,(032) 263 2207,,,,
Seon Beauty Land,4.6,(5),Beauty salon,"Park Mall, Ouano Avenue",Temporarily closed,0915 381 3553,,,,
Donna Beauty Parlor,5.0,(1),Beauty salon,Fidel Bas,Temporarily closed,0933 204 6083,,,,
Celcar Beauty Parlor,4.4,(9),Beauty salon,"Fernan Street, Li-ong, Alang-Alang, 6014",Temporarily closed,0917 790 2922,,,,
Eppo Salon,4.5,(4),Beauty salon,,Temporarily closed,0927 768 8937,,,,
Annie's Aesthetics Center,3.0,(1),Beauty salon,"Robinsons Galleria Cebu, Gen. Maxilom Ext",Temporarily closed,0929 445 0613,,,,
Newton Salon,3.0,(1),Beauty salon,Eduardo Aboitiz St,Temporarily closed,0948 504 9195,,,,
Migs Gift Beauty Shop (Talisay Main Branch),4.2,(42),Beauty salon,,Temporarily closed,0922 863 8557,,,,
COLORBAR Salon and Day Spa,4.4,(12),Hair salon,"G/F FPN Epic Center, A.S. Fortuna St.",Temporarily closed,(032) 236 8044,https://www.facebook.com/ColorbarSalonCebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Anna Grace's Beauty Salon,5.0,(1),Beauty salon,Mepz 1,Temporarily closed,(032) 495 9613,,,,
Ninky Beauty Salon,5.0,(1),Beauty salon,Lopez - Jaena St,Temporarily closed,(032) 414 4315,,,,
Migs Gift Beauty Shop (Talisay Main Branch),4.2,(5),Beauty salon,Washington Street,Temporarily closed,0917 790 9825,,,,
get it BEAUTY,1.0,(1),Beauty salon,"3F MSG SQUARE bldg PUEBLO VERDE BASAK ST. BGY BASAK, LAPULAPU CITY",Temporarily closed,(032) 520 3588,http://www.facebook.com/getitbeauty88,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Carla Beauty Parlor,4.2,(5),Beauty salon,Spolarium St,Temporarily closed,(032) 273 8773,,,,
Bebot's Beauty Parlor,2.0,(2),Beauty salon,Tiburcio Padilla St,Temporarily closed,(032) 344 3399,,,,
I-Lash Salon,4.7,(3),Beauty salon,"SM Seaside City, South Coastal Rd Corner Mambaling Ext South Rd Properties",Temporarily closed,(032) 233 8421,,,,
Belle Beauty Bar and Barber Shop,3.8,(4),Beauty salon,8 Gorordo Ave,Temporarily closed,(032) 232 3948,,,,
TFM Beauty Salon,4.4,(40),Beauty salon,,Temporarily closed,(032) 328 9053,,,,
Migs Gift Beauty Shop (Abuno Branch),4.8,(12),Beauty salon,Pajac - Maribago Rd Abuno,Temporarily closed,0922 863 8557,,,,
Ramil's Hair Talks And Asian Care Beauty Saloon,4.0,(1),Beauty salon,SB Cabahug St Corner M Sanchez St,Temporarily closed,0943 784 1680,,,,Open until 9:00 pm
K's beauty Lounge,3.2,(6),Beauty salon,A. S. Fortuna St,Temporarily closed,0915 004 0985,,,,
Beauty & Butter Nail Lounge,5.0,(1),Nail salon,"SM Seaside, 3rd Level SRP Mambaling Rd, Cor Cebu South Coastal Rd",Temporarily closed,0917 120 6044,,,,
Jean Beauty Salon And Barber Shop,5.0,(1),Beauty salon,Fernan Street Li-ong,Temporarily closed,(032) 345 3234,,,,
GMT Beauty Salon by Grace,5.0,(1),Beauty salon,728 M. L. Quezon Ave,Temporarily closed,(032) 416 4355,,,,
Tess Beauty Parlor For Men & Women,4.0,(1),Beauty salon,Omega St,Temporarily closed,(032) 416 2367,,,,
Brent & Simons Salon Exclusive,5.0,(1),Beauty salon,"MYA Bldg, General Maxilom Ave",Temporarily closed,(032) 266 0076,,,,
Benefit Cosmetics Boutique & BrowBar lounge,3.0,(1),Beauty salon,"G/F Ayala Center Cebu, Archbishop Reyes Ave",Temporarily closed,(032) 326 7126,https://www.benefitcosmetics.com/ph/en/beauty-services,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Hann Salon,5.0,(2),Beauty salon,"Villalon Building, Osmeña Blvd",Temporarily closed,(032) 253 1938,,,,
Cho-san Beauty Haus and Spa,4.4,(12),Beauty salon,JSP Bldg. &nbsp;GORORDO gen. maxilom and echavez street. cebu city,Temporarily closed,0925 740 7784,https://cho-san.wixsite.com/cho-san,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Amorfati beauty salon,4.3,(19),Nail salon,,Temporarily closed,0927 777 2330,http://www.cebunail.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
C'estLaVie Salon & Spa,5.0,(1),Beauty salon,"2nd Floor, Annex Building, Gaisano Mactan Island Mall, M.L. Quezon National Highway",Temporarily closed,(032) 414 4315,,,,
MIRA Beauty by Design,4.2,(5),Hair salon,General Maxilom Ave Ext,Temporarily closed,(032) 326 9268,https://www.mira.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Richton Hair Salon Inc.,4.0,(2),Beauty salon,Gaisano Country Mall,Temporarily closed,(032) 234 2973,,,,
Patvillz Beauty Salon & Spa For Men and Women,5.0,(1),Beauty salon,G Ouano St,Temporarily closed,0999 794 5945,,,,
Lovely Lyn,1.0,(2),Beauty salon,Sanson Rd,Temporarily closed,(032) 414 7272,,,,
Amor Ganda Beauty Salon,3.5,(2),Beauty salon,Paknaan,Temporarily closed,0905 768 8548,,,,
Angging Beauty Parlour,3.8,(4),Beauty salon,Cabreros St,Temporarily closed,(032) 232 3948,,,,
Dindo Salon X'Clusive,4.4,(40),Beauty salon,Archbishop Reyes Ave,Temporarily closed,(032) 232 9832,,,,
Naba Beauty Salon,4.5,(2),Hair salon,F. Jaca St,Temporarily closed,(032) 272 1858,,,,
L Dior Beauty Salon,4.0,(1),Beauty salon,"Gaisano Country Mal, Camp Lapulapu Road, Banilad",Temporarily closed,(032) 233 1809,,,,Open until 9:00 pm
Beauty & Butter Nail Lounge SM Cebu,4.0,(1),Nail salon,"SM City Cebu, UNIT 2111 2nd",Temporarily closed,0917 592 5331,https://www.facebook.com/BeautyandButter,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
BEAUTY STUDIO MAXIM,5.0,(1),Beauty salon,"MIT 2 BLD, CIRCA 1900 ROAD, BACK OF METROBANK, BESIDE JOLLIBEE",Temporarily closed,0917 120 6044,,,,
Juvel Salon,5.0,(1),Beauty salon,Cor Leon Kilat St And N. Bucalso Ave,Temporarily closed,(032) 417 7002,,,,
Let's Face It,5.0,(1),Beauty salon,,Temporarily closed,(032) 416 4355,,,,
Ophie's,4.0,(1),Beauty salon,"The Hangouts Building, 225 S.B. Cabahug",Temporarily closed,(032) 414 5232,,,,
Espace Beaute Salon,4.0,(1),Beauty salon,"Centero Arcade, Osmeña Blvd",Temporarily closed,(032) 520 8108,,,,
Beauty Club Salon,3.0,(1),Beauty salon,"Sitio PILIT, Elias Cortes St",Temporarily closed,0906 856 6256,,,,Open until 10:00 pm
Sampaguita parlor,5.0,(2),Beauty salon,304 Gorordo Ave,Temporarily closed,(032) 253 1938,,,,
Ric D Salon,4.5,(27),Beauty salon,Patalinghug Avenue,Temporarily closed,(032) 494 0346,,,,
Uni Trends Beauty Salon,4.3,(19),Beauty salon,V Rama Avenue,Temporarily closed,(032) 419 4311,,,,
Kitty’s Beauty Spa,4.0,(1),Nail salon,,Temporarily closed,(032) 414 4315,,,,
Wu-Trendy Hair Beautique,5.0,(2),Beauty salon,,Temporarily closed,0956 648 7511,http://www.fb.com/wu-trendyhairbeautique,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Skinplicity,4.0,(2),Beauty salon,"2nd Floor, Pacific Mall Mandaue",Temporarily closed,(032) 328 0429,http://www.skinplicity.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Wally Magic Beauty Facial Center,3.5,(4),Facial spa,100B Ramon Aboitiz St Cor Juana Osmena St,Temporarily closed,(032) 511 7901,,,,
Let's Face It,3.5,(10),Beauty salon,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshing St",Temporarily closed,(032) 505 9468,,,,
Jazzy's beauty salon,5.0,(2),Beauty salon,Rizal Ave Ext,Temporarily closed,0945 716 5354,,,,
Sawasdee Beauty Salon,3.7,(3),Beauty salon,,Temporarily closed,(032) 495 2546,,,,
Erica Diaz Beauty Studio,5.0,(3),Beauty salon,"Commercial Area, Beside Softwash, The Persimmon Plus Bldg 3, Unit 208 Bldg, M. J. Cuenco Ave",Temporarily closed,0917 772 4342,,,,
Rica's Salon,3.7,(3),Beauty salon,Maximo V. Patalinghug Jr. Avenue,Temporarily closed,(032) 272 1858,,,,
Piandre Salon,4.0,(1),Beauty salon,"Oakridge Business Park, AS Fortuna",Temporarily closed,(032) 412 1824,http://piandre.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Beb's Beauty Parlor,4.0,(1),Beauty salon,"499 F.Jaca Street, Inayawan",Temporarily closed,(02) 3417 3928,,,,
I-Lash Salon - SM Cebu,5.0,(1),Beauty salon,"215A 2nd Floor, Northwing, SM Cebu City, North Reclamation Area",Temporarily closed,0929 649 1990,,,,
Raku Natural Japan Beauty Pro,5.0,(2),Beauty salon,"2F Streetscape mall Cebu, Paseo Saturnino",Temporarily closed,(032) 326 8325,http://rakunaturalbeauty.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
887 Rebonding Digital Beauty Chateau,4.0,(6),Beauty salon,"G/F Florencio Bldg, G.Y. Dela Serna St",Temporarily closed,(032) 512 7359,,,,
CJF Dei Royal Classic Beauty Salon,4.0,(1),Beauty salon,"821-13 AB Nashville, Nasipit",Temporarily closed,(032) 346 6118,,,,
Weel Being Spa,4.0,(1),Beauty salon,"5th Floor, Penthouse, Amslai Building, Salinas Drive, Lahug",Temporarily closed,(032) 232 3332,,,,
Salon De Fei Mei Li,3.0,(1),Beauty salon,Z-3 1856 Rafael Rabaya Rd,Temporarily closed,(033) 382 6131,,,,Open until 10:00 pm
ELJIS SALON,5.0,(2),Beauty salon,Rafael Rabaya Rd,Temporarily closed,0923 899 7674,http://www.eljisalon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Chang Euldan Hair & Beauty Studio,4.5,(27),Beauty salon,M. L. Quezon Ave,Temporarily closed,0917 881 7061,,,,
Patrice Salon & Spa,3.0,(4),Beauty salon,"Osmena Bldg, Colon Corner Pelaez",Temporarily closed,(032) 513 6781,,,,
Joy da Joy Salon,3.9,(38),Beauty salon,"CIP Bldg, F. Cabahug St",Temporarily closed,0905 228 8091,,,,
Febel Beauty Lounge,5.0,(2),Beauty salon,"2nd Floor The Verve Point Bldg, Gov. M. Cuenco Ave",Temporarily closed,(032) 514 9557,,,,
Alicia's Nails and Trim Beauty Salon,4.0,(2),Beauty salon,"821-13AB, Nasipit",Temporarily closed,(032) 328 0429,,,,
Salon De Rose,3.2,(9),Beauty salon,"Gaisano Grand Mall, Corner Basak-Sisi-Agus Rd",Temporarily closed,(032) 238 8998,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Beauty Hera,3.5,(10),Nail salon,"All Prime Bldg, Salinas Dr",Temporarily closed,0917 725 1004,,,,
Megacraft International,3.0,(1),Beauty salon,"9 F. Gochan Street, Mabolo",Temporarily closed,(032) 231 5297,,,,
PINK LUSH BEAUTY LOUNGE,3.7,(3),Beauty salon,"76 GOV. CUENCO AVENUE, Nasipit Road",Temporarily closed,0917 625 7362,https://www.facebook.com/Pinklushcebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
887 Rebonding Digital Beauty Chateau,5.0,(3),Beauty salon,074 Upper,Temporarily closed,0917 772 4342,,,,
Mirangcurl Korean Salon,4.3,(77),Beauty salon,"Bonifacio District, 6000, F. Cabahug St",Temporarily closed,0906 591 4550,https://www.facebook.com/MirangcurlMaboloCebu/?ref=br_rs,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
DONNA Cebu店 ヘア＆アイラッシュ＆ネイル＆エステ＆脱毛（セブ島 Jモール店）best hair salon in cebu,3.9,(16),Beauty salon,"J Centre Bldg, 33B A. S. Fortuna St",Temporarily closed,(032) 266 2131,https://donna-hair-salon.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Lourdes D. Gomez Beauty Center,4.0,(1),Beauty salon,Katipunan Street,Temporarily closed,(032) 261 8073,,,,
Franzy Salon,3.7,(6),Beauty salon,"Gaisano Fiesta Mall, Cebu South Road, Tabunok",Temporarily closed,(032) 273 7503,,,,
Jook Hair Korean Salon,4.2,(18),Beauty salon,,Temporarily closed,(032) 514 1765,http://jookhairfamily.blogspot.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Franzy Hair Salon,4.5,(2),Beauty salon,"Grand Mall, Basak-Sisi-Agus Rd",Temporarily closed,(032) 505 9588,,,,
887 Rebonding Digital Beauty Chateau,3.7,(18),Beauty salon,"G/F Sarrosa Hotel, Pres. Quirino St",Temporarily closed,(032) 516 0271,,,,
B&B STUDIO,5.0,(1),Beauty salon,,Temporarily closed,0906 370 0177,https://bb-studio-beauty-salon.business.site/?bw=true,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
High-giene Beauty Clinic - Mandaue Branch,5.0,(1),Beauty salon,"Across J-mall, between Suzuki & Three Sixty Pharmacy, A. S. Fortuna St",Temporarily closed,(032) 402 2005,http://high-giene.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Salon De Rose,2.6,(22),Beauty salon,"SM City Cebu, north reclamation area",Temporarily closed,(032) 232 0689,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
887 Rebonding Digital Beauty Chateau,4.5,(27),Beauty salon,Juan Seno Street,Temporarily closed,(032) 511 4245,,,,
Anna Grace's Beauty Salon,3.0,(4),Beauty salon,"Llaban Building, Gaisano Country Mall, Talamban Road, Banilad, Cebu City, corner Kabangkalan Street, Talamban",Temporarily closed,(032) 415 8310,,,,
Penyu Wellness and Beauty Spa,4.0,(6),Beauty salon,"Corner Avila and Zoza Street, Capital Site, Cebu City, Cebu",Temporarily closed,(032) 255 3521,,,,
Gender Glam Salon,5.0,(9),Beauty salon,"Near Didang store, Purok 6, King Dagami, Hwy. Dapitan,Cordova",Temporarily closed,0977 434 2276,https://g.page/gender-glam-salon,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Oh My Lash Cebu,4.5,(14),Beauty salon,A. S. Fortuna St,Temporarily closed,(032) 328 0429,,,,
Que Salon and Spa,5.0,(1),Beauty salon,"Adolfo Fick Building, F. Cabahug St",Temporarily closed,0995 204 0046,,,,
Mirangcurl Korea Hair Salon,3.8,(5),Beauty salon,3rd level SM Seaside City,Temporarily closed,0917 725 1004,,,,
Salon De Rose,4.0,(8),Beauty salon,"J Centere Mall, As Fortuna Street",Temporarily closed,(032) 326 2585,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
