section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,e0HygkTYhQy__attribute-content,section-result-info,section-result-info 2
McDonald's,4.2,(93),₱,Fast Food,,Iconic fast-food burger & fries chain,Delivery,,Open until 10:00 pm
Jollibee,4.4,(157),₱,Fast Food,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 8:00 pm
Army Navy Burger + Burrito,4.2,(174),₱₱,Fast Food,"Metro, W Geonzon St",Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Closed
McDonald's,3.8,(132),₱,Fast Food,M.L. Quezon National Highway,Iconic fast-food burger & fries chain,Delivery,,
Burger King,4.1,(395),,Fast Food,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",Fast-food chain for grilled burgers,,,Open until 5:00 pm
Orange Brutus,4.0,(6),,Fast Food,2 Archbishop Reyes Ave,Iconic fast-food burger & fries chain,Delivery,,Open until 10:00 pm
Burger King,4.2,(552),,Fast Food,"Gen Maxilom Avenue, Cor Juana Osmeña St",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 5:00 pm
Food 4 Az All,4.2,(80),,Fast Food,"Second Floor JY Square Mall, No. 1 Salinas Drive, Lahug",,,,Temporarily closed
"Remros Food, Inc.",4.0,(128),,Fast Food,Cebu Business Park,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Jollibee,4.1,(350),₱,Fast Food,M. C. Briones St,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Wild Rice Food Express,5.0,(4),,Fast Food,"13, St. John Road, Sacred Heart Village Banawa",Iconic fast-food burger & fries chain,Delivery,,
Jollibee,4.0,(45),₱,Fast Food,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
McDonald's,3.8,(253),₱,Fast Food,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 9:00 pm,
McDonald's,4.1,(360),₱,Fast Food,"Mambaling, Cebu S Rd",Iconic fast-food burger & fries chain,Delivery · Takeaway,,
Jollibee,4.2,(84),₱,Fast Food,,Iconic fast-food burger & fries chain,Delivery,Open until 11:30 pm,Temporarily closed
Jollibee,4.5,(78),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Jollibee,4.2,(659),₱,Fast Food,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,
Jollibee,4.2,(257),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Hi-Flyers Food Incorporated,4.1,(61),,Fast Food,"3rd Floor, Paseo Verde, Archbishop Reyes Avenue, Cebu Business Park",Fast-food chain for grilled burgers,Delivery,,
Aikasarap Food Station,4.1,(233),,Fast Food,Don Jose Avila Street,Iconic fast-food burger & fries chain,,,
Chowking,4.0,(10),₱,Fast Food,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",Iconic fast-food burger & fries chain,Delivery,Temporarily closed,Open until 10:00 pm
Jollibee SM L3,4.1,(178),₱,Fast Food,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:00 pm
Breakfast Club,4.7,(6),,Fast Food,"Asiatown-It Park, Lahug",Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Closed
Letty's Snackhaus,3.8,(132),,Fast Food,Zone 13 Freedom Park Carbon Calderon St.,Iconic fast-food burger & fries chain,Delivery,,Open until 8:00 pm
Jollibee,3.8,(192),₱,Fast Food,Island Central Mall,Fast-food chain with Filipino flavors,Delivery,Open until 5:00 pm,
Chrisdon Restaurant,4.5,(2),,Fast Food,155 F Villa St,Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,
McDonald's,4.1,(480),₱,Fast Food,Hernan Cortes St. Cor. A.S. Fortuna St.,Iconic fast-food burger & fries chain,Delivery,Open until 5:00 pm,
RichJim's Food Avenue,4.2,(80),,Fast Food,V-1 Gov. M. Cuenco Ave,,,Temporarily closed,Open until 7:00 pm
Jollibee,4.1,(200),₱,Fast Food,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
Yan Q Barbecue,3.7,(9),,Fast Food,Bang-bang road Gaisano Grandmall Cordova LLC,Fast-food chain with Filipino flavors,Delivery,,Open until 8:00 pm
Chowking,4.0,(32),,Fast Food,"Marina Mall, M.L. Quezon National Highway",Quick stop for familiar Chinese fare,Delivery,,
Chowking,3.9,(215),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Jollibee,4.2,(153),₱,Fast Food,"2/F Gaisano Mactan Island Mall, M.L. Quezon National Highway",Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Mang Inasal,3.5,(21),₱,Fast Food,"Prince City Bldg., Briones St.",Iconic fast-food burger & fries chain,Delivery · Takeaway,,Open until 8:00 pm
Jollibee,4.1,(20),₱,Fast Food,"Robinsons Fuente, Fuente Osmeña Cir",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 9:30 pm
Jollibee - Basak Mactan,4.1,(493),₱,Fast Food,Basak,Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Mang Inasal - 138 Mall,3.9,(87),,Fast Food,"Colonnade, 138 Colon St",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Mang Inasal,4.1,(141),₱,Fast Food,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Island Grill,3.0,(1),,Fast Food,"SM City Cebu, Food Court, Lower Ground",Fast-food chain for grilled burgers,Delivery,,Open until 9:00 pm
Dimsum Break,4.0,(27),₱₱,Fast Food,168 Park Mall Dr,Iconic fast-food burger & fries chain,Delivery,,Open until 11:00 pm
Jollibee,3.8,(210),₱,Fast Food,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Cebu's Original Lechon Belly,4.5,(13),,Fast Food,"Gov M. Cuenco, Banilad",Fast-food chain with Filipino flavors,Delivery · Takeaway,Temporarily closed,Open until 10:00 pm
MyJoy,3.8,(28),,Fast Food,10 Apitong St,Fast-food chain with Filipino flavors,Delivery,Closed,Open until 10:00 pm
Chowking,3.7,(367),₱,Fast Food,"G/F Cinco Centrum, Fuente Osmeña Cir",Quick stop for familiar Chinese fare,Delivery,,Open until 8:00 pm
Greenwich,3.5,(6),,Fast Food,"GF , Pacific Mall Mandaue , 168 M.C.Briones Street Corner Un Avenue , 6014 Mandaue City , Cebu",Fast-food chain with Filipino flavors,Delivery,Open until 5:00 pm,
Jollibee,3.6,(53),₱,Fast Food,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Jollibee,4.1,(151),₱,Fast Food,Ouano Avenue,Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Jollibee,4.1,(181),₱,Fast Food,M. Logarta Ave,Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,Temporarily closed
Spicy 'N Sweet Restaurant,4.1,(200),,Fast Food,Don Gil Garcia Street,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
Orange Brutus,3.8,(50),,Fast Food,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
Prito Kings,2.0,(1),,Fast Food,"Sacred Heart School, 1774 General Maxilom Avenue Extension",Quick stop for familiar Chinese fare,Delivery,,
Orange Brutus,4.0,(5),,Fast Food,"Ground Floor, Elizabeth Mall Leon, Kilat Street",Fast-food chain with Filipino flavors,Delivery,,Open until 8:00 pm
Noelle Marie's Restaurant,4.2,(153),,Fast Food,"79, Don Gil Garcia Street, Capitol Site",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Orange Brutus,2.0,(3),,Fast Food,"Gaisano Grano Jai - Alai, Candido Padilla St",Iconic fast-food burger & fries chain,Delivery · Takeaway,,Open until 9:00 pm
The Rustic Food Corner,4.1,(14),,Fast Food,"Tree House, R Aboitiz St",Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
Jollibee,4.0,(471),₱,Fast Food,M.L. Quezon National Highway,Fast-food chain with Filipino flavors,Delivery,,Open until 11:00 pm
KFC,3.8,(36),,Fast Food,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,Delivery,,Open until 9:00 pm
Shawarma Town,4.1,(141),,Fast Food,"Level 2, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
McDonald's,3.6,(49),₱,Fast Food,"SM City Cebu, Juan Luna Ave Ext",Iconic fast-food burger & fries chain,Delivery,,Open until 10:00 pm
Lola Inda Fast Food,1.0,(1),,Fast Food,F. Ramos St,Iconic fast-food burger & fries chain,Delivery,,Open until 7:30 pm
Chowking,4.8,(5),₱,Fast Food,"Level 1, Cebu Cyberzone Filinvest, Geonzon St. corner Salinas Drive,",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 6:00 pm
Mang Inasal,4.4,(10),,Fast Food,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,Temporarily closed
Chowking,3.7,(7),₱,Fast Food,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Quick stop for familiar Chinese fare,Delivery,Open until 10:00 pm,Closed
Jollibee,4.2,(170),₱,Fast Food,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
Fil-Am Rose Restaurant,3.5,(6),,Fast Food,Fructuoso Ramos Street,Fast-food chain with Filipino flavors,Delivery,Open until 5:00 pm,
EPS FOOD STATION2,3.6,(53),,Fast Food,Poso Road Poblacion,Fast-food chain with Filipino flavors,Delivery,Closed,Opens at 4:00 pm
Chowking,3.9,(234),₱,Fast Food,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,,Open until 7:00 pm
New White Gold House Restaurant,4.1,(52),,Fast Food,6000 G. Gaisano St,Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,Temporarily closed
Beverly Room Restaurant,4.5,(2),,Fast Food,F. Manalo Street,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
All Fresh Food Products Incorporated,2.0,(1),,Fast Food,M C Briones Street,Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
Jollibee Escario DT,4.3,(200),₱,Fast Food,N Escario St,Fast-food chain with Filipino flavors,Delivery,,
Wanna Eat,3.4,(16),,Fast Food,"Cebu IT Park, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Delivery,,Open until 1:30 am
Sallex Eatery,5.0,(2),,Fast Food,621 Poblacion Pardo,Fast-food chain with Filipino flavors,Delivery,,Open until 8:00 pm
Chowking,3.7,(248),₱,Fast Food,V Rama Ave,Quick stop for familiar Chinese fare,Delivery · Takeaway,,Open until 6:00 pm
Yeth & Tess Quick Snack,4.1,(14),,Fast Food,812 Tres de Abril Street,Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
Andok's,3.9,(37),₱,Fast Food,Juan Luna Ave Corner Mj Cuenco Ave,Fast-food chain with Filipino flavors,Delivery,Open until 11:00 pm,
Jollibee,4.1,(119),₱,Fast Food,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Chowking,3.4,(92),₱,Fast Food,"solara, G/F, General Maxilom Ave",Quick stop for familiar Chinese fare,Delivery,,Open until 6:00 pm
Jollibee,3.8,(111),₱,Fast Food,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Chowking,3.8,(78),₱,Fast Food,G/F Gaisano Mactan,Iconic fast-food burger & fries chain,Delivery,Temporarily closed,Open until 7:30 pm
Z Tong/Ban Barbque Grill And Restaurant,4.8,(5),,Fast Food,7 Calan,Fast-food chain with Filipino flavors,Delivery,Open until 6:00 pm,Temporarily closed
RC Restoderia,4.4,(10),,Fast Food,Juan Luna Avenue Extension,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,Temporarily closed
Dimsum Break,3.8,(21),₱₱,Fast Food,"Ground Floor, Elizabeth Mall N. Bacalso Ave, cor Leon Kilat St",Quick stop for familiar Chinese fare,Delivery,Closed,Open until 8:00 pm
Cebu's Original Lechon Belly,4.0,(78),,Fast Food,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 11:30 pm
McDonald's,5.0,(1),₱,Fast Food,"Gaisano Fiesta Mall, South National Highway",Iconic fast-food burger & fries chain,Delivery,,Open until 9:00 pm
Chowking,3.7,(10),₱,Fast Food,"Ground Floor, Grandmall Mandaue, Centro, Mandaue City, Cebu",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Opens at 4:00 pm
East Ocean Seafood Restaurant,3.9,(234),,Fast Food,J.Panis Street,Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,
Grill sa Salinas,4.1,(52),,Fast Food,"Salinas Drive, Lahug",Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,Temporarily closed
Mang Inasal,4.0,(212),₱,Fast Food,Bohol Ave,Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 10:00 pm
Jollibee Gorordo,4.1,(227),₱,Fast Food,"Gorordo corner, General Maxilom Ave",Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
Orange Brutus,3.4,(5),,Fast Food,Osmeña Blvd,Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Chowking - SM City Cebu,5.0,(1),,Fast Food,Unnamed Road,Fast-food chain with Filipino flavors,Delivery,Open until 1:30 am,
Mamang's Bachoy,5.0,(2),,Fast Food,"3rd level, J Centre Mall",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Jollibee,4.2,(411),₱,Fast Food,"Dial #87000, JL & Sons Building, 905, 6000 Francisco Llamas St",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 11:00 pm
Red 2K Restaurant and General Merchandise,4.1,(14),,Fast Food,985 Natalio B. Bacalso Ave,Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
Orange Brutus,3.0,(2),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,,Open until 8:00 pm
Zasmin Restaurant,4.1,(119),,Fast Food,"1st Floor, Cesar Foodland Building, Vicente Raman Avenue, 6000",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Pure Snack Food House Corporation.,2.0,(1),,Fast Food,J.M. Ceniza,Quick stop for familiar Chinese fare,Delivery,Open until 6:00 pm,
Chowking,3.2,(13),₱,Fast Food,"G/F Gaisano Grand Mall of Mactan, Basak corner Agus Road, Lapu Lapu City Cebu",Fast-food chain with Filipino flavors,Delivery,,Open until 7:00 pm
Mang Inasal,4.0,(43),₱,Fast Food,"138 Mall, 088 Colon St",Iconic fast-food burger & fries chain,Delivery,Temporarily closed,Open until 8:00 pm
Andoks,4.0,(86),,Fast Food,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Fast-food chain with Filipino flavors,Delivery,Open until 6:00 pm,Temporarily closed
Angel's Burger,3.0,(8),,Fast Food,37 Sampaguita St,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,Temporarily closed
Cebu's Original Lechon Belly,3.8,(26),,Fast Food,"SM City, Pope John Paul II Ave",Quick stop for familiar Chinese fare,Delivery,Closed,Open until 9:00 pm
Jollibee Robinsons Cybergate,4.2,(40),₱,Fast Food,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 11:30 pm,
Mang Inasal,3.7,(294),₱,Fast Food,2 General Maxilom Ave,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
TURKS,3.7,(10),,Fast Food,General Maxilom Ave Ext,Fast-food chain with Filipino flavors,Delivery,Opens at 4:00 pm,Temporarily closed
Sinangag Station,3.9,(37),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,
Tiktilaok,4.1,(52),,Fast Food,"Stall 1, SWU Canteen, Uytengsu St",Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,Temporarily closed
Master Siomai,2.0,(1),,Fast Food,robinson 6045,Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 9:00 pm
Bigby's,3.5,(37),,Fast Food,"SM City Cebu, Juan Luna Ave., Cor. Cabahug and Kaoshiung St",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
McDonald's,5.0,(3),,Fast Food,"3rd Level, Ayala Center Cebu, Cebu Business Park",Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Shawarma Shack,3.8,(4),,Fast Food,W Geonzon St,Fast-food chain with Filipino flavors,Delivery,Open until 1:30 am,
Century Rock Ktv and Restaurant,5.0,(2),,Fast Food,"P. Burgos Street, Sibonga, Poblacion",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Ginabot sa Pardo,4.3,(44),,Fast Food,"cor. Dacalos and, J Tabura St",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 9:00 pm
PUERA BUYAG - TALAMBAN - Siomai & Ngohiong House,4.0,(1),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
Orange Brutus,3.5,(8),,Fast Food,"Plaza Margarita, Sandayong",Fast-food chain with Filipino flavors,Delivery,,Open until 8:30 pm
Andok's,3.8,(130),₱,Fast Food,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Delivery,,Open until 11:00 pm
High Blood Station,3.8,(74),,Fast Food,San Roque St,Quick stop for familiar Chinese fare,Delivery,,Open until 2:00 am
New Tung Yan Restaurant,3.2,(13),,Fast Food,"A.S. Fortuna Street, Banilad",Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,
Cebu's Tasty Lechon Anjo World / Snow World Minglanilla,4.0,(43),,Fast Food,Minglanilla,Iconic fast-food burger & fries chain,Delivery,Temporarily closed,Open until 8:00 pm
Paray's Lechon Baboy,4.3,(11),,Fast Food,Kombado,Fast-food chain with Filipino flavors,Delivery,Open until 6:00 pm,Temporarily closed
Orange Brutus,3.7,(29),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Kakahoyan Restaurant,3.5,(2),,Fast Food,Upper Linao Street,Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Closed
Bon Ami Restaurant and Ktv,4.3,(6),,Fast Food,"858, Katipuanan Street, Tisa",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 11:30 pm,
Anthony's Eatery,3.0,(1),,Fast Food,"M.L Quezon Avenue, Pajo",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
Greenwich Pizza,3.5,(8),₱₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Opens at 4:00 pm,Temporarily closed
Chibog Karenderya,4.5,(4),,Fast Food,Salvador St,Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Jollibee,4.2,(6),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,Temporarily closed
Mang Inasal,3.4,(54),₱,Fast Food,"Parkmall, 168 Ouano Avenue",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 8:00 pm
Chicken Deli,3.5,(37),,Fast Food,1 Park Mall Dr,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Jollibee,3.6,(22),₱,Fast Food,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Chowking,3.7,(30),₱,Fast Food,"G/F Gaisano Mall, Tabunok, Talisay, Cebu City",Quick stop for familiar Chinese fare,Delivery,,Open until 7:00 pm
Mang Inasal,3.9,(15),₱,Fast Food,Gaisano Grand Mactan Corner Basak Agus Rd Lapu-lapu City,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Mang Inasal,3.7,(54),₱,Fast Food,"SM City Cebu, Juan Luna Ave Ext",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 9:00 pm
Leylam Deluxe SM Seaside Cebu,4.7,(3),,Fast Food,Unnamed Road,Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
Sweet Heaven Industries Corporation.,3.5,(8),,Fast Food,"J.P. Rizal Street Mandaue City, 6014 Cebu, Philippines",Fast-food chain with Filipino flavors,Delivery,Open until 8:30 pm,
BonChon,2.5,(4),₱₱,Fast Food,"Mactan Cebu International Airport Terminal, 2",Korean fried chicken specialist,Delivery,Open until 11:00 pm,
Andok's,3.5,(6),₱,Fast Food,,Quick stop for familiar Chinese fare,Delivery,Open until 2:00 am,
Mang Inasal,4.0,(7),,Fast Food,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Cebu's Original Lechon Belly,4.8,(8),,Fast Food,C.D.Seno,Iconic fast-food burger & fries chain,Delivery · Takeaway,Temporarily closed,Open until 11:00 pm
Burger King,4.0,(1),,Fast Food,"Northdrive, Ouano Avenue",Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 6:00 pm
Pungko-Pungko sa Tres,3.0,(1),,Fast Food,1205 Tres de Abril St,Fast-food chain with Filipino flavors,Delivery,Temporarily closed,Open until 6:00 pm
Andok's,3.8,(9),,Fast Food,Juan Luna Ave Ext,Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Closed
Tiktilaok,4.6,(7),,Fast Food,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 10:00 pm
ANGANA Kumain,3.0,(1),,Fast Food,Tungkop Rd,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
