section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2,section-result-info 3,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
"Mactan-Cebu Airport (CEB), International Terminal 2",,,International airport,Mactan Airport Rd,,,,,,,,,,
Asiana Airlines - Mactan - Cebu City International Airport,4.5,(2),Airport,"Mactan Cebu International Airport, Airport Road",,,,,,,,,,
Asian Spirit,,,Airport,Mactan Cebu International Airport,,(032) 341 2553,,,,,,,,
"Mactan-Cebu International Airport (CEB), Domestic Departing and Arriving Flights",,,Domestic airport,Lapu-Lapu Airport Rd,,,,,,,,,,
Ubay Community Airport,4.4,(5),Airport,,,,,,,,,,,
Panglao International Airport,3.8,(276),International airport,,,,,,,,,,,
New Bacolod-Silay International Airport,4.0,(251),International airport,Airport Road,,(034) 435 2448,http://www.bacolodsilay.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Shangrila Helipad,5.0,(1),Heliport,,,,,,,,,,,
Mactan-Cebu International Airport Authority (MCIAA),2.8,(49),Government office,Lapu-Lapu Airport Rd,,(032) 340 0228,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Mactan Cebu International Airport Terminal,3.4,(80),Bus station,,Airport with nearby lodging & gaming,(032) 340 2486,,,,,,,,
Mactan Cebu Int'l. Airport Pay Parking Lot,4.2,(21),Parking lot,,,(032) 494 7000,,,,,,,,
MyBus Airport Terminal,3.7,(20),Bus and coach company,,,,,,,,,,,
Bus to airport,3.0,(1),Transportation service,C.D.Seno,,,,,,Temporarily closed,,,,
Waterfront Airport Hotel & Casino Mactan,3.9,(13),Bus stop,,,,,,,,,,,
Tigerair Philippines,1.0,(3),Airline,"Mactan Cebu International Airport, Airport Pepartore Rd",,,,,,,,,,
JINAIR,2.5,(4),Airline,"Mactan International Airport, Airport-Departure Rd",,(032) 494 7666,http://www.jinair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Philippines Airlines Check In,1.5,(2),Airline,Mactan Cebu International Airport - Domestic Departures,,(032) 340 8121,,,,,,,,
Cebu Pacific Air. Com,2.8,(39),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,(032) 341 2550,http://www.cebupacificair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 9:00 pm,"""Nice trip from Cebu to Caticlan airport""",,
T1 Domestic Arrival Pick Up,2.7,(28),Public parking space,"MCIA Domestic Arrivals, Mactan Cebu International Airport, Airport Arrival Rd",,(032) 340 2486,,,,,,,,
Asian Aerospace Corporation Mactan Hangar,4.3,(6),Aviation consultant,"Lot 8, General Aviation Area, Mactan-Cebu International Airport, General Aviation Rd",,(02) 8555 5888,http://www.asianaerospace.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Air Busan,,,Airline,Airport-Departure Rd,,(032) 268 0892,http://www.airbusan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Air Freight 2100 Incorporated,4.5,(2),Courier service,"U-Freight Building, Mactan International Airport Cargo Complex, Airport Road",,(032) 341 2121,http://www.air21.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Air Asia Zest,2.1,(37),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,(032) 340 2486,http://www.airasia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 9:00 am,"""... their office at the airport for an itinerary to present at the counter.""",,
LBC Express,1.8,(20),Transportation service,"Lot 8, 12 Cargo Area, Mactan Airport Road, Compound MCIAA",,(032) 340 1236,,,,,,"""NOT ANSWERING THE CALL AT MACTAN AIRPORT.""",,
Flyseair.com,4.4,(5),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,,,,,,,,,
MyBus Terminal,4.3,(685),Bus ticket agency,,,,http://www.facebook.com/MyBusPh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,"""No hassle yung sa amin papuntang Mactan",Airport,"."""
Korean Air,3.3,(6),Airline,Airport-Departure Rd,,(032) 340 5431,http://www.koreanair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Philippine Airlines,4.2,(138),Airline ticket agency,"101-108, The QC Pavillion, Gorordo Ave",,(032) 260 5635,http://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Cargo Haus,5.0,(1),Freight forwarding service,"Cargohaus Building, Airport Road, Mactan Cebu International Airport, Mactan",,(032) 340 0201,,,,,,,,
Sea Air / Tiger Airways Check In,3.4,(80),Airline,Cebu Mactan Airport Ground Level - Domestic Departures,Airport with nearby lodging & gaming,(032) 340 2486,,,,,,,,
One World Center Parking Lot,4.2,(21),Parking lot,Newtown Blvd,,(032) 494 7000,,,,,,,,
Ocean Jet Fast Ferries,3.0,(1),Freight forwarding service,"Asia Travel Hotels Resorts Air Ticketing Tours Packages Reservations, Lobby, Waterfront Airport Hotel, 1 Airport Road",,(032) 341 2035,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Fedex Express Airfreight 2100 Incorporated,3.0,(1),Transportation service,"2nd Floor U Freight Building, Airport Road, MCIAA Complex",,(032) 340 9996,,,,Temporarily closed,,,,
AIR ISLAND TOURS,3.9,(13),Aircraft rental service,"Mactan Cebu International Airport, General Aviation Rd",,0922 855 5574,http://airislandtour.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
"Fast Loading and Safety Handling Cargo Services, Incorporated",1.0,(3),Transportation service,"Mciaa Complex, Airport Road",,(032) 505 4218,,,,Temporarily closed,,,,
Rapid Air Freight Incorporated,2.5,(4),Freight forwarding service,"Airport Road, MCIAA Compound",,(02) 8527 9923,,,,,,,,
Asiana Airlines 7,5.0,(1),Airline,Airport-Departure Rd,,(032) 342 8063,http://www.asianaairlines.ca/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Cathay Pacific Airways,3.3,(18),Ticketing area,"Ayala Life-FGU Center, 703 Mindanao Ave. Cor. Biliran Road",,1800 1 110 2720,http://www.cathaypacific.com/cx/en_PH.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,Open until 9:00 pm,"""Nice trip from Cebu to Caticlan airport""",,
Saferide Car Rental and Tours,4.2,(119),Car rental agency,Jose L Briones Street,,0917 540 0159,https://www.saferide.ph/cebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Kunawarra Logistics Incorporated,4.3,(6),Freight forwarding service,"Door No. 5 Galco Building, Mactan International Airport Cargo Compex, Airport Road",,(032) 234 1779,,,,,,,,
JDiaz Tourist Transport Services,,,Transportation service,Lapu-Lapu Airport Rd,,0917 486 9445,,,,Temporarily closed,,,,
Avia tours,4.5,(2),Airline,"General Aviation Area, Mactan-Cebu International Airport, Pajac",,(032) 341 2268,,,,,,,,
Departure and Arrivals Yellow Taxi Bay,1.0,(1),Taxi service,"Terminal 1, Mactan Cebu Int'l. Airport",,(032) 340 2486,,,,Temporarily closed,Opens at 9:00 am,"""... their office at the airport for an itinerary to present at the counter.""",,
Stamm International Corporation - Cebu,1.8,(20),Freight forwarding service,"2/F, Room 201, Lilang's Center, Airport Road, Pajo Street",,(032) 340 3178,http://www.stamm.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,"""NOT ANSWERING THE CALL AT MACTAN AIRPORT.""",,
Professional Air Maintenance,4.4,(5),Airline,Basak,,(032) 340 8694,,,,,,,,
Wwwe Lapulapu Drop Center,4.3,(685),Courier service,"Marina Mall, Lapu-Lapu Airport Road, Lapu-Lapu",,(032) 494 0054,,,,,,"""No hassle yung sa amin papuntang Mactan",Airport,"."""
"Sky Freight Forwarders, Inc. - Cebu Office",5.0,(1),Freight forwarding service,"2nd Floor Rapid Building, Airport Road, Mactan, Lapu-Lapu City, Cebu",,(032) 236 3786,http://www.skyfreight.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
AP Cargo Logistics Network Corporation,2.5,(55),Transportation service,888 A. C. Cortes Ave,,(032) 344 3209,http://apcargo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
"Asiana Airlines, Inc.",3.8,(8),Airline,,,(032) 494 7645,http://ea.flyasiana.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,,,
Inland Corporation,3.4,(80),Customs broker,"2F CHI-Rapid Building, MCIAA Complex, Airport Road",Airport with nearby lodging & gaming,(032) 260 0961,http://www.inland.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:30 am,,,
Ceb,5.0,(1),Parking lot,Airport Rd,,(032) 340 2486,,,,,,,,
"GRM International, Inc. - Cebu",3.0,(1),Freight forwarding service,"Ground Floor, Galco Building, Mactan International Airport Cargo Compex,, Lapu Lapu City, Cebu",,(032) 341 1358,http://www.grmonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,,,
Grab Driver Center - Cebu,3.8,(21),Transportation service,"Maxwell Hotel Annex Bldg. 2nd Floor, N Escario St",,(032) 236 4100,https://www.grab.com/ph/driver/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Closing soon: 6:00 pm,,,
Cebu North Bus Terminal,3.2,(102),Bus station,,,0922 855 5574,,,,,,,,
AP Cargo Cebu Galco Branch,4.0,(1),Freight forwarding service,Galco Building,,(032) 505 4218,http://apcargo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Royal Brunei Airlines,4.0,(2),Airline,"Room 2L, Pacific Square Building, F. Cabahug Street",,(032) 414 7267,https://www.flyroyalbrunei.com/brunei/en/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Cebu(Pier1),3.8,(300),Ferry terminal,,,(032) 342 8063,,,,,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
Bai Hotel Basement & Parking,4.1,(24),Parking garage,Ouano Avenue,,1800 1 110 2720,,,,Closed today,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Qatar Airways,1.0,(2),Airline,"Ground Floor, QR Pavilion, Gorordo Avenue, Lahug, Cebu City, 6000, Cebu",,(02) 8519 1888,http://www.qatarairways.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
MyBus Bus Stop Parkmall,4.3,(8),Bus and coach company,,,(032) 234 1779,,,,,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
SilkAir,5.0,(1),Airline,"Unit 7D, Pioneer Building, Cardinal Rosales Avenue, Cebu Business Park, 6000",,(032) 505 7871,http://www.silkair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,,,
Pier 3,4.2,(25),Bus stop,,,(032) 341 2268,,,,,,,,
Goldberry Suites and Hotel,3.9,(12),Bus stop,,,(032) 340 2486,,,,Temporarily closed,Opens at 9:00 am,"""Location is near the",airport,"."""
Saferide Car Rental and Tours,4.8,(16),Car rental agency,M.L. Quezon National Highway,,0917 540 0159,http://www.saferide.ph/mactan/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
"Airport Villa Subdivision, Fokker St.",4.4,(5),Corporate office,"Airport Villa Subdivision, Fokker St, Matumbo-Pusok Road",,0919 991 4347,,,,,,,,
Quest Hotel Cebu,3.9,(16),Bus stop,,,(032) 494 0054,,,,,,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
Cebu Easy Rent-A-Car / Transport & Tours,4.9,(179),Car rental agency,"Salome's Pension Building, A. C. Cortes Ave",,(032) 350 6074,https://www.facebook.com/cebueasy.rentacar,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
The Bellavista Hotel,3.8,(12),Bus stop,,,(032) 344 3209,,,,Temporarily closed,,"""Convenient place as it is just on the main road and near the",airport,"."""
Allsons Inn,2.9,(7),3-star hotel,,Unpretentious hotel with a rooftop deck,(032) 232 1640,http://allsonsinn.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,,,
Gaisano Mactan,3.7,(3),Bus stop,,Airport with nearby lodging & gaming,(032) 260 0961,,,,Closed,Opens at 8:30 am,"""going to",Airport,"or Maribago you can ride here much easier."""
Airport Villa Subdivision,3.8,(5),,Matumbo St,,(032) 340 2486,,,,,,,,
CITI CARS Cebu,4.0,(19),Car leasing service,"2F Unit 206, Apartelle Bldg., Vibo Place, N Escario St",,0917 716 9111,https://citicars.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,"""The only problem the driver forgot to pick up the car at the",airport,"on ..."""
Civil Aviation Authority Of The Philippines - Bacolod-Silay Airport,5.0,(1),Aviation training institute,,,(034) 435 2081,http://www.caap.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,Closing soon: 6:00 pm,,,
Airport Pasalubong Center,3.6,(38),Gift shop,"Mactan-Cebu International Airport, Mactan Cebu International Airport",,0922 855 5574,,,,Temporarily closed,,,,
Hong Kong Dragon Airlines Limited - Mactan-Cebu International Airport,5.0,(1),,"Mactan Cebu International Airport, General Aviation Road, Lapu-Lapu City, 6015, Cebu",,(032) 340 2104,,,,Temporarily closed,,,,
"Café Laguna - T1 Airport Village, Mactan Cebu International Airport",4.0,(2),Filipino,"Terminal 1 Airport Village, Mactan Cebu International Airport",,(032) 414 7267,http://lagunagroup.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 10:00 pm,,,
Waterfront Airport Hotel & Casino Mactan,4.0,"(1,433)",4-star hotel,,High-end airport hotel with a casino,(032) 340 4888,http://www.waterfronthotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
BPI Mactan Airport - Domestic Arrival ATM,5.0,(1),ATM,"Domestic Arrival Area, Mactan Int'l. Airport, Lapu-Lapu Airport Rd",,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
Ayer's Lechon Airport,1.0,(2),Restaurant,"Mactan International Airport (Departure Area, Airport Arrival Rd",,(02) 8519 1888,http://www.ayerlechon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
Mactan International Airport Shuttle Service Multi-purpose Cooperative,5.0,(1),Government office,Lapu-Lapu Airport Rd,,(032) 520 2397,,,,,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
Iglesia ni Cristo - Lokal ng Airport Heights,5.0,(1),Place of worship,,,0923 324 4978,https://directory.iglesianicristo.net/locales/airport-heights,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
BDO Mactan-Cebu International Airport Domestic Arrival Hall ATM,4.2,(25),ATM,G/F Domestic Arrival Hall Mactan-Cebu International Airport,,(032) 341 2268,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
"PAGSS (Philippine Airport Ground Support Solutions, Inc.) Cebu",5.0,(1),Corporate office,,,(032) 340 2486,http://www.pagss.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 9:00 am,"""Location is near the",airport,"."""
Mactan-Cebu Airport Budget HoteL,4.2,(5),Hotel,,,0917 560 1718,https://www.booking.com/hotel/ph/mactan-cebu-airport-budget.en-gb.html?aid=356980;label=gog235jc-1DCAsotAFCGm1hY3Rhbi1jZWJ1LWFpcnBvcnQtYnVkZ2V0SDNYA2i0AYgBAZgBCbgBGMgBDNgBA-gBAYgCAagCBLgCmNXv7QXAAgE;sid=4a44f0c7946da58ed6a24fee721987c4;dist=0&keep_landing=1&sb_price_type=total&type=total&,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
Bureau of Immigration - Mactan Cebu International Airport,3.3,(34),Immigration attorney,Mactan Cebu International Airport,,(032) 340 0751,http://www.immigration.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
PNB Cebu Mactan Int'l Airport,4.0,(1),Bank,"Lower Ground, Waterfront, Mactan Airport Rd",,(032) 494 0054,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
Cebu Mactan Airport Real Hotel Corporation,4.1,(12),3-star hotel,,,(032) 495 5370,,,,Temporarily closed,,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
UNO at Waterfront Airport Hotel and Casino,4.1,(43),Buffet,1 Airport Road,,(032) 340 4888,http://www.waterfronthotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,"""Convenient place as it is just on the main road and near the",airport,"."""
Starbucks MCIA Airport Village,2.9,(7),Coffee store,Cebu Mactan Airport Ground Level,Unpretentious hotel with a rooftop deck,(032) 232 1640,http://starbucks.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Zest Airways - Mactan Cebu,3.8,(91),Hotel,"West Wing Domestic Area, Mactan Cebu Int'l Airport, Mactan",Airport with nearby lodging & gaming,(032) 236 9328,http://www.mactancebuairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:30 am,"""going to",Airport,"or Maribago you can ride here much easier."""
Philippines Republic of the Agrarian Reform Mactan-Cebu International Airport Authority,3.8,(5),Government office,Mactan Airport Road,,(032) 341 1861,,,,,,,,
Miassco - Mactan Int’l Airport Shuttle Service Multi - Purpose Cooperative,4.5,(2),,"Mactan-Cebu Int’l Airport, Lapu-lapu City, Cebu",,(032) 492 3988,,,,Temporarily closed,Opens at 8:00 am,"""The only problem the driver forgot to pick up the car at the",airport,"on ..."""
BDO Mactan-Cebu International Airport International Pre-Departure Terminal ATM,5.0,(1),ATM,"G/F International Pre-Departure Terminal, Mactan-Cebu International Airport Mactan-Cebu International, Airport-Departure Rd",,(034) 435 2081,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,Closing soon: 6:00 pm,,,
D522: Mactan Hostel - Hotel Near Cebu Airport,4.2,(5),Hotel,,,+1 347-470-7707,,,,Temporarily closed,,,,
BDO Mactan Cebu International Airport Terminal 2-Arrival Area,5.0,(1),ATM,"G/F ATM Center, Arrival Area, Landside - Slot H, Terminal 2 Mactan Cebu International Airport",,(032) 340 2104,,,,Temporarily closed,,,,
D522 at Kiener Hills - Hotel Near Cebu Airport,3.9,(62),Hostel,Matumbo-Pusok Road,,(032) 239 6539,http://www.d522.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 10:00 pm,,,
GMR Megawide Cebu Airport Corporation,3.9,(8),Corporate office,MCIA,High-end airport hotel with a casino,(032) 494 9000,,,,,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
Curex Money Changer,2.3,(3),Financial institution,Mactan Cebu International Airport,,(032) 340 0047,,,,Closed today,Open until 9:00 pm,"""... in and out at Bai Hotel, parking ang lobby feels like a mini",airport,":)"""
ANIA ROOMS@AMANI GRAND RESIDENCES NEAR AIRPORT,5.0,(1),Serviced apartment,,,0905 546 7972,,,,Temporarily closed,Opens at 8:00 am,"""... and the driver met us at the",airport,"and drove to his office, and at ..."""
LOBBY LOUNGE at Waterfront Airport Hotel and Casino,3.8,(4),Cafe,"Waterfront Airport Hotel and Casino, 1 Aiport Rd",,(032) 340 4888,http://www.waterfronthotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,"""***Mactan-Cebu International",Airport,"Note: Buses going to MCIA ..."""
Mother of Perpetual Help Ticgahon Airport View Community Chapel,4.0,(2),Catholic church,,,0923 324 4978,,,,Temporarily closed,,,,
BDO Mactan-Cebu International Airport Domestic Pre-Departure Terminal ATM,4.2,(25),ATM,G/F Domestic Pre-Daparture Terminal Mactan-Cebu International Airport,,(032) 341 2268,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Lucky Spa Resort - 20 mins to Cebu Airport -,5.0,(1),,,,+886 905 232 071,,,,Temporarily closed,Opens at 9:00 am,"""Location is near the",airport,"."""
LH Prime Medical Clinic (Mactan Airport),4.0,(4),Medical clinic,Matumbo-Pusok Road,,0917 716 1393,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Opens at 8:00 am,"""He was early to the",airport,"to pick us up and even dropped us off at ..."""
Korean Town Restaurant - Waterfront Airport Hotel & Casino,2.0,(2),Restaurant,"Lower Lobby Level, Waterfront Airport Hotel & Casino, Lapu-Lapu Airport Rd",,(032) 340 0751,,,,,Open until 1:00 am,,,
Rhea''s guesthouse airport pickup and food,4.0,(1),Bed & breakfast,,,0921 934 5109,,,,Temporarily closed,,"""... you need in walking distance, also 30 mins taxi ride from",airport,"."""
Condo Hotel near Airport with Pool,4.1,(12),Serviced apartment,"North Tower, Plaridel Street cor. UN Avenue 928, Amaia Steps",,0905 215 8206,,,,Temporarily closed,,"""Booked a ride with them from the port to Cebu Mactan",airport,"."""
Arrival Area,3.3,(3),,"Mactan Cebu International Airport, Lapu-Lapu Airport Rd",,(032) 340 4888,,,,Temporarily closed,Open until 10:00 pm,"""Convenient place as it is just on the main road and near the",airport,"."""
Mactan,4.2,(214),Island,,"Small, vibrant coral island with resorts",(032) 232 1640,,,,Temporarily closed,,,,
BELLA NOVA SPA,3.8,(188),Thai massage therapist,Airport Road,Airport with nearby lodging & gaming,0917 704 4339,,,,Temporarily closed,Opens at 8:30 am,"""going to",Airport,"or Maribago you can ride here much easier."""
Enterprise Rent-A-Car.,4.1,(12),Car rental agency,Mactan Airport Rd,,(032) 888 8482,http://www.enterprise.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Ginne Apartelle,4.2,(11),Apartment complex,"Sangi Road, Opon - Airport - Sangri Rd",,0915 328 0106,,,,Temporarily closed,Opens at 8:00 am,"""The only problem the driver forgot to pick up the car at the",airport,"on ..."""
Philippine Airlines - Cebu Cargo Office,3.9,(56),,1 Airport Rd,Casual hotel with a restaurant & Wi-Fi,(032) 232 8414,https://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,Open until 12:00 am,,,
AOSMEC Square Hotel,3.7,(221),2-star hotel,"Sitio Proper Barangay Agus End of Ibabao-Agus Rd connecting, M.L. Quezon National Highway",,(032) 316 4600,http://www.facebook.com/aosmecsquarehotel/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Zubuchon Marina Mall,4.1,(328),Restaurant,M.L. Quezon National Highway,,(032) 266 1310,https://zubuchon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,,,
Zubuchon,3.9,(873),Restaurant,"One Mango Mall, General Maxilom Ave",Grand hotel with a casino & 24/7 dining,(032) 239 5697,http://zubuchon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 11:00 pm,Delivery · Takeaway,,
Cultus Money Changer,1.0,(1),Financial institution,"Mciaa International, Lapu-Lapu Airport Rd",High-end airport hotel with a casino,(02) 8341 1332,,,,,,"""Online booking but arrived from",airport,"earlier but rescheduling ..."""
