section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Adler School of Basic Education,4.0,(1),Preschool,"shopwise, BF Better Living Subd, Basak-Sudtunggan Rd",Temporarily closed,(032) 328 7274,https://adler-school-of-basic-education.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
smeag global education inc.,3.0,(2),School,S Cabahug,Temporarily closed,,,,,
Dynamic Education,,,School,"Unit 12C, 2 Quad, Cardinal Rosales Ave",Temporarily closed,(032) 260 5746,https://www.facebook.com/dynamiceducationcebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Ivy Education Center,3.8,(11),School,513 New Frontier,Temporarily closed,(032) 345 6430,http://www.smenglish.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Science and Mathematics Education,4.0,(1),University,University of San Carlos,Temporarily closed,(032) 230 0100,http://usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Physical Education Department - University of Cebu,,,School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,
School of Continuing Education - Cebu,,,University,"2nd Floor Lane Building, L. Kilat Street, corner Borromeo Street",Temporarily closed,(032) 255 8558,,,,
Physical Education Chair Office,5.0,(1),College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,,
College Of Physical Education Office,,,High school,"University of San Jose-Recoletos Basak Campus, Natalio B. Bacalso Avenue",Temporarily closed,(032) 272 8966,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Dynamic Access to Education, Incorporated",,,University,1430 E Capitol Rd,Temporarily closed,(032) 254 0761,,,,
IDP Education Australia Limited,,,University,General Maxilom Avenue,Temporarily closed,(032) 254 1790,,,,
Global Foundation for International Education,5.0,(1),College,168 Pres. Maguikay,Temporarily closed,(032) 233 2500,,,,
Formosa English Education Center Inc.,,,Education center,"CornerStone Manor. Cornerstone Dr, H. Abellana st",Temporarily closed,0928 625 4160,https://formosaeec.weebly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cordova Alternative Resource for Education,,,School,San Miguel Road,Temporarily closed,(032) 253 1000,,,,
"Philinter Education Center/Join-us English Language Academe Inc.,",5.0,(2),English language school,"Philinter Education Center, Ceniza St., Mustang, Pusok,",Temporarily closed,(032) 340 7453,http://www.philinter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu International Distance Education College,3.0,(2),Private school,22280 Juan Seno Street,Temporarily closed,(032) 419 1084,https://www.cidec.education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Marianne Childhood Education Center,4.5,(6),Primary school,722 Tres de Abril St,Temporarily closed,(032) 261 3402,,,,
Lincoln College of Global Standard Education Incorporated,4.4,(23),College,"J. Panis Street, Kasambagan Banilad",Temporarily closed,(032) 414 7979,,,,
University of San Carlos - Basic Education Department North Campus,1.0,(1),University,"General Maxilom Avenue, Camputhaw",Temporarily closed,(032) 231 4012,,,,
C2 UBEC ENGLISH ACADEMY - WOMEN'S CAMPUS,,,Education center,St Michael Rd,Temporarily closed,(032) 233 9601,,,,
CEBU BRIGHT MINDS TUTORIAL AND LEARNING CENTER,4.0,(1),Education center,4 Gorordo Ave,Temporarily closed,(032) 266 9684,https://cebu-bright-minds-tutorial-and-learning-center.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Industrial Education Learning Center Technology, Inc.",3.0,(2),School,,Temporarily closed,0917 153 8875,http://ielcti.com/?fbclid=IwAR3PxJUBX6UfL47oCoAXONuRYR328Ep2u7jeiUXKNoI2H1oWqLahD0AH3Z8,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Family Adolescents Children Educational Therapeutic Center, Inc.",,,School,,Temporarily closed,(032) 514 7812,,,,
CIE British School - Cebu,3.2,(20),School,Pres. Magsaysay St,Temporarily closed,(032) 233 2577,http://www.cie.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Primary Structures Educational Foundation,4.0,(1),College,"333, Vicente Rama Avenue",Temporarily closed,(032) 564 3131,,,,
Philippines Republic of the Agrarian Reform Education Culture And Sports Department Region VII,,,University,5 Sudlon,Temporarily closed,(032) 231 2160,,,,
Cebu International Distance Education College (CIDEC),,,Distance learning center,22280 Juan Seno Street,Closed today,0929 515 1991,https://www.cidec.education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
St. Benedict Childhood Education Centre,5.0,(1),Elementary school,,Temporarily closed,(032) 253 1000,,,,
Child Excel Preschool Education,,,College,"888, Casia-Soong Road, Mactan",Temporarily closed,(032) 267 0373,,,,
Kaisei English Academy (APLIS Int'l Education Corp.),5.0,(2),School,,Temporarily closed,(032) 383 3920,,,,
SHS-AdC Early Education Building,,,Preschool,H Abellana,Temporarily closed,(032) 345 4378,http://www.shs-adc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
The Salvation Army Educational Services Incorporated,5.0,(1),School,731 M. J. Cuenco Ave,Temporarily closed,(032) 233 1806,https://www.facebook.com/pages/The-Salvation-Army-Educational-School-Incorporated-Cebu/335779499908470,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Asian College of Technology - International Educational Foundation - Cyber Tower 2,,,Private school,J. Alcantara St,Temporarily closed,0928 625 4160,,,,
cebu intl. distance education college,,,School,location of intl distance,Temporarily closed,(032) 253 1000,,,,
Tabogon Educational Department,5.0,(2),Public school,Poblacion,Temporarily closed,(032) 433 9030,,,,
Smegag Global Education,3.0,(2),School,Minosa Street,Temporarily closed,(032) 419 1084,http://smenglish.com/en/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Philippines Republic of the Agrarian Reform Education Culture And Sports Department Region VII,4.5,(6),University,M. J. Cuenco Avenue,Temporarily closed,(032) 233 4465,,,,
Powerhouse Training and Review Center,5.0,(1),Education center,"6th Floor, CFI Building, N Escario Street, Don Gil Garcia Street Corner, Capitol Compound",Temporarily closed,(032) 401 2587,,,,
Department of Philosophy and Religious Education - University of San Carlos,1.0,(1),College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 344 3801,,,,
University of Cebu - Maritime Education & Training Center,4.3,(22),Private university,"Alumnus Street, Mambaling",Temporarily closed,(032) 261 3324,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
SMEAG 3rd Campus | CAPITAL,4.7,(70),School,Emilio Osmeña St,Temporarily closed,(032) 520 9208,http://www.smenglish.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Medical Education Unit Coordinators Office,3.0,(2),College,"Cebu Doctors University Hospital, Osmeña Boulevard",Temporarily closed,(032) 238 8333,,,,
Stephanie Montessori Educational Center,4.0,(1),Private school,Caltex Road,Temporarily closed,(032) 238 3248,,,,
Compman Talisay,3.2,(20),Education center,,Temporarily closed,0942 301 3934,,,,
Compman Mambaling,4.0,(1),Education center,,Temporarily closed,0956 907 9939,,,,
Religious Education Chair Office - University of San Carlos Main Campus,,,College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,,
Science and Technology Education Center - Science Technology Elementary School,,,School,,Temporarily closed,0929 515 1991,,,,
"University of the Visayas, Expanded Tertiary Education Equivalency and Accreditation Program",5.0,(5),University,"ETEEAP Center, University of the Visayas, Colon St",Temporarily closed,(032) 255 2268,https://www.universityofthevisayas.com/p/eteeap.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kidz Gym Learning Center,5.0,(1),Special education school,Talamban Rd,Temporarily closed,0918 906 2285,https://www.kidzgymlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kidz Gym Learning Center,5.0,(2),Special education school,R. Duterte St,Temporarily closed,(032) 383 3920,,,,
UC - Maritime Education & Training Center,4.4,(10),Private university,Alumnos St,Temporarily closed,(032) 262 8888,,,,
Physical Education Faculty Room - University of San Carlos,5.0,(1),College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 230 0100,,,,
"The Englishtests Expert - IELTS, TOEFL, PTE, OET Review Center - Cebu Branch",,,Education center,"Unit 207B JRM Building, Osmeña Blvd",Temporarily closed,0998 165 1871,http://englishtestsexpert.co.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Wynna Quimada EJ,5.0,(1),Special education school,246 R.Colina,Temporarily closed,(032) 420 6050,,,,
Philinter Education Center,5.0,(2),Education center,"Brgy. Mustang, ML National Highway",Temporarily closed,(032) 340 7453,https://philinterschool.com/lien-he/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kidz Gym Learning Center,3.0,(2),Special education school,Maria Christina Ext St,Temporarily closed,0918 906 2285,https://www.kidzgymlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Adventure Flight Education And Sports Incorporated,4.5,(6),College,A. S. Fortuna St,Temporarily closed,(032) 341 3803,,,,
Philinter Education Center,5.0,(1),Education center,"Brgy. Mustang, ML National Highway",Temporarily closed,(032) 340 7453,https://philinterschool.com/lien-he/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
CHAMP'S THERAPY CENTRE,3.7,(3),Special education school,530 A A. C. Cortes Ave,Temporarily closed,(032) 318 5075,,,,
Pta. Engano ALS Community Learning Center,4.3,(22),Education center,Punta Engaño Rd,Temporarily closed,(032) 261 3324,,,,
Adventure Flight Education and Sports Inc,5.0,(4),Flight school,"Hangar (Lot) 6, MCIAA, General Aviation Rd",Temporarily closed,(032) 268 9829,https://www.facebook.com/AdventureFlightEducationAndSports,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Marigondon District ALS Community Learning Center,3.0,(2),Education center,,Temporarily closed,(032) 238 8333,,,,
CEBU IVY EDUCATION CENTER,5.0,(1),English language school,"Miñoza St., Brgy. Tigbao Talamban Rd Cebu City 6000",Temporarily closed,(032) 238 9302,http://www.cebuivyedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
International Bible Institute - Asia,3.2,(20),Adult education school,Good Shepherd St,Temporarily closed,(032) 262 7455,http://www.ibi.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
ITT International TEFL and TESOL,5.0,(1),Education center,IT park,Temporarily closed,0906 268 0482,https://internationaltefltesol.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Rotary Mactan ALS Community Learning Center,,,Education center,,Temporarily closed,(032) 253 1000,,,,
Babag ALS Community Learning Center,,,Education center,,Temporarily closed,0929 515 1991,,,,
CBRC Mandaue,5.0,(5),Education center,"3rd flr. Grand Arcade Building, A. C. Cortes Ave",Temporarily closed,0998 956 6044,https://www.facebook.com/CBRCmandauecebubranch,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
IDP Philippines,4.4,(12),Educational consultant,"Keppel Center, Ground Floor, Cardinal Rosales Ave",Temporarily closed,(032) 236 2758,http://idp.com/philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Wideworld Education Services (WWES),5.0,(2),Educational consultant,"5A-5B JL Millinneum Bldg., Don Jose Avila st.,",Temporarily closed,(032) 254 0059,http://www.wesph.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Idea Academia,4.1,(27),School,F. Cabahug St,Temporarily closed,(032) 262 8888,https://ideaeducation.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Jellyfish Education Consultancy,5.0,(4),Educational consultant,"802A, Keppel Bldg, Cardinal Rosales Avenue Cor Samar Loop",Temporarily closed,(032) 231 4434,http://www.jellyfisheducation.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kidz Care School For Speech and Creative Learning,5.0,(1),School,No 68 P Almendras Ext Street Kasambagan,Temporarily closed,0917 327 1374,https://kidz-care-school-for-speech-and-creative-learning.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Migration Education International Corporation - Cebu Office,5.0,(1),Educational consultant,"Room 112 Ground Floor KRC Building Lopez Jaena Street, Highway",Temporarily closed,(032) 253 1510,https://www.visas.org.au/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
PILAedu,5.0,(1),School,,Temporarily closed,0917 328 0223,http://www.pilaedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
AECC Global Cebu,5.0,(4),Educational consultant,"7th floor FLB Corporate Center,, Bohol Avenue, Cebu Business Park",Temporarily closed,(032) 256 1420,http://www.aeccglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
BEN Language Center Cebu,5.0,(1),School,,Temporarily closed,(032) 238 4653,http://www.blc-cebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
WYL International Language School,5.0,(9),Educational institution,110 Gorordo Ave,Temporarily closed,(032) 262 3278,http://www.wyleducation.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"St.Cecilia's College-Cebu, Incorporated",5.0,(1),School,Highway,Temporarily closed,(032) 268 4746,http://stceciliascollegeedu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Benevolent Christian Children Academy Inc.,4.0,(2),Private school,34 Centro,Temporarily closed,(032) 414 1289,https://www.facebook.com/benevolentchristianchildrenacademy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"ISRA - International Skills Republic Academy, Inc.",4.5,(2),Educational institution,0775 Jasmin St,Temporarily closed,(032) 234 3933,https://isracebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
icloud,3.0,(2),School,Cebu Veterans Dr,Temporarily closed,0922 659 3114,http://icloud.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Monesco Educational Supply,5.0,(1),School,"Central School, Ward 2, Poblacion, Minglanilla, Cebu, infront Minglanilla",Temporarily closed,(032) 505 1049,,,,
Harvest Christian School International | Homeschool Philippines,5.0,(3),School,"24-B, Tres, M. Borces St",Closed,0921 589 8232,https://www.hcsinternational.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am
Labangon Elementary School,4.3,(14),Elementary school,Katipunan St,Temporarily closed,(032) 414 5531,http://www.facebook.com/pages/Labangon-Elementary-School/452624788164276,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Department of Education - Division of Cebu Province,2.6,(14),Department of education,Sudlon,Temporarily closed,(032) 253 1000,http://www.depedcebuprovince.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Center For Environmental Awareness And Education,,,Consultant,6000 Villa Aznar Rd,Temporarily closed,0917 623 3333,,,,
"CCL CentrEx, Inc. High School",5.0,(5),High school,G. Mangubat St,Temporarily closed,(032) 341 5826,http://cclcentrex.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Asian College Of Technology,3.9,(32),College,Pantaleon del Rosario St,Temporarily closed,(032) 238 2380,http://www.act.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
STI,5.0,(2),College,40 Salinas Dr,Temporarily closed,(02) 8231 4984,http://www.sti.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Child Development Center -Cebu,4.1,(27),School,168 Pres. Magsaysay St,Temporarily closed,(032) 233 2555,http://www.cie.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
A+ Playschool And Learning Center,5.0,(1),School,3-H,Temporarily closed,(032) 384 8858,https://www.facebook.com/aplusplayschool/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Fly High With Indiana Aerospace University,4.0,(1),Flight school,Kagodoy Rd.,Temporarily closed,0917 327 1374,http://iau.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
"Commission on Higher Education, Regional Office VII",5.0,(1),Government office,"Imus Avenue, National Government Center, Lahug",Temporarily closed,(032) 414 9194,,,,
Living Word Christian Development Center Incorporated,5.0,(1),College,"20, Saint Lawrence Street, La Guardia",Temporarily closed,(032) 233 9572,,,,
Department of Education - Mandaue City,5.0,(1),Department of education,Plaridel St,Temporarily closed,(032) 345 0545,http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Punta Princesa Night High School,5.0,(1),High school,"Tres De April Street, Nangka St",Temporarily closed,(032) 414 3807,,,,
Facilities Management College,5.0,(9),College,Air Port Rd,Temporarily closed,(032) 262 3278,,,,
USP,4.5,(2),University,P. Burgos St,Temporarily closed,(032) 412 1600,http://www.usp.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
AMA Cebu Campus,5.0,(1),School,S Cabahug,Temporarily closed,(032) 232 2676,http://www.ama.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Eteeap Center Office,4.5,(2),College,"University Of San Jose-Recoletos, Magallanes Street",Temporarily closed,(032) 253 7900,,,,
Paril Elementary School,3.0,(2),Elementary school,"0023 F. Cabahug Street, Paril",Temporarily closed,(032) 415 2007,,,,
University of the Visayas - Main Campus,4.3,(66),Private university,Dionisio Jakosalem St,Temporarily closed,(032) 253 6173,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Medical Dental Clinic Office,5.0,(3),University,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 254 6814,,,,Opens at 8:00 am
Saint Augustine International School,2.1,(7),School,101 General Aviation Rd,Temporarily closed,(032) 505 0069,http://www.amaes.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Immaculate Colegio Concepcion,2.6,(14),University,,Temporarily closed,(032) 253 1000,,,,
Inayawan National High School (Night),5.0,(2),School,F. Jaca St,Temporarily closed,(032) 417 1558,,,,
Ama Computer Learning Center Island,5.0,(5),College,M C Briones Street,Temporarily closed,(032) 422 0018,,,,
Bureau of Immigration School Representative Office - International Cultural Studies and Education Co,3.9,(32),Government office,"2nd Floor, Berovan Building, Osmeña Boulevard",Temporarily closed,(032) 371 9060,,,,
Colegio de la Inmaculada,5.0,(2),College,F. Urdaneta St,Temporarily closed,(02) 8231 4984,,,,Closing soon: 6:00 pm
Professional Review Network,4.1,(27),Medical group,"2nd floor Room 201, Osmeña Blvd",Closed today,(032) 233 2555,,,,
SSI,5.0,(3),School,"Shangs Island Town Center, Datag",Temporarily closed,(032) 384 8858,https://www.divessi.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University of Cebu - Nautical Campus,4.0,(1),Private university,,Temporarily closed,0917 327 1374,,,,Closing soon: 6:00 pm
SSI 필리핀 서비스센터,5.0,(1),Educational institution,"Shangs Island Town Center, Datag",Temporarily closed,(032) 414 9194,http://www.divessi.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Sto. Nino Mactan Montesorri School,3.7,(9),Montessori school,Soong 1,Temporarily closed,(032) 341 3822,https://www.facebook.com/pages/Sto-Ni%C3%B1o-Mactan-Montessori-School/127489207451199,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
St. Paul College,5.0,(2),University,National Highway,Temporarily closed,(032) 272 2985,,,,
Cordova Public College,5.0,(1),University,"Cordova, Poblacion, 6017",Temporarily closed,(032) 494 1410,,,,
Minglanilla TESDA,2.5,(2),School,,Temporarily closed,0948 401 4519,https://tesdacourse.com/Provincial-Training-Center---Cebu-Minglanilla-3418.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
USC Retreat House,5.0,(2),College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 516 7010,,,,
"Kumon Philippines, Inc. (Cebu Branch)",5.0,(1),Educational institution,"2 Quad, Cardinal Rosales Ave",Temporarily closed,(032) 263 3419,http://ph.kumonglobal.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University Of The Visayas - Accounting Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 253 4384,https://www.universityofthevisayas.com/p/school-directory.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Philippines Republic of the Agrarian Reform Commision on Higher Education,3.0,(2),Government office,M. J. Cuenco Avenue,Temporarily closed,(032) 254 3345,,,,
DepEd Regional Office VII,4.4,(16),Department of education,5 Sudlon,Closed today,(032) 231 1433,https://region7.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Department of Education Ecotech Center,4.5,(20),Department of education,Ecotech Rd,Closed today,(032) 256 1001,,,,Opens at 8:00 am
Philinter Education Center (JELAI),4.4,(42),English language school,"Philinter Academy Mustang, Ceniza St",Temporarily closed,(032) 340 7453,http://philinter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
University of Southern Philippines Foundation,4.2,(46),Private university,"USP Compound, Salinas Dr",Temporarily closed,(032) 414 8773,,,,
Education Events and Environment Corporation,5.0,(2),Consultant,"Club Building, Ground Floor, Cebu Yacht, MEPZ1 Main Rd",Temporarily closed,(032) 495 8144,,,,
Young Future Healthcare and Education Foundation,5.0,(1),Corporate office,"House of Dreams, M.L. 6015, M.L. Quezon National Highway",Temporarily closed,(032) 410 3475,http://www.young-future.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Coastal Conservation & Education Foundation, Inc.",3.9,(32),Non-governmental organization,"Room 302, 3/F, PDI Condominium, Gov. M. Cuenco Ave., Banilad, Cebu City 6000",Closed today,(032) 326 7516,http://www.coast.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Department of Education - Division of Talisay City,5.0,(2),School district office,,Temporarily closed,(032) 491 3798,http://www.depedtalisayr7.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
CBD College,3.8,(6),College,"F. Jaca St, Cebu City, 6000 Cebu Blabla",Temporarily closed,(032) 272 7810,https://ched.gov.ph/cbd-college-profile/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Institute of Technology - University,4.6,(119),Private university,Natalio B. Bacalso Ave,Temporarily closed,(032) 261 7741,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Integrated Laboratory School,4.0,(1),High school,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 254 6816,http://www.cnu.edu.ph/integrated-laboratory-school/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 6:00 pm
Child Learning Foundation,4.7,(7),Private school,,Temporarily closed,(032) 255 0523,,,,
Cebu Normal University - Main Campus,4.8,(52),Public university,Osmeña Blvd,Temporarily closed,(032) 253 9611,http://cnu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Best School In Cebu City,5.0,(1),University,"FE Zuellig Avenue, North Reclamation Area, Subangdaku",Temporarily closed,(032) 236 5772,,,,
