section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-location
Guadalupe Cebu Medical and Diagnostic Inc.,5.0,(1),Medical Center,Closed,Opens at 8:00 am,4123462,,,,
"Nationwide Health Systems Cebu, Inc.",1.7,(37),Medical clinic,Closed,Opens at 8:00 am,(032) 238 6053,http://makati.nhsiphilippines.com/appointments/about,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Gillamac, Ground Floor, 169 Sanciangko St"
Ceniza Medical Dental,4.5,(2),Medical clinic,,,(032) 420 2245,,,,"Royal Goco Plaza, B.B Cabahug"
"Health Maintenance, Inc. (HMI) Cebu",5.0,(1),Medical group,Closed today,,(032) 234 5564,,,,"Suite 215 Medalle Bldg, Osmeña Blvd"
Medical And Dental Clinic,4.0,(16),Medical clinic,,Closing soon: 6:00 pm,0923 427 6526,,,,"Dr. Igracio M. Cortes Gen. Hospital, S.B. Cabahug"
ProWellness Pharma and Medical Services,4.0,(1),Medical clinic,Closed,Closing soon: 6:00 pm,(032) 254 0653,https://www.facebook.com/ProWellnessPharma,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Perpetual Succour Medical Arts Building,4.3,(12),Medical clinic,(032) 462 5920,,Closing soon: 6:00 pm,,,,Gonzales Compound
Reactive Medical Laboratory & X-ray,4.8,(4),Medical laboratory,,Closing soon: 6:00 pm,(032) 253 4887,,,,"2nd Floor, Doctors Specialty Center, Osmeña Boulevard, corner L. Lorente Street, Jones Ave"
"CHSI Center For Health Service, Inc.",3.5,(2),Medical clinic,Closed today,Open until 9:00 pm,(032) 422 5575,http://chsiphil.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,818 Lopez Jaena St
ABG DRUGTESTING & MEDICAL CLINIC,5.0,(1),Medical clinic,Closed today,,(032) 418 2692,,,,
Total Health Medical Services JV Corp. - Talisay,5.0,(1),Medical diagnostic imaging center,Temporarily closed,,0945 701 3460,,,,"6045, San Isidro Road"
HP Plus - WES Building,2.3,(45),Medical clinic,Closed,Opens at 6:00 am,(032) 256 0151,http://hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Wes Bldg., J. Llorente St"
Vicente Sotto Memorial Medical Center - Public,2.9,(95),Government hospital,,,(032) 253 9891,http://vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,B. Rodriguez St
Garnet Drug Test Laboratory & Medical Clinic,3.7,(3),Medical clinic,Closed today,Opens at 7:00 am,(032) 273 0372,,,,"South Central Square, Natalio B Bacalso National Highway"
"Cebu Medical Society, Inc.",3.0,(2),Medical Center,(032) 495 9328,,,https://www.facebook.com/CebuMedicalSocietyInc/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Gov. M. Cuenco Ave
Dr Charlita Baguio - Ty,5.0,(1),Medical clinic,Closed today,,(032) 511 7443,,,,Kagudoy
St. Peter - Paul Medical Clinic - Cebu City,2.7,(15),Medical Center,Closed today,,(032) 412 1104,,,,"Colon Street, Cebu City, Cebu"
Tiongson- Lim Medical Clinic,5.0,(2),Medical clinic,Closed,Open until 7:00 pm,(032) 254 5473,http://limpiredigital.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,V Rama Ave
JLS Medical Clinic,3.0,(2),Medical Center,Closed,Open until 10:00 pm,0933 656 8344,http://www.facebook.com/jlsmedical,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kaiser Medical Center Inc. - MEPZ 1 branch,4.0,(2),Medical diagnostic imaging center,,Closing soon: 6:00 pm,(032) 520 9377,,,,"2nd St. corner Staffhouse Drive, Mepz 1, Barangay Ibo"
Southwestern University Medical Center,3.4,(32),Medical Center,Closed,Opens at 8:00 am,0999 555 3999,https://m.facebook.com/profile.php?id=154316554629393,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,53 J. Urgello St
Mactan Medical and Dental Centre,5.0,(1),Medical Center,Closed,Open until 7:00 pm,(032) 340 7683,,,,"Block C, Mactan Marina Mall,, 2/F M.L. Quezon National Highway"
Genson Medical Clinic,4.5,(2),Medical clinic,,,(032) 238 0181,,,,San Isidro Road
Docs ABC PI Medical and OB Clinic,5.0,(1),Medical clinic,(032) 234 5564,Closed today,,,,,"Unit 2B, BF Strip, M.L. Quezon National Highway"
Enriquez Medical And Dental Clinic,4.0,(16),Medical clinic,,Closing soon: 6:00 pm,(032) 345 0382,,,,6014 P. Gomez
Arcibal Medical Clinic,4.3,(3),Medical clinic,Closed,Open until 8:00 pm,(032) 494 5290,,,,
DE ASIS MEDICAL CLINIC ( Norzel Medical and Diagnostic Clinic ),5.0,(1),Medical clinic,Closed today,Closing soon: 6:00 pm,(032) 239 0068,,,,Tagunol St
Hi-Precision Diagnostics,3.8,(17),Medical clinic,Closed,Opens at 6:00 am,(032) 520 1142,http://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,MV Patalinhug Avenue
Quilong-Quilong Medical Clinic,5.0,(1),Medical clinic,Closed today,Open until 9:00 pm,0923 931 9203,https://www.practo.com/cebu-city/clinic/quilong-quilong-medical-clinic-1-talisay-city,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Rafael Rabaya Rd
Medical City Mandaue Inc.,1.0,(1),Hospital,Closed today,Closing soon: 6:00 pm,(032) 345 8528,,,,L. Jayme St
Ordoñez Medical Clinic,5.0,(1),Medical clinic,Temporarily closed,,(032) 253 8928,,,,V. Ranudo St
ACE Medical Center Cebu,4.0,(1),Medical Center,Closed today,Opens at 10:00 am,(032) 383 3454,https://www.facebook.com/acemc.cebu.hrd/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Natalio B. Bacalso Ave
Mactan Medical,3.3,(105),Dental clinic,,,(032) 340 7683,,,,Maktan
Ceniza Medical Dental Clinic,1.0,(1),Dental clinic,Closed today,Opens at 7:00 am,0922 817 8414,,,,"AC Cortes Avenue, corner BB Cabahug Street"
Accredited OFW Medical Clinics & Hospital,5.0,(1),General practitioner,,Open until 10:00 pm,(032) 412 2925,,,,"Cebu Sagrada Corazon Health Services, Incorporated, Room 310, City Savings Financial Plaza Condominium, Osmeña Boulevard corner P. Burgos Street"
Medical Arts Building 1,4.5,(2),Physician,(032) 263 1124,Closed today,,,,,M. P. Yap St
Medical Dental Clinic Dr Norma Espina Llenado,2.7,(15),Dental clinic,Closed,Opens at 8:00 am,(032) 414 4355,,,,Katipunan St
Medical Center Trading Corporation,5.0,(2),Medical supply store,Closed,Open until 7:00 pm,(02) 8254 2367,http://www.medicalcentertrading.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Lim's Brotherhood Foundation Incorporated, Osmena Blvd. Cor. J LLorente St."
Maxicare Healthcare Corporation - Primary Care Center,2.4,(10),Medical clinic,Closed,Open until 10:00 pm,0917 828 8423,http://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Lot 5, Block 6, Mindanao Avenue, Cebu Business Park, Ayala"
Dr. Emily Lao Dental Clinic (LR Medical Clinic),3.2,(44),Dental clinic,(032) 255 8000,,Closing soon: 6:00 pm,,,,"Adela Building, 2nd Floor, General Maxilom Ave"
"Claire Marie Durban-Mella, MD (Hand, Shoulder, and Upper Extremity Surgery)",3.4,(32),Medical clinic,Closed today,Opens at 8:00 am,(032) 253 4029,,,,"Rm 218A, University of Cebu Medical Center, Ouano Avenue"
Intermed Pharma & Medical Supplies Inc.,4.5,(2),Medical supply store,Closed,Closing soon: 6:00 pm,(032) 260 4698,http://www.ipms.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Stratum Building, Escaño Rd"
Librando Bio Medical Clinic,4.5,(2),Medical clinic,,,(032) 254 1063,,,,"Unit 40, Century Plaza Commercial Cpmplex, Juana Osmeña St"
ODMC Opon Medical Diagnostic Corp.,5.0,(1),Diagnostic center,Closed today,,(032) 495 3252,https://www.facebook.com/Opon-Diagnostics-and-Medical-Center-1510411139171998/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,S. Osmeña Street
Tang Medical Clinic Tabunok,5.0,(1),Medical clinic,,Open until 8:00 pm,(032) 272 2907,https://tang-medical-clinic-tabunok.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Z-2 849
Dr. Jacqueline Jabonero-Espina - Chong Hua Hospital Medical Arts Building,2.3,(3),Pediatric clinic,Closed,Open until 8:00 pm,(032) 254 4293,http://chonghua.com.ph/index.php/Doctors/profile/301,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Room 408, Chong Hua Hospital Medical Arts Building, J. Llorente Street"
Hi-Precision Diagnostics,3.7,(22),Medical diagnostic imaging center,Closed,Opens at 6:00 am,(032) 236 6277,https://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"South National Highway, Tabunok"
Medical Dental Clinic,3.8,(17),Dental clinic,Closed,Opens at 6:00 am,(032) 296 0089,,,,"Deiparine Bldg, Natalio B. Bacalso Ave"
1421 medical laboratory,5.0,(1),Hospital,0923 931 9203,Closed today,Open until 9:00 pm,,,,4 F. Manalo St
Maxicare Primary Care Center Clinic,3.0,(2),Medical clinic,Closed today,Open until 10:00 pm,(032) 260 9067,http://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Asian Oriental Medical Clinic,5.0,(3),Acupuncture clinic,Temporarily closed,Closing soon: 6:00 pm,0917 596 0236,,,,
SB Medical Clinic,4.0,(1),Physician,Closed,Opens at 9:00 am,0925 554 4192,,,,Humay-Humay Rd
엔젤병원(Angel's Medical Clinic),2.5,(6),Specialized hospital,,Closing soon: 6:00 pm,0936 901 0918,,,,A. S. Fortuna St
Medical Social Services Office,1.0,(1),Private hospital,Closed today,Opens at 7:00 am,(032) 255 7141,,,,"Cebu City Medical Center, Natalio B. Bacalso Avenue"
MyHealth Clinic - Robinsons Galleria Cebu,4.0,(1),Medical clinic,,Open until 9:00 pm,(032) 232 1200,http://myhealth.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Robinsons Galleria Cebu
Medical Dental Clinic,4.5,(2),Dental clinic,Closed today,,(032) 417 3032,,,,VIP Village Laray
Progressive Medical Corporation,2.7,(15),General practitioner,Closed,Opens at 8:00 am,(032) 345 8596,,,,A.C. Cortes Avenue
Bacalla Integrative Medical and Wellness Center,5.0,(2),Medical Center,Closed,Closing soon: 6:00 pm,(032) 354 9555,http://www.facebook.com/pages/Bacalla-Integrative-Medical-and-Wellness-Center/257092527830620,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2nd Floor, Mango Square Mall,"
Medtronix Medical Supplies and Equipment,2.7,(3),Medical supply store,Closed,Open until 10:00 pm,(032) 254 7420,http://medtronixmed.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,B. Rodriguez St
Api Medical and Dental Center,3.2,(44),Dental clinic,,Closing soon: 6:00 pm,0920 965 2875,,,,"Ground Floor North Gate Building, Mabini Street"
Barangay Health Center,3.4,(32),Public medical center,(032) 253 4029,Closed today,Opens at 8:00 am,,,,Quezon National Hwy
"ACE MEDICAL SOLUTIONS, INC/MGN INDUSTRIAL SUPPLY",4.5,(2),Medical supply store,(032) 260 4698,Closed,Closing soon: 6:00 pm,,,,
Diana Binoya - Cahayag Medical Clinic,4.5,(2),Medical clinic,(032) 254 1063,,,,,,Robinsons Cybergate
Babag Health Center and Birthing Home,5.0,(1),Public medical center,(032) 495 3252,Closed today,,,,,
soon's medical clinic,5.0,(1),Hospital,(032) 272 2907,,Open until 8:00 pm,,,,381 P.J.Burgos
TIBON Medical-Surgical Clinic and Maternity Services,2.3,(3),Surgical center,Closed,Open until 8:00 pm,(032) 267 3483,,,,"210 North Rd. Labogon, Mandaue City 6014"
SAN ROQUE MEDICAL LABORATORY- GUN-OB BRANCH,3.7,(22),Diagnostic center,Closed,Opens at 8:00 am,(032) 406 0835,,,,A. Tumulak St
Medical City Mandaue Incorporated,3.8,(17),Private hospital,Closed,Opens at 6:00 am,(032) 345 8528,,,,A.C. Cortes Avenue
Southwestern University Medical Center,3.0,(3),Hospital,0923 931 9203,Closed today,Open until 9:00 pm,,,,
Dr. Cristina Rosario N. Mata Medical Clinic,3.0,(2),General practitioner,Closed today,Open until 10:00 pm,(032) 418 5558,,,,"60, Tabada Street, Mambaling"
Biological Homeopathic Medical Corp,5.0,(3),Medical clinic,Temporarily closed,Closing soon: 6:00 pm,(032) 253 3099,http://bhmc-clinics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,356 Don Mariano Cui St
Reactive Medical Lab & X-ray,1.0,(1),General practitioner,Closed,Opens at 9:00 am,(088) 857 3017,,,,"Ground Floor, Mondejar Building, City Hall Road, Pusok"
"Ma. Cecilia V. Ledesma, MD@Visayas Community Medical Center",2.5,(6),General practitioner,,Closing soon: 6:00 pm,(032) 253 3881,,,,85 Osmeña Blvd
Albert Rafanan MD,1.0,(1),Medical clinic,Closed today,Closing soon: 6:00 pm,(032) 253 0879,http://www.pubfacts.com/author/Albert+Rafanan,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"J llorente st, Chong Hua Medical Arts, Room 102"
Flordelis Medical Clinic,4.0,(1),General practitioner,,Open until 9:00 pm,(032) 255 8520,,,,"Borromeo Medical Center, Borromeo Building, Capitol Site"
"Nutech Medical Solution,Inc.",4.5,(2),Medical Center,Closed today,,(032) 253 5451,http://nutechmedical.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"155B, Copenhagen Residences, A. C. Cortes Ave"
JOSMEF MEDICAL CORPORATION,5.0,(3),Medical supply store,Closed,Closing soon: 5:30 pm,(032) 232 0974,https://josmefmedicalcorp.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"#56 Anita's Building, Osmeña Blvd"
"Ronald N. Eullaran, MD@LH Prime Medical Clinic",5.0,(2),General practitioner,Closed,Closing soon: 6:00 pm,(032) 416 1933,,,,Albano Subdivision
Life Stream Diagnostic,2.7,(3),Medical diagnostic imaging center,Closed,Open until 10:00 pm,0943 271 3305,,,,"The South Face Arcade, San Isidro Road"
Far East Medical - SM Cebu branch,5.0,(2),Medical supply store,,Open until 10:00 pm,(032) 239 6120,,,,"SM City Cebu, 3rd Street"
De Los Reyes,3.4,(32),Medical Center,(032) 253 4029,Closed today,Opens at 8:00 am,,,,V Rama Ave
Baking Medical Center,2.2,(6),Medical Center,Closed,Closing soon: 6:00 pm,(032) 273 3703,,,,6045 Cebu S Rd
Mavi Medical And Aesthetic,3.0,(2),Medical Center,,,(032) 254 6692,,,,85 Osmeña Blvd
Saavedra Medical Clinic,5.0,(1),Physician,Closed today,Closing soon: 6:00 pm,(032) 495 3252,,,,"Abella bldg, Rabaya St"
Biological Homeopathic Medical Corporation,5.0,(1),Hospital,,Open until 8:00 pm,(032) 253 3099,,,,"356 Don Mariano Cui St., Capitol Site, Cebu City 6000"
Steth and Sphyg Medical Clinic,2.3,(3),Physician,Closed,Opens at 9:00 am,(032) 316 1975,,,,
Imaging,3.7,(22),Medical diagnostic imaging center,Closed,Opens at 8:00 am,(032) 346 7850,,,,"Dr.Ignacio Cortes Gen.Hospital, S.B. Cabahug"
Daivant Medical Supplies,3.8,(17),Medical supply store,(032) 345 8528,Closed,Opens at 6:00 am,,,,Ayala Rd
Lifestream Diagnostic Clinic,5.0,(2),Medical diagnostic imaging center,Closed today,Open until 9:00 pm,0922 385 8373,,,,"Singson Village Square One Blng., Mt. Mayon St"
Tambut Medical Clinic,5.0,(1),Physician,(032) 418 5558,Closed today,Open until 10:00 pm,,,,Sangi
Pro-poor Pharmaceutical & Medical Supplies,5.0,(3),Medical supply store,Temporarily closed,Closing soon: 6:00 pm,(032) 256 3013,,,,Gov. M. Roa St
Vicente Sotto Memorial Medical Center,1.0,(1),Hospital,(088) 857 3017,Closed,Opens at 9:00 am,,,,B. Rodriguez St
Cebu HealthSpec Medical Diagnostic and Dental Clinic,2.5,(6),Medical group,(032) 253 3881,,Closing soon: 6:00 pm,,,,"Parkmall, 2/F Alfresco 1, Ouano Avenue"
4JC Medical Imports,1.0,(1),Medical supply store,Closed,Opens at 9:00 am,(032) 253 2857,http://www.medical-imports.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,0232 Osmeña Blvd
Northern Mindanao Medical Center,4.0,(1),General hospital,(032) 255 8520,,Open until 9:00 pm,,,,Capitol Compound de oro city
Berovan Medical Supplies Warehouse,4.5,(2),Hospital,(032) 253 5451,Closed today,,,,,Central Nautical Hwy
De Asis Medical Clinic,5.0,(3),Medical clinic,Closed,Closing soon: 5:30 pm,(032) 239 0068,,,,"Natalio Bacalso Avenue Extension Tajanlangit Building, Beside St. Anthony Mother and Child Hospital"
Medical Dental Clinic,5.0,(2),Physician,(032) 416 1933,Closed,Closing soon: 6:00 pm,,,,
EQH Medical Enterprises,2.7,(3),Medical supply store,Closed,Open until 10:00 pm,(032) 253 0585,,,,21 J. Fortich St
Vicente Sotto Memorial Medical Center: Center for Behavioral Sciences (Psychiatric and Psychological Services),3.0,(2),Government hospital,Closed today,Open until 10:00 pm,(032) 253 4423,https://www.facebook.com/vsmmccbs/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,B. Rodriguez St
"MHR Health Care, Co.",3.4,(32),Medical supply store,Closed today,Opens at 8:00 am,0922 534 1302,,,,Jose L Briones Street
