section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 3
Cebu Skin Clinic,4.3,(9),Skin care clinic,M. J. Cuenco Ave,Open until 8:00 pm,0906 083 8645,,,,Closed today
Cinco Felipe Clinic,5.0,(1),Eye care center,"Cinco Centrum Building, Fuente Osmeña Street",Opens at 9:00 am,(032) 253 8266,,,,Closed
Dr. Christine Fernandez Eye Clinic,5.0,(1),Eye care center,"Lower Ground Floor, Gaisano Island Mall, M.L. Quezon National Highway",Open until 10:00 pm,(032) 236 7144,,,,Closed
Dalanon Dental Care Clinic,5.0,(1),Dental clinic,"Melodina Building, Lipata, Natalio B. Bacalso S National Hwy",Open until 7:00 pm,(032) 272 4856,,,,Temporarily closed
St. Luke Medical Surgical Clinic,2.8,(5),Medical clinic,,Open until 10:00 pm,(032) 342 7090,,,,
United X-Ray Clinic Inc.,,,X-ray lab,Don Celestino Rodriguez Street,Open until 8:00 pm,(02) 8253 3373,,,,
P.S. Maternity Clinic,5.0,(1),Birth center,"Simplex Subdivision, Suba-Basbas - Marbeach Rd",,(032) 238 0654,,,,
Ruiz Vision Eye Clinic,2.7,(16),Eye care center,F. Martir St,Open until 7:00 pm,(032) 513 6077,,,,Temporarily closed
TIBON Medical-Surgical Clinic and Maternity Services,3.8,(17),Surgical center,"210 North Rd. Labogon, Mandaue City 6014",Opens at 6:00 am,(032) 267 3483,,,,Closed
Aces Eye Referral Clinics,4.0,(3),Eye care center,Velez General Hospital,Opens at 8:30 am,(032) 255 2821,http://www.aceseye.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Dr Guian Sumalinog Clinic,4.5,(2),Medical clinic,,,(032) 263 1124,,,,
Mandaue City Social Hygiene Clinic,5.0,(1),HIV testing center,"Room # 10 ( separate building beside the new building ) Dr. Maria Debra C. Catulong - SHC physician and Mrs. Eden C. Baring - SHC nurse; HIV/AIDS GF-TFM&ROMP office: second floor, old building beside room 9( TB office) point persons: Mr. Francis Irvin C. Baring - GF-TFM nurse and Mr. Dryden Baclohan - CMC ROMP, A. Soriano Ave",Opens at 6:00 am,(032) 268 2489,,,,Closed today
Eye Optimal Optical Clinic,4.4,(14),Eye care center,"JY Square IT Center, G/f, 1 Salinas Dr",Open until 9:00 pm,(032) 414 1600,,,,
Dr. Chona P. Layos,5.0,(1),Pediatric clinic,"Cebu Doctors University Hospital, Osmeña Boulevard",Opens at 8:00 am,(032) 255 5555,,,,Closed
Flawless Face and Body Clinic - Ayala Center Cebu,4.1,(11),Skin care clinic,"S&R, 4th Floor Ayala Center Cebu Expansion Wing (near Majestic and",Open until 10:00 pm,0917 702 8085,http://www.flawless.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
GINGOYON DENTAL CARE CLINIC,3.7,(3),Dental clinic,"2197 Sangi road, Punta Rizal, Pajo, Lapu-Lapu City, Cebu",Open until 7:00 pm,(032) 340 1079,,,,Closed
babag midwife clinic,5.0,(4),Women's health clinic,Babag II Rd,Closing soon: 6:00 pm,3403350,,,,Closed
Ponce Birthing Clinic CO.,5.0,(2),Birth center,"Ponce, 1769 Yakal St",Open until 8:00 pm,0997 387 3073,https://ponce-birthing-clinic-co.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Ma. Antoinette F. Cabahug, MD Skin Clinic",5.0,(3),Skin care clinic,"Room 209, Dr. J. C. Borromeo Building, Gov. M. Roa Street",Closing soon: 6:00 pm,(032) 412 5125,,,,
EL Glamorous Face and Body Clinic,5.0,(2),Surgical center,Cebu North Road Hi- way Basak,Open until 9:00 pm,(032) 420 0362,,,,Closed
Well - Family Midwife Clinic,3.0,(1),Birth center,Coastal View Subdivision Lara,Open until 8:00 pm,0906 083 8645,https://www.facebook.com/WFMC.MARIKINA/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
MANCAO AESTHETIC CLINIC,5.0,(1),Skin care clinic,"205 2/F MAHOGANY PLACE,POPE JOHN PAUL AVE,.",Open until 7:00 pm,0932 100 1002,,,,Closed
Villamor,4.4,(5),Eye care center,Patalinghug Avenue,Open until 10:00 pm,(032) 495 9234,,,,Closed
Flawless Face and Body Clinic,5.0,(1),Skin care clinic,"2nd Floor, SM City Cebu, Juan Luna Avenue Extension, Pier 2",Open until 7:00 pm,0917 702 8085,https://flawless.com.ph/corporate-info,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
The Tooth Clinic,5.0,(4),Dental clinic,Cor.Wilson Street Salinas Dr,Open until 6:30 pm,(032) 266 9614,,,,
Rhed Owl Clinic,5.0,(1),Dental clinic,283 Tres de Abril St,Open until 8:00 pm,(032) 511 1031,http://rhedowl.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Josephine's All Dental Services And Cosmetology Clinic Company,1.0,(4),Dental clinic,# 25 M. Velez St,,(032) 232 0954,,,,
Hbs Family Dental Clinic,2.7,(16),Dental clinic,"Door 6 Fick Building, H. Cortes Street",Open until 7:00 pm,(032) 422 6981,,,,Temporarily closed
Dental Ave Oral Care Clinic,5.0,(2),Dental clinic,279 A. C. Cortes Ave,Open until 7:00 pm,0932 062 6783,,,,Closed
Smart Medlab Clinic and Diagnostic Center,4.0,(3),Diagnostic center,Lawaan I,Opens at 7:00 am,(032) 491 3772,,,,Closed
Flawless Face and Body Clinic - SM Seaside City Cebu,4.9,(16),Skin care clinic,"3/F SM Seaside City Cebu, SRP Mambaling Rd, cor Cebu South Coastal Rd",,0917 704 7173,https://flawless.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Yes Dental Care Clinic,5.0,(1),Dental clinic,"Room 205, ABG Building, Osmena Boulevard",Opens at 6:00 am,0922 817 7432,,,,Closed today
VMA DENTAL WELLNESS CLINIC,5.0,(1),Dental clinic,"LTH Bldg ( Former Ma.Cristina Bldg, Fuente Osmeña Cir",Closing soon: 6:00 pm,(032) 414 1600,,,,
KEVLO Skin Clinic,5.0,(1),Skin care clinic,Unnamed Road,Opens at 8:00 am,(032) 255 5555,,,,Closed
Dr. Jo Anne Rivera Dental Clinic,4.1,(11),Dental clinic,"6014, 1047 Hernan Cortes St",Opens at 9:00 am,(032) 238 5182,,,,Closed
Manny & Pie Calayan Clinic Cebu Branch,4.7,(3),Skin care clinic,"3rd floor Mountan View, SM Seaside City,SRP Road,Cebu City",Open until 9:00 pm,0917 821 4460,http://mannyandpiecalayanclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
dr. muñox dental clinic,5.0,(4),Dental clinic,"727 A A.S.Fortuna, Mandaue City, 6014 A.S.Fortuna",Closing soon: 6:00 pm,3403350,,,,Closed
Dr. Uy Medical Clinic,4.0,(16),Physician,Natalio B. Bacalso Ave,Open until 8:00 pm,(032) 261 2155,,,,
KEVLO Skin Clinic - SM City,5.0,(3),Skin care clinic,A. Soriano Ave Juan Luna Ave Ext SM City Cebu,Closing soon: 6:00 pm,(032) 342 7090,http://kevloskinclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Dr. Camela Dental Clinic,5.0,(2),Dental clinic,M. C. Briones St,Open until 9:00 pm,(032) 422 3024,,,,Closed
Apas Dental Clinic,3.0,(1),Dental clinic,Poblacion Compostela,Open until 8:00 pm,(032) 425 7262,,,,Closed today
Divinagracia-Rivera Dental Clinic,5.0,(1),Dental clinic,V Rama Ave,Open until 7:00 pm,(032) 255 6600,,,,Closed
Hi-Precision,4.3,(12),Medical diagnostic imaging center,"Wes Bldg., J. Llorente St",Closing soon: 6:00 pm,(032) 256 0151,http://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Limkimso Optical Clinic,5.0,(1),Eye care center,250 Manalili St,Open until 7:00 pm,0917 702 8085,,,,Temporarily closed
Ceniza Medical Dental Clinic,1.0,(1),Dental clinic,"AC Cortes Avenue, corner BB Cabahug Street",Open until 6:30 pm,0922 817 8414,,,,
Manny & Pie Calayan Clinic,5.0,(1),Skin care clinic,Sm Seaside Branch,Open until 9:00 pm,(032) 511 1031,https://mannyandpiecalayanclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Dr. Jeffrey Cinco Lim,1.0,(4),Eye care center,"Room 112-A, Cebu Doctors Hospital, Osmeña Boulevard",,(032) 253 4460,,,,
Dental Clinic,5.0,(1),Dental clinic,Gov. M. Cuenco Ave,Open until 7:00 pm,(032) 415 9421,,,,Temporarily closed
Dental Clinic,5.0,(1),Dental clinic,"GK Chua Bldg., Sanciangko St",Open until 7:00 pm,(02) 3418 4994,,,,Closed
UY Dental Clinic,4.0,(3),Dental clinic,Tres de Abril St,Opens at 7:00 am,(032) 491 3772,,,,Closed
Ouano Dental Clinic,5.0,(11),Dental clinic,"Unit 203, Socorro Estenzo Bldg, M. L. Quezon Ave",Open until 7:00 pm,0943 065 9645,http://ouano-dental-clinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
RF Dental Clinic,5.0,(1),Dental clinic,Sanciangko St,Closing soon: 6:00 pm,(032) 415 1274,https://www.facebook.com/RfDentalClinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Japzon Codina Dental Clinic,5.0,(1),Dental clinic,,Closing soon: 6:00 pm,(032) 417 3619,,,,
Dental Clinic,5.0,(1),Dental clinic,Babang II Rd,Opens at 8:00 am,(032) 496 8514,,,,Closed
Smile Care Dental Clinic,4.1,(11),Dental clinic,"No. 280, Manalili Street, Santo Niño",Opens at 9:00 am,(032) 416 9384,,,,Closed
Dr. Diane Jurado Dental Clinic,4.7,(3),Dental clinic,,Open until 10:00 pm,0917 821 4460,,,,Closed
Yuzon dental clinic,5.0,(4),Dental clinic,28 R. Duterte St,Opens at 9:00 am,0923 102 5949,,,,Closed
Jimenez Dental Clinic,4.0,(16),Dental clinic,NGA Building Pueblo Verde Mepz 2,Open until 8:00 pm,(032) 261 2155,,,,
The Savior Dental Clinic,5.0,(3),Dental clinic,"Room 301, Goodwill Building, Osmeña Blvd",Opens at 9:00 am,0933 509 0113,,,,Closed
"Sacares Dental Clinic,Humay Humay Road,Pajo, Lapu Lapu City",5.0,(2),Dental clinic,Humay-Humay Rd,Open until 9:00 pm,(032) 422 3024,,,,Closed
Dr. Jojo Mendoza Dental Clinic,2.0,(1),Dental clinic,A.C Cortes Avenue,Open until 8:00 pm,(032) 346 7566,,,,Closed today
Barino Dental Clinic,3.0,(1),Dental clinic,,Opens at 10:00 am,(032) 412 3239,,,,Closed
Viardo Dental Clinic,5.0,(2),Dental clinic,251 A. Del Rosario St,Closing soon: 5:30 pm,0922 362 7380,https://nearbyph.com/pages/viardo-dental-clinic/121924,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Candia Dental Clinic,5.0,(1),Dental clinic,"LG, FLB Corporate Center",Open until 9:00 pm,(032) 410 7772,,,,Temporarily closed
D & G Dental Clinic,1.0,(1),Dental clinic,"Leyson Building, Room 5 G/F, Dionisio Jakosalem St",Opens at 9:30 am,0919 000 7192,https://www.facebook.com/dgdentalclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Tallo Dental Clinic,5.0,(1),Dental clinic,"#19 Sitio Lemon A. C.Cortes Ave., Ibabao",Open until 9:00 pm,0917 204 5049,,,,Closed today
Nirza Dental Clinic,1.0,(4),Dental clinic,"2C WDC Building, Burgos Street",Closing soon: 6:00 pm,(032) 255 8826,,,,
Culanag Ortho-dental Clinic,5.0,(1),Dental clinic,A. Del Rosario St,Open until 7:00 pm,0932 859 9431,https://www.practo.com/cebu-city/clinic/culanag-ortho-dental-clinic-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Du Baguio Dental Clinic,5.0,(1),Dental clinic,Basak-Marigondon Rd,Open until 7:00 pm,(032) 236 7810,,,,Closed
DR. GLAISA SUSON MANALO DENTAL CLINIC,4.0,(3),Dental clinic,"6014, 881 A. S. Fortuna St",Opens at 7:00 am,(032) 491 3772,,,,Closed
Dr. Analisa Duga Dental Clinic,5.0,(1),Dental clinic,"RM 200, Agencia Nino Bldg., Osmeña Blvd",Open until 7:00 pm,0928 281 0504,,,,Temporarily closed
L.G. Niñal Jr. Dental Clinic,4.0,(1),Dental clinic,"2nd Floor, Colonnade Mall, Colon Street, Corner Pelaez Street",Closing soon: 6:00 pm,(032) 406 6775,http://www.dentalclinicphilippines.com/lgn/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Toothworks Dental Clinic,5.0,(1),Dental clinic,"North Road Corner A.S. Fortuna Street, Barangay Tabok",Closing soon: 6:00 pm,(032) 422 1428,,,,
Manliguez Dental Clinic,4.0,(2),Dental clinic,Natalio B. Bacalso,Opens at 8:00 am,0936 340 2224,,,,Closed
Dental Clinic,4.1,(11),Dental clinic,"Marina, Mactan",Opens at 9:00 am,(032) 494 0302,,,,Closed
Dentist Cebu - Cendana Dental Clinic - Dr. Karen Lee Cendana,5.0,(1),Dentist,"Ganson Olan Bldg, Francisco Llamas St",Closing soon: 6:00 pm,(032) 520 2440,,,,Closed
Tan and Associates Dental Clinic,5.0,(4),Dental clinic,"room 109 visayas community medical center jones avenue cebu city,philippines",Opens at 9:00 am,0933 171 2525,,,,Closed
St. Jude Dental Clinic Dr. Chris Marie Restauro-Condor,4.0,(16),Dental clinic,"We Have Temporarily Moved Back To Our Old Location In, Restauro Residence Across Talisay District Hospital",Opens at 8:00 am,(032) 316 8463,,,,Closed
Ruflo Dental Clinic,4.8,(11),Dental clinic,"Unit 219, Colon Development Corp. Building, Osmeña Blvd",Open until 7:00 pm,(032) 415 5338,,,,Closed
Suzette G.Velasco Dental Clinic,1.0,(1),Dental clinic,N. Bacalso Ave. Cor. Caimito St,Open until 9:00 pm,(032) 511 7109,,,,Closed
Trinidad Dental Clinic,2.0,(1),Dental clinic,Natalio B. Bacalso S National Hwy,Closing soon: 6:00 pm,0922 821 0347,,,,Closed today
