section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Old Lapu-Lapu City Fire Department,3.5,(2),Fire station,(032) 342 8510,R De La Serna St,,,
Talamban Fire Sub-Station,3.0,(2),Fire station,(032) 410 6759,Minosa Street,,,
Barangay Mactan Fire Sub-Station,,,Fire station,(032) 253 9474,M.L. Quezon National Highway,,,
Maribago Fire Station,5.0,(2),Fire station,(032) 340 0252,Pajac-Maribago Rd,,,
Fire Station - Talisay City Hall,4.5,(2),Fire station,(032) 340 4821,"GF , Talisay City Hall, 6045, Fidel Bas",,,
Minglanilla Fire Station,,,Fire station,(032) 256 0541,6046 18 de Julio Street,,,
Tropical Fire Extinguisher,5.0,(1),Fire station,0908 520 6700,756 M. L. Quezon Ave,http://rcpmanufacturing.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tipolo Emergency Rescue Team,5.0,(1),Fire station,(032) 422 6971,Basubas,,,
Consolacion Fire Station,5.0,(1),Fire station,(032) 344 8299,Cebu N Rd,,,
Liloan Fire Station,4.7,(3),Fire station,(032) 564 3781,Central Nautical Hwy,https://www.facebook.com/bfpliloan.station.5,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bureau of Fire Protection - Regional Office VII,4.2,(5),Government office,(032) 254 8385,Natalio B. Bacalso Ave,,,
Compostela Fire Station,5.0,(3),Fire station,(032) 425 8221,,,,
San Fernando Fire Station,5.0,(1),Fire station,(032) 488 9793,Unnamed Road,,,
Proposed Fire Station Building,4.7,(3),Fire station,0965 327 9212,Poblacion,,,
Don Andres Soriano Fire Station,4.0,(1),Fire station,(032) 273 2830,,,,
LLCFD Fire Station 3,5.0,(1),Corporate office,(032) 340 4821,Tiangue Rd,,,
Bantayan Fire Station,3.0,(2),Government office,(032) 352 5236,"Lozada Street, Bantayan Island",,,
Poblacion Pardo Fire Station,4.0,(2),Government office,(032) 496 7889,,,,
Toledo City Fire Department,3.0,(1),Fire station,(032) 467 9115,Diosdado Macapagal Hwy,,,
Balamban Fire Station,,,Fire station,0917 779 7123,,https://www.facebook.com/balambanfs.cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Danao Fire Department,3.5,(2),Fire station,(032) 342 8510,C Olivar Ext,,,
Balamban Fire Station,3.0,(2),Fire station,0917 709 7123,,,,
Toledo City Fire Station,4.5,(2),Fire station,(032) 467 9115,Climaco St,,,
MRI-Sabang Fire Sub-Station,5.0,(2),Fire station,(032) 340 0252,"Mitsumi Realty Inc., Central Nautical Hwy",,,
Carcar Fire Station,4.5,(2),Fire station,(032) 340 4821,,,,
Carcar City Fire Station,,,Fire station,(032) 266 8000,"Carcar City, Cebu",,,
Usc University Of San Carlos Fire Station,5.0,(1),,0908 520 6700,801 Gov. M. Cuenco Ave,,,
