section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text
Lapu-Lapu City Police Office Tourist Police Assistance Center,1.0,(1),Local government office,Datag,(032) 340 2705,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Provincial Highway Patrol Team,5.0,(1),Police department,"9 Dona Modesta Gaisano St. 6000, Sudlon",(032) 496 8492,,,
Police Station 6 - MCPO,3.0,(4),Police station,H Abellana,(032) 318 5095,,,
Police Station 5 - Mandaue,4.0,(4),Government office,"A. Soriano Avenue, Barangay Centro",(032) 328 1328,,,
Mandaue City Police Office,3.0,(1),Public safety office,F. Cabahug St. Cor Hernan Cortes St,(02) 8344 1200,,,
Mandaue PNP Police,3.5,(6),Government office,G Ouano Street,(032) 346 5948,,,
Tourists Police Unit - Cebu City Police Office,5.0,(1),Government office,"Gorordo Avenue, Camp Cabahug",(032) 412 3138,,,
Camp General Arcadio M.,1.0,(2),Police station,"Cebu Police Provincial Office, Doña Modesta Gaisano St",(032) 231 5802,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Women And Children Protection Center,5.0,(1),Police station,"Camp Sotero Cabahug, Gorordo Ave",(032) 232 4630,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Regional Police Community Relations Division - PNP Cebu,1.0,(3),Government office,"Philippine National Police, Osmeña Boulevard, Camp Sergio Osmeña Sr.",(032) 255 4583,,,
Central Command Office - Cebu City Police Office,5.0,(1),Government office,"Camp Sotero Cabahug, Gorordo Avenue",(032) 233 4084,,,
Investigation Section - Mandaue City Police Office,2.0,(2),Government office,"A. Soriano Avenue, Barangay Centro",(032) 343 6376,,,
Lapu-Lapu Firing Range,4.2,(6),Police department,,(032) 261 9788,,,
Lapu-Lapu City Police Office,5.0,(1),Sheriff's department,,(032) 495 5593,,,
Traffic Group (Investigation Section) - Cebu City Police Office,3.7,(3),Government office,"Gorordo Avenue, Camp Cabahug",(032) 253 8262,,,
Regional Health Service 7 Dental Dispensary,5.0,(1),Police station,8 Gorordo Ave,(032) 233 6795,,,
Office of Regional Executive Senior Police Officer - PNP Cebu,3.0,(1),Government office,"Philippine National Police, Osmeña Boulevard, Camp Sergio Osmeña Sr.",(032) 255 0698,,,
Legion Of Mary Headquarters Senatus Of Cebu,4.0,(1),Police station,Legaspi St,(032) 253 5636,,,
Camp Sergio Osmeña,4.0,(5),State police,R. Landon St,(032) 416 5074,,,
Warrant And Subpoena Section - Cebu City Police Office,,,Government office,"Gorordo Avenue, Camp Cabahug",(035) 233 3712,,,
City Government of Lapu-Lapu - Police Office,1.0,(1),Government office,"Pusok Road, corner Mustang Road, Barangay Pusok",(032) 341 1311,,,
Administrative Section - Mandaue City Police Office,5.0,(1),Government office,A.Soriano Ave,(032) 344 8466,,,
Police Outpost,3.0,(4),Public safety office,A. C. Cortes Ave,(032) 344 1200,,,
ity Intelligence Section - Cebu City Police Office,4.0,(4),Government office,"Gorordo Avenue, Camp Cabahug",(035) 231 0018,,,
Intelligence Section - Mandaue City Police Office,3.0,(1),Government office,"A. Soriano Avenue, Barangay Centro",(032) 268 6869,,,
Finance and Supply Section - Cebu City Police Office,3.5,(6),Government office,"Camp Sotero Cabahug, Gorordo Avenue",(032) 231 6496,,,
Police Security Protection Office - PNP Cebu,5.0,(1),Government office,"Philippine National Police, Osmeña Boulevard, Camp Sergio Osmeña Sr.",(032) 415 5983,,,
Theft And Robbery Section - Cebu City Police Office,1.0,(2),Government office,"Gorordo Avenue, Camp Cabahug",(035) 233 6703,,,
Non-Uniformed Personnel Administrative Section - Police Regional Office 7,5.0,(1),Government office,"Camp Sergio Osmeña Sr., Osmeña Boulevard",(032) 253 7180,,,
Provincial Investigation And Detective Management - Cebu Provincial Police Office,1.0,(3),Government office,"Doña M Gaisano Street, Barangay Lahug",(032) 256 0118,,,
"Office of the Assistant Regional Director , Region 7 - National Police Commision",5.0,(1),Government office,"210, N. Bacalso Avenue",(032) 261 0226,,,
Inayawan Police Assistance,2.0,(2),Government office,E Sabellano Street,(032) 272 2210,,,
"Discipline, Law And Order Division - Police Regional Office 7",4.2,(6),Government office,"Camp Sergio Osmeña Sr., Osmeña Boulevard",(032) 266 2346,,,
BPSO Brgy. Bakilid Outpost Police,5.0,(1),Local government office,Jaime St,(032) 495 5593,http://pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Consolacion Police Station,5.0,(1),Police station,"old Municipal Hall, M. Pepito St",0998 598 6391,,,
Phil National Police Values Formation Council R7,5.0,(1),Government office,Colon St,(032) 254 3400,,,
Family Juvenile Gender And Sensitivity Section - Police Regional Office 7,3.0,(1),Government office,"Camp Sergio Osmeña Sr., Osmeña Boulevard",(032) 255 7903,,,
City Anti-Illegal Drugs Special Operations Task Group - Cebu City Police Office,3.0,(1),Government office,"Gorordo Avenue, Camp Cabahug",(035) 232 2822,,,
City Of Naga Police Station,4.0,(5),Police station,Karaan Skina Bowangan St,(032) 272 1166,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station,,,Police station,National Highway,(032) 564 2200,http://pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Regional Maritime Office - PNP Cebu,1.0,(1),Government office,"Philippine National Police, Osmeña Boulevard, Camp Sergio Osmeña Sr.",(032) 345 6724,,,
Office of the Municipal Philippine National Police - Municipality of Consolacion,5.0,(1),Government office,"Municipal Hall Building, M. Pepito Street, Consolacion",(032) 346 2847,,,
Police And Tanod Outpost,3.0,(4),Public safety office,Jerusalem Street,(032) 344 1200,,,
Liloan Municipal Police Station,4.0,(1),Government office,Cebu N Rd,(032) 564 2200,https://www.facebook.com/liloanpulis.official,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PNP Regional Retirement And Benefits Administration Unit 7,3.0,(1),Government office,28 Osmeña Blvd,(032) 268 6869,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Regional Communications And Electronics Office - PNP Cebu,3.5,(6),Government office,"Philippine National Police, Osmeña Boulevard, Camp Sergio Osmeña Sr.",(032) 253 2171,,,
City Government of Lapu-Lapu,5.0,(1),Government office,"Lapu-Lapu City Hall, Pusok Road, Barangay Pusok",(032) 340 2994,,,
CITOM,2.2,(9),Local government office,F. Ramos Ext.,(032) 254 9271,http://www.cebucity.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Liloan, Cebu",2.6,(5),Police station,Central Nautical Hwy,(032) 253 7180,,,
Regional Health Service Medical - PNP Cebu,1.0,(3),Government office,"Philippine National Police, Osmeña Boulevard, Camp Sergio Osmeña Sr.",(032) 233 5614,,,
Marigondon Fire Station,5.0,(1),Fire station,,(032) 261 0226,,,
Cebu Filipino-Chinese Volunteer Fire Brigade,5.0,(1),Fire station,,(032) 254 0200,,,
Toledo City Police Department,4.2,(6),Traffic police station,Poblacion Bato Block 2 Rd,(032) 322 5166,,,
Punta Princesa Barangay Hall,3.4,(5),Local government office,"L3, Punta Princesa Multi-Purpose Bldg, Tres de Abril St",(032) 236 3974,,,
San Fernando Municipal Police Station,4.5,(2),Government office,"National Highway, San Fernando",(032) 255 2636,,,
Buenavista Police Station,5.0,(1),Police station,Bohol Circumferential Rd,(032) 254 3400,,,
Mactan-Cebu International Airport Authority (MCIAA),2.8,(49),Government office,Lapu-Lapu Airport Rd,(032) 340 0228,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Danao City Police Station,5.0,(1),Police station,Central Nautical Hwy,(035) 232 2822,http://www.danaocitypolicestation.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pardo Market Vendors Multi Purpose Cooperative,4.0,(1),Association or organization,Pardo,(032) 416 4595,,,
Danao Police Station,3.0,(2),Police department,National Road,0943 458 7634,http://www.danaocitypolicestation.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCSU 7 Building,5.0,(1),Government office,,2544096,,,
Balamban Municipal Police Station,5.0,(1),Police department,"Barangay Poblacion, Bus Terminal Road",(032) 333 2190,,,
Police station 3,3.0,(4),State police,Legaspi St,(032) 344 1200,,,
BJMP,4.0,(1),Prison,Maghaway Road,(032) 564 2200,http://www.bjmp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Inabanga Municipal Police Station,3.0,(1),Police department,"Inabanga Municipal Hall, Inabanga",(038) 512 9141,,,
Mandaue City Jail,5.0,(2),Prison,J.M.Ceniza,(032) 253 2171,http://www.bjmp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Carcar City Police Station,4.0,(1),Police station,P. Vasquez Street,(032) 487 8886,,,
Mandaue City Police Office Police Station 3,2.2,(9),,,(032) 254 9271,,,
PNP-Regional Anti-Cybercrime Office 7,5.0,(2),Government office,"10°19'50. 123°53'37.0""E, 7th St",(032) 253 7180,,,
Lapu Lapu City Police Office,1.0,(3),State police,"Site, City Hall Tennis Court",(032) 233 5614,,,
Buenavista Municipal Police Station,5.0,(1),Government office,"Buenavista Municipal Hall, Buenavista",0998 598 6407,http://buenavistabohol.gov.ph/?page_id=344,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CARBON Police Station-5,5.0,(2),Corporate office,51 M. C. Briones St,2548635,,,
Carcar Municipal Police Station,4.2,(6),Government office,Natalio B. Bacalso South National Highway,(032) 266 9191,,,
Talibon Police Station,1.0,(1),Police department,Zamora St,(032) 236 3974,,,
National Police Commission (Napolcom 7),5.0,(4),,Natalio B. Bacalso Ave,(032) 418 5117,http://www.napolcom.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Municipal Police Department,5.0,(1),Government office,"Carmen Municipal Hall, Central Nautical Highway, 6005",(032) 429 9029,,,
701st Maritime Police Precinct,2.8,(49),,"Pier 5, Port Area, Cebu City, Cebu",(032) 340 0228,,,
Tubigon PNP Station,5.0,(1),Police department,,(035) 232 2822,,,
Bureau of Fire Protection - Regional Office VII,4.2,(5),Government office,Natalio B. Bacalso Ave,(032) 254 8385,,,
701st Maritime Police Station,3.5,(2),,"CPA Building, Pier 6, Port Area, Cebu City, Cebu",(032) 234 6009,,,
Cebu City Government Traffic Operations Management - Office of the Traffic Director,2.0,(1),Government office,N. Bacalso Avenue,(032) 255 1409,,,
City Traffic Management System,5.0,(1),Government office,Unnamed Road,(032) 333 2190,,,
Commission on Election - Region VII - Cebu,5.0,(5),Government office,"Capitol Annex Building, Provincial Capitol Cebu City, Don Gil Garcia Street, Cebu",(032) 253 2163,https://www.comelec.gov.ph/?r=ContactInformation/FieldOffices/CityMunicipalOffices/region7offices,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu City Public Safety Company,4.0,(1),District government office,Gorordo Ave,(032) 233 0202,,,
Mandaue City Police Office Headquarters,3.0,(1),State police,A. Soriano Ave,(032) 344 1200,,,
Cebu City Hall,4.1,(9),City government office,1 Dr Jose P. Rizal St,(032) 411 0100,http://www.cebucity.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Linao-Lipata Barangay Hall,3.7,(3),Local government office,Natalio Bacalso National Highway,(032) 272 4541,,,
Cebu Provincial Police Office - Headquarters CPPO Commet,2.2,(9),School,C. Arellano Boulevard,0918 827 7600,,,
Department of The Interior and Local Government DILG,5.0,(1),Government office,,(032) 253 7180,,,
Cebu City Health Department,3.0,(32),City government office,General Maxilom Ave Ext,(032) 232 1527,https://www.cebucity.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Department of Health Region 7,3.9,(14),Public health department,Osmeña Blvd,(032) 418 7123,https://ro7.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sudlon I Barangay Hall,3.7,(3),Local government office,,(032) 262 5940,,,
Tipolo Barangay Council Hall,4.0,(2),Local government office,Basubas,(032) 345 4200,https://www.mandauecity.gov.ph/about/barangays/tipolo,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
DILG,1.0,(1),Local government office,Zamora St,(032) 422 8696,,,
PDEA RO VII,2.5,(4),Regional government office,Doña Modesta Gaisano St,(032) 418 5117,,,
Dilg Office,5.0,(2),City government office,Pusok Highway,(032) 429 9029,http://www.dilg.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Quiot Barangay Hall,3.7,(3),Local government office,"Quiot, Pardo, Cebu City, Cebu",(032) 272 2210,,,
Korean Consulate in Cebu,4.7,(26),Foreign consulate,"12F Chinabank Corporate Center, Samar Loop",(032) 231 1516,http://overseas.mofa.go.kr/ph-cebu-ko/index.do,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tejero Barangay Hall,4.0,(2),Local government office,T. Padilla,(032) 260 1764,http://www.cebucity.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Commision on Elections - Liloan (Cebu) Office,3.5,(2),Government office,"Grnd Floor, Municipal Hall, Poblacion, Liloan, Cebu",(032) 424 9507,,,
Almer's General Merchandise,4.0,(5),Police supply store,"Asuncion Bldg, 52 Gorordo Ave",(032) 516 6862,,,
Moalboal Municipal Police Station,4.3,(3),Police station,National Hwy,(032) 474 8205,http://pnp-pro7.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bureau Of Customs Port Of Cebu,4.2,(5),Government office,"CIP Complex, Pier 6, NRA, Osmena Blvd",(032) 350 3219,http://customs.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Opao Elementary School,4.0,(1),Public school,R.A Ouano. St,(032) 349 2004,,,
Philippine National Police - Police Regional Office 7,3.0,(1),,"PNP PRO7 RHQ Camp Sergio Osmeña Senior, Osmeña Boulevard, Cebu City, 6000, Cebu",0917 629 9444,,,
Toñing's Clothier,3.6,(20),Police supply store,Sanciangko St,(032) 255 2936,,,
Mandaue City Police Office Service Cooperative,3.7,(3),Bank,M.C. Briones Street,(032) 420 2993,,,
"(DENR) Environmental Management Bureau - Region 7 (Central Visayas), Mandaue City, Cebu",5.0,(6),Government office,,(032) 345 3905,http://www.emb7-denr.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Provincial Police Office - Provincial Mobile Group,5.0,(1),School,C. Arellano Boulevard,0918 827 7601,,,
"Armed Forces and Police Savings & Loan Association, Inc.",5.0,(3),Loan agency,#4 Molave St,(032) 233 6507,,,
