section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3,section-result-description
University Of The Visayas - Maritime College Office,5.0,(3),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 7884,http://uv.edu.ph/college-of-maritime-education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 10:00 am,
University of Cebu - Human Resource Department,4.6,(34),University,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
Southwestern University - Nursing Office,1.0,(1),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 418 7278,,,,,
University of the Visayas - Mandaue Campus,4.4,(5),Private university,"225 Plaridel Street, Mandaue City, 6014, Cebu",Temporarily closed,(032) 346 0941,https://www.finduniversity.ph/universities/university-of-the-visayas-mandaue-campus/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
University of the Philippines Cebu,3.9,(7),Public university,"UP Campus Gorordo Ave., Lahug Cebu City Cebu",Temporarily closed,(032) 231 3086,http://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of Southern Philippines Foundation - Mabini Campus,4.8,(4),Private university,P. Burgos St,Temporarily closed,(032) 414 8773,,,,,
University of the Visayas - Pardo Campus,4.5,(4),Private university,E Sabellano Street,Temporarily closed,(032) 273 1914,http://universityofthevisayas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Clinic Office - University of San Carlos Main Campus,4.4,(53),College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,,,
University of San Carlos - The Library System,4.3,(7),College,"University of San Carlos, P. del Rosario Street",Temporarily closed,(032) 254 9385,http://www.library.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Visayas - Registrars Office,5.0,(3),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 256 2630,https://www.universityofthevisayas.com/p/contact-us.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
University of Philippines Visayas,4.0,(1),Private university,Mandaue City 6014,Temporarily closed,(032) 232 8222,,,,,
University Of San Carlos Inter-fraternity And Sorority Council,2.3,(3),Private university,"Nasipit, Talamban 6000",Temporarily closed,(032) 344 3801,,,,,
Cebu Technological University - Main,2.0,(1),University,,Temporarily closed,(032) 256 2172,,,,,
University Of San Jose Recoletos,1.0,(1),College,P. Lopez Street,Temporarily closed,(032) 253 7920,http://usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of Cebu School of Medicine,5.0,(2),Medical school,,Temporarily closed,(032) 232 1525,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of San Jose Recoletos,4.7,(3),Private university,Natalio B. Bacalso Ave,Temporarily closed,(032) 253 7900,http://usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Library Undergraduate Office - Cebu Normal University,4.6,(44),University,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 253 4018,,,,,
University of the Visayas - Minglanilla Campus,4.3,(6),Private university,"Minglanilla, 6046",Temporarily closed,(032) 272 6824,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Visayas,5.0,(3),University,"University Of The Visayas, Gullas Drive, Gov. M. Cuenco Ave.",Temporarily closed,(032) 416 1539,http://www.universityofthevisayas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of San Carlos - Alumni Affairs,5.0,(7),University,P. del Rosario Street,Temporarily closed,(032) 253 5495,,,,,
University of Cebu - Nautical Campus,5.0,(3),Private university,,Temporarily closed,(032) 416 7884,,,,Opens at 10:00 am,
University Of The Visayas - Graduate Studies,4.6,(34),University,"University Of The Visayas, Colon Street",Temporarily closed,(032) 253 5061,,,,,
Office of the University Clinic - Southwestern University,1.0,(1),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 415 5555,,,,,
Alumni Affairs Office - Cebu Institute Of Technology University,5.0,(1),College,"Cebu Institute Of Technology, N Bacalso Avenue",Temporarily closed,(032) 505 6303,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
Academic Directors Office,3.9,(7),University,"University Of Cebu - Banilad Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 231 8621,,,,,
University of Cebu - Banilad Campus,4.0,(39),School,6000 Gov. M. Cuenco Ave,Temporarily closed,(032) 233 8116,https://www.finduniversity.ph/universities/university-of-cebu-banilad-campus/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Visayas - Accounting Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 253 4384,https://www.universityofthevisayas.com/p/school-directory.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
"Review University for Nurses, Inc.",4.4,(53),University,313-15,Temporarily closed,(032) 253 4433,http://www.reviewuniversityfornurses.com/Review-University-for-Nurses/Locations.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Southwestern University - Graduate School Office,4.3,(7),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 255 5370,,,,,
Asessment - University of San Carlos,5.0,(3),College,"University of San Carlos, Junquera Street, corner Pantaleon Del Rosario Street",Temporarily closed,(032) 253 1000,,,,Open until 9:00 pm,
University Of The Visayas - Student Development Programs And Services Office,4.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 7892,,,,,
Southwestern University PHINMA,3.0,(6),Private university,A Tormis St,Temporarily closed,(032) 255 6229,,,,,
CAS Department - Southwestern University,2.0,(1),University,"Southwestern University, J. Urgello St",Temporarily closed,(032) 415 5555,,,,,
Southwestern University PHINMA,4.0,(4),Private university,"-, Urgello",Temporarily closed,(032) 253 7920,,,,,
Vice President For Academics Office - Cebu Normal University,5.0,(2),University,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 254 0067,,,,,
Department of Business Administration - University of San Carlos,4.7,(3),College,"School of Business and Economics, University of San Carlos, Downtown Campus, Pantaleon del Rosario Street",Temporarily closed,(032) 253 1000,,,,,
Registrar Office - University Of Cebu - Mambaling Campus,4.6,(44),University,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 262 8888,,,,,
College Of Allied Engineering Office - University Of Cebu Main Campus,4.0,(1),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
University Of The Visayas - Presidents Office,5.0,(2),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 255 2561,,,,,
University of the Visayas - Minglanilla Campus,5.0,(2),Private university,Natalio B. Bacalso S National Hwy,Temporarily closed,(032) 487 8170,,,,,
Faculty Office,5.0,(3),University,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 262 8888,,,,Opens at 10:00 am,
University of the Philippines Cebu,4.6,(34),University,Gorordo Ave,Temporarily closed,(032) 232 8187,http://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Visayas - College Of Criminal Justice Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 253 6413,,,,,
Southwestern University - Pharmacy Office,5.0,(1),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 416 4904,,,,Open until 9:00 pm,
Office of the President - Cebu Normal University,3.9,(7),University,Osmeña Boulevard,Temporarily closed,(032) 253 9611,http://cnu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of Cebu - Chancellor’s Secretary,4.0,(39),University,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 0655,,,,,
Scholarship Office - University Of Cebu Main Campus,5.0,(1),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
College Of Nursing,4.4,(53),Nursing school,"University Of The Visayas, Gullas Dr. Gov. M Cuenco Ave",Temporarily closed,(032) 346 9292,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Accounting Office - Cebu Normal University,4.3,(7),University,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 253 8072,http://www.cnu.edu.ph/accounting-office/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Southwestern University - Physical Science Office,5.0,(3),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 272 1563,,,,Open until 9:00 pm,
University Of The Visayas - College Of Engineering And Architecture Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 8212,,,,,
Legal Office,3.0,(6),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 254 7826,,,,,
Athletics Office - University of San Jose-Recoletos Basak Campus,2.0,(1),College,"University of San Jose-Recoletos Basak Campus, Cebu South Road",Temporarily closed,(032) 272 8966,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of the Visayas Lapu-Lapu,5.0,(3),Private university,Punta Engaño Rd,Temporarily closed,0926 338 5084,http://www.universityofthevisayas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Visayas - Budget Office,5.0,(2),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 8226,,,,,
Southwestern University - Medicine Office,4.7,(3),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 255 6469,,,,,
CAS Accreditation Room - Cebu Normal University,4.6,(44),University,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 253 7915,http://cnu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of San Carlos - Department of Hospitality Management,4.0,(1),College,Pantaleon del Rosario Street,Temporarily closed,(032) 253 1000,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
UC Council Of Presidents Office,5.0,(2),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
University Of The Visayas - Guidance Services Office,5.0,(2),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 253 6875,,,,,
Physical Education Faculty Room - University of San Carlos,5.0,(3),College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 230 0100,,,,Opens at 10:00 am,
Planning and Development Office - University of San Carlos Main Campus,4.6,(34),College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,,,
Southwestern University - Medical Technology Stockroom Office,5.0,(1),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 416 4902,,,,,
Office Of Operator - University Of Cebu Main Campus,5.0,(1),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,Open until 9:00 pm,
Bio Chemistry and Physiology Technician's Room - Cebu Doctor's University,3.9,(7),University,"5th Floor, Cebu Doctor's University, Potenciano Larazzabal Avenue",Temporarily closed,(032) 238 8333,,,,,
University Of The Philippines Cebu (Arts and Sciences Building),4.0,(3),University,"A. S. Bldg., Gorordo Ave",Temporarily closed,(032) 231 3086,https://www.facebook.com/ITSOPhilippines/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
AMA Computer University,5.0,(1),University,,Temporarily closed,(032) 255 7777,,,,,
University Of The Visayas - Security And Control Group Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 254 3171,,,,,
Department of Library and Information Science - University of San Carlos,4.3,(7),College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 253 1000,,,,,
Southwestern University - Realty Office,5.0,(3),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 255 7503,,,,Open until 9:00 pm,
Financial Analyst Office - University of San Carlos Main Campus,5.0,(1),College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,,,
University Of The Visayas - Property Custodian Office,3.0,(6),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 7887,,,,,
University of San Carlos Football Field,5.0,(3),University,,Temporarily closed,(032) 272 8966,,,,,
Human Resource Department Office,5.0,(3),University,"University Of Cebu - Banilad Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 233 8888,,,,,
Southwestern University - Museum Office,5.0,(2),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 253 6500,,,,,
Library For Graduate School - University Of Cebu Main Campus,4.7,(3),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
Department of Philosophy and Religious Education - University of San Carlos,4.6,(44),College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 344 3801,,,,,
Department of Economics - University of San Carlos,4.0,(1),College,"School of Business and Economics, University of San Carlos, Downtown Campus, Pantaleon del Rosario Street",Temporarily closed,(032) 253 1000,,,,,
University of The Visayas College of Medicine,5.0,(1),Medical school,,Temporarily closed,(032) 255 7777,,,,,
BPS Office - Cebu Normal University,5.0,(2),University,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 254 1452,,,,,
University of San Carlos Center for Network Manage,5.0,(3),University,Pantaleon del Rosario St,Temporarily closed,(032) 230 0100,,,,Opens at 10:00 am,
University Of The Visayas - Public Employment Service Office,4.6,(34),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 255 5261,,,,,
Mathematics and Computer Science Chair Office - University of San Carlos Main Campus,5.0,(1),College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,,,
Southwestern University - SSG Office,5.0,(1),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 415 5652,,,,Open until 9:00 pm,
Human Resource Department Office - University Of Cebu - Mambaling Campus,3.9,(7),University,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 262 8888,,,,,
College Of Education Office,4.0,(3),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
Fly High With Indiana Aerospace University,4.0,(1),Flight school,Kagodoy Rd.,Temporarily closed,(032) 255 7777,http://iau.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Visayas - Library Main Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 7858,,,,,
Southwestern University - Treasurer Office,4.3,(7),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 255 2411,,,,,
Elementary Department Office,5.0,(3),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,http://www.uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
Treasury Cash Bursar Office - University of San Carlos Main Campus,5.0,(1),College,"University of San Carlos Main Campus, Junquera Street",Temporarily closed,(032) 253 1000,,,,,
Physics Lab Technician's Room Office - Cebu Doctors University Hospital,3.0,(6),College,"Cebu Doctors University Hospital, Osmeña Boulevard",Temporarily closed,(032) 238 8333,,,,,
UC - Maritime Education & Training Center,4.4,(10),Private university,Alumnos St,Temporarily closed,(032) 262 8888,,,,,
Cordova Public College,5.0,(3),University,"Cordova, Poblacion, 6017",Temporarily closed,(032) 494 1410,,,,,
Marine Transportation Office,5.0,(2),University,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 261 9963,,,,,
Cebu Doctors College of Allied Medical Sciences,4.7,(3),University,,Temporarily closed,(032) 255 7777,,,,,
USP,4.5,(2),University,P. Burgos St,Temporarily closed,(032) 412 1600,http://www.usp.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Ateneo Graduate School of Business - Cebu,4.0,(1),Graduate school,"Cebu Holdings Center, Cardinal Rosales Ave",Temporarily closed,(032) 232 1665,http://gsb.ateneo.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
UP Cebu Professional Schools,5.0,(3),Public university,,Temporarily closed,0927 958 8109,https://up-professional-schools.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Maritime Training Center Office,3.0,(1),University,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 261 3781,,,,,
Biology Office,5.0,(2),College,"University Of San Jose-Recoletos, Magallanes Street",Temporarily closed,(032) 253 7900,,,,Opens at 10:00 am,
Clinic Office,3.3,(4),College,"University of San Jose-Recoletos Basak Campus, Cebu South Road",Temporarily closed,(032) 272 3609,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Architecture Computer Center Director Office,4.3,(22),College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 345 0521,,,,,
Student Affairs Office,5.0,(1),College,"Cebu Doctors University Hospital, Osmeña Boulevard",Temporarily closed,(032) 238 8333,,,,Open until 9:00 pm,
Cebu Technological University - Barili Campus,4.9,(8),Public university,,Temporarily closed,(032) 233 5717,,,,,
Library Office,5.0,(1),College,"University Of The Philippines, Gorordo Avenue, Lahug",Temporarily closed,(032) 232 2642,http://library.upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Grade School Office,4.0,(1),College,"University of San Jose-Recoletos Basak Campus, Cebu South Road",Temporarily closed,(032) 272 8966,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Cebu Normal University - Balamban Campus,3.3,(3),Public university,6041,Temporarily closed,(032) 354 6460,http://www.cnu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Chemical Engineering Chair Office,4.8,(24),College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 344 6783,,,,,
Payroll Fixed Assets Office,5.0,(3),College,"University of San Carlos Main Campus, J. Alcantara St",Temporarily closed,(032) 253 1000,,,,Open until 9:00 pm,
CIT-U Civil Engineering Department,4.0,(2),College,,Temporarily closed,(032) 253 1000,https://www.cit.edu/v6/colleges/engineering-and-architecture/civil-engineering/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Velez College,4.4,(9),College,41 F. Ramos St,Temporarily closed,(032) 253 1871,http://www.velezcollege.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Mr. Jaypee T. Jalandoni,4.7,(23),College,"University of San Carlos, P. del Rosario Street",Temporarily closed,(032) 253 1000,,,,Opens at 8:00 am,
Bohol Island State University,4.5,(17),University,"Engineering Bldg, 0242 C.D.G. North Avenue",Temporarily closed,(038) 412 3289,http://www.bisu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Main Library Office,5.0,(2),College,"Cebu Doctors University Hospital, Osmeña Boulevard",Temporarily closed,(032) 238 8333,,,,,
USC Retreat House,5.0,(2),College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 516 7010,,,,,
CTU -Danao Campus Admin Building,5.0,(1),University,,Temporarily closed,(032) 412 1399,http://www.ctu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Cebu Eastern College,4.4,(24),College,Leon Kilat St,Temporarily closed,(032) 254 2761,,,,,
Asian College Of Technology,3.9,(32),College,Pantaleon del Rosario St,Temporarily closed,(032) 238 2380,http://www.act.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Benedicto College,2.7,(3),College,"Benedicto, A. S. Fortuna St",Temporarily closed,(032) 422 2700,http://www.benedictocollege.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
St. Paul College Foundation Inc. - Bulacao,3.6,(8),College,Cebu S Rd,Temporarily closed,0906 634 0291,,,,Opens at 10:00 am,
University of the Philippines Visayas,4.5,(31),Public university,New Administration Building,Temporarily closed,(033) 315 9494,http://www.up.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Bohol Island State University,4.6,(24),Public university,Carlos P. Garcia Ave,Temporarily closed,(038) 235 4871,http://www.bisu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Bisu - Bilar Campus,4.0,(6),University,,Temporarily closed,(038) 535 9003,http://www.bisu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
University Of The Philippines TACLOBAN COLLEGE,4.0,(4),University,Sto. Niño Street,Temporarily closed,(032) 233 5717,http://up.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Rizwoods Colleges,3.0,(1),College,51 Natalio B. Bacalso Ave,Temporarily closed,(032) 415 5848,https://www.edukasyon.ph/schools/rizwoods-colleges,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Indiana Aerospace University,4.2,(18),School,"Magellan Business Park, Kagudoy Rd., Basak, Lapu-Lapu City, 6015, Cebu",Temporarily closed,(032) 340 0771,http://iau.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
"Southwestern University, School of Medicine",4.5,(68),School,J. Urgello St,Temporarily closed,(032) 416 4680,http://swu.edu.ph/home/schoolofmedicine,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
College of Science and Mathematics,5.0,(1),University,UP Mindanao,Temporarily closed,(082) 293 0303,http://upmin.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Cebu Doctors University,5.0,(3),School,E.O. Perez,Temporarily closed,(032) 253 1000,http://www.cebudoctorsuniversity.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
University of the Philippines Los Baños,4.6,(165),Public university,Pedro R. Sandoval Ave,Temporarily closed,(049) 536 2928,http://uplb.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
