section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Alumni Affairs Office - Cebu Institute Of Technology University,5.0,(1),College,"Cebu Institute Of Technology, N Bacalso Avenue",Temporarily closed,(032) 505 6303,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Charlene Kathryn Traces,5.0,(3),College,"Cebu Technological University, M. J. Cuenco Avenue",Temporarily closed,(032) 412 1400,http://www.ctu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu State College Of Science & Technology,2.3,(3),College,M J Cuenco Avenue,Temporarily closed,(032) 256 1181,,,
CAP College Cebu,4.1,(8),College,Osmeña Blvd,Closed today,(032) 418 7378,http://www.capcow.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cordova Public College,4.4,(9),University,"Cordova, Poblacion, 6017",Temporarily closed,(032) 494 1410,,,
Baptist Theological College/Cebu Graduate School of Theology,4.6,(9),College,910 A. S. Fortuna St,Temporarily closed,(032) 345 0148,http://btccgst.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University Of The Visayas - College of Arts and Sciences,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 253 7885,,,
Asian College Learning Center,2.7,(3),College,M. C. Briones St,Temporarily closed,(032) 422 2700,,,
Britech Interface College,2.9,(9),University,,Temporarily closed,(032) 416 7705,,,
"Saint Theresa's College, College Guidance Office",4.0,(7),College,"Saint Theresa's College, Juan Osmeña Street, Ramon Aboitiz Street",Temporarily closed,(032) 253 0257,,,
College Secretary's Office And Registrar,3.9,(32),College,"University Of The Philippines, Gorordo Avenue, Lahug",Temporarily closed,(032) 233 0337,,,
Faculty Office,4.8,(8),College,"College Of Technological Sciences, Natalio Bacalso Avenue",Temporarily closed,(032) 256 1303,,,
UV Gullas College of Medicine,4.7,(23),College,"Banilad, Mandaue City, 6014, Cebu, Philippines",Closed,0943 232 6157,http://uvgullascollegeofmedicine.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Paul College Foundation Inc. - Bulacao,3.6,(8),College,Cebu S Rd,Temporarily closed,0906 634 0291,,,
Britech College,4.7,(6),School,"Angelica Bldg, Osmeña Blvd",Temporarily closed,(032) 254 2688,http://fb.com/britechcollegeinc,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Benedicto College,3.9,(8),Private college,,Temporarily closed,(032) 344 9320,http://www.benedictocollege.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University Of The Visayas - Maritime College Office,5.0,(3),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 7884,http://uv.edu.ph/college-of-maritime-education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College of Optometry Southwestern University,4.0,(8),School,,Temporarily closed,(032) 233 8888,,,
Optometry College Office,,,College,"Cebu Doctors University Hospital, Gov. M Roa Street",Temporarily closed,(032) 238 8333,,,
Benedicto College Techinical-Vocational Bldg,3.0,(6),College,"A. S. Fortuna Street, corner Herces Drive",Temporarily closed,(032) 344 9320,http://johnreytepacia.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Benedicto College,5.0,(1),College,,Temporarily closed,(032) 505 6303,,,
St. Theresa's College - High School Guidance Office,5.0,(3),College,"St. Theresa's College, Juana Osmeña Street",Temporarily closed,(032) 256 2851,,,
Department of Philosophy and Religious Education - University of San Carlos,2.3,(3),College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 344 3801,,,
"Matias H. Aznar Memorial College of Medicine, Inc.",4.0,(5),Medical school,"MHAM Bldg, R. Duterte St",Temporarily closed,(032) 418 7378,http://www.mham.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Don Bosco Technical College,4.7,(43),College,Pleasant Homes Subdivision,Temporarily closed,(032) 273 1127,http://www.dbtc-cebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College Of Dentistry,3.0,(1),Dental school,"University Of The Visayas, Gillas Drive Gov. M. Cuenco Ave",Temporarily closed,(032) 346 9292,http://www.universityofthevisayas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Visayan Nazarene Bible College,5.0,(1),College,St. Marys Drive,Temporarily closed,(032) 231 2812,http://www.facebook.com/Visayan-Nazarene-Bible-College-125922684096283,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Saint Theresa's College, High School Faculty Room",2.7,(3),College,"Saint Theresa's College, Juan Osmeña Street, Ramon Aboitiz Street",Temporarily closed,(032) 255 2645,,,
"St. Cecilia's College - Cebu, Inc.",4.4,(14),Catholic school,Natalio B. Bacalso S National Hwy,Temporarily closed,(032) 490 8511,http://stceciliascollegeedu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salazar Colleges of Science and Institute of Technology,3.9,(15),College,Natalio B. Bacalso Ave,Temporarily closed,(032) 261 3036,http://www.scsit.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Golden Success College,4.8,(6),Private school,Singson Rd,Temporarily closed,(032) 261 8210,http://www.golden-success.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Saint Theresa's College, College Accounting Office",4.8,(8),College,"Saint Theresa's College, Juan Osmeña Street, Ramon Aboitiz Street",Temporarily closed,(032) 253 6351,,,
Cebu Mary Immaculate College,4.7,(23),College,Singson St,Temporarily closed,0943 232 6157,,,
College Of Occupational Theraphy,3.6,(8),Medical school,F. Ramos Street,Temporarily closed,(032) 253 1871,http://www.velezcollege.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University Of The Visayas - College of Dentistry,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 345 2178,http://uv.edu.ph/college-of-dentistry/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Informatics,3.9,(8),College,"C.L. Benedicto Building, J. De Veyra St. North Reclamation Area",Temporarily closed,(032) 231 0380,http://www.informatics.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University of The Visayas College of Medicine,5.0,(1),Medical school,,Temporarily closed,(032) 416 7884,,,
St. Paul College,5.0,(2),University,National Highway,Temporarily closed,(032) 272 2985,,,
"St. Paul College Foundation, Inc.",2.7,(3),School,F. Ramos St,Temporarily closed,(032) 417 3845,,,
St. Theresa's College - Main Library Office,3.0,(6),College,"St. Theresa's College, Juana Osmeña Street",Temporarily closed,(032) 253 8758,,,
University Of The Visayas - College Of Engineering And Architecture Office,5.0,(1),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 8212,,,
Department of Library and Information Science - University of San Carlos,5.0,(3),College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 253 1000,,,
Asessment - University of San Carlos,2.3,(3),College,"University of San Carlos, Junquera Street, corner Pantaleon Del Rosario Street",Temporarily closed,(032) 253 1000,,,
Visayan Nazarene Bible College,4.4,(9),Private college,Montebello Site Saint's Mary's Drive,Temporarily closed,(032) 231 2812,http://www.vnbc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mandaue College,4.7,(43),University,,Temporarily closed,(032) 273 1127,,,
Mary's Children Formation College,4.0,(3),School,South Boundary,Temporarily closed,(032) 273 1423,,,
Lincoln College of Global Standard Education Incorporated,5.0,(1),College,"J. Panis Street, Kasambagan Banilad",Temporarily closed,(032) 414 7979,,,
Evangelical Theological College Of The Philippines Incorporated,2.7,(3),College,R Duterte Street,Temporarily closed,(032) 254 0070,,,
Future Australia IELTS Expert and Language College,4.4,(14),College,"Unit 100, 10Floor, Center, Samar Loop, Bo. Luz",Temporarily closed,(032) 232 4343,,,
Human Resource And Guidance Office,3.9,(15),College,"College Of Technological Sciences, Natalio Bacalso Avenue",Temporarily closed,(032) 256 1303,,,
Southwestern University PHINMA - College Of Management And Accountancy,4.8,(6),School,,Temporarily closed,(032) 261 8210,,,
Clinic Office,4.8,(8),College,"University of San Jose-Recoletos Basak Campus, Cebu South Road",Temporarily closed,(032) 272 3609,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Saint Theresa's College, College Parent’s Council Office",4.7,(23),College,"Saint Theresa's College, Juan Osmeña Street, Ramon Aboitiz Street",Temporarily closed,(032) 256 0756,,,
College Library Office,3.6,(8),Public school,"University Of Cebu - Lapulapu And Mandaue, AC Cortes Avenue",Temporarily closed,(032) 345 6666,,,
Cebu Mary Immaculate College,5.0,(1),College,Highway 2,Temporarily closed,(032) 345 2178,,,
College of Criminology - University of Cebu,3.9,(8),School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
Divine Mercy Computer Science,5.0,(1),College,"3rd Floor Tanchan Building, Colon Street, Parian",Temporarily closed,(032) 412 1075,,,
Immanuel Bible College,5.0,(2),Religious school,R. Duterte St,Temporarily closed,(032) 255 4965,https://www.facebook.com/ImmanuelBibleCollege/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Benedecto college,2.7,(3),School,B. Benedicto St,Temporarily closed,(032) 417 3845,,,
Student Affairs Office,3.0,(6),College,"Cebu Doctors University Hospital, Osmeña Boulevard",Temporarily closed,(032) 238 8333,,,
Saint Louis College-Cebu Junior High School Department,5.0,(1),School,"M.D Echavez , Sudlon",Temporarily closed,(032) 416 8212,,,
STI College - Cebu,3.0,(2),School,"Salinas Dr.,Lahug, Cebu City 6000",Temporarily closed,(032) 231 4984,http://www.sti.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College of Commerce - University of Cebu,2.3,(3),School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
Royal Oaks International School/ Larmen De Guia Memorial College,3.0,(1),School,,Temporarily closed,(032) 420 2186,,,
San Roque College de Cebu-East Campus,5.0,(1),School,Gabi Rd,Temporarily closed,2367662,,,
Regent Pacific College,4.2,(5),School,Agus Proper,Temporarily closed,(032) 495 2326,https://www.facebook.com/pages/Regent-Pacific-College/413442345414443,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Evangelical Theological College Of The Philippines, Inc.",4.8,(6),School,"ETCP Campus, R. Duterte St",Temporarily closed,(032) 254 0259,http://www.facebook.com/ETCPOFFICIAL,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Theresa's College - Pick Up/Drop Off,4.8,(4),High school,General Maxilom Ave,Temporarily closed,(032) 255 3891,http://www.stccebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Normal College,4.4,(14),University,,Temporarily closed,(032) 232 4343,,,
Southwestern University PHINMA- College Of Pharmacy,4.0,(1),School,,Temporarily closed,(032) 256 1303,,,
Cebu Polytechnic College,5.0,(1),University,,Temporarily closed,(032) 261 8210,,,
Cebu Learning Center Mainstream Inc.,4.8,(8),College,#80 Apitong St,Temporarily closed,(032) 231 0599,,,
College Of Customs Administration Office,4.7,(23),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 253 3342,,,
Gullas College of Medicine,4.4,(84),Medical school,,Closed,(032) 416 1539,https://gcm.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mathematics and Computer Science Chair Office - University of San Carlos Main Campus,5.0,(1),College,"University of San Carlos Main Campus, P. Del Rosario Street",Temporarily closed,(032) 253 1000,,,
Central Visayas Study Center,3.9,(8),College,"University Of The Philippines, Gorordo Avenue, Lahug",Temporarily closed,(032) 233 2642,,,
University of San Carlos School of Law and Governance College of Law,5.0,(1),Law school,"Law Building Pelaez, Corner Sanciangko St",Temporarily closed,0908 880 4675,http://usclaw80.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College of Arts and Sciences - University of Cebu,5.0,(2),School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
Best English as a Second Language Academy,2.7,(3),College,"Luym Building, 124 Plaridel Street",Temporarily closed,(032) 412 3545,http://tesdatrainingcourses.com/best-english-as-a-second-language-academy-cebu-course.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CPA Review Center Office,3.0,(6),College,"University Of San Jose-Recoletos, Magallanes Street",Temporarily closed,(032) 253 7900,,,
San Carlos Seminary College,3.0,(2),School,,Temporarily closed,(032) 416 8212,,,
St. Louis College - Cebu Back Gate,5.0,(3),School,,Temporarily closed,(032) 231 4984,,,
Cebu Doctors College of Allied Medical Sciences,2.3,(3),University,,Temporarily closed,(032) 255 7777,,,
Daughters Of Mary Help Of Christians,3.0,(1),College,Francisco Llamas St,Temporarily closed,(032) 262 1250,,,
CIT-U Mining Engineering Department,5.0,(1),College,,Temporarily closed,2367662,,,
University of the Philippines Cebu,4.6,(47),Public university,,Temporarily closed,(032) 232 2642,https://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Informatics Institute,5.0,(1),College,National Highway Road,Temporarily closed,(032) 564 3559,http://informatics.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
First English Global College,3.9,(14),School,,Temporarily closed,(032) 255 3891,http://www.firstenglish.jp/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dentistry College Office,4.4,(14),High school,"Cebu Doctors University Hospital, Osmeña Boulevard",Temporarily closed,(032) 238 8333,,,
Benedicto College,2.0,(1),School,B. Benedicto St,Temporarily closed,(032) 256 1303,,,
CBD College,5.0,(1),School,F. Jaca St,Temporarily closed,(032) 417 3373,https://m.facebook.com/CBDC1991/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College Of Computer Studies Office - University Of Cebu Main Campus,4.8,(8),University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
Velez College Gym,4.7,(23),School,29 A. R. Villanueva St,Temporarily closed,(032) 253 3342,http://www.velezcollege.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Bible College,5.0,(1),Religious school,"Poblacion Talamban, Cebu City 6000",Temporarily closed,(032) 343 9370,,,
Southwestern University College Of Dentistry,5.0,(1),School,A Tormis St,Temporarily closed,(032) 253 1000,,,
College Of Computer Engineering Office,3.9,(8),Public school,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
"AMA Computer College, Cebu Campus",5.0,(1),University,Sapphire St,Temporarily closed,0908 880 4675,,,
Cebu Institute of Medicine,4.8,(4),University,41 F. Ramos St,Temporarily closed,(032) 253 6887,http://cim.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Paul College Foundation-Mandaue,4.0,(1),School,"Highway, Maguikay",Temporarily closed,(032) 412 3545,http://www.spcfi.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ACLC College Mandaue,3.6,(7),University,M. C. Briones St,Temporarily closed,(032) 345 1237,http://aclc-mandaue.site50.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu City Medical Center - College of Nursing,5.0,(1),School,,Temporarily closed,(032) 416 8212,,,
Registrar College - University of Cebu,5.0,(3),School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
st. theresas college,2.3,(3),School,"Maral Realty, Inc. Cabilan Bldg., 79 B. Rodriguez St",Temporarily closed,(032) 255 7777,,,
Asian College of Technology - International Educational Foundation - Cyber Tower 2,3.0,(1),Private school,J. Alcantara St,Temporarily closed,(032) 262 1250,,,
San Carlos Seminary College,4.7,(11),Seminary,Pope John Paul II Ave,Closed,(032) 232 8503,https://scsccebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College Of Maritime Office,4.6,(47),Public school,"University Of Cebu - Lapulapu And Mandaue, AC Cortes Avenue",Temporarily closed,(032) 345 6666,,,
Southwestern University - Realty Office,5.0,(1),College,"Southwestern University, J. Urgello St",Temporarily closed,(032) 255 7503,,,
Cebu Mary Immaculate College,2.0,(1),University,Archbishop Reyes Avenue,Temporarily closed,(032) 255 3891,,,
Living Word Christian Development Center Incorporated,4.4,(14),College,"20, Saint Lawrence Street, La Guardia",Temporarily closed,(032) 233 9572,,,
College of the Immaculate Conception,4.1,(7),High school,Mt. Manunggal Street,Temporarily closed,(032) 345 8300,,,
University of Cebu College of Customs Administration,5.0,(1),University,Sanciangko St,Temporarily closed,(032) 417 3373,,,
College Assurance Plan Philippines Inc,4.8,(8),Public school,Pres. Osmeña Boulevard,Temporarily closed,(032) 253 7840,,,
Rogationist Seminary College,3.0,(2),School,St John St,Temporarily closed,(032) 272 0947,,,
"Southwestern University, School of Medicine",4.5,(68),School,J. Urgello St,Temporarily closed,(032) 416 4680,http://swu.edu.ph/home/schoolofmedicine,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Sacred Heart College,5.0,(1),School,,Temporarily closed,(032) 253 1000,,,
Larmen De Guia Memorial College,3.0,(2),School,Basak-Sisi-Agus Rd,Temporarily closed,(032) 328 4044,https://www.facebook.com/Larmen-de-Guia-Memorial-College-508584089211560/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Institute of Medicine,4.8,(24),Medical school,F. Ramos Street,Temporarily closed,(032) 253 6891,http://cim.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Bible Baptist College Cebu City, Katipunan",5.0,(3),School,55 Katipunan St,Temporarily closed,0922 963 1110,,,
Cebu Union Theological College,4.0,(1),School,,Temporarily closed,(032) 412 3545,,,
San Francisco College of Technology and Design,3.6,(7),School,1543 Basak-Marigondon Rd,Temporarily closed,(032) 345 1237,,,
Mactan Benito Ebuen Air Base Elementary School,3.0,(4),Elementary school,"Brigadier General Benito N. Ebuen Air Base, Opon - Airport - Sangri Rd",Temporarily closed,(032) 340 8046,,,
St.Therese College Cebu City,5.0,(3),School,st.mark hotel,Temporarily closed,(032) 255 7777,,,
Ama Computer Learning Center Island,2.3,(3),College,M C Briones Street,Temporarily closed,(032) 422 0018,,,
Cebu International Distance Education College,3.0,(2),Private school,22280 Juan Seno Street,Temporarily closed,(032) 419 1084,https://www.cidec.education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Don Bosco Technology Center Incorporated - College Faculty,4.7,(11),School,"Don Bosco Technology Center, Buhisan Road, Pleasant Homes Subdivision, Punta Princesa",Temporarily closed,(032) 272 0974,,,
Tojong College,2.0,(1),University,Babag-Looc Road,Temporarily closed,0933 201 4669,,,
Cebu Foursquare Bible College,5.0,(2),Religious school,115 Fr. Rahmann St.,Temporarily closed,0942 545 4091,,,
Guidance College Office - University of Cebu,2.0,(1),School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
Proverbs Ville College Foundation,4.4,(14),School,A. Tumulak St,Temporarily closed,(032) 233 9572,,,
St Alfonso's Catholic College,4.1,(7),School,,Temporarily closed,(032) 345 8300,,,
Innovative Technological College of the Philippines,5.0,(1),Computer training school,R. Larrobis Bldg,Temporarily closed,(032) 239 5543,https://innotecheduc.000webhostapp.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Immanuel Theological College,4.8,(8),School,,Temporarily closed,(032) 253 7840,,,
Matthias H. Aznar Memorial College Of Medicine,3.0,(2),School,Queen's Rd,Temporarily closed,(032) 272 0947,,,
Cordova Public College,4.3,(4),Public school,M.L. Quezon National Highway,Temporarily closed,(032) 416 4680,,,
The Village by JGVill,5.0,(1),Residential college,Unnamed Road,Temporarily closed,(032) 253 1000,,,
