section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-info 2,section-result-location,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
CEBU IVY EDUCATION CENTER,5.0,(1),English language school,Temporarily closed,(032) 238 9302,"Miñoza St., Brgy. Tigbao Talamban Rd Cebu City 6000",http://www.cebuivyedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
QPMPC CENTCOM LEARNING CENTER,5.0,(2),School,Temporarily closed,(032) 340 7453,Camp Lapu-Lapu Rd,,,
Discovery Camp Early Learning Center,5.0,(2),Preparatory school,Temporarily closed,(032) 232 3450,,,,
Cebu International Distance Education College (CIDEC),5.0,(3),Distance learning center,Closed today,0929 515 1991,22280 Juan Seno Street,https://www.cidec.education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Stephanie Montessori Educational Center,,,School,Temporarily closed,,Caltex Road,,,
Philinter Education Center,,,Education center,Temporarily closed,(032) 340 7453,"Brgy. Mustang, ML National Highway",https://philinterschool.com/lien-he/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AGANTALK English Learning Center Inc.,,,School,Temporarily closed,0918 906 2285,Queen's Rd,,,
Philinter Education Center,,,Education center,Temporarily closed,(032) 340 7453,"Brgy. Mustang, ML National Highway",https://philinterschool.com/lien-he/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Clare Learning Center,,,Private school,Temporarily closed,(032) 424 8396,East Binabao,,,
Brgy Mactan Community Learning Center,,,Education center,Temporarily closed,,M.L. Quezon National Highway,,,
English Language Learning Center,5.0,(1),School,Temporarily closed,0918 906 2285,,,,
Cebu Learning Center Mainstream Inc.,3.0,(2),School,Temporarily closed,(032) 266 2599,"Angeles Du Compound, Redemptorist Road, Queens road,",http://www.cebulearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Franzine Learning Center,inc.",4.0,(1),School,Temporarily closed,(032) 505 2715,Tabay Mabao,,,
maranatha learning center,5.0,(4),School,Temporarily closed,(032) 416 0030,,,,
Philinter Education Center (JELAI),4.4,(42),English language school,Temporarily closed,(032) 340 7453,"Philinter Academy Mustang, Ceniza St",http://philinter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tutelage Learning Center,5.0,(2),School,Temporarily closed,(032) 490 4662,Lower Pakigne,https://web.facebook.com/asktutelage/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Indiana Learning Center/ Indiana High School,5.0,(1),High school,Temporarily closed,(032) 384 8858,"IAU Town Center, Basak",,,
Gillesania Engineering Review Center - Tisa Branch,5.0,(1),Education center,Temporarily closed,(032) 414 4248,,http://gertcrev.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sto.Nino Smart Child Learning Center,4.0,(1),Religious school,Temporarily closed,0939 373 8190,Blk17 Lot1 Velpal1,https://www.facebook.com/snsclcminglanilla/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Young Homes Learning Center, Inc.",4.0,(6),School,Temporarily closed,(032) 236 1727,L. Flores St,,,
Nazarene Christian Learning Center Cebu,5.0,(1),Religious school,Temporarily closed,(032) 253 1557,Good Shepherd Rd,http://www.facebook.com/pages/Nazarene-Christian-Learning-Center/344617365681596,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Childlink Learning Center,4.7,(14),Private school,Temporarily closed,(032) 253 7783,"Zodiacville Englic, 530 V Rama Ave",http://www.childlink.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Saint Anne Learning Center Of Mandaue, Inc.",5.0,(2),School,Temporarily closed,(032) 232 3450,Pakna-An Highway,http://www.facebook.com/SALC404582,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Paul Learning Center Inc.,5.0,(5),School,Temporarily closed,(032) 254 2905,Don Gervacio Quijada St,,,
Indiana Learning Center,5.0,(2),College,Temporarily closed,(032) 495 6886,"AU Town Center, Basak Road",http://iau.com.ph/basic-education/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Babag ALS Community Learning Center,,,Education center,Temporarily closed,(032) 340 7453,,,,
Holy Child Learning Center,,,School,Temporarily closed,(032) 421 1013,L. Jayme St,,,
Cebu Learning Center Mainstream Inc.,,,College,Temporarily closed,(032) 231 0599,#80 Apitong St,,,
Compman Talisay,,,Education center,Temporarily closed,0942 301 3934,,,,
Destiny Christian Learning Center,,,School,Temporarily closed,,"Shalom Compound, 6015 C.Y. Potot St",,,
Asian College Learning Center,5.0,(1),College,Temporarily closed,0918 906 2285,M. C. Briones St,,,
Compman Mambaling,3.0,(2),Education center,Temporarily closed,0956 907 9939,,,,
AMA Computer Learning Center,5.0,(1),Computer training school,Temporarily closed,(032) 253 0467,"2nd Floor, Angelica Building, Osmena Boulevard",,,
Webville Children's Learning Center,5.0,(4),Public school,Temporarily closed,(032) 490 9254,Natalio B. Bacalso South National Highway,,,
Joy In Full Christian Learning Center,5.0,(2),School,Temporarily closed,(032) 340 7453,Pkk5,,,
Mega Review,5.0,(4),Education center,Temporarily closed,(032) 254 9967,202 Pres Osmena Blvd,,,
Asian Learning Center,5.0,(1),School,Temporarily closed,(032) 340 1068,"Lopez - Jaena St, Corner dela Serna St",http://www.asianlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Asian Learning Center,4.7,(3),School,Temporarily closed,(032) 505 0717,"Opon-Airport-Sangi Rd., Lapu-Lapu City, 6015, Cebu",http://www.asianlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Asian Learning Center,4.0,(1),High school,Temporarily closed,(032) 341 1250,Pajac Street,,,
"The Englishtests Expert - IELTS, TOEFL, PTE, OET Review Center - Cebu Branch",4.0,(6),Education center,Temporarily closed,0998 165 1871,"Unit 207B JRM Building, Osmeña Blvd",http://englishtestsexpert.co.uk/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mt Sinai Learning Center Incorporated,5.0,(1),College,Temporarily closed,(032) 416 2622,"G M Cuenco Avenue, Banilad",,,
Little Dominic Learning Center,4.7,(14),Montessori school,Temporarily closed,(032) 253 7783,F B Cabahug,,,
Javasphere Computer Learning Center Incorporated,5.0,(2),Computer training school,Temporarily closed,(032) 412 6292,Gen Maxilom Avenue,,,
Rainbow Learning Center,5.0,(5),School,Temporarily closed,(032) 254 2905,A. Lopez St,,,
"SEED Childhood Education And Learning Center, Inc",3.0,(2),Learning center,Temporarily closed,(032) 490 4485,Sta. Crus,https://www.facebook.com/pages/SEED-Childhood-Education-and-Learning-Center-Inc/164500880389952,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Compman LM,,,Education center,Temporarily closed,0999 863 1497,,https://www.facebook.com/CompMan-Lapulapu-Mandaue-LM,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rainbow Connection Child Learning Center,4.8,(4),School,Temporarily closed,(032) 344 6248,29 E Sabellano Street,,,
Thrice Admirable Learning Center,,,School,Temporarily closed,(032) 260 2554,Canjulao 1st,http://www.facebook.com/Thrice-Admirable-Children-Learning-Center-TACLC-624424414320075/info/?tab=overview,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
N2R Development Learning Center,,,School,Temporarily closed,0942 301 3934,"JKT Building, Central Nautical Hwy",,,
International Gospel Learning Center Montessori,,,School,Temporarily closed,,III-3 Purok 8 Camputhaw,,,
CompMan Cebu,5.0,(1),Education center,Temporarily closed,0917 307 2483,,https://www.facebook.com/compman.cebu/?hc_ref=ARSrvfqYxZYu367uHWGYlQonDDi4WkBUyAx0iKOxyw9cV_MBchj8eMJ-C8bYiMgLJDU&fref=nf,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sherann Learnig Center Inc,3.0,(2),School,Closed today,(032) 266 2797,70 B Tabada St,,,
MTI Holy Child Learning Center Foundation Incorporated,5.0,(2),School,Temporarily closed,(032) 344 2048,"Mantech, Subangdaku, Mandaue City, 6014, Cebu",https://www.facebook.com/MTI-Holy-Child-Learning-Center-Foundation-Inc-SpEd-Department-187250814669404/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
MGV Learning Center,5.0,(4),University,Temporarily closed,(032) 236 9776,"Cesar's Foodland Bldg, Banilad-Talamban Flyover",,,
Abundant Grace Learning Center,5.0,(2),School,Temporarily closed,(032) 340 7453,A. Gabuya St,,,
AIM-C Bright Gem Learning Center,5.0,(1),School,Temporarily closed,(032) 254 9967,,,,
Daisy V. Oaminal Learning Center (DVOLC),5.0,(1),School,Temporarily closed,(032) 340 1068,Third Street,,,
Curious Minds Learning Center,4.7,(3),Preschool,Temporarily closed,(032) 324 4956,"Block 11, Lot 23 Deca homes 5, Basak-Sudtunggan Rd",https://www.facebook.com/pg/CMLCLapuLapuCity/about/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Abundant Grace Learning Center, Inc.",4.0,(1),School,Temporarily closed,(032) 261 0791,"Bonbonan St., A. Lopez Ext., Labangon, Cebu City",,,
Compman Plaza Independencia,5.0,(2),Education center,Temporarily closed,0917 734 5545,,,,
"Jamaica Sabrina Learning Center, Inc.",1.0,(2),School,Temporarily closed,(032) 512 6005,1333 Mahayahay,,,
Kai Exz Learning Center,4.7,(14),School,Temporarily closed,(032) 495 2276,Lupa,https://kai-exz-learning-center.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Therese Learning Center,5.0,(2),Public school,Temporarily closed,(032) 272 0568,Lagtang,,,
CBRC Mandaue,5.0,(5),Education center,Temporarily closed,0998 956 6044,"3rd flr. Grand Arcade Building, A. C. Cortes Ave",https://www.facebook.com/CBRCmandauecebubranch,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sto. Niño Smart Child Learning Center,4.0,(1),School,Temporarily closed,(032) 272 4856,Peace,https://www.facebook.com/snsclcminglanilla/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Genevieve Learning Center,5.0,(1),College,Temporarily closed,(032) 420 6864,"7th Street, Dona Rosario Village, Labogon",,,
Tierra Grande Learning Center,4.5,(2),School center,Temporarily closed,(032) 491 4811,"Phase 2 Block 9 Lot 74 Brillo Street, Lawaan, Camella Homes, Talisay City, 6045, Cebu",,,
Asian Learning Center,,,School,Temporarily closed,(032) 260 2554,,,,
Wonderland Learning Center,2.0,(1),School,Temporarily closed,0942 301 3934,,,,
CCL CentrEx Inc.,,,School,Temporarily closed,,Mangubat St.,http://www.cclcentrex.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Clare Learning Center,5.0,(1),Private school,Temporarily closed,(032) 424 1167,"-, Tayud",,,
The Bosconian Odyssey,3.0,(2),School center,Closed today,(032) 266 2797,,,,
Saint Nicholas Maritime Review & Coffee House - Talisay City Cebu,5.0,(3),Education center,Temporarily closed,(032) 517 2786,"C-203 South Agora, San Isidro Road",,,
MAC Learning Center Cebu,5.0,(4),School,Temporarily closed,(032) 511 0385,"Urban Deca, Tisa,",http://maclearningcentercebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ama Computer Learning Center Island,5.0,(2),College,Temporarily closed,(032) 422 0018,M C Briones Street,,,
DUYAN Learning Center - Mactan Arts Academy,3.4,(7),Art school,Temporarily closed,(032) 340 8589,M.L. Quezon National Highway,http://duyanacademy.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Anthony Montessori Learning Center,4.0,(5),Montessori school,Temporarily closed,(032) 416 0161,Bontuyan,https://www.facebook.com/Saint-Anthonys-Montessori-Learning-Center-225072644187227/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Duyan Learning Center-Mactan Arts Academy,4.7,(3),School,Temporarily closed,(032) 342 0977,,http://duyanacademy.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Maribago Young Achievers Learning Center,4.0,(1),Kindergarten,Temporarily closed,0943 255 1113,Bagumbayan 1,,,
Tutelage Supplemental Learning Center,5.0,(2),High school,Temporarily closed,(032) 232 3818,"Juan Luna Avenue, Mabolo",,,
Asian Learning Center,5.0,(1),School,Temporarily closed,(032) 512 6005,Pajac Sulod Road,http://www.asianlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Gentle Childcare Learning Center,5.0,(2),Elementary school,Temporarily closed,(032) 418 3511,160 Tupas St,https://gentlechildcare.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
THRICE ADMIRABLE CHILDREN LEARNING CENTER,5.0,(2),School,Temporarily closed,(032) 513 1559,,,,
ATS Learning Center - Cebu,5.0,(5),School,Temporarily closed,(032) 402 0423,B. Rodriguez St,https://ph.drakeintl.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Padre Ludovico Learning Center,4.5,(2),Seminary,Temporarily closed,(032) 272 4856,Nangka St,,,
Knowledge Garden Learning Center,5.0,(1),School,Temporarily closed,(032) 233 3091,Coast Pacific Rd,,,
Saint Dominic Savio Learning Center,4.5,(2),High school,Temporarily closed,(032) 340 0061,"365 Opon-Airport-Sangi Road, Pajo",,,
Cebu Music Learning Center-Banawa,5.0,(2),Music school,Temporarily closed,0922 888 5086,"B1 One Pavilion Mall, Banawa",http://www.cebumusic.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CIE British School - Cebu,3.2,(20),School,Temporarily closed,(032) 233 2577,Pres. Magsaysay St,http://www.cie.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Shalom Day Care,,,School center,Closed today,,C.Y. Potot St,,,
Childworks Learning Center,5.0,(1),Private school,Temporarily closed,(032) 421 2009,"1102 M.L. Quezon National Highway, Pajo, Lapu-Lapu City, 6015, Cebu",,,
Risen Lord,3.0,(2),School center,Closed today,(032) 266 2797,Villa Bulsita,,,
Cebu Languages ESL School- English Study Center- IELTS- TOEIC- Business English- Tour Philippines,4.3,(4),English language school,Temporarily closed,0917 501 3286,"Hadsan Cove Resort, Agus",http://www.cebulanguages.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pope John Paul II Achievement and Learning Center,5.0,(2),School,Temporarily closed,(032) 420 6864,7th St,,,
Archbishop Camomot Learning Center,5.0,(1),School,Temporarily closed,(032) 422 0018,,,,
Rainbow Connection Child Learning Center,4.0,(5),School,Temporarily closed,(032) 414 3953,"44B E. Sabellano St., Punta Princesa, Cebu City, Cebu",,,
Edulinks Learning Center,4.0,(5),School,Temporarily closed,(032) 416 0161,,,,
Kids Daycare and after School Center,4.7,(3),Preschool,Temporarily closed,(032) 261 9564,,,,
Destiny Christian Learning Center,1.0,(1),Private school,Temporarily closed,(032) 402 0371,"Shalom Compound, B. Benedicto St.",,,
Asian Learning Center,5.0,(2),School,Temporarily closed,(032) 505 0717,Fuentes Rd,http://www.asianlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pen and Play Learning Center,5.0,(1),Montessori school,Temporarily closed,0915 942 7248,Canjulao 2nd,,,
Jules Chevalier Music Learning Center,5.0,(2),Music school,Temporarily closed,0933 635 4131,,https://www.facebook.com/JCMusicMinistryOfficial/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Villamor Learning Center Incorporated,5.0,(1),University,Temporarily closed,(032) 340 3851,Quezon National Highway,,,
Tutelage Learning Center,5.0,(2),Learning center,Temporarily closed,(032) 232 3818,Edros Rd,https://web.facebook.com/asktutelage/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mind Stretchers Learning Center,4.5,(2),Educational consultant,Temporarily closed,0920 973 8242,"10 Martinez Compound, Juana Osmeña Extension",,,
Young Homes Learning Center,5.0,(1),Preschool,Temporarily closed,(032) 511 1488,L. Flores St,,,
Paraclete Learning Center,4.0,(1),Elementary school,Temporarily closed,(032) 564 2494,"Pitogo Bridge, Cebu N Rd",https://www.facebook.com/Paracletian/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Kids Learning Center,5.0,(2),Learning center,Temporarily closed,(032) 268 0636,39-D P. Laurel St. Villa Aurora Subd,http://www.klcschools.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bethel Kiddie Development Learning Center Incorporated,3.2,(20),Elementary school,Temporarily closed,(032) 340 6849,"Gun-ob, 3343 Street",,,
Ama Computer Learning Center Island,,,School,Temporarily closed,(032) 254 7150,Osmeña Boulevard,,,
"King Jedidiah Christian Learning Center, Inc.",5.0,(1),School,Temporarily closed,(032) 513 5967,359 Canjulao 1st,,,
Pen And Play Learning Center (New),5.0,(1),School,Temporarily closed,(032) 266 2797,3343 Kinalumsan,,,
Marc Agape Christian Learning Center Inc.,4.3,(4),School,Temporarily closed,(063) 420 4394,,https://www.facebook.com/marc.agape.1,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Music Learning Center,5.0,(1),Learning center,Temporarily closed,0922 821 6068,"2nd Floor, Gov. M. Cuenco Ave",http://www.cebumusic.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BEN Language Center Cebu,5.0,(1),School,Temporarily closed,(032) 238 4653,,http://www.blc-cebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Bible Seminary,4.5,(2),School,Temporarily closed,(032) 273 2506,"63 Zone 2 Hollow Block Street, San Isidro, Talisay City, 6045, Cebu",,,
Ever Done Learning Center,4.0,(5),Learning center,Temporarily closed,(032) 262 7922,Bayabas St,,,
Exceed Learning Center High Sch. Dept.,4.7,(3),School,Temporarily closed,(032) 261 9564,,,,
Ballet Center Inc.,4.4,(8),Ballet school,Temporarily closed,(032) 232 2958,"Suite 302, 3rd Level, Ayala Center, Cebu City, Cebu",http://www.balletcentercebucity.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Abundant Grace Learning Center,5.0,(2),Learning center,Temporarily closed,(032) 239 5981,55 F F. Jaca St,,,
Cleverlearn Caregiver Training Center,4.3,(4),Learning center,Temporarily closed,(032) 495 9955,"Cleverlearn Residences, Saac II,",http://www.celicg.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Great Children's Learning Hub,5.0,(1),Learning center,Temporarily closed,(032) 253 5871,"One Pavilion Mall, 22 R. Duterte St, Banawa",,,
College Of Education Office,5.0,(1),College,Temporarily closed,(032) 417 9512,"University of San Jose-Recoletos Basak Campus, Cebu South Road",http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Asian Learning Center,4.0,(2),Learning center,Temporarily closed,(032) 232 3818,Sangi Rd,,,
Child Development Center -Cebu,4.5,(2),School,Temporarily closed,(032) 233 2555,168 Pres. Magsaysay St,http://www.cie.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UP Cebu Alumni Office,3.0,(1),School center,Temporarily closed,(032) 511 1488,,,,
"Gopher Wood Learning Center, Inc.",4.0,(4),School,Temporarily closed,(032) 417 5074,,,,
Saint Angelo Learning Center,5.0,(1),Private school,Temporarily closed,(032) 316 5305,Central Nautical Highway,,,
Saint Anthony 's Learning Center,3.2,(20),Learning center,Temporarily closed,(032) 273 0522,769 Jose Rizal St,,,
Lipata National High School (SPED Center),4.5,(2),School,Temporarily closed,(032) 267 4472,Natalio B. Bacalso S National Hwy,,,
KJMS Study Center,5.0,(1),Learning center,Temporarily closed,0933 168 3837,"DMR Building, J. Alcantara St",,,
Our Lady of Joy Learning Center,5.0,(1),School,Temporarily closed,(032) 423 3690,"Jugan, Consolacion",,,
Sigzada International Language Learning Center Philippines Inc.,4.3,(4),Language school,Temporarily closed,(032) 260 2254,"Krizia Building, Gonzales Compound, Gorordo Avenue",,,
"Josrika Computer Training Center,inc.",5.0,(1),Computer training school,Temporarily closed,(032) 505 5122,"Colonnade Mall Briante, Colon St",,,
King Of Zion Christian Learning Center Inc.,5.0,(1),Primary school,Temporarily closed,(032) 238 4653,Central Nautical Hwy,,,
"Exceed Learning Center, Naga Cebu, Inc.",3.8,(4),School,Temporarily closed,(032) 273 4072,"-, South Poblacion NAGA Cebu",,,
Gopher Wood Learning Center,3.0,(2),Elementary school,Temporarily closed,(032) 417 5074,Talamban Rd,,,
Eye Level,4.7,(3),Learning center,Temporarily closed,(032) 236 7800,"Chatswood Bldg, H. Cortes St. Cor A.S Fortuna St.",http://www.myeyelevel.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Globalization ESL Center Inc.,3.7,(10),School,Temporarily closed,(032) 462 5013,,http://www.cebucg.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Yellow Kids Center for Arts,5.0,(2),School,Temporarily closed,(032) 318 6483,494 M.L. Quezon National Highway,,,
Living World Christian,4.3,(4),Private school,Temporarily closed,(032) 261 5566,Good Shepherd St,,,
BIOS Training & Assessment Center,3.0,(1),School,Temporarily closed,0923 337 3777,"Room 208 Conchita Building, Osmeña Blvd",https://www.facebook.com/BIOS.TESDA,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Click 1n1,5.0,(1),Learning center,Temporarily closed,(032) 525 2542,Osmeña Blvd,http://edu.click1n1edu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mother Serafina Learning Center Sister of the Angels,4.0,(2),Learning center,Temporarily closed,(032) 345 9622,A. C. Cortes Ave,,,
Franciscan Sisters Of Saint Elizabeth And Padre Ludovicos Learning Center,4.5,(2),Learning center,Temporarily closed,(032) 262 0480,893-D Nangka St,,,
Grolier In Home Learning Expert,3.0,(1),Learning center,Temporarily closed,(032) 511 1488,SM,http://www.grolier-asia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SMEAG 3rd Campus | CAPITAL,4.7,(70),School,Temporarily closed,(032) 520 9208,Emilio Osmeña St,http://www.smenglish.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
