section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
Dentist Cebu - Cendana Dental Clinic - Dr. Karen Lee Cendana,5.0,(1),Dentist,"Ganson Olan Bldg, Francisco Llamas St",Closing soon: 6:00 pm,(032) 520 2440,Closed,,,,,,
Cebu Smiles Dentistry,5.0,(12),Dental clinic,"SM Seaside City, 3rd Floor, Mountainwing, Cebu",Open until 9:00 pm,(032) 410 7522,,,,,,,
Dental Clinic Dr. Aileen Daclan Atillo Dentist,,,Dental clinic,Cardinal Rosales Ave,,(032) 232 1922,,,,,,,
Serrie Bacus Restauro.M.D,,,Pediatric dentist,San Isidro Road,Closing soon: 6:00 pm,(032) 513 5295,,,,,,,
Lalit M. Villamor Dentist,,,Dental clinic,Pelaez St,,(032) 256 0446,,,,,,,
Dr. Oliver L. Seno,4.0,(1),Dentist,110 Gorordo Ave,,(032) 318 8002,,,,,,,
Dr. Nonito Narvasa Dentist,,,Dentist,"210, Krizia Building, 110 Gorordo Ave",,0917 627 3328,,,,,,,
Dental Clinic,5.0,(1),Dental clinic,Gov. M. Cuenco Ave,,(032) 415 9421,,,,,,,
HBS FAMILY DENTAL CLINIC,2.3,(3),Dental clinic,"F. Cabahug corner H. Cortes Streets, Subangdaku",Opens at 9:00 am,0922 693 3055,Closed,,,,,,
Dental Fix Clinic,,,Dentist,"Gov. M. Cuenco Ave, Nasipit Road",Opens at 9:00 am,0917 133 2725,Closed,,,,,,
Sparklane Dental Clinic,3.7,(3),Dental clinic,9 Molave St,,(032) 360 0667,,,,,,,
Dr. John Sidney S. Ricamora,5.0,(2),Dental clinic,"Room 416, Robinsons Cybergate Mall,( Fuente Osmena Circle ), Don Gil Garcia St",Opens at 9:30 am,(032) 254 9013,Closed,,,,"""excellent service!! friendly approach   handsome",dentist,""""
One Nadela Dental Lounge,5.0,(12),Cosmetic dentist,"2nd Floor, MLC building, M.J Cuenco avenue",Open until 8:00 pm,0917 162 1710,Temporarily closed,,,,,,
Bonsol Dental Clinic,5.0,(2),Dental clinic,Gov. M. Cuenco Ave,Opens at 9:00 am,(032) 416 1027,Closed,,,,"""",Dentist,"is great ..."""
Metro Dental,1.7,(6),Dental clinic,"2nd Floor, SM City Cebu, Juan Luna Avenue Extension",Open until 9:00 pm,(02) 8548 4788,,https://www.metrodental.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Du Baguio Dental Clinic,,,Dental clinic,Basak-Marigondon Rd,,(032) 236 7810,,,,,,,
Catan Dental Care,4.3,(11),Dental clinic,"Unit 1-B JAB Commercial Center A.S., A. S. Fortuna St",Opens at 9:00 am,(032) 236 5012,Closed,http://www.facebook.com/pages/Catan-Dental-Care/175040772545953,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The last one was really difficult: Six hours and three",dentists,"."""
Borromeo Dental Clinic,4.5,(8),Dental clinic,96 F. Ramos St,Closing soon: 6:00 pm,(032) 266 7368,,https://www.whatclinic.com/dentists/philippines/cebu-city/borromeo-dental-clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Finding a",dentist,is easy. But finding the right and beautiful
Doctor White Dental Clinic,4.7,(6),Dental clinic,"South Town Centre, South Road National Highway",,0925 502 4500,,,,,,,
Affinity Dental Clinics Cebu,4.6,(41),Dental clinic,"eBloc 2 Tower, G/F,Lahug IT Park, W Geonzon St",Open until 7:00 pm,0917 632 5718,,http://www.affinitydentalclinics.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentist,"that fix my front teeth is really good and have a sweet ..."""
North Dental Clinic SM Seaside,4.4,(5),Dental clinic,,Open until 9:00 pm,0932 128 3689,Closed,,,,,,
The Dental Hub,5.0,(1),Dental clinic,"Dona Carmen Building, Governor Cuenco Avenue",Open until 9:00 pm,(032) 261 4928,,https://www.facebook.com/The-Dental-Hub-513071558775484/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dental Clinic-Mactan,5.0,(6),Dental clinic,"Muñoz Building, Ground floor, Maximo V. Patalinghug Jr. Avenue",,0922 820 2935,Temporarily closed,http://fb.me/dentalclinicmactan,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dental Land,5.0,(1),Dental clinic,"PL1B Basement 1, Ayala Center Cebu, Cardinal Rosales Avenue, Cebu Business Park",Closing soon: 6:00 pm,(032) 412 0841,,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Jimenez Dental Clinic,,,Dental clinic,NGA Building Pueblo Verde Mepz 2,(032) 256 0446,,,,,,,,
Comfort Dental by RMO,4.0,(1),Dental clinic,Sanciangko St,Closing soon: 6:00 pm,(032) 262 3062,,,,,,,
Dental Innovations,4.6,(7),Dental clinic,Queen's Rd,Closing soon: 6:00 pm,(032) 236 6165,,https://www.facebook.com/dentalinnovationscebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Bite Solutions Dental Clinic Cebu,4.3,(15),Dental clinic,"2nd Floor of Mango Square Mall, General Maxilom Ave",Closing soon: 6:00 pm,(032) 412 6865,,https://www.bitesolutions.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentist,"is very patient, efficient and a real expert in her field."""
Tropique Dental Clinic,5.0,(1),Dental clinic,,Closing soon: 6:00 pm,(032) 266 9211,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dental One Center,5.0,(6),Dental clinic,"Gaisano Country Mall, Banilad",Opens at 9:00 am,(032) 416 2999,Closed,,,,"""Troy friendly he may be most gentle , painless",dentist,"I've ever been ..."""
OPLE-TUMULAK DENTAL CLINIC,4.2,(5),Dental clinic,860 Punta Rizal,Closing soon: 5:30 pm,(032) 340 8196,,https://opletumulakdental.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The Place is just OK, nice",dentists,"and crew, nice place affordable ..."""
Estrera Dental Clinic,5.0,(17),Dental clinic,Katipunan St,Open until 7:00 pm,0933 191 6488,Closed,https://www.facebook.com/pages/Estrera-Dental-Clinic/679390085501459,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Affordable dental service and a very good",dentist,"too."""
Amor Dental Clinic,4.6,(18),Dental clinic,"2nd Floor J Centre Mall, 250 A. S. Fortuna St",Closing soon: 6:00 pm,(032) 346 9824,Temporarily closed,,,,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Tooth Bubble Dental Care,4.3,(21),Dental clinic,"Park Mall, Ouano Drive",Opens at 9:00 am,(032) 343 0130,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Abella dental care clinic,5.0,(4),Dental clinic,Ompad St,Closing soon: 6:00 pm,(02) 8548 4788,,,,,"""",Dentist,"has feather-hands that you won't feel she's cleaning your ..."""
Empuerto Dental Clinic,3.7,(3),Dental clinic,M.L. Quezon National Highway,,(02) 8342 9171,,,,,,,
Dr. Jo Anne Rivera Dental Clinic,4.3,(11),Dental clinic,"6014, 1047 Hernan Cortes St",Opens at 9:00 am,(032) 238 5182,Closed,,,,"""The last one was really difficult: Six hours and three",dentists,"."""
Dentaland,3.5,(8),Dental clinic,"ayala center cebu, Cebu Business Park, Archbishop Reyes Ave",Open until 10:00 pm,(032) 412 0841,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Dr.Cynthia Gayatin,5.0,(3),Dental clinic,LK BUILDING,Opens at 8:00 am,0925 502 4500,Closed,http://ph.near-place.com/dr-cynthia-gayatin-lk-building-subangdaku-mandaue-city,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Flores Dental Clinic,4.5,(15),Dental clinic,"JL Building, Don Jose Avila St. corner Don Gil Garcia St, 6000 Osmeña Blvd",Closing soon: 6:00 pm,(032) 505 7697,,https://dentalimplantholiday.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""i met this",dentist,"earlier ."""
Dental Box,5.0,(3),Dental clinic,2580 Tres Borces Padres St,Open until 9:00 pm,0932 247 9722,Closed,,,,,,
Dr. Selina Joy C. Cortes,5.0,(1),Dental clinic,"College Of Dentistry, University Of Visayas, Colon Street",Open until 9:00 pm,(032) 345 2178,,,,,,,
Tabunok Clinica Dentista,5.0,(6),Dental clinic,Rafael Rabaya Rd,,(032) 491 7041,Temporarily closed,,,,,,
Dental City Center For Smile,5.0,(3),Dental clinic,"I 1, Jose Maria del Mar St",Open until 6:30 pm,(032) 232 9080,,https://www.facebook.com/Dental-City-Center-for-Smile-540600619402475/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Fano Dental Clinic And Laboratory,5.0,(6),Dental clinic,35-B J. Urgello St,Closing soon: 6:00 pm,(032) 253 5677,,,,,"""The first",dentist,"who put that temporary filling made my tooth crazy (I ..."""
Abrenilla Dental Clinic,3.4,(5),Dental clinic,S. Osmeña Street,Closing soon: 6:00 pm,(032) 495 9004,,https://all-opening-hours.ph/0449345/Abrenilla_Dental_Clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I like the",dentist,"who attended to my sisters."""
GINGOYON DENTAL CARE CLINIC,3.7,(3),Dental clinic,"2197 Sangi road, Punta Rizal, Pajo, Lapu-Lapu City, Cebu",Open until 7:00 pm,(032) 340 1079,,,,,,,
Smile Designs Dental Spa,4.8,(17),Dental clinic,"Sm, 2nd floor the Northwing",Open until 9:00 pm,(032) 238 9603,,https://www.facebook.com/pages/Smile-Designs-Dental-Spa/186613594721841,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Cendaña Dental Clinic,4.0,(4),Dental clinic,"Ganzon-Olan Bldg, Francisco Llamas St",Closing soon: 6:00 pm,(032) 520 2440,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dental Box,1.0,(1),Dental clinic,Looc,Opens at 9:00 am,0932 562 6649,Closed,http://www.facebook.com/Dental-Box-300058103412401,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Troy friendly he may be most gentle , painless",dentist,"I've ever been ..."""
Niñal Dental Clinic,2.2,(15),Dental clinic,Urgello St.,Opens at 8:30 am,(032) 253 7861,Closed,https://www.facebook.com/pages/Ni%C3%B1al-Dental-Clinic/540655485998778,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentists,"are very accommodating while being very professional."""
Uykingtian Dental Clinic,5.0,(17),Dental clinic,"Rm. 210, Chong Hua Medical Arts Center, J. Llorente St., Cebu City",Open until 7:00 pm,(032) 256 3562,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Healthworks A&D Advance Dental Centre,5.0,(1),Dental clinic,"2nd Floor 2/F Gaisano Fiesta Mall, Cebu S Rd",Open until 7:00 pm,0922 219 1708,Temporarily closed,,,,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Acas Dental Clinic,5.0,(3),Dental clinic,"Cebu Appliance Center, National Highway",Opens at 9:00 am,(032) 491 7386,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Josephine Dental Clinic Sangi Road,5.0,(2),Dental clinic,sangi road,Closing soon: 6:00 pm,(032) 238 7724,,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
Supreme Oral Care Dental Clinic,3.7,(3),Dental clinic,Katipunan St,,0933 989 4468,,,,,,,
Manubagdental Gaisano Mactan Branch,5.0,(4),Dental clinic,"Gaisano Mactan Island Mall Lower Ground, M.L. Quezon National Highway",Open until 7:00 pm,(032) 341 4605,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Dr. Fatima Menguito,3.5,(8),Dental clinic,"Pusok Road, Barangay Pusok",Open until 10:00 pm,(032) 341 8779,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Teqdent Oral Care,3.0,(3),Dental clinic,"Grand Mall, Basak-Sisi-Agus Rd.",Opens at 8:00 am,(032) 494 0801,Closed,,,,,,
Manliguez Dental Clinic,4.0,(2),Dental clinic,Natalio B. Bacalso,Closing soon: 6:00 pm,0936 340 2224,,,,,"""i met this",dentist,"earlier ."""
Family,5.0,(1),Dental clinic,Gov. M. Cuenco Ave,Open until 9:00 pm,(032) 345 8720,Closed,,,,,,
Cebu Dental Care Center,4.8,(36),Dental clinic,"Unit 13, St. Patrick’s Square R Aboitiz St",Closing soon: 6:00 pm,(032) 253 3206,,http://cebudentalcare.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
DentSpec,3.4,(5),Dental clinic,"SM City Cebu Juan Luna Ave Cor Cabahug And, Kaohsiung St",Closing soon: 6:00 pm,(032) 232 5682,Temporarily closed,http://dentspec.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cabahug Dental Office,5.0,(3),Dental clinic,"Building, Cebu Filipino-Chinese Chamber of Commerce, Room 2, J Don Julio Llorente St",Opens at 9:00 am,0920 948 6711,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
GAOC - Gan Advanced Osseointegration Center,4.5,(16),Dental clinic,"3rd Floor, SM Seaside City, SRP Mambaling Rd Cor CSCR",Closing soon: 6:00 pm,0917 825 4262,Temporarily closed,http://www.gaocdental.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Indistinguishable from a good",dentist,"in USA."""
EVARDO DENTAL CLINIC,3.4,(5),Dental clinic,"208 Chong Hua Medical Arts Center, J. Llorente St",Closing soon: 5:30 pm,(032) 253 2300,,,,,"""I like the",dentist,"who attended to my sisters."""
Dr. Aleena Marie D. Ricaplaza Dental Clinic,3.7,(3),Dental clinic,"Room 524-525, 5th Floor, SPC Specialty Medical Center, Perpetual Succour Hospital, Gorordo Avenue",Open until 7:00 pm,(032) 232 1176,,,,,,,
Cabrera Dental,4.8,(17),Dental clinic,"Unit 1-8, Z Plaza Bldg, Dionisio Jakosalem St",Open until 5:00 am,(032) 231 0767,,,,,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Chase Dental Corporated,4.0,(4),Dental clinic,Basak,Closing soon: 6:00 pm,(032) 340 9218,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dr. Noel L. Nicol Dental Clinic,5.0,(1),Dental clinic,Poblacion,Opens at 9:00 am,(032) 511 4617,Closed,,,,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Ruflo Dental Clinic,4.8,(11),Dental clinic,"Unit 219, Colon Development Corp. Building, Osmeña Blvd",Open until 7:00 pm,(032) 415 5338,Closed,,,,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Dr. Quennie Manatad,3.2,(5),Dental clinic,"QPM Dental Care, Ground Floor Pueblo Verde Mactan Economic Zone II, Basak-Marigondon Road, Barangay Basak",Open until 7:00 pm,(032) 341 0371,Closed,https://qpmdentalcare.weebly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Affordable dental service and a very good",dentist,"too."""
Culanag Ortho-dental Clinic,5.0,(1),Dental clinic,A. Del Rosario St,Open until 7:00 pm,0932 859 9431,Temporarily closed,https://www.practo.com/cebu-city/clinic/culanag-ortho-dental-clinic-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
FOREVER SMiLE - Alivio Dental Care Clinic,5.0,(3),Dental clinic,434 G Ouano St,Opens at 9:00 am,(032) 328 0764,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
Gonzales Dental Clinic Cebu,5.0,(4),Dental clinic,J.Lhorente Street Fuente Osmeña Chonghua Medical Arts Room 307 Cebu,Closing soon: 6:00 pm,(032) 255 8368,,,,,"""Commend to the",dentist,"for being professional on extracting tooth."""
La Clinica Dental,5.0,(1),Dental clinic,49 F. Cabahug St,Closing soon: 5:30 pm,(032) 238 5219,,,,,,,
Cebu Docor Dental Clinic,3.3,(12),Dental clinic,"Miller Hospital, 400 Tres de Abril St",Open until 7:00 pm,(032) 238 8012,Closed,https://cebudocordental.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Ceniza Medical Dental Clinic,1.0,(1),Dental clinic,"AC Cortes Avenue, corner BB Cabahug Street",Open until 10:00 pm,0922 817 8414,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
CPS Dental Surgery & Implant Centre,5.0,(1),Oral surgeon,"Queen's Road, Redemptorist Drive",Open until 7:00 pm,(032) 324 8804,Closed,http://www.csomfs.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu Dental Implants - Zugbu Aesthetic Dental Clinic,5.0,(8),Dental implants periodontist,"2nd floor , 203, Krizia Blg, Gorordo Ave",Open until 5:00 am,(032) 231 4618,,http://cebudentalimplants.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""i met this",dentist,"earlier ."""
Formentera Dental,5.0,(3),Dental clinic,839-A Gorordo Ave,Open until 9:00 pm,0923 868 7588,Closed,,,,,,
J.B.Yap Dental Clinic,5.0,(3),Dental clinic,"Unit III P 12, 4J Bldg, General Maxilom Ave",Closing soon: 6:00 pm,(032) 254 4945,,https://www.practo.com/cebu-city/clinic/j-b-yap-dental-clinic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Doc Jill's Dental Clinic,5.0,(6),Dental clinic,1029 Natalio B. Bacalso Ave,Closing soon: 5:30 pm,(032) 417 3723,Temporarily closed,,,,,,
Glossy Teeth Dental Care,3.7,(6),Dental clinic,"05, One Pavilion Mall, 22 R. Duterte St",Opens at 9:00 am,(032) 416 3908,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Dentview Dental Clinic,5.0,(1),Dental clinic,F. Cabahug St,Open until 7:00 pm,(063) 512 2493,Temporarily closed,http://dentview-wordpress.comxa.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Indistinguishable from a good",dentist,"in USA."""
RF Dental Clinic,3.4,(5),Dental clinic,Sanciangko St,Closing soon: 6:00 pm,(032) 415 1274,,https://www.facebook.com/RfDentalClinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I like the",dentist,"who attended to my sisters."""
Dr. Rey Anthony Amores,3.7,(3),Dental clinic,"College Of Dentistry, University Of Visayas, Colon Street",Open until 7:00 pm,(032) 345 2178,,,,,,,
Majan Dental Clinic,5.0,(1),Dental clinic,18 General Maxilom Ave,Open until 5:00 am,(032) 233 4760,,,,,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
Jimenez Dental Clinic,4.0,(4),Dental clinic,MV. Patalinghug Jr Ave,Closing soon: 6:00 pm,(032) 260 3416,Closed,,,,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Dr. Grace T. Sang,5.0,(1),Dental clinic,"40, Dimoc Center, Don Gil Garcia Street",Opens at 9:00 am,(032) 412 5050,Closed,,,,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Mary Ann S. Cabrera D.M.B,5.0,(2),Dental clinic,"Unit 219, Cocomall, Osmena Blvd Cor Ma Cristina St",Open until 7:00 pm,(032) 253 7098,Closed,,,,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Candia Dental Clinic,3.2,(5),Dental clinic,"LG, FLB Corporate Center",Open until 9:00 pm,(032) 410 7772,Closed,,,,"""Affordable dental service and a very good",dentist,"too."""
Dr. Sarah Jean Velez,5.0,(1),Dental clinic,"Door 3, Marvel Building, M. J. Cuenco Ave",Open until 7:00 pm,(02) 8232 4137,Temporarily closed,,,,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
AJP Dental Care Clinic Dr. Jennifer Pila-Antivo,5.0,(2),Dental clinic,"Mactan Galleria, Ompad St",Opens at 9:00 am,(032) 513 5197,Closed,,,,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
GAOC (Gan Advanced Osseointegration Center) - SM Seaside Cebu City,3.0,(2),Dental clinic,3/F Seaview Wing SM Seaside Mall,Open until 10:00 pm,0917 840 4262,,http://www.gaocdental.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Commend to the",dentist,"for being professional on extracting tooth."""
Viardo Dental Clinic,5.0,(2),Dental clinic,251 A. Del Rosario St,Closing soon: 5:30 pm,0922 362 7380,,https://nearbyph.com/pages/viardo-dental-clinic/121924,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Tan-Chua Dental Care Clinic,5.0,(2),Dental clinic,"Erlinda Badilles, 481 Kinasang - An",Closing soon: 6:00 pm,(032) 273 3879,Closed,,,,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
Josephine's All Dental Services And Cosmetology Clinic Company,1.0,(4),Dental clinic,# 25 M. Velez St,Open until 10:00 pm,(032) 232 0954,,,,,"""This",Dentist,"was incredible and such a life saver in a ..."""
Dr. Adam Alviar,5.0,(1),Dental clinic,"Eden's Place, Cor. Rosa St & Acacia St",Open until 7:00 pm,(032) 520 1572,Closed,,,,,,
Citydent Inc.,4.2,(5),Dental clinic,"2nd Level, SM Northwing, North Reclamation Area, Mabolo 6000",Open until 9:00 pm,(032) 412 8389,,,,,"""i met this",dentist,"earlier ."""
Dental Clinic,5.0,(3),Dental clinic,Proper,Open until 9:00 pm,(032) 236 3997,Closed,,,,,,
