web-scraper-order,web-scraper-start-url,main,main-href,banner-src,title,contact,reviewer_name,reviewer_date,reviewr_text,reviewer_image-src,pages,pages-href
"1591021052-2554","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Bleachers Barbecue Slow And Low","https://www.yelp.com/biz/bleachers-barbecue-slow-and-low-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/ssWn3ZsnlTCVI3dkpMJBGQ/l.jpg","Bleachers Barbecue Slow And Low","+63-32-3402287","[{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""2/14/2017""}]","","","7","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=180"
"1591021675-3504","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Joed’s Lutong Hapon","https://www.yelp.com/biz/joeds-lutong-hapon-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/eJW02ZFnPR1Td2njtBjPJA/l.jpg","Joed's Lutong Hapon","+63-32-2334041","[{""reviewer_name"":""Bing R.""}]","[{""reviewer_date"":""6/7/2017""}]","","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591021243-2812","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Abaca Baking Company","https://www.yelp.com/biz/abaca-baking-company-cebu-city?osq=Restaurants","","Abaca Baking Company","+63-32-4019387","[{""reviewer_name"":""PatrickJ T.""},{""reviewer_name"":""Caitlin M.""}]","[{""reviewer_date"":""12/24/2019""},{""reviewer_date"":""10/28/2019""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/pPFQbQTGHHXkrJeKo2TA5Q/168s.jpg","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591020847-2234","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Nonki Japanese Restaurant","https://www.yelp.com/biz/nonki-japanese-restaurant-cebu-city?osq=Restaurants","","Nonki Japanese Restaurant","null","[{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""11/8/2015""}]","This is a middle of the road japanese restauranr offering sushi, tempura, and bento boxes. I usually go for the cha soba and one of the sushi dishes.","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021865-3814","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Rica’s","https://www.yelp.com/biz/ricas-cebu-city-4?osq=Restaurants","","Rica's","+63-32-5207516","[{""reviewer_name"":""Elee J.""},{""reviewer_name"":""Marco F.""},{""reviewer_name"":""Amy Z.""},{""reviewer_name"":""Carolyn T.""}]","[{""reviewer_date"":""8/15/2018""},{""reviewer_date"":""12/1/2018""},{""reviewer_date"":""9/13/2015""},{""reviewer_date"":""5/28/2017""}]","Eclectic in style - Rica is one of he restaurants you can sleep on - but don't. If you are in the area, or not...don't skip it on your trip.","","2","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=30"
"1591021488-3232","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Ice Castle","https://www.yelp.com/biz/ice-castle-cebu-city-2?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/tNSC59gBT2XfRjNQGLZqgA/o.jpg","Ice Castle","+63-32-4158060","[{""reviewer_name"":""Ideru C.""}]","[{""reviewer_date"":""12/25/2018""}]","","","4","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=90"
"1591020869-2274","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Washoku J","https://www.yelp.com/biz/washoku-j-banilad?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/SDD48-dnnxhe6Kuj5_gqkQ/l.jpg","Washoku J","+63-917-7736026","[{""reviewer_name"":""Cynthia Q.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""john b.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""5/31/2018""},{""reviewer_date"":""3/30/2018""},{""reviewer_date"":""5/29/2018""},{""reviewer_date"":""11/27/2015""}]","","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591020869-2282","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Washoku J","https://www.yelp.com/biz/washoku-j-banilad?osq=Restaurants","","Washoku J","+63-917-7736026","[{""reviewer_name"":""Cynthia Q.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""john b.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""5/31/2018""},{""reviewer_date"":""3/30/2018""},{""reviewer_date"":""5/29/2018""},{""reviewer_date"":""11/27/2015""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/J6d2iC4_ZsyixNLEUdLguw/168s.jpg","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021025-2540","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","UCC Cafe Terrace","https://www.yelp.com/biz/ucc-cafe-terrace-cebu-city?osq=Restaurants","","UCC Cafe Terrace","null","[{""reviewer_name"":""Christine C.""},{""reviewer_name"":""Tracy B.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""8/18/2019""},{""reviewer_date"":""7/19/2019""},{""reviewer_date"":""11/15/2016""},{""reviewer_date"":""10/14/2015""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/7_YyL3NE3kOfrG6LRB8KhQ/168s.jpg","7","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=180"
"1591021547-3338","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Murray’s New Orleans Bourbon Street Steak and Oysters","https://www.yelp.com/biz/murrays-new-orleans-bourbon-street-steak-and-oysters-taguig?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/WXpudWIMpfavMup_Xo2ttQ/l.jpg","Murray's New Orleans Bourbon Street Steak and Oysters","+63-2-8564326","[{""reviewer_name"":""Ron H.""},{""reviewer_name"":""Vip B.""}]","[{""reviewer_date"":""1/11/2017""},{""reviewer_date"":""7/23/2015""}]","","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591022004-4243","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Larsian BBQ","https://www.yelp.com/biz/larsian-bbq-cebu-city?osq=Restaurants","","Larsian BBQ","null","[{""reviewer_name"":""Julia C.""},{""reviewer_name"":""Christopher C.""},{""reviewer_name"":""M A G.""},{""reviewer_name"":""Edwin R.""},{""reviewer_name"":""Matthew S.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""JessicaAllyn C.""},{""reviewer_name"":""Kent H.""},{""reviewer_name"":""Joey R.""},{""reviewer_name"":""Carlo L.""},{""reviewer_name"":""Fedd F.""},{""reviewer_name"":""Jeelyn D.""},{""reviewer_name"":""Janine D.""},{""reviewer_name"":""Michael C.""},{""reviewer_name"":""Emma D.""}]","[{""reviewer_date"":""12/9/2019""},{""reviewer_date"":""1/14/2020""},{""reviewer_date"":""4/9/2020""},{""reviewer_date"":""3/13/2019""},{""reviewer_date"":""10/16/2019""},{""reviewer_date"":""11/9/2016""},{""reviewer_date"":""2/28/2019""},{""reviewer_date"":""4/15/2019""},{""reviewer_date"":""9/14/2015""},{""reviewer_date"":""3/22/2017""},{""reviewer_date"":""9/1/2018""},{""reviewer_date"":""Updated review""},{""reviewer_date"":""5/28/2018""},{""reviewer_date"":""Previous review""},{""reviewer_date"":""12/6/2017""},{""reviewer_date"":""12/5/2017""},{""reviewer_date"":""9/13/2015""},{""reviewer_date"":""5/30/2015""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/fxWyAOsmJ1rNMoRKgeaIuA/348s.jpg","",""
"1591021155-2705","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Driveway Larangan sa V Rama","https://www.yelp.com/biz/driveway-larangan-sa-v-rama-cebu-city?osq=Restaurants","","Driveway Larangan sa V Rama","+63-923-5119938","[{""reviewer_name"":""Keisha R.""}]","[{""reviewer_date"":""2/22/2017""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/gZeE6wFTOJb1AAzrXDe8IQ/168s.jpg","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591021405-3080","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Sunburst","https://www.yelp.com/biz/sunburst-cebu-city-3?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/Zk3M9bxuLdR784_TjYX1fQ/l.jpg","Sunburst","+63-32-2558825","[{""reviewer_name"":""Myles C.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""2/4/2017""},{""reviewer_date"":""1/30/2017""}]","","","4","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=90"
"1591021528-3307","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","The Ching Palace","https://www.yelp.com/biz/the-ching-palace-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/NdXYQOr0FZU1EukbzzMxOA/l.jpg","The Ching Palace","+63-32-2338833","[{""reviewer_name"":""Aki L.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Paul T.""}]","[{""reviewer_date"":""12/17/2018""},{""reviewer_date"":""8/3/2018""},{""reviewer_date"":""9/27/2019""}]","","","4","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=90"
"1591021090-2605","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Bai","https://www.yelp.com/biz/cafe-bai-mandaue-city?osq=Restaurants","","Cafe Bai","baihotels.com/cafe-bai","[{""reviewer_name"":""PatrickJ T.""},{""reviewer_name"":""Cha S.""},{""reviewer_name"":""Eric L.""}]","[{""reviewer_date"":""8/7/2019""},{""reviewer_date"":""5/16/2019""},{""reviewer_date"":""6/5/2019""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/tlFFqFgHTMZY0rpyLPkphQ/168s.jpg","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591020702-1989","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","168 Ramen","https://www.yelp.com/biz/168-ramen-cebu-city?osq=Restaurants","","168 Ramen","+63-32-5050168","[{""reviewer_name"":""Kohta H.""}]","[{""reviewer_date"":""4/19/2016""}]","いろんなラーメンが揃う店

お隣の焼肉屋さんとの兄弟店のこちら168（一路発）ラーメン。
いろんな種類のラーメンが食べることができます。
僕がいただいたのは辛味噌ラーメン。

日本基準から考えるとありふれたラーメンかもしれませんが、セブでこの再現度のラーメンはめちゃくちゃ嬉しいです。","","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591021354-2980","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Tymad Bistro","https://www.yelp.com/biz/tymad-bistro-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/9KwRUaIMy7HA4o1IfrwNeQ/l.jpg","Tymad Bistro","tymadbistro.com","[{""reviewer_name"":""Andrea D.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Cynthia Q.""},{""reviewer_name"":""James R.""}]","[{""reviewer_date"":""11/30/2015""},{""reviewer_date"":""4/8/2018""},{""reviewer_date"":""11/28/2015""},{""reviewer_date"":""5/30/2018""},{""reviewer_date"":""10/20/2015""}]","","","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591021437-3148","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Ramen Yushoken","https://www.yelp.com/biz/ramen-yushoken-mandaue-city?osq=Restaurants","","Ramen Yushoken","+63-32-3677017","[{""reviewer_name"":""Angela L.""},{""reviewer_name"":""Gio G.""},{""reviewer_name"":""Dani S.""},{""reviewer_name"":""Zerra Mae Lyka L.""},{""reviewer_name"":""Judy J.""}]","[{""reviewer_date"":""1/13/2017""},{""reviewer_date"":""6/25/2019""},{""reviewer_date"":""8/15/2019""},{""reviewer_date"":""9/11/2018""},{""reviewer_date"":""2/23/2017""}]","If there's one place my dad would think of going to have a meal, it would be at Yushoken. I can't count the number of times he's talked about Yushoken. Finally got to try it on a vacation back home in Cebu.

I've had plenty of ramen and I can say that this is one of the better ones that I've had, even better than the ramen places in Los Angeles' Little Tokyo! 

The menu is simple and focuses on a tonkotsu broth. To taste the broth I opted for a shio tare. My parents ordered the shoyu, which I was also able to taste. The tonkotsu shined in my shio ramen, with the broth thick and rich enough to cling to the noodles. The chashu is also fatty, buttery and tender. The gyoza were very plump, and more meaty than most gyozas served within the city. Aji tamago was perfectly cooked as well. 

I'm very, very surprised at how everything was prepared close to perfection! After hearing about the ramen craze in the Philippines, I didn't expect the execution to be this good in Cebu after trying some of the hyped ramen places in Manila. At Yushoken, everything surpassed my expectations and more!","","4","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=90"
"1591021819-3698","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Watda Pho","https://www.yelp.com/biz/watda-pho-cebu-city-2?osq=Restaurants","","Watda Pho","+63-933-1914777","[{""reviewer_name"":""John L.""}]","[{""reviewer_date"":""9/30/2017""}]","Cute clean and new, no crowds yet,  quiet,  easy to get to.  with free Wi-Fi and many built in outlets to charge your phone. also a hand washing station with paper towels!   
First time here. Enjoyed the fresh spring rolls, the pho,  and a rice noodle salad.  All were fresh,  tasty,  and gluten free.
Staff super friendly and helpful. We will definitely return.","","2","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=30"
"1591021843-3745","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","AA BBq","https://www.yelp.com/biz/aa-bbq-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/jVYa7QB_E2GRmdzHOD5fEw/l.jpg","AA BBq","null","[{""reviewer_name"":""Anneke D.""},{""reviewer_name"":""Thu N.""},{""reviewer_name"":""Gee F.""},{""reviewer_name"":""Trina T.""},{""reviewer_name"":""Mike M.""},{""reviewer_name"":""Stephen B.""}]","[{""reviewer_date"":""3/1/2017""},{""reviewer_date"":""12/15/2016""},{""reviewer_date"":""12/17/2018""},{""reviewer_date"":""10/15/2017""},{""reviewer_date"":""2/4/2018""},{""reviewer_date"":""7/23/2017""}]","","","2","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=30"
"1591021427-3130","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Laguna","https://www.yelp.com/biz/cafe-laguna-cebu-city-3?osq=Restaurants","","Cafe Laguna","cafelaguna.com/cafe-laguna","[{""reviewer_name"":""Michael L.""},{""reviewer_name"":""PatrickJ T.""},{""reviewer_name"":""Lu C.""}]","[{""reviewer_date"":""6/29/2018""},{""reviewer_date"":""12/25/2019""},{""reviewer_date"":""5/19/2018""}]","Loved this restaurant so much I wanted to eat there for lunch and dinner. I was actually looking to find Laguna Garden Cafe and fell into this one instead. Delicious & authentic Filipino food! I wish they had more chains in Manila! Thee service was quick and they were attentive. I got the bulalo soup which was  amazing and flavored really well. My sister got the lumpiang sariwa & vegetable spring roll which she engulfed in less than 5 minutes. I also had the melon cooler which was completely refreshing","","4","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=90"
"1591021538-3316","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Phat Pho","https://www.yelp.com/biz/phat-pho-cebu-city-2?osq=Restaurants","","Phat Pho","+63-32-4162442","[{""reviewer_name"":""Verne A.""},{""reviewer_name"":""Michael H.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""Terri S.""},{""reviewer_name"":""Myles C.""},{""reviewer_name"":""Monz S.""}]","[{""reviewer_date"":""1/7/2019""},{""reviewer_date"":""3/26/2019""},{""reviewer_date"":""11/3/2016""},{""reviewer_date"":""1/30/2017""},{""reviewer_date"":""10/11/2016""},{""reviewer_date"":""6/30/2017""}]","This is one of my favorite restaurants in Cebu City. Their soup and congee are great, especially during rain days. I love their meat skewers too. I'm a frequent coffee drinker, and their Vietnamese Drip Coffee is great for me!

Definitely a must try for locals and tourists alike. Plus, Crossroads Mall has plenty of parking, two arts and crafts stores: Craft Story and HOLICOW, and two dessert places: Abaca Baking Co. and La Marea. Amazing!","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
