section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-separator,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute,section-result-info 2
Army Navy Burger + Burrito,4.2,(174),₱₱,Fast Food,"Metro, W Geonzon St",,,,,,·,
Bonchon Chicken,4.1,(118),₱₱,Chicken,"Ayala Center Cebu, Bohol Ave, The Terraces",Korean fried chicken specialist,Open until 10:30 pm,Dine-in,,,·,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",,Open until 7:00 pm,,,,·,
Sbarro,3.9,(15),,Pizza,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",,Open until 9:00 pm,Dine-in,,,·,
Burger King,4.1,(396),,Fast Food,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",,Open until 5:00 pm,,,,·,
Fudge,4.2,(130),₱₱,Restaurant,A. S. Fortuna St,,Open until 10:00 pm,Dine-in,,,·,
Greenwich,3.9,(264),₱₱,Pizza,,Casual pizza chain with a kids' fun zone,Open until 12:00 am,Dine-in,·,,,Temporarily closed
Bon Chon Chicken,4.1,(15),₱₱,Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,,,·,
McDonald's,3.9,(420),₱,Fast Food,"The Walk, Abad St",Iconic fast-food burger & fries chain,Open until 8:30 pm,Dine-in,·,Delivery,·,
Zubuchon,4.1,(224),₱₱,Filipino,"Escario Central, N Escario St",,Open until 11:00 pm,,,,·,
Greenwich,3.9,(23),₱₱,Pizza,"Level 3 Ayala Center Cebu, Archbishop Reyes Ave",,Open until 9:00 pm,Dine-in,·,,,
McDonald's,4.1,(418),₱,Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,Open until 7:00 pm,Dine-in,·,Delivery,·,
McDonald's,4.1,(479),₱,Fast Food,N Escario St,Iconic fast-food burger & fries chain,Open until 10:00 pm,Dine-in,·,Takeaway,·,
McDonald's,4.0,(280),₱,Fast Food,"JY Square Mall & Supermarket, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Open until 12:00 am,Dine-in,·,Takeaway,·,
CnT Lechon,4.3,(399),₱₱,Restaurant,V Rama Ave,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Muvanz Pocherohan And Seafoods,4.1,(409),₱,Takeout Restaurant,"Century Plaza Complex, Juana Osmeña St",,Open until 11:00 pm,Dine-in,·,Takeaway,·,
Greenwich,3.9,(146),₱₱,Pizza,"Park Centrale, LEVEL 1, Jose Maria del Mar St",Casual pizza chain with a kids' fun zone,Open until 1:00 am,Dine-in,·,,,Temporarily closed
Jollibee,4.0,(806),₱,Fast Food,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 5:00 pm,Dine-in,·,Takeaway,·,
Max's Restaurant BTC,3.9,(89),₱₱,Restaurant,"GCA Building, 13 Gov. M. Cuenco Ave",Chain eatery for Filipino fried chicken,Open until 10:00 pm,Dine-in,,,·,
Maxs Restaurant,4.0,(33),₱₱,Filipino,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Dine-in,,,·,
Chooks To Go,3.9,(30),₱,Takeout Restaurant,Archbishop Reyes Ave,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Cnt Lechon,3.9,(156),,Takeout Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Kenny Rogers Roasters,3.9,(72),₱₱,Chicken,"SM City Cebu, Upper Ground",,Open until 9:00 pm,Dine-in,,,·,
Mabolo Bam-I House,3.9,(14),,Takeout Restaurant,1003 M. J. Cuenco Ave,,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Asion Eatery,5.0,(1),,Takeout Restaurant,J. Diola St,,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Arnado Eatery,4.2,(130),,Takeout Restaurant,Pres. Quirino St Villa Aurora,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Shakey's Pizza Parlor,4.2,(491),₱₱,Pizza,F. Cabahug St,Casual pizza chain with a kids' fun zone,Open until 12:00 am,Dine-in,·,Delivery,·,
Yna's Food Haus,4.3,(65),,Takeout Restaurant,J. Abad Santos St Villa Aurora,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Ekit Food Haus,4.3,(85),,Takeout Restaurant,Tandang Sora St cor Magsaysay St Villa Aurora,,Open until 8:30 pm,Dine-in,·,Takeaway,·,
Ramen Yushoken,4.6,"(1,010)",₱₱₱,Restaurant,"G/F Oakridge Business Park, 880 A. S. Fortuna St",,Open until 11:00 pm,,,,·,
Balamban Liempo,4.1,(60),,Restaurant,"1, E-Zone, F. Cabahug St",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
I Love Bucket Shrimps - Capitol,4.4,(567),₱₱,Seafood,A. Climaco St,,Open until 7:00 pm,,,,·,
House of Lechon,4.2,"(2,464)",₱₱,Filipino,Acacia St,,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Chicka Loka Grill n Bbq,4.3,(22),,Takeout Restaurant,M. J. Cuenco Ave,,Open until 12:00 am,Dine-in,·,Takeaway,·,
Burrow,4.3,(679),₱₱,Chicken Wings,"Unit 4, Tsai Hotel And Residences, Wilson St",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Pancake House,4.2,(227),₱₱,Family-friendly,"2nd Level, The Terraces Ayala Center Cebu, Biliran Rd",,Open until 11:00 pm,Dine-in,,,·,
Shakey's Pizza Parlor,4.2,(352),₱₱,Pizza,"The Walk Asia Town, Abad St",Casual pizza chain with a kids' fun zone,Open until 1:00 am,Dine-in,·,Delivery,·,
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,,Open until 5:00 pm,,,,·,
TGI FRIDAYS,4.1,(548),₱₱₱,American,"Ground level, The Terraces Ayala Center Cebu, 6000",Lively American restaurant & bar chain,Open until 10:00 pm,,,,·,
Sbarro,4.1,(69),,Italian,"Luz -Level 2, Paseo Ciudad Ayala Center, Cebu Business Park",Fast-food chain for pizza & pasta,Open until 9:00 pm,,,,·,
Army Navy Burger + Burrito,4.2,(174),₱₱,Fast Food,"Metro, W Geonzon St",,,,,,·,
Bonchon Chicken,4.1,(118),₱₱,Chicken,"Ayala Center Cebu, Bohol Ave, The Terraces",Korean fried chicken specialist,Open until 10:30 pm,Dine-in,,,·,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",,Open until 7:00 pm,,,,·,
PHAT PHÓ,4.3,(161),,Vietnamese,Robinsons Cybergate,,Open until 9:00 pm,Dine-in,,,·,
Sbarro,3.9,(15),,Pizza,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",,Open until 9:00 pm,Dine-in,,,·,
Burger King,4.1,(396),,Fast Food,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",,Open until 5:00 pm,,,,·,
Greenwich,3.9,(264),₱₱,Pizza,,Casual pizza chain with a kids' fun zone,Open until 12:00 am,Dine-in,·,,,Temporarily closed
Bon Chon Chicken,4.1,(15),₱₱,Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,,,·,
McDonald's,3.9,(420),₱,Fast Food,"The Walk, Abad St",Iconic fast-food burger & fries chain,Open until 8:30 pm,Dine-in,·,Delivery,·,
Zubuchon,4.1,(224),₱₱,Filipino,"Escario Central, N Escario St",,Open until 11:00 pm,,,,·,
Greenwich,3.9,(23),₱₱,Pizza,"Level 3 Ayala Center Cebu, Archbishop Reyes Ave",,Open until 9:00 pm,Dine-in,·,,,
McDonald's,4.1,(418),₱,Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,Open until 7:00 pm,Dine-in,·,Delivery,·,
McDonald's,4.1,(479),₱,Fast Food,N Escario St,Iconic fast-food burger & fries chain,Open until 10:00 pm,Dine-in,·,Takeaway,·,
McDonald's,4.0,(280),₱,Fast Food,"JY Square Mall & Supermarket, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Open until 12:00 am,Dine-in,·,Takeaway,·,
CnT Lechon,4.3,(399),₱₱,Restaurant,V Rama Ave,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Muvanz Pocherohan And Seafoods,4.1,(409),₱,Takeout Restaurant,"Century Plaza Complex, Juana Osmeña St",,Open until 11:00 pm,Dine-in,·,Takeaway,·,
Greenwich,3.9,(146),₱₱,Pizza,"Park Centrale, LEVEL 1, Jose Maria del Mar St",Casual pizza chain with a kids' fun zone,Open until 1:00 am,Dine-in,·,,,Temporarily closed
Jollibee,4.0,(806),₱,Fast Food,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 5:00 pm,Dine-in,·,Takeaway,·,
Max's Restaurant BTC,3.9,(89),₱₱,Restaurant,"GCA Building, 13 Gov. M. Cuenco Ave",Chain eatery for Filipino fried chicken,Open until 10:00 pm,Dine-in,,,·,
Maxs Restaurant,4.0,(33),₱₱,Filipino,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Dine-in,,,·,
Chooks To Go,3.9,(30),₱,Takeout Restaurant,Archbishop Reyes Ave,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Cnt Lechon,3.9,(156),,Takeout Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Kenny Rogers Roasters,3.9,(72),₱₱,Chicken,"SM City Cebu, Upper Ground",,Open until 9:00 pm,Dine-in,,,·,
Mabolo Bam-I House,3.9,(14),,Takeout Restaurant,1003 M. J. Cuenco Ave,,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Asion Eatery,5.0,(1),,Takeout Restaurant,J. Diola St,,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Arnado Eatery,4.1,(396),,Takeout Restaurant,Pres. Quirino St Villa Aurora,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Sbarro,3.9,(19),,Pizza,SM City Cebu - Motorcycle Parking 2,Fast-food chain for pizza & pasta,Open until 9:00 pm,Dine-in,·,,,Temporarily closed
Greenwich,4.1,(176),₱₱,Pizza,"LEVEL 1 RAINTREE MALL, GEN. MAXILOM AVENUE",Korean fried chicken specialist,Open until 1:00 am,Dine-in,,,·,
Zubuchon,3.9,(874),₱₱,Restaurant,"One Mango Mall, General Maxilom Ave",Iconic fast-food burger & fries chain,Open until 11:00 pm,Dine-in,·,Takeaway,·,
Mae & Bonie Eatery,4.1,(224),,Takeout Restaurant,T. Borces St.,,Open until 9:30 pm,Dine-in,·,Takeaway,·,
Snack Inn,3.9,(23),,Takeout Restaurant,"Pres. Quirino St, Villa Aurora",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Tom & Vacion Eatery,2.3,(3),,Takeout Restaurant,T Borces St,Iconic fast-food burger & fries chain,Open until 10:30 pm,Dine-in,·,Takeaway,·,
Renerey's,4.1,(479),,Takeout Restaurant,T. Borces St,Iconic fast-food burger & fries chain,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Lilia Banana Que,2.0,(1),,Takeout Restaurant,T Borces St,Iconic fast-food burger & fries chain,Open until 6:00 pm,Dine-in,·,Takeaway,·,
Alex Eatery,4.3,(399),,Takeout Restaurant,Golam Dr,,Open until 6:00 pm,Dine-in,·,Takeaway,·,
Cleofe Eatery,4.1,(409),,Takeout Restaurant,San Isidro St. Back Pepsi,,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Daphnie Food Station,3.9,(146),,Takeout Restaurant,M. J. Cuenco Ave,Casual pizza chain with a kids' fun zone,Open until 12:00 am,Dine-in,·,Takeaway,·,Temporarily closed
Jazz Eatery,4.0,(806),,Takeout Restaurant,Cardinal Rosales Ave,Fast-food chain with Filipino flavors,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Gerry's Grill - Ayala Cebu,3.8,"(1,088)",₱₱,Filipino,2/F Cardinal Rosales Avenue Arch Bishop Reyes Street,"Grilled meats, seafood & Filipino plates",Open until 11:00 pm,Dine-in,,,·,
Pizza Hut Fuente Osmena,3.9,(130),₱₱,Pizza,"Pizza Hut Fuente Osmena, Angeles Du Building 2, Fuente Osmena",Casual pizza chain with wide selection,Open until 10:00 pm,Dine-in,,,·,
Ging-ging Eatery,3.9,(30),,Takeout Restaurant,L. Tudtud Street,,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Ila-Amy Station,3.9,(156),,Takeout Restaurant,Cardinal Rosales Ave,Korean fried chicken specialist,Open until 6:00 pm,Dine-in,·,Takeaway,·,
Princess Siomai,5.0,(2),,Takeout Restaurant,Golam Dr,,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Louiz Eatery,3.9,(14),,Takeout Restaurant,Salinas Dr,,Open until 7:00 pm,Dine-in,·,Takeaway,·,
McDonald's,3.8,(253),₱,Fast Food,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Wok'd,3.9,(26),,Thai,"Streetcape, Paseo Saturnino",,Open until 7:00 pm,Dine-in,,,·,
Scramble Station,3.9,(19),,Takeout Restaurant,"APM Mall Building, A. Soriano St, Nra",Fast-food chain for pizza & pasta,Open until 9:00 pm,Dine-in,·,Takeaway,·,Temporarily closed
Sushi Boy Japanese-inspired Restaurant,3.8,(62),₱₱,Sushi,"Garden Bloc, W Geonzon St",Korean fried chicken specialist,Open until 10:00 pm,Dine-in,,,·,
Mr. Potato,3.9,(874),,Takeout Restaurant,"APM Mall Building, A. Soriano Ave, Nra",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Krizia's Eatery,4.1,(224),,Takeout Restaurant,P. Cabantan,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Dimsum Frito Express,3.9,(23),,Takeout Restaurant,"APM Mall Building, F. Cabahug St",,Open until 8:30 pm,Dine-in,·,Takeaway,·,
WOK IN,3.7,(3),,Chinese Takeout,3 Blk 13 Archbishop Reyes Ave,Iconic fast-food burger & fries chain,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Nom Nom,4.0,(2),,Snack bar,487 Salinas Dr,Iconic fast-food burger & fries chain,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Hotdog Onsticks,2.0,(1),,Takeout Restaurant,"SM City Cebu Bldg., A. Soriano Nra. Outside SM City Cebu",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
N And M Eatery,4.3,(399),,Takeout Restaurant,Ayala Access Road,,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Top 'N Dog,4.1,(409),,Takeout Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Craft Dawgs,3.9,(146),,Takeout Restaurant,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Casual pizza chain with a kids' fun zone,Open until 9:00 pm,Dine-in,·,Takeaway,·,Temporarily closed
Pizza Pedrico's,4.0,(806),,Pizza Takeout,"A. Soriano St. NRA, Outside SM City Cebu",Fast-food chain with Filipino flavors,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Friends Fries,3.8,"(1,088)",,Takeout Restaurant,"SM City Cebu, Juan Luna Ave Corner Cabahug And Kaoshiung St","Grilled meats, seafood & Filipino plates",Open until 10:00 pm,Dine-in,·,Takeaway,·,
Alain's Food Haus,4.5,(2),,Takeout Restaurant,Andres Ancajas St,Casual pizza chain with wide selection,Open until 8:30 pm,Dine-in,·,Takeaway,·,
Mooshi,3.9,(30),,Takeout Restaurant,"ayala center cebu, Archbishop Reyes Ave. Cebu Business Park",,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Sam's Everyting On Sticks,3.9,(156),,Takeout Restaurant,"SM City Cebu, Juan Luna Ave . Corner Cabahug And Kaoshiung St .",Korean fried chicken specialist,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Taters Entertainment Snacks,4.5,(2),,Snack bar,"Level 4 Ayala Center, Archbishop Reyes Ave. Cebu Business Park",,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Chewy Junior,5.0,(1),,Takeout Restaurant,"ayala center cebu, Cebu Business Park, Archbishop Reyes Ave",,Open until 9:00 pm,Dine-in,·,Takeaway,·,
KFC,4.2,(95),₱,Fast Food,"Building 17C, Barba Press, Osmeña Blvd",Fast-food fried chicken chain,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Chowabungga,4.4,(230),,Fast Food,"GF i1 Building, Jose Maria del Mar St",,Opens at 5:00 pm,Dine-in,,,·,Closed
My Joy,3.9,(19),,Takeout Restaurant,"Ayala Center Cebu PUV Terminal, Archbishop Reyes Ave",Fast-food chain for pizza & pasta,Open until 10:00 pm,Dine-in,·,Takeaway,·,Temporarily closed
Taters Entertainment Snacks,4.0,(1),,Snack bar,"Level 4, Cinema Floor, Ayala Center Cebu, Archbishop Reyes Street, Cebu Business Park",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,,,·,
Ababon's Eatery,4.3,(3),,Takeout Restaurant,Archbishop Reyes St.,Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Michelle's Homemade Putong Ube,4.1,(224),,Takeout Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Turks,3.8,(17),,Takeout Restaurant,,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Vergie Eatery,3.7,(3),,Takeout Restaurant,"San Isidro Back Pepsi St., NRA",Iconic fast-food burger & fries chain,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Waffle Time,2.0,(1),,Snack bar,"Ayala Center Cebu, Bohol Ave",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Pizza Pedrico's,2.0,(1),,Pizza Takeout,6th Metro Achbishop Reyes Ave. Cebu Business Park,Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Nigel Carenderia,1.0,(1),,Takeout Restaurant,San Miguel Rd,,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Friends Fries,4.1,(409),,Takeout Restaurant,"Ayala Center Cebu PUV Terminal, Archbishop Reyes Ave",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Tig-abs Eatery,3.9,(146),,Takeout Restaurant,"APM Square Bldg, A. Soriano St. NRA",Casual pizza chain with a kids' fun zone,Open until 9:00 pm,Dine-in,·,Takeaway,·,Temporarily closed
Handuraw,3.0,(1),,Pizza Takeout,"JY Center 3, Salina",Fast-food chain with Filipino flavors,Open until 2:00 pm,Dine-in,·,Takeaway,·,
Flame It Burgers And Sausages,4.3,(13),,Takeout Restaurant,Pope John Paul II Ave,"Grilled meats, seafood & Filipino plates",Open until 10:00 pm,Dine-in,·,Takeaway,·,
J & J Eatery,3.0,(1),,Takeout Restaurant,Purok 8 Camputhaw,Casual pizza chain with wide selection,Open until 8:00 pm,Dine-in,·,Takeaway,·,
KFC,3.8,(339),₱,Fast Food,"Doña Luisa Building, Ground Floor, Fuente Osmeña Cir",Fast-food fried chicken chain,Open until 12:00 am,Dine-in,·,Takeaway,·,
Lava By Fudge,3.8,(14),,Restaurant,Juan Luna Ext,Korean fried chicken specialist,Open until 9:00 pm,Dine-in,·,Delivery,·,
Ngohiong Dynasty,5.0,(1),,Takeout Restaurant,Gorordo Ave,,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Mr. Liempo,4.5,(2),,Takeout Restaurant,Pope John Paul II Ave,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Shakey's Pizza Parlor,3.7,(56),₱₱,Pizza,Ayala Center,Casual pizza chain with a kids' fun zone,Open until 9:00 pm,Dine-in,,,·,
Yogorino Italy,4.4,(230),,Takeout Restaurant,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",,Open until 9:00 pm,Dine-in,·,Takeaway,·,Closed
Master Siomai,3.9,(19),,Takeout Restaurant,"Metro, Cebu Business Park, Archbishop Reyes Ave",Fast-food chain for pizza & pasta,Open until 9:00 pm,Dine-in,·,Takeaway,·,Temporarily closed
Tablebird Lechonmanok,4.0,(1),,Takeout Restaurant,"Omega, San Miguel Rd",Korean fried chicken specialist,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Sizzling Plate,4.3,(3),,Takeout Restaurant,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaohsiung St",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Have Em All Food Cart Services,4.1,(224),,Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",,Open until 9:00 pm,Dine-in,·,Takeaway,·,
McDonald's,3.7,(202),₱,Fast Food,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Nedie Eatery,5.0,(1),,Takeout Restaurant,Jose Maria del Mar St,Iconic fast-food burger & fries chain,Open until 5:00 pm,Dine-in,·,Takeaway,·,
Tess Eatery,3.8,(5),,Takeout Restaurant,Ayala Access Rd,Iconic fast-food burger & fries chain,Open until 7:45 pm,Dine-in,·,Takeaway,·,
Dimsum Break - Drive Thru,3.0,(1),,Chinese Takeout,,Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
CGA,2.5,(2),,Takeout Restaurant,Upper Riverside,,Open until 7:00 pm,Dine-in,·,Takeaway,·,
Pizza Pedrico's,4.1,(409),,Pizza Takeout,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaohsiung St",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Mr. Liempo,4.2,(5),,Takeout Restaurant,M. J. Cuenco Ave,Casual pizza chain with a kids' fun zone,Open until 9:00 pm,Dine-in,·,Takeaway,·,Temporarily closed
Mr. Potato,4.0,(1),,Takeout Restaurant,"SM City Cebu Building, A Soriano St NRA Outside SM City Cebu",Fast-food chain with Filipino flavors,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Deck's Eatery,4.0,(1),,Takeout Restaurant,Gorordo Ave,"Grilled meats, seafood & Filipino plates",Open until 10:00 pm,Dine-in,·,Takeaway,·,
Nacho King,3.0,(1),,Snack bar,"L3, Kiosk , SM City Cebu, Juan Luna Avenue , 6000 Cebu City , Cebu",Casual pizza chain with wide selection,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Dimsum,4.0,(1),,Takeout Restaurant,"Merto, Cebu Business Park, Archbishop Reyes Ave",Fast-food fried chicken chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Guby's,3.8,(14),,Takeout Restaurant,"UGF, Kiosk , SM City Cebu, Juan Luna Avenue , 6000 Cebu City , Cebu",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Franze Richard Eatery,5.0,(1),,Takeout Restaurant,"Friendship II Bldg, Lopez Jaena St",,Open until 8:00 pm,Dine-in,·,Takeaway,·,
Inday Bisdak,4.5,(2),,Takeout Restaurant,"APM Square Building, A. Soriano St. Nra",,Open until 2:00 am,Dine-in,·,Takeaway,·,
Jafar's Shawarma,3.7,(30),,Takeout Restaurant,"BTC Bldg, Gov. M. Cuenco Ave",Casual pizza chain with a kids' fun zone,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Chowking,3.8,(5),,Fast Food,"Gaisano Country Mall, Gov. M. Curnco Ave",,Open until 10:00 pm,Dine-in,·,Delivery,·,Closed
Chowking,3.2,(6),₱,Fast Food,3F,Fast-food chain for pizza & pasta,Open until 9:00 pm,Dine-in,·,,,Temporarily closed
fruit magic,4.0,(1),,Snack bar,"SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaoshiung St",Korean fried chicken specialist,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Kubo Pinoy Merienda,4.5,(2),,Takeout Restaurant,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Dimsum Break IT Park,3.7,(91),₱₱,Dim Sum,,,Open until 9:00 pm,Dine-in,,,·,
Orange Brutus,5.0,(1),,Takeout Restaurant,"Ayala Center Cebu PUV Terminal, Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Magic Melt,5.0,(1),,Takeout Restaurant,"SM City Cebu, Juan Luna Ave. Cor. Cabahug And Kaohsiung St.",Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Shawarma Sandwich Corner,4.0,(1),,Takeout Restaurant,13 Gov. M. Cuenco Ave,Iconic fast-food burger & fries chain,Open until 9:00 pm,Dine-in,·,Takeaway,·,
