web-scraper-order,web-scraper-start-url,link,link-href,name,address,contact,reviewer_name,reviewer_rate,reviews,rate,reviewer_text,open_establishment,type,dishes,cost,services,pages,pages-href
"1592234657-134","https://www.zomato.com/cebu/delivery","Krave Cafe","https://www.zomato.com/cebu/krave-cafe-lahug-cebu-city","Krave Cafe","Salinas Drive, Lahug, Cebu City","+63324024946","[]","[]","54 Reviews","3.7","[]","Opens tomorrow at 8am","Café - Desserts, Coffee","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""All Day Breakfast""},{""services"":""Indoor Seating""},{""services"":""Desserts and Bakes""},{""services"":""Free Parking""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234794-149","https://www.zomato.com/cebu/delivery","Burrow - Tsai Hotel","https://www.zomato.com/cebu/burrow-tsai-hotel-lahug","Burrow - Tsai Hotel","Ground Floor, Tsai Hotel, Wilson Street, Lahug, Cebu City 6000","+63323281074","[]","[]","136 Reviews","3.8","[]","Opens tomorrow at 11am","Casual Dining - Filipino, American","null","PHP600 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Outdoor Seating""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234993-167","https://www.zomato.com/cebu/delivery","Murray's New Orleans","https://www.zomato.com/cebu/murrays-new-orleans-cebu-business-park-cebu-city","Murray's New Orleans","Fourth Floor, The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City","+63324012676","[{""reviewer_name"":""Candice Theara A. Cañete""},{""reviewer_name"":""Maria Meagan""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","92 Reviews","4.1","[{""reviewer_text"":""""},{""reviewer_text"":""One of my favorite restaurants, service is superb, food tastes divine and food portion is relative to the price.""}]","11am – 12midnight (Today)","Casual Dining - American","Cocktails, Steak, Caesar Salad, Salmon, Cheesy Pizza, Oysters Rockefeller, Seafood Jambalaya","Decor, Live Music","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Wifi""},{""services"":""Outdoor Seating""}]","",""
"1592234442-106","https://www.zomato.com/cebu/delivery","Rustic Chef's Favorites","https://www.zomato.com/rusticchef","Rustic Chef's Favorites","Maximo V. Patalinghug Jr. Avenue, Pajo, Lapu-Lapu City","+63324935130","[{""reviewer_name"":""Pietro Enriquez""},{""reviewer_name"":""Shio""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","18 Reviews","3.8","[{""reviewer_text"":""The food was great, the calamares, the cordon blu, the pork sisig, luaya. The ribs was also good but it needs to be more tender as it was very hard to cut. Also, they need more servers/food attendant but overall the exprience and the food was great!""},{""reviewer_text"":""My family & I come to have lunch here every now and then. The owners wife is super friendly and hospitable. If you're looking for a good place to eat when visiting Lapu-Lapu which is also really budget-friendly then this is the place to go!\n\nI always order their fish n' chips & cordon bleu. Their pancit here and pinoy soups are also good, really hearty. I hope to visit this gem again soon!""}]","Opens tomorrow at 10am","Quick Bites - Filipino, Grill","null","PHP150 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Group Meal""},{""services"":""Wifi""},{""services"":""Kid Friendly""},{""services"":""Free Parking""},{""services"":""Indoor Seating""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234721-140","https://www.zomato.com/cebu/delivery","The Ching Palace","https://www.zomato.com/cebu/the-ching-palace-lahug-cebu-city","The Ching Palace","20 Salinas Drive, Lahug, Cebu City","+63322338833","[]","[]","56 Reviews","4.0","[{""reviewer_text"":""This is the worst chinese place.\n\nThe food was not fresh and too greasy. The servers were pre occupied and would give wrong orders.\n\nI would not recommend this to anyone.""},{""reviewer_text"":""The 2nd floor is perfect for special events like birthdays, baptism, or even business meetings. Per table is like 5,000 and can accommodate 12 people.""}]","Opens tomorrow at 11:30am","Casual Dining - Chinese","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234550-120","https://www.zomato.com/cebu/delivery","Cafe Breeze","https://www.zomato.com/cebu/cafe-breeze-north-reclamation-area","Cafe Breeze","Ground Floor, Bayfront Hotel Cebu, Kaoshiung Street, North Reclamation Area, Cebu City","+63322602573","[]","[]","34 Reviews","3.4","[]","Opens tomorrow at 6am","Café - Asian, Desserts, Coffee","null","","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Bottle Service""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Buffet""},{""services"":""All Day Breakfast""},{""services"":""Outdoor Seating""},{""services"":""Desserts and Bakes""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234849-154","https://www.zomato.com/cebu/delivery","Sumo Sam","https://www.zomato.com/cebu/sumo-sam-cebu-business-park-cebu-city","Sumo Sam","Ground Floor, The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City","+63324010643","[{""reviewer_name"":""Arden""},{""reviewer_name"":""Linan.adrian3""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""5.0""}]","104 Reviews","4.1","[{""reviewer_text"":""Food was not really that good given the price. You need at least 500 pesos for a single decent meal.""},{""reviewer_text"":""""}]","Opens tomorrow at 10am","Casual Dining - Japanese","Sushi, Ramen, Salad, Noodle, Tempura","PHP1200 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""},{""services"":""Outdoor Seating""}]","",""
"1592234371-96","https://www.zomato.com/cebu/delivery","Fat Jim's Steak House","https://www.zomato.com/cebu/fat-jims-steak-house-subangdaku-mandaue-city","Fat Jim's Steak House","FLC Center, Hernan Cortes Street, Subangdaku, Mandaue City","+639173211977","[{""reviewer_name"":""Candice Theara A. Cañete""},{""reviewer_name"":""Queenie""}]","[{""reviewer_rate"":""2.0""},{""reviewer_rate"":""5.0""}]","29 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""so love it and worth it... \nmust try it by urself... 😘\nthe staff are so accomodating...\nhighly recommended...\n😍😍😍""}]","Opens tomorrow at 11am","Casual Dining - Steak, American","null","null","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234380-97","https://www.zomato.com/cebu/delivery","Cafe Cappuccino","https://www.zomato.com/cebu/cafe-cappuccino-1-mactan-lapu-lapu-city","Cafe Cappuccino","M. L. Quezon National Highway, Mactan, Lapu-Lapu City","+63328887519","[]","[]","12 Reviews","3.7","[]","Opens tomorrow at 7am","Café - Coffee","null","Cash only","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234620-129","https://www.zomato.com/cebu/delivery","Gerry's Grill","https://www.zomato.com/cebu/gerrys-grill-cebu-business-park","Gerry's Grill","Second Floor, The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City","+63322324159","[]","[]","63 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""For the price we paid in here, their rice is just on par to those you can buy from 7/11. That ruined everything else. \n\nCrispy pata didn't have chilli as shown in the photo, the only reason we ordered that.""}]","Opens tomorrow at 10am","Casual Dining - Grill, Filipino","null","PHP1100 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Wifi""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""},{""services"":""Indoor Seating""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234919-161","https://www.zomato.com/cebu/delivery","Allegro - Bluewater Maribago Beach Resort and Spa","https://www.zomato.com/cebu/allegro-bluewater-maribago-beach-resort-and-spa-maribago","Allegro - Bluewater Maribago Beach Resort and Spa","Bluewater Maribago Beach Resort and Spa, Maribago, Lapu-Lapu City","+63324920100","[]","[]","26 Reviews","3.9","[{""reviewer_text"":""Nice cozy resto, great and tasty food too. Lot of choices to select from filipino to international foods as well.""},{""reviewer_text"":""""}]","24 Hours (Today)","Casual Dining - Filipino, American","null","","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Table booking recommended""},{""services"":""Bottle Service""},{""services"":""Indoor Seating""},{""services"":""Buffet""},{""services"":""Wifi""},{""services"":""Outdoor Seating""}]","",""
"1592234715-139","https://www.zomato.com/cebu/delivery","Cafe Egao","https://www.zomato.com/cebu/cafe-egao-talamban","Cafe Egao","Gov. M. Cuenco Avenue, Nasipit, Talamban, Cebu City","+639173215042","[{""reviewer_name"":""Their specialty coffee and luscious pastas""},{""reviewer_name"":""Coffee, Okonomiyaki""},{""reviewer_name"":""PHP500 for two people (approx.)""},{""reviewer_name"":""Cash only""}]","[]","29 Reviews","3.9","[]","9am – 12midnight (Today)","Café - Coffee","null","PHP500 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wifi""},{""services"":""Outdoor Seating""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234903-160","https://www.zomato.com/cebu/delivery","Chatime","https://www.zomato.com/cebu/chatime-lahug-cebu-city","Chatime","eBloc 2, IT Park, Lahug, Cebu City","+63325052121","[]","[]","91 Reviews","4.1","[]","11am – 12midnight (Today)","Beverage Shop - Beverages","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""}]","",""
"1592234518-115","https://www.zomato.com/cebu/delivery","Dimsum Break","https://www.zomato.com/cebu/dimsum-break-banilad-cebu-city","Dimsum Break","Ground Floor, Banilad Town Center, Gov. M. Cuenco Avenue, Banilad, Cebu City","+63325052121","[]","[]","36 Reviews","3.8","[]","Opens tomorrow at 7am","Quick Bites - Chinese","null","PHP350 for two people (approx.)","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Drive Thru""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234345-92","https://www.zomato.com/cebu/delivery","Grillers Steak House","https://www.zomato.com/cebu/grillers-steak-house-banilad-cebu-city","Grillers Steak House","TP Building, A.S. Fortuna Street, Banilad, Cebu City","+639261421752","[]","[]","19 Reviews","3.5","[]","Opens tomorrow at 11am","Casual Dining - Steak, American","null","Cash only","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Indoor Seating""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234945-163","https://www.zomato.com/cebu/delivery","Cafe Racer","https://www.zomato.com/cebu/cafe-racer-subangdaku-mandaue-city","Cafe Racer","Quano Avenue, Subangdaku, Mandaue City","+63325117798","[{""reviewer_name"":""Ridge Adam Gonzales""},{""reviewer_name"":""Go Ling""}]","[{""reviewer_rate"":""2.0""},{""reviewer_rate"":""5.0""}]","88 Reviews","4.1","[{""reviewer_text"":""Food was unfortunately sub-par. Ordered the carbonara, it was too runny and bland. Ordered the baked back ribs, the meat was not tender and hard to chew. The only dish I enjoyed was the meat lovers pizza but to be honest it reminded me of store bought frozen pizza.\n\nDecent service though and nice ambience. I wouldn't come here for the food but it would be a nice place to chill with friends and have a few drinks.""},{""reviewer_text"":""The foods are awesome and I like the place's ambience.. The price is reasonable. Highly recommendable. We ordered the baked baby backribs and 1/2 herb chicken with mashed potato..""}]","11am – 2am (Today)","Casual Dining - American","Beer, Burgers, Carbonara, Fish","PHP1100 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Free Parking""},{""services"":""Indoor Seating""},{""services"":""Smoking Area""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""}]","",""
"1592234523-116","https://www.zomato.com/cebu/delivery","Gentlemen Cafe","https://www.zomato.com/cebu/gentlemen-cafe-north-reclamation-area-cebu-city","Gentlemen Cafe","Third Floor, SM City Cebu, North Reclamation Area, Cebu City","+639772798972","[]","[]","38 Reviews","2.7","[]","Opens tomorrow at 10am","Café - American, Beverages, Coffee","null","PHP400 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Desserts and Bakes""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234733-142","https://www.zomato.com/cebu/delivery","Big Tom's Charbroiled Burger","https://www.zomato.com/cebu/big-toms-charbroiled-burger-capitol-site","Big Tom's Charbroiled Burger","111 Juana Osmena Street, Capitol Site, Cebu City","+63322398101","[{""reviewer_name"":""Cristina Danielle Mercado""},{""reviewer_name"":""Jessilyn Gan""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""5.0""}]","83 Reviews","4.0","[{""reviewer_text"":""Big Toms has good serving size and platter design. Burgers have good flavor and their decor and ambiance is always nice.""},{""reviewer_text"":""Great place, great burgers...the place is walking distance from the hotel I'm staying at..it's worth the walk..yummy and juicy bugers and the lemoncito is so refreshing...nice staffs too :) #cebufoodtrips #cebufoods""}]","Opens tomorrow at 11am","Casual Dining - Burger","Burgers, Fries, Bacon Cheeseburger, Charbroiled Burger","PHP800 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Table booking recommended""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","2","https://www.zomato.com/cebu/delivery?page=2"
"1592234514-114","https://www.zomato.com/cebu/delivery","Acqua - Shangri-la's Mactan Resort & Spa","https://www.zomato.com/cebu/acqua-shangri-las-mactan-resort-spa-punta-engano-lapu-lapu-city","Acqua - Shangri-la's Mactan Resort & Spa","Shangri-la's Mactan Resort & Spa, Poolside, Ocean Wing, Punta Engano, Lapu-Lapu City","+63322310288","[{""reviewer_name"":""Izabella Francesca Gaite""},{""reviewer_name"":""Jovijovijovi""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""4.0""}]","21 Reviews","3.9","[{""reviewer_text"":""Had a great time here! I’ve eaten here twice already! Ordered the BAKED SALMON(one of my faves in life!) and the Pizza Quattro Formaggi. It was definitely worth it! Especially since they give you free bread with yummy sauces as appetizers. Just don’t order the risotto, it’s not the worth it.""},{""reviewer_text"":""excellent service. food ia high level. black pasta with crab meat was heavenly. the spaghetti's consistency was perfect. cbmeat was plentiful. pizza is brick oven baked. excellent all around. pricey but nothing else to complain after price.""}]","Opens tomorrow at 6am","Fine Dining - Italian","PHP2000 for two people (approx.) Without alcohol","","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Table booking recommended""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Outdoor Seating""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234695-137","https://www.zomato.com/cebu/delivery","Ramen Dojo","https://www.zomato.com/cebu/ramen-dojo-north-reclamation-area-cebu-city","Ramen Dojo","Second Floor, North Wing, SM City Cebu, North Reclamation Area, Cebu City","Not available for this place","[]","[]","56 Reviews","3.8","[]","Opens tomorrow at 10am","Quick Bites - Japanese","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234476-109","https://www.zomato.com/cebu/delivery","Pearl Korean Meatshop and Restaurant","https://www.zomato.com/cebu/pearl-korean-meatshop-and-restaurant-tipolo","Pearl Korean Meatshop and Restaurant","A. S. Fortuna Street, Tipolo, Mandaue City","+63323438272","[]","[]","30 Reviews","3.9","[]","Opens tomorrow at 10am","Casual Dining - Korean","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234653-133","https://www.zomato.com/cebu/delivery","Wingers Unlimited","https://www.zomato.com/cebu/wingers-unlimited-3-kamputhaw-cebu-city","Wingers Unlimited","Mango Square, General Maxilom Avenue, Kamputhaw, Cebu City","+639453481288","[]","[]","76 Reviews","2.7","[{""reviewer_text"":""""},{""reviewer_text"":""Unlimited chicken, fries, drinks, and ice cream for 300 pesos only. Looking forward to find another branch in Manila.""}]","Opens tomorrow at 11am","Quick Bites - American","null","","[{""services"":""Home Delivery""},{""services"":""Indoor Seating""}]","3","https://www.zomato.com/cebu/delivery?page=3"
"1592234820-151","https://www.zomato.com/cebu/delivery","Zark's Burgers","https://www.zomato.com/cebu/zarks-burgers-north-reclamation-area-cebu-city","Zark's Burgers","Upper Ground Floor, SM City Cebu, North Reclamation Area, Cebu City","+63322324882","[{""reviewer_name"":""Chbz Chiboi""},{""reviewer_name"":""Reil Pao""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""3.0""}]","116 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""""}]","Opens tomorrow at 10am","Casual Dining - Burger, American","Burgers, Fries, Lemonade","PHP800 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","2","https://www.zomato.com/cebu/delivery?page=2"
